anos,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
24,Other,21.610403012394546,E,D,-63.30287571125833,83.41249296049614,D,-142.29045912072377,C,D,-22.797901225808214,E,B,A,67.1477113947471,D,1
50,African American,5.011002334191446,A,D,-28.154084997468566,41.69021634089024,D,-43.22188788295897,A,B,-6.515155377762804,A,A,D,89.77055535887298,A,1
78,Other,97.4867368912521,C,B,139.53351917799426,99.21049990237974,B,-96.20690545312581,A,D,-0.08501439450858869,D,C,E,150.63624883198491,E,1
49,Asian,21.186487817662005,B,A,-142.79908927334787,-54.03677203070616,D,-199.02219480258668,B,B,198.6493869586809,B,C,E,-218.3628143484808,E,1
31,White,-34.979263468278106,A,A,-90.27462584268025,199.39501489420832,A,58.147266047730014,E,A,53.39507579941489,D,B,B,-4.042446369390185,D,1
36,African American,124.35768630474307,D,A,139.2723932858812,64.1296554418442,A,-88.31928881169529,A,B,-116.06656202389452,A,E,C,121.81118304789197,B,1
41,African American,-43.566577266217905,A,A,-83.90085850601496,122.82439792019188,A,59.3408243386487,D,C,-104.8437451706554,D,E,A,-82.32149883971599,E,1
68,African American,-85.55907211589886,C,E,-50.070994128775816,-145.90513763576962,E,-36.8276262353842,D,B,-132.9346112078303,A,D,D,-21.357005190799242,D,0
23,White,-57.56662298847769,D,E,29.53049258611417,-146.3110929136215,E,-54.33738720768929,B,A,41.44140037752554,C,C,E,24.874663496212207,E,0
28,Asian,-44.51968773725217,A,E,-155.84372659435581,-23.1619307519543,B,-23.40991876089159,E,C,-91.50859933041255,C,C,C,-17.066949200305988,A,1
36,African American,-124.36052049089147,A,B,146.41120999723006,196.3911945421562,B,-44.216200395480335,D,B,-105.67701703562476,A,C,B,-69.3025660668344,D,1
20,White,20.23041826130051,C,C,90.5997427752072,-24.8167522401324,C,-235.53915770841652,A,D,-72.5767783280019,C,B,A,25.35425237167927,C,1
39,African American,-19.07154057935661,C,B,-70.57633896486885,-17.113806836690234,A,56.89912908466761,B,E,-121.83364576038839,D,D,A,16.327860629185604,A,0
30,Black,23.49369559380762,E,E,-67.28629773962898,-47.147861029803195,A,-52.529863041625966,A,B,45.162666663852555,B,A,B,33.622721756094286,A,0
34,Asian,-77.08723116755615,C,B,20.469375647448395,7.433891670614597,E,-36.4801994725398,C,A,-28.380835263194836,A,C,B,-19.19807610631036,B,1
49,African American,-239.78402642742225,D,D,260.60353592458983,-98.19277237386447,A,42.24817947818817,C,E,-152.315502885232,C,D,C,-92.6834861275842,D,0
49,White,-100.2996044617292,D,E,-88.35189462236994,128.4944502642672,A,123.1393861747279,D,C,97.07315079861124,E,B,E,-25.97736128179991,A,0
72,White,48.40519987756344,D,D,45.16735056846763,13.39635141316173,A,-5.54693318146468,A,C,-21.660750574865357,A,A,B,-123.22773643070215,B,1
54,Hispanic,5.9015939035270675,C,A,-140.91598768712396,-81.42610979729936,A,146.1868185473363,B,B,-25.092322478996536,C,C,A,-206.43191432993558,E,0
74,African American,10.165429700206394,A,A,51.232060826603146,-72.28743351596245,B,134.72314960537494,C,B,-15.18060426078723,E,C,B,29.22992100922449,D,0
