sexuality,birth_year,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Homosexual,56,US,-4.602551910779303,A,E,-157.83610449587485,-10.874610049936907,12.269911633898085,0
Homosexual,35,Other,178.91783907517666,A,E,-18.22655971187398,90.44704466417306,-305.6636941995386,0
Homosexual,40,Brazil,99.60088856241299,C,C,-5.03729220184651,-10.736273234688518,38.977584712677775,0
Homosexual,73,Brazil,-73.2037885277522,B,B,-8.187304960768982,-22.88612236684438,-31.038925262444128,1
Heterosexual,50,Other,-9.40364750332318,E,D,-82.45270384048344,21.512863845686788,-287.0691665943061,1
Heterosexual,32,India,104.20411605938382,A,E,-86.50627818764278,216.98730757643773,69.07998434820897,0
Homosexual,44,Mexico,-24.10651990990998,C,B,76.1617764218986,-176.91334828507271,173.32252546814112,0
Bisexual,52,Brazil,-29.288548461203156,C,A,-73.23470995305456,35.279047364277325,126.0772625253144,1
Heterosexual,20,Mexico,12.933670570231644,D,B,-181.82900743955636,17.01964760246854,124.33194403391634,0
Other,63,Mexico,30.828399884230095,E,B,-46.99648669582131,54.32827568305056,21.416075162161075,1
Homosexual,60,Other,-53.69243276828225,C,C,-232.10960854333348,51.28399279649513,199.32494351411628,1
Homosexual,55,US,-41.781238812502075,D,C,112.96233561699313,16.39515371563438,-85.51566698639509,1
Other,23,US,-126.55251746641736,A,A,-13.980772291273084,-213.1290134314022,31.64388091035691,0
Heterosexual,78,China,-163.37391378610116,C,A,145.77962422662017,-84.3178977989561,-0.11188491459483639,0
Other,64,Other,-9.988273198153303,D,C,-97.79788461890881,126.05021381948602,-3.997490571173196,1
Other,31,India,-54.69594866926036,B,E,39.064280231668754,-96.11378263485872,18.299663386164998,1
Other,76,Mexico,39.09487879332673,C,A,-117.6974657555865,230.22037516002993,17.68735344836719,0
Heterosexual,74,India,-7.2632955570259545,B,D,-22.452537252187774,-15.790451717055017,-92.9112827338751,1
Bisexual,44,Brazil,-70.67571737944323,E,B,-197.07518093375583,244.759430264469,-213.92377812747577,1
Heterosexual,53,UK,-107.2331151456306,B,A,-152.04637899074538,-156.58716627046877,-76.67036451585516,0
Bisexual,72,Mexico,-32.83831702639605,C,E,-48.83130763696122,-28.705254819230074,14.39914729785506,1
Homosexual,35,Mexico,-22.203443260590262,A,B,13.831835471030177,98.72962264567371,-135.52779185286485,1
