religion,sexual_orientation,Race,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Hindu,Other,Other,65+,35.619138303842774,-120.97954173389267,B,22.499080297034507,A,C,E,B,D,-125.39214626709072,A,B,15.541678690029665,C,-88.5510860041249,E,A,0
Muslim,Other,White,36-50,-63.329373458129254,-113.79372562230718,D,112.13817358728748,B,D,D,D,A,183.36604204956453,B,E,130.57432388606233,B,-181.10358038764107,E,E,1
Muslim,Bisexual,Black,65+,-162.9120519175879,-62.122644737636264,D,-20.532896117024766,A,D,D,C,C,-143.52565987746158,E,C,-27.771455947826816,B,122.62322132046562,C,C,0
Muslim,Homosexual,Black,65+,295.9405720099655,116.80514900651555,D,168.53041195276376,C,C,A,A,C,113.00405896321917,D,B,123.94827586742294,D,-19.48184684999142,B,B,0
Buddhist,Heterosexual,African American,65+,-1.75047744038757,9.050383609082937,D,95.0915380617879,D,E,B,E,B,-43.578050866847676,C,E,213.46797713870708,C,111.26219991873705,B,A,1
Jewish,Homosexual,Black,65+,-30.382125193241905,34.831959504572026,E,3.6134547755281776,A,D,D,A,B,82.0597761468009,C,A,214.26523203495952,B,-21.07703154771718,C,A,1
None,Bisexual,Black,65+,25.74114816969032,9.547893102360433,E,-38.94519833186501,C,C,A,D,C,7.55140593882031,C,E,85.45894652518392,B,51.24878285868951,C,E,0
Other,Homosexual,Black,26-35,-14.509460558218967,93.04067139041504,C,-6.1218462409761845,A,E,A,B,D,-95.34911599142126,B,C,-23.349272971146963,B,23.71423024440427,D,E,1
Muslim,Other,Hispanic,65+,26.99319759309857,-4.757276898853579,C,30.28264636029685,C,C,D,D,B,144.33785901573071,A,D,120.63193128798709,D,-21.247837280974668,A,A,0
Other,Homosexual,African American,26-35,138.6626846529284,-44.161184844133246,A,-70.99349104864865,D,A,D,C,D,-131.38100211479266,B,B,119.32547453240134,D,-94.2834456898915,B,C,1
Christian,Other,Other,26-35,-116.96335584347277,67.56124892627335,C,107.00550559001532,D,A,E,D,A,-64.01360758320834,D,A,24.47232983612097,E,6.231450019994709,C,E,0
None,Homosexual,Asian,51-65,16.094727624891455,-83.46481328755831,D,97.3626841458005,D,A,E,B,B,113.21791624762369,E,E,118.74504424312124,B,57.38543033667328,D,A,0
Muslim,Bisexual,Black,26-35,65.31586838308282,-252.36230571863803,A,125.50824388970622,E,A,D,D,A,32.269733756228874,D,D,-15.25131255863535,B,-57.771215734121505,B,D,1
Muslim,Bisexual,Other,18-25,-62.54521947760041,-131.00938509557344,D,183.6228182188602,A,A,B,E,C,128.47952147114447,B,A,-100.83742120938419,A,-127.44202367875812,D,E,1
