SEX,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Non-binary,Heterosexual,D,-84.28859890314422,D,-24.152698783473824,-160.94490114639342,-96.63595672302493,-66.08218698977413,1
Non-binary,Other,B,12.671104650303192,B,201.7670031034409,-35.575012540349036,91.05327589707964,149.75294399673245,1
Female,Bisexual,C,-90.95550162499073,A,-79.54253892961738,1.129952442934801,-49.69996729558415,66.34072689319066,0
F,Homosexual,A,1.069767098487941,E,153.10722237487994,-124.07340372066938,-93.97184837664881,-59.553737789238696,0
Female,Bisexual,D,-90.04042807251366,A,98.65037221763323,70.6986421736436,78.31522114023359,-21.62161641821575,0
Male,Heterosexual,E,-30.489173362138356,A,98.53211848575,-151.3891129440368,-30.12306401984982,-42.352020957818226,1
Male,Other,D,74.57411009968858,E,64.6038270358614,-120.15698852625567,-35.48871696477327,-1.2717142593366348,1
Other,Other,E,6.5869546998731545,E,186.38957136381873,8.341477448771958,38.413926983553544,85.6108740785773,1
Non-binary,Homosexual,C,-31.769679645625825,B,16.482776712379426,16.939391703015744,154.40726573280946,-32.72986977635314,0
Female,Homosexual,C,49.45543227534432,C,-66.80126181985321,113.8656387471058,27.07039514414235,104.9889296659497,1
F,Other,B,35.48285249085691,E,75.52920798519398,15.312348897378905,28.518777061114925,-70.68799548421518,1
F,Other,C,-6.0017163723346885,B,3.4308179886764405,-139.66305111312042,7.2206484265303255,-45.43672456628137,0
F,Homosexual,C,-166.59295132473352,C,-124.40926493288491,-167.2076686752252,78.39671400228005,-176.73524684707849,1
Non-binary,Heterosexual,E,86.41109628248972,C,81.2311473921168,41.88836163175074,4.770697992714822,59.01206102112965,1
M,Other,B,66.53483519425876,C,-122.62955488894693,39.36382530647656,162.70272124080577,119.17518129647733,0
M,Homosexual,D,-29.656949351733815,B,-120.5608034811915,50.45342788640269,125.27558513366436,67.86639838403681,0
Female,Bisexual,D,-39.69368614972921,C,7.304405878189684,-115.7577845053895,104.33322788869465,-84.59125446077881,1
M,Heterosexual,D,106.88530624944815,E,-8.283465338763255,87.88753502136922,-97.17970426503175,50.21132204493518,0
Other,Other,E,49.1239082812429,E,-103.916617353153,83.65348734757133,-57.16528886789804,61.04124454973391,1
Male,Heterosexual,E,16.241791288289157,C,-35.41322982273386,-160.41130496849675,-27.68295338732065,98.43930787420967,0
Female,Bisexual,A,-5.3896437315730035,E,-64.8506403602361,240.7611186232335,11.043066372960473,201.50659406506267,0
Male,Homosexual,D,262.01465708883836,B,-220.44068942680406,-20.400475558507424,75.79269659962415,-37.33816919674176,1
M,Bisexual,D,-5.001215192553221,E,-12.291461088644123,6.778870623899038,-49.12989562859023,24.106418379649867,1
F,Other,C,37.230797288182636,D,-122.81599296973702,121.74296540849474,-89.10304309898831,32.36862783718853,1
Other,Heterosexual,B,77.58569442077038,E,-45.4058949885342,-3.861970385893171,35.97950018592832,36.5706013738862,0
Non-binary,Homosexual,C,-15.294966038432204,A,15.686448760531619,226.72721891374127,351.01260825148137,3.4167010973265075,1
Other,Other,E,102.28140663735859,B,98.10152369962012,65.7091036703162,67.41019058601235,-21.24518545259203,0
M,Heterosexual,A,89.18938436900498,B,43.235943321513744,-6.896706372125233,177.680710165325,162.8272702915941,0
Other,Bisexual,A,-62.12422881491465,A,-136.77450252490146,117.68048796612275,6.860531602046548,222.03804938652993,0
Male,Homosexual,E,52.62659259345783,A,-256.96568390939456,-31.659509298888405,-136.29869563964053,-20.656243149038488,1
Female,Homosexual,D,42.24515249288264,A,-40.338670852106354,90.164295374615,105.54247994538638,-170.17931290419187,0
F,Heterosexual,A,31.217239725740463,D,-70.22395817006523,-9.69209750112922,51.0597029887895,14.870227231710198,1
Female,Homosexual,D,96.69155242593608,D,98.32342933454228,0.31634391877626195,112.397853309539,-83.59642279105881,0
Non-binary,Homosexual,E,-51.45319459558814,E,-18.19156456786268,-25.09889243640533,-131.14095010466406,-204.40846064804344,1
Non-binary,Bisexual,B,-17.224139285294708,E,-19.875080798592958,6.206603158184162,-132.10435730629828,-62.04117462411985,0
M,Bisexual,B,48.421906135828316,B,-93.62564950146891,58.88623245773511,34.063794692718744,138.6608910828321,1
F,Heterosexual,A,52.619783499352415,B,-38.521062409034165,-65.65682045288254,-11.331860696915175,-22.771235389289124,1
Female,Homosexual,C,-54.22407125424328,D,72.07059546502538,-10.358777304546544,-60.27897933242761,-73.1173448191107,1
F,Heterosexual,A,142.36098305631097,C,-121.69822299556901,149.05178082571373,-37.55025994207416,62.42539265244118,1
Male,Bisexual,C,5.313287623639972,C,45.44413741406333,-34.91841601828782,84.39974609789608,-34.93391646228226,1
Other,Homosexual,B,-80.0772515377712,E,166.88080848714546,-6.661864042758844,60.23236600746714,38.35912359237462,1
M,Other,D,181.94649194028753,C,95.11621149021298,-35.27631371272566,111.04953471081859,69.09390205741359,0
Other,Bisexual,E,15.692657456823037,E,-69.98273429248272,115.09309508998145,60.14878524228838,-47.22516769070253,1
M,Bisexual,A,126.63208968728799,A,266.94704295910145,-1.8224145000674823,11.649930481471946,129.52328547463105,0
F,Homosexual,E,72.40763048881445,D,-8.584776591414247,-205.6059700378411,125.40944196590537,-90.33556226803641,0
Female,Heterosexual,C,39.68149210948456,C,143.09332798614912,72.29777229831473,-94.15312211757488,-162.1041678302428,0
M,Other,B,19.229149314389716,C,125.46861119808123,10.942492702917368,23.40978894529267,-143.99796280015548,0
Other,Heterosexual,D,15.450910153452035,C,289.0740740024541,99.41134409200203,-78.02499248354286,-51.18227190038458,1
M,Homosexual,E,120.30566042507283,B,-83.89447120969474,112.40863906255976,-151.92637629023446,13.7378421877174,1
Other,Heterosexual,C,-57.36698272261417,C,-154.58265944788565,141.89070837548286,17.831573184773625,85.04135036736218,0
Female,Homosexual,D,-141.33358615890202,A,-0.7624679254635404,-193.3164929546727,-122.2137942997864,26.05317137562151,0
Female,Bisexual,B,-84.93391188441703,D,-106.36658876509948,-44.49549928972223,-97.76924144699719,97.94031596101601,1
Other,Heterosexual,B,-22.688085410527012,B,47.866681550910826,-11.81569969557816,130.50635698846386,-74.84331619066,0
Male,Homosexual,C,-29.302609358250482,C,-150.806561109128,-17.062654516735368,-52.43351188592415,-107.38132360681018,1
F,Heterosexual,B,-141.17294583975888,C,-16.324154869224515,-86.07074812480937,-29.777752922329864,68.77571407917874,0
Non-binary,Homosexual,C,-64.64265566632209,D,-44.18302841656662,64.58936025351521,-102.56811056957761,78.50844967620321,0
Non-binary,Homosexual,A,126.57863345660878,E,-56.42128941937249,79.96817759616067,229.60342882286048,-65.55543623863981,0
Non-binary,Bisexual,B,186.35589099646486,D,15.905740421168222,4.634434807633997,-14.995671894920356,63.58322834792083,0
M,Heterosexual,C,-205.07655261815043,A,59.85620785717434,-64.09936594544345,-81.97655189146971,178.032453346747,1
Non-binary,Heterosexual,E,114.8672398615528,B,59.682716316059945,-44.1947078113255,-113.07336497620977,-104.33058780185259,0
M,Heterosexual,C,-51.12690939173577,E,88.72817305074385,46.95614784849586,40.99208041875421,72.05679043180496,0
Female,Heterosexual,A,-88.03783481144526,E,-125.73103668134844,49.68370534126515,-243.52724203483152,42.47208929567556,1
Female,Bisexual,B,-256.0873867620226,C,-112.89146738911154,-142.40701386450317,-8.998980565694584,106.06446503724453,0
M,Bisexual,C,-12.976357780716516,D,-107.8856678450594,-30.237246747278324,-87.90751174679615,-52.998067798869975,0
Male,Homosexual,B,-15.204267018307203,E,43.457017454246774,91.93888571709653,67.88743345295785,40.73982795318479,1
F,Heterosexual,D,-35.220161234302545,B,65.91240311239486,-203.94202481516515,44.59080932039339,27.764680893360527,1
Female,Bisexual,B,-15.096961427631332,C,-177.01200523571447,-8.695017787769899,-120.64082101202678,145.4959388485239,1
M,Homosexual,E,86.90977188982912,D,9.297490739758452,-69.77256846392257,90.76745893691472,46.648808703610165,0
F,Bisexual,D,5.470855135230175,E,142.14427661352525,-74.08253361507624,48.8897069819326,36.748070026111,0
