veteran,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
Non-Veteran,M,-164.99270345814557,-244.81642957816717,11.841559952360027,A,D,0
Veteran,Non-binary,111.96417802121968,105.44228582051736,-47.60053286990398,E,A,1
No,Non-binary,-158.07767079322076,-4.864052826411778,-95.96746316601752,C,B,1
Non-Veteran,Male,-63.78607603718596,-116.13357508061006,-41.81495581310195,A,A,1
No,Non-binary,5.870882341775899,7.622861945225531,156.04472217050554,D,E,0
Veteran,F,32.12380361506992,-73.34870571339025,19.45415798808537,D,B,1
No,Female,-79.44279908752782,-32.12157572827929,26.17508886042314,D,E,0
Non-Veteran,Other,-90.95389024078624,0.22776346202270478,-147.96386947053438,B,A,1
Veteran,Non-binary,73.45419535695447,20.76968899043171,-13.728337391136872,D,A,1
Veteran,F,-49.82192680900497,-74.29955673895337,42.22973811702245,C,E,0
Yes,Non-binary,48.75493821864079,53.21676227991843,35.41619824177052,B,A,1
No,Other,31.00282452825724,149.22395378120655,-42.121687585132655,B,B,0
Yes,Other,-121.5005607769106,153.72772049697815,-36.81698981737587,E,B,0
Yes,M,-163.1405655943662,-55.81783783633346,140.3473178821862,C,D,0
Yes,Female,-27.57059532727698,-124.61251882683482,-102.07667325481286,E,A,1
Yes,M,-165.84204579674554,-35.91883209332073,-81.25512292729783,A,C,0
Veteran,M,-52.60430962186541,44.42707523794124,129.66980266431838,C,B,1
Veteran,Male,29.03124334536542,-99.07242517947299,3.20555135009871,C,B,0
Yes,F,-193.5018775308862,28.488909280792207,-10.0528665869745,E,B,0
Non-Veteran,Male,-9.068589808889739,-12.555768414506035,-49.787731550436824,B,D,1
Non-Veteran,F,-54.91480244866166,-61.35871717572993,59.4402695028158,D,E,0
No,M,209.55830165879553,164.26104231836734,4.874378643139782,E,D,1
Veteran,Female,-134.39239081528046,-65.5202255204499,-40.220976718468755,B,A,1
Veteran,Male,88.22339471757935,28.18437654238661,-32.983050415065875,B,D,0
Non-Veteran,M,176.91776010590627,50.40950249683848,-82.73678700378856,E,C,0
Non-Veteran,Other,-5.0949524162950315,86.18271061281386,-50.30443504025146,A,C,0
No,M,-172.24405226469133,38.45072733042404,125.76558503084084,C,D,1
Yes,Female,78.9310506518701,-48.10358493617431,28.14853062863208,C,D,1
Yes,F,-121.01031206257105,-58.11816854523006,-37.584554439035145,E,A,0
Veteran,Male,35.34420596851163,256.0749621234431,-92.62903142155744,C,D,0
Non-Veteran,F,8.656064339962755,37.87428858539262,-121.31960824973926,A,D,0
No,M,13.97201836182138,-73.16704263708363,-84.25506234862324,A,E,0
Veteran,Male,-149.1941279319224,57.65734756410448,6.812509026043026,E,C,0
No,Female,96.64685190424461,-118.11633426174046,-14.873668429573994,D,D,1
Veteran,Male,-104.18440865371295,15.014229237001947,-60.90578744070704,A,E,1
Veteran,F,160.7536708705702,36.24571641110626,69.08129812453363,A,D,1
Non-Veteran,Other,-1.5565527372681707,75.18668899196317,-80.60900458496347,E,D,0
No,Male,62.40028468280422,-134.2909325862472,11.661967448173465,E,C,1
No,Female,83.67388666665896,158.47282513710482,-10.784427597685358,D,E,0
Yes,M,-70.6979164524648,-39.37895941974304,-137.71876636768255,E,B,0
Veteran,Other,-66.56708666816762,44.24974977985699,55.550049313353746,E,D,1
Non-Veteran,Non-binary,46.54353440044103,-48.3447780762966,12.7476500826096,D,A,1
Non-Veteran,Other,-201.05539682119863,3.3061273708213177,-42.445765655068875,C,C,0
No,Non-binary,-141.53985094202966,-11.093429604693934,69.60660741296432,D,C,0
No,Female,-24.34613819223689,-52.776494566792444,-29.799598282845768,B,B,1
Yes,M,-158.92678833713572,102.65700007881978,32.802505577906054,A,E,1
Yes,Other,100.44415047116402,-131.7597987444137,-126.96557610606285,B,D,1
Yes,Male,-54.54789554457785,-98.47755547339546,71.66042998661898,A,B,1
Yes,Other,131.8554460530572,-34.74226924343386,-71.40478868253133,D,E,1
Veteran,F,-138.72252107662916,15.988783844872053,125.66341120603417,B,E,1
Non-Veteran,M,43.80164300435192,21.823256957340416,-253.66103211434447,D,A,1
Veteran,Non-binary,98.4045085419016,-1.827100793077738,-158.98520472600848,D,D,0
Yes,Male,-101.43279886578904,-12.526637033258403,-8.728393068174741,D,C,0
Yes,Non-binary,81.87326583239528,182.1108542733579,44.325985215592084,D,B,1
Non-Veteran,Female,-41.47226230834516,-0.5722468410061659,78.51750046000481,B,E,0
No,Female,-61.371532469904565,44.0913767366298,-80.20827834161962,E,E,0
Veteran,Non-binary,74.09939773875067,-8.829467855242354,7.917955492703858,A,A,1
Yes,Female,-75.1192436444123,-115.28724441575324,-83.36843592872034,E,A,1
Veteran,Male,58.50609177392433,-139.9108442508837,-44.04230433704234,E,C,0
Veteran,Non-binary,-65.81809105393565,76.29067072978377,-62.67817831124736,E,A,0
Yes,Male,-87.80288955002423,-41.15418461665135,-64.99715900840224,A,E,1
Yes,Female,-17.017412173538276,-72.12360725545032,87.44178376284091,C,A,0
No,Male,-143.73864247234815,231.75616843928637,-2.922638682786004,B,D,0
Yes,F,-117.3181723743059,38.428492856918524,119.26886376058867,B,E,0
Non-Veteran,Female,-61.42790360900563,-101.29973679224749,-150.69790445011702,E,E,1
Yes,F,29.845393057692526,-57.03108111311025,104.8877636752373,C,D,1
Non-Veteran,Other,-85.67176186821744,26.788986667313896,152.45092668027252,A,D,0
Veteran,F,75.8093486405981,142.8684624363131,40.28027776617423,E,C,0
Non-Veteran,Non-binary,237.99446335626732,28.498653005293097,-169.39174270700107,E,D,1
Veteran,F,99.29034767783386,-4.961619996569131,-159.89312709066158,A,E,0
Yes,Female,-27.445751604115802,21.780916503880597,-102.66594899681125,E,B,1
Veteran,Female,-83.29789661210668,123.77119340162864,-56.52943978237962,E,C,1
Veteran,M,8.439753070805873,-52.34331665687178,-104.82800447180468,D,C,0
Veteran,Female,141.4002766783358,120.63229566997884,163.04304739287898,A,C,1
Veteran,Female,-12.30432884150972,19.97474930360628,-185.10306697222592,D,B,0
Non-Veteran,Other,-115.73829465701711,62.776950363517905,4.77178082396932,C,B,0
Non-Veteran,M,81.3077638680332,-69.4824102562258,47.58873316875311,C,B,0
Veteran,Male,-45.19262598570831,2.0154989641937484,210.91649292117194,B,D,0
