disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Both,E,-131.44460037927377,50.3845761910672,C,C,A,C,0
Yes,B,-13.887422656444768,72.07063973595355,D,D,C,C,1
Mental,C,-99.16549524196095,-23.239801935687705,B,A,B,A,0
Both,D,-82.5346604286077,145.3117385818031,B,C,B,D,1
Physical,B,-68.06527015952774,143.35994421932295,C,A,C,B,1
Yes,A,-0.20946887593883898,-21.291662570626254,C,B,A,B,0
Yes,E,29.257525113766626,55.04439237588896,E,A,B,B,0
Physical,B,64.36885917894571,60.465457834675085,B,B,A,E,1
Yes,C,106.89796596275667,121.61543020464998,C,B,B,C,0
None,B,91.52318011587626,-43.76480435196005,C,C,E,B,0
Yes,C,-126.3722848042215,62.53872651343718,B,C,C,C,1
Yes,D,14.420192523899388,-78.91002013421411,C,D,E,A,0
Mental,A,-97.1777005890371,-60.810923458456614,E,C,A,D,0
Both,C,-55.88949423196906,39.43322309956944,C,C,C,B,0
Physical,D,137.299687502294,-26.331307777722547,C,B,E,C,1
Physical,B,65.18083439846674,102.73844522820366,D,B,E,C,0
Physical,E,-5.7282581696366295,76.94162187239287,E,D,C,A,0
Both,C,4.0363323591130245,160.73301192294912,C,B,D,B,0
None,B,-82.02910371072419,46.113631851912395,B,A,A,B,1
None,E,112.30621102781116,-43.49083210084937,E,B,D,E,0
Physical,E,66.30753583113892,29.78926413851098,B,E,D,C,0
Yes,C,-184.5412010718738,38.538212364199445,C,B,B,D,0
Mental,A,115.66760650062507,-175.3593567000812,B,D,D,E,1
Yes,D,245.37981425722032,26.01214999469315,C,A,D,E,1
None,E,-12.67533790605024,-53.0846450145691,A,D,E,B,0
Both,E,153.5839300292703,-24.047261026876477,B,E,D,A,0
No,A,31.358800758785698,-27.661297134278644,B,E,A,E,1
Both,B,-18.552205856740215,-200.2740722545728,B,B,C,D,1
No,D,63.911041256617715,-4.27621019190232,D,C,C,C,1
Mental,D,-47.65285883145441,-7.022239183600797,B,A,A,D,0
None,E,33.88990291793232,-119.5453357655805,D,C,B,D,0
No,D,-59.122573931438836,-31.741100105821225,B,E,C,A,1
Both,B,-112.29475558686042,-87.95262674713314,D,C,C,D,0
Mental,C,-0.024854112918075405,124.320328735668,B,C,D,A,1
No,E,35.7780997454899,60.56719893039539,C,C,A,B,0
Physical,C,29.10205240428722,-63.48889787614134,D,C,B,B,1
Yes,D,-86.35479300263249,123.87787901119185,B,A,B,D,1
No,B,143.2365407238789,-12.548891167023573,C,A,B,E,0
Mental,E,-239.5824763975558,110.30615437487444,D,A,D,D,0
No,C,-154.14719325093188,100.99041311078626,C,A,D,D,1
None,E,32.38065501280013,159.33334027922083,A,A,C,C,1
None,D,-21.544222231877235,7.811017676784948,D,A,C,C,1
Mental,D,31.55415710202478,216.93466460878574,C,A,D,D,1
Both,A,26.6454080618248,17.785388485051357,A,D,B,B,0
Yes,D,-172.8310996598082,118.18326364330586,A,E,B,B,1
Mental,B,-118.19980066434759,2.031969748585542,D,B,E,A,1
Both,B,163.1926350858279,43.462470772361534,A,E,B,A,0
No,E,102.06344220572497,29.915463018840065,E,B,E,D,1
Mental,E,35.49943865919952,-127.11510819344396,B,A,D,D,1
Yes,A,-145.23825760576977,104.63356179362498,C,D,A,E,0
Yes,B,71.11505998256276,-231.9926869048439,E,E,C,C,0
No,C,-156.53520258341044,61.55807994649177,A,E,B,D,0
Both,C,46.57161678719339,-158.72655838268165,A,D,B,C,0
No,E,-24.582551457028543,166.22475354421204,E,C,E,E,1
Both,A,-5.494765578949502,182.98642730711066,C,B,E,D,0
Mental,B,159.77442616573845,-19.58129083361726,C,A,D,E,1
No,C,-146.05083679896293,-29.435890403854508,E,E,D,B,1
Mental,B,-55.81105053458029,-25.844701903974066,E,B,A,B,1
Both,B,131.4407858796433,-2.3918455524097766,A,A,B,A,0
None,D,114.27077414604744,37.82797861868197,A,E,C,E,0
None,C,96.93746833783014,215.23470000642035,D,B,A,D,0
None,B,156.84746955159318,58.29358698265459,A,D,A,B,0
None,E,128.23239079853238,-186.2441662049831,D,E,C,E,0
No,A,39.69712970348257,-100.12630506140279,C,A,B,C,0
Yes,D,-32.32451779869165,-47.0130963553937,E,C,D,E,1
Both,B,60.673529835613174,-187.3233309726492,E,B,D,A,1
None,A,-121.18941682590297,-40.15940944085036,D,C,C,C,1
None,B,-22.229872286561406,-118.28360211970899,E,E,B,A,1
None,B,-0.8881080860370538,69.61653557098487,A,E,C,B,0
None,B,-40.96298846311449,-56.01830699112204,A,E,B,B,0
Mental,D,102.84115847323636,114.11210075659571,D,B,C,C,1
No,E,16.056998477237837,63.9557165770879,A,B,B,A,1
Physical,E,90.43854341216286,-19.4896384600945,E,D,A,E,0
Physical,C,32.52195288254833,-72.67485710812677,E,C,B,B,0
No,E,94.20130778931771,35.78818289989118,C,B,D,D,0
None,C,-81.64980168162585,-9.756610679356113,D,C,C,E,1
Physical,E,-27.734750777531048,-89.08930521811101,A,E,E,D,1
Physical,B,95.7746267545658,89.69792585256543,D,C,D,B,1
Both,B,-25.193346880779426,-56.55370500678513,B,A,B,E,0
None,C,77.32954781460579,-108.71613519988924,E,D,E,B,0
Yes,E,82.2268199182246,-65.90311026964818,C,C,D,C,1
Physical,E,97.43112676721515,-207.18757131177927,E,B,D,C,0
