genero,AGE,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
M,78,Veteran,55.25770581021015,D,B,-81.13147622839054,C,E,-81.59349809824964,E,147.9249893247508,-56.60562700693254,1
Male,35,No,100.48115874525297,E,C,-34.02393501063991,B,E,1.328606646342286,B,215.2732693112552,-136.9751566164877,0
Non-binary,33,Yes,77.85878936027164,D,A,86.29281904869424,D,B,-0.7037527236701466,B,116.8479813280326,-53.54001755373615,0
Other,46,No,8.055595474224974,C,B,-15.806006162150712,C,C,-45.64688036426629,D,-115.98812731493592,41.28780780353065,1
M,69,No,-7.640283744140515,A,E,-86.79613094265883,D,A,-144.40189997767914,A,-144.95276203083603,26.01414657412309,1
M,48,Veteran,-125.44536760482403,D,A,47.6183060831982,D,E,5.606605766551566,A,223.47337720659942,-108.35554522230508,1
Male,32,Veteran,-138.72310244680637,E,D,31.095243019149578,D,D,235.25839250083044,D,-38.90553449206466,85.01699385359285,0
M,84,Veteran,-33.39401839299684,D,B,151.62843652996474,D,C,-49.90220204488515,A,-80.38836908417075,-98.82374720818703,1
M,95,Veteran,-45.59021210013176,D,B,-46.23170002913999,A,A,101.96574175176916,A,-115.44709476954658,-33.99720510779221,1
Other,57,Non-Veteran,31.59596615690477,A,C,122.73345653864797,C,A,-145.46621526871837,B,53.35968983892722,20.659202583883456,1
Other,29,Veteran,65.57668927558726,B,D,-148.58079949193234,D,B,-50.69441711765704,C,-49.06121002170714,113.85175308643308,1
F,28,Yes,-39.74075724996871,B,D,12.017950321032487,E,E,-130.50422254995007,E,-175.74442663537414,25.57789381933745,1
F,76,Veteran,102.4142639070849,A,C,51.5252938477094,B,B,22.969837604892955,D,11.6825803858513,0.4914689172535225,1
Female,66,Non-Veteran,123.45721528191274,E,E,-16.859523060234345,E,A,213.93667192496872,E,-92.83568291343633,-33.46808983391296,1
Other,54,Non-Veteran,135.23426309554068,A,A,-28.108613020311452,B,B,-5.766227328311242,D,20.810309054886147,-114.46265621730727,0
Other,83,Veteran,-86.74730677311659,C,E,-27.78496537171194,D,C,-21.13700101021233,C,-61.599002583996,44.892223302683284,0
Other,32,Yes,4.11210246020832,A,B,278.140753736337,C,E,195.65876991516964,C,-68.01895422794007,130.6208003184895,0
Non-binary,67,Non-Veteran,-85.75199762817542,D,C,-71.35885073621915,A,A,-101.72182059591981,A,-87.2251908936685,-87.13380653657235,1
Male,38,Yes,-8.09660649511047,B,E,15.21495017742846,E,E,-217.3690016431983,D,159.74343825280704,15.69388751041715,1
Non-binary,77,Veteran,8.60490510641479,A,C,-106.39422131571594,B,A,26.82251429876567,C,16.563995768150804,65.68455248578483,1
Male,40,Non-Veteran,-40.51220486857694,D,C,18.9869696195371,E,B,-55.02927066413399,B,-18.979151665906745,-34.404918181067465,0
F,36,Yes,-144.47042014240841,D,D,-75.93566244782205,B,A,41.22675107446766,C,1.6046675465558151,-50.78548259602945,1
Female,74,Non-Veteran,-191.26594200638453,D,C,38.640707117842545,A,C,52.60155902690977,D,35.56199551799265,-64.4650695309445,0
Male,27,Yes,-23.57195318206019,C,A,-19.17075265654795,B,A,61.857266212976405,A,-7.090726828075648,24.74777693773697,1
Male,72,Yes,-33.69125765214568,C,B,-17.841222975543896,B,A,-30.334692638105658,A,-96.68047677217658,-65.19335408441536,0
F,28,Non-Veteran,32.076792674191175,C,C,158.12110904670615,A,B,-72.43820332849057,C,-136.069494671447,-41.17941493824902,1
Other,67,No,46.76121988521301,A,D,92.263506464037,A,B,29.04319238563896,D,-39.080341853644434,1.6633931053401534,1
Other,28,Yes,39.00021205030373,E,A,81.19855775084982,A,A,126.099280533632,B,9.149649491088029,23.46241111369769,1
Female,50,No,-82.90067359132402,E,B,-29.139356565869313,A,D,43.51510288098891,B,220.59293472253154,82.37516781507178,1
F,32,Yes,-71.88470388508895,A,E,94.83060748085792,E,B,86.60072324209689,A,-37.53832980158487,-176.81923903176684,1
Female,25,No,38.96212371616639,B,B,85.4111382310165,E,D,37.16583064977971,B,74.17162986977459,10.733770886962049,0
Non-binary,67,Yes,-29.877116589199716,E,A,-193.37780530067633,E,B,-25.375446172626752,C,-231.26430060368656,-8.066198506238749,1
Other,74,Non-Veteran,215.87718675355805,E,E,85.80846897206878,A,C,-39.572682778365056,C,-198.35711223720418,18.580767302769676,0
F,96,No,254.83465041949015,C,D,-86.24096897379904,B,E,57.09207901292983,D,-2.2481196378433657,-48.3586190313712,1
Male,59,Veteran,-27.48967885097717,B,D,-180.81805278761874,E,E,157.61560101908864,E,-75.94474915748015,-48.469296780449525,1
M,32,Veteran,-44.60389727017241,E,C,-14.793538428614916,D,E,83.657139948757,B,-105.88372706811285,-151.4663775371418,0
F,53,Yes,133.5853873097403,E,E,68.48294368999613,D,B,31.401532397663605,D,-16.560586650245003,-49.629752845673515,0
Other,75,Non-Veteran,-47.992148303043756,A,D,-37.33341319745696,A,D,-60.580243630040606,C,-113.93287806699837,38.01283534537175,1
F,71,No,125.51414437142647,A,C,-16.812676121773578,D,E,-68.78340789161804,C,-89.59998631395361,-123.55489887519302,1
Other,62,Non-Veteran,-6.1370103265263705,B,B,-20.909512987806263,A,B,19.628081782172703,D,-7.644284399952474,-53.32503905659971,1
F,65,No,-2.5456830829289663,A,C,59.33944817580713,A,C,51.99031658460264,E,91.94635242577178,-88.04980495501049,0
M,99,No,161.99747550831657,E,A,79.25866523511493,B,C,-3.0932788400752944,C,87.5785480913253,261.60040676555707,1
Other,50,No,-43.07413644070862,C,B,-6.729400198554902,C,A,83.96972303378945,B,17.569717227337588,-46.02864931743697,0
Other,64,Yes,13.869293953142762,D,E,112.3693897310543,C,E,214.8135295637719,D,-178.89902139858168,144.30829122639744,0
F,77,Non-Veteran,5.609798958226576,D,E,195.86126562145387,A,C,-18.420529198452527,B,-1.9512750107755379,-5.509009181483978,0
F,23,No,-137.53555008577007,C,A,180.08720617735793,E,C,41.023327615932345,A,60.12978158294977,-24.732410982134077,1
Non-binary,58,Veteran,137.80565137650115,B,A,-91.49424362355415,C,D,-87.39779588852554,B,97.14430087030021,-33.99111523015315,0
Male,21,Non-Veteran,-94.99949068924323,A,B,23.767423605688563,E,E,160.68754229091797,C,-101.70320945112574,37.95449056240615,0
