faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
None,E,D,A,62.771571200423615,66.3667592151478,D,B,-118.83081347815315,35.806772377346654,96.33370853688136,B,D,139.75021018299586,-25.129656401524663,-151.09652642360413,1
Christian,C,C,C,58.24745677122182,-118.75831754017499,B,B,153.65780368230236,58.97885524273945,131.9893264192849,D,B,47.683302639461346,49.0688676852362,-256.2997388190354,0
Jewish,E,C,A,-148.71073011127623,-149.4081553687023,A,B,-32.959179217185905,-96.2952309504145,-12.275962006351566,A,A,3.2947329775362397,-168.1240566826837,94.5008489613481,0
Hindu,C,D,C,-51.37107017478216,-57.09459810033039,A,E,75.39990667293156,-86.54458947633181,33.82801928326688,E,C,-46.61872961628484,-29.22651110476154,52.6837639762219,0
Jewish,C,C,E,116.1630033252753,-14.965745695714874,C,A,131.04487795604172,-173.92211985060842,-37.480379462815435,C,A,89.24882318143548,-81.39291527709986,-142.5470761749785,1
Christian,B,A,C,12.937422793684311,206.89615886111153,D,B,40.58261052270139,-130.103289928871,84.67325468480948,B,B,-96.05801722723302,69.46431300560232,57.25539967949277,0
Other,B,C,E,10.341650740251703,-45.416188478926,E,A,83.4125442819716,-29.219688228229835,148.8236900618865,D,B,125.43307971233544,-80.4889621090106,224.735587818006,1
Hindu,A,E,A,67.34971758236775,51.869041904298086,E,D,9.216911073721038,-9.72990611350133,40.786276603680804,B,C,49.3710081407044,97.51048847128834,-150.98549228920004,1
Other,A,A,C,-40.397674588046264,-147.344519527566,E,A,35.619623089558694,10.775974099490954,-120.17287867511686,B,A,-144.58158026825717,110.05527148339189,-18.06064497506621,0
Muslim,E,D,A,-16.82769335883595,185.7888346328941,D,A,-48.46989773185111,137.40843802722054,130.944361191008,B,D,8.806818651026349,-61.0844491492966,-67.47712861213768,1
Hindu,C,D,C,-100.33658162966832,110.12343576342796,D,B,-68.9752287123395,-56.76070699093867,-38.73724854932561,A,E,12.149717181180625,29.224976106454374,-31.86855575570361,1
None,C,D,A,143.20152936877722,47.621536846157454,C,B,117.70443883153159,-94.90024559508716,62.840046992877596,A,E,-268.98291381774914,-67.6588649753208,-218.19677316818743,1
Jewish,A,A,E,-13.233596798116498,11.175297129565365,E,C,45.53705650391178,-109.1470946359362,-169.49461142216614,C,C,108.92307211428201,-70.3608561906487,149.8369681038118,0
Other,E,A,C,62.56460553673225,18.204715725837257,C,A,-98.38186640527032,117.4636907887323,134.29123093046874,A,E,190.39986741645268,-22.660279657495195,-26.304785536106383,0
Hindu,A,C,D,-14.77661456377502,-133.36471797722575,A,C,-123.08382138368246,56.771972263551376,-40.09977209234016,B,A,-54.58670257223245,72.70458371390745,-77.39132924774339,1
None,A,A,A,98.31339000929555,31.96904546348607,E,A,93.6122219323255,-12.289680113339104,62.30562655077458,B,E,39.44031610316046,63.41646240896821,-123.19258448802938,1
Jewish,D,E,A,14.282398020884681,29.916277955755998,A,A,-26.357512469796042,-90.3595146372976,-49.51730218535024,E,B,-150.26479268132005,50.75355787324517,-89.75570494637003,0
Jewish,C,B,C,-11.550024885429943,-116.53262948523131,D,B,-13.569741138913699,21.547239904367764,-95.71682632233795,D,A,51.071362084219786,-97.21534722562765,-6.172519239248589,0
None,E,A,A,160.58671133804208,-30.999164362384697,E,B,-254.0338747620492,-4.440784309546033,216.41571426935812,B,B,-43.14765837620567,-89.37759673729151,-3.7076057067314787,0
Jewish,E,E,B,-76.75517400967622,-92.54345615118427,A,B,-129.69365528565447,55.81168395287616,43.96550259829275,D,E,118.4628524970623,-2.188574905378616,-124.44197766316063,0
Hindu,D,C,B,-25.350357373552722,59.23533758937475,C,A,90.69601242689409,66.59416722726796,-76.73439206058885,A,B,-64.83287251995317,-95.2771391659226,196.56115127456601,0
Other,B,A,A,73.08289969814132,-254.03534784469213,C,A,-126.41854978545994,-123.23347592545755,110.6625910399353,D,B,-119.88631095215052,71.8972361880708,40.09217754865793,1
Jewish,D,B,C,74.0625895118612,-39.12744403907809,A,C,-80.26595696488998,-181.0130159840664,-120.40676914051345,E,A,-125.70136111805157,33.27651307688553,-39.04067039584826,1
Muslim,B,C,E,129.92739574006563,18.80395156085702,B,C,33.047307153088454,-107.6941047523217,79.13778369442038,D,B,-55.291274386979794,-62.70891370450985,66.76008863806518,1
Hindu,E,E,E,158.29246569925385,-75.50447571507603,D,A,40.32145812220268,-30.643511166681957,-58.38334895058821,A,C,85.44106232693375,301.01560701914457,-205.30508660393187,1
Jewish,A,D,A,32.227032169863165,163.87375377164906,E,D,120.08826820790293,33.48016192326607,5.561660807016585,E,D,-100.73258447066478,13.02981676283368,9.931120393493572,1
Hindu,D,E,B,6.1200645449916244,173.92265523141822,A,A,9.016657537549216,-107.01084204836226,-48.07706678567631,E,C,61.36238490633619,-7.68190040126908,-13.303461838315716,1
Other,B,E,C,-124.6736112806798,-16.069362142163044,D,D,-101.38789640654922,78.55191556206319,90.9398788403453,D,A,-74.29434954402487,115.88701893534821,-95.30162852013724,1
Christian,E,A,B,-19.00510275918969,-81.44463100923738,A,E,30.832724663997276,-151.79235831192943,-149.18239140973054,B,A,-15.195909734379102,28.368841479296393,79.22998858960686,1
None,E,A,E,-17.31331667861639,-169.54057063743912,C,C,135.0385481307256,-151.32063983165014,-80.38295595578455,B,D,-130.22032491543825,124.89238750947888,81.99783437291164,0
Other,D,D,A,26.41904950668889,95.22097798613669,E,D,-67.93412726980031,54.51539282515151,-194.69214039233745,A,E,-136.22540260775827,-10.357234774928765,-159.6203752121138,1
Hindu,C,B,B,-176.48643297592085,77.54836407912299,D,A,-172.65742096970175,67.6762817608202,2.296032509926286,A,D,76.75105056133977,75.44615751392338,26.178327701901615,1
Buddhist,B,C,D,111.21137722727457,-173.35681633301328,E,C,-62.13690916530733,-171.68350387894472,-229.8066951222192,D,C,-15.736122866064708,-27.199739138083146,-75.84563807003791,0
Christian,A,B,C,-80.52712262216198,-55.87350086867736,A,E,126.9312247870069,70.50044254510561,75.62713221283661,A,E,-87.7914643188754,-18.839928383573206,-264.8564466400473,0
Jewish,B,C,C,-64.44271298165074,-0.48577183948690345,B,D,-143.4884293551835,59.25962742110583,39.66336079363346,A,B,-23.27995759929236,19.967163266905956,-216.89523825925926,0
Christian,A,C,E,34.37562752002625,44.785053294356196,A,B,-176.03346654237689,167.08213639760046,-157.36232470490248,D,A,-26.577295303974115,37.6682584228979,-4.887151949069724,0
Other,A,B,D,-50.69423066199808,37.66939208011043,E,B,25.041623276072244,3.1113371664096765,-47.65544331583403,D,A,84.72129822664331,-183.9750815470264,16.903422096509953,1
Hindu,D,C,E,-56.423567281544074,-215.2021900640119,E,E,115.30209955590438,79.5148372399161,-145.99827275383373,B,E,105.77083530573222,-11.997060038115844,13.068319663936803,1
Hindu,D,E,B,-9.226516273993514,18.86545683421742,B,A,53.77476115247165,73.4813836400449,-106.77827566624502,D,A,-7.375335439757677,-77.11300688473075,112.01680526090998,0
Christian,A,A,C,74.75720910688703,-59.679282476524584,B,A,60.27242602320949,-90.23386494138512,-140.41812503256014,C,B,157.28279093383705,-152.4926574394994,61.80491798868911,1
Muslim,E,A,B,29.846903348785442,-3.0404786444885374,B,A,-31.738036873018764,-89.70956621893853,66.86686051352537,E,B,58.168312520029374,-51.69480743515925,-10.682566169704897,1
Other,B,E,B,-110.29186546398451,129.1040672095346,E,D,48.207931909628385,-6.399612471460149,-31.544915694262738,A,A,-4.684560356049608,13.124032816766015,24.758233352277,1
Other,B,C,B,46.56927527354027,14.618241366051308,E,C,-8.662700418724443,-10.104460114703244,-85.10363707809081,D,B,35.40852574257226,-225.1970371750958,-80.55595578156719,0
Christian,B,B,C,-120.08537143227116,-90.42343188217869,B,C,-226.9293429814179,-36.00226303061387,-45.9302930833991,B,E,140.37603528476112,94.25129492333414,37.92256144206585,0
Christian,C,D,D,106.88163247385225,17.371137531598166,C,A,-62.94507986493959,-41.13185492355197,-69.20695085536016,D,A,-123.36376981698423,-47.19252463978966,-117.90441364565127,0
Jewish,B,C,E,26.044283291706233,15.523243489123583,B,E,59.05270540397678,34.43766599320911,-120.66742135817714,D,E,63.47684423840407,161.96270815711313,207.95717243781752,1
None,D,E,A,-127.39496245107757,-26.01582566168359,B,E,-20.768938244228195,229.1559956031356,-29.20332005472176,E,C,76.3802337273659,-136.96104394667964,39.43685700310571,0
Hindu,A,E,D,-9.240432367313378,31.078620935247493,A,E,78.47745697117121,1.1182557468527825,-33.25861640246451,A,B,-15.019923034872232,50.922728796889025,-3.479489910053389,0
Hindu,A,D,B,74.09568067893136,-173.9839614928991,D,B,222.98588491830364,14.659603805441353,198.4157725056378,B,D,17.427213807624987,-42.02736824929531,60.19720648490359,1
Christian,C,D,D,-0.9050282115194352,-41.52081045216362,B,C,36.492802341241784,-21.182176300508242,-140.61288494315343,C,A,38.62610659936224,39.90909671295411,-1.3375737851803509,0
Christian,D,A,A,48.796963209666366,-79.44625833357395,A,B,-21.586647845590296,45.54851912853275,-6.87268846300815,D,E,-69.75354522217972,117.59388000134543,8.966496324376102,1
Hindu,E,B,A,57.11271939576291,-51.069920969094454,C,E,-71.660093238574,-41.741559686670044,-81.78460977853561,A,B,-82.31765567836308,90.01758869879835,154.68300545050587,0
Hindu,A,C,B,4.957322447089301,53.777711279302764,E,E,150.82055848353392,75.40644883147036,-68.46692979110848,E,C,7.70623410248769,-19.421380301984435,-69.85934303655466,0
Hindu,B,C,E,22.835603129821223,109.81879262941217,A,D,-136.2064958139197,149.32314238379993,55.95337195459755,B,D,66.48999374945934,-172.87284026123052,177.42802576700603,0
Christian,C,A,D,-18.872000849355643,-27.694719655553325,D,D,-95.85682065307202,-35.44682786293832,-93.79090251716454,A,C,11.533788398220869,-77.76844639156103,-61.743747053799716,1
Other,B,A,E,136.74656417641793,24.340366750842467,A,D,104.71852044515317,-41.82272439137633,144.34421468410778,A,E,-141.82941697336068,79.86138769280264,95.8664437007289,1
Other,A,D,D,-68.45198270061235,-42.64073855055913,C,B,-66.32345516828721,-34.12615896840209,-126.38348087646295,A,D,-130.6582601503857,129.1470478949627,-64.42756229763513,0
Muslim,A,C,A,134.863901262657,-155.63544857606874,A,C,-122.33584968244126,131.33050232739382,15.369349066178625,D,A,15.03167672924529,-53.82717681784502,110.15918422210208,0
Other,A,E,B,98.56799078221121,-23.403750590438,B,A,-74.15292151770362,-6.123386639905899,-23.01705995383985,C,E,-34.58561292172428,129.96029956677754,-226.82057227301513,1
Hindu,D,D,E,-89.47038818462565,-35.18474415969535,E,D,62.53857652794645,-25.613520697087495,21.33411108902212,D,D,190.37568542089917,86.21438434008022,-77.48473458618726,0
Hindu,D,B,D,-75.5450548231271,113.93343439369272,C,E,-75.12854582177302,-48.816138723793365,-6.337546966868499,D,C,-140.81832563477616,-32.932319520061114,-62.52413196258873,0
Christian,B,C,E,-208.09542742253603,23.215857235584046,C,C,98.88361140909016,15.724634529522186,40.1492566102995,E,B,165.8067138332978,54.93224330442976,149.64023956922244,1
Hindu,A,D,D,-23.086443073599547,-66.18093763260687,A,C,-214.99292956902448,1.2621502569559722,-65.683829011189,B,E,-52.03708851180543,20.34861751159321,190.27905753785194,0
Christian,C,E,A,-143.10546993152323,-86.3489730230937,A,A,15.830431735122177,-20.144099157487368,152.1643969413608,C,D,-6.68210785425193,44.60411531001153,-33.80328586052851,0
Muslim,D,D,C,-118.97662933816623,65.36722937922197,D,D,-55.00655755669216,-97.11127304146991,191.62022255791396,D,B,35.99516147296531,62.80204148176372,-67.75710244447176,0
Christian,A,C,B,152.4710965339423,22.226016417565173,A,C,-9.529590700844793,75.04698930511982,87.22013525091839,E,B,15.556028598476507,179.03684541569007,-158.03200478010436,0
Jewish,C,C,C,29.83898820248165,27.829537709255515,B,D,-109.9627245326221,58.8465961904824,-230.6818132672376,E,A,31.522898294403795,-48.82134789955748,145.8816163920747,0
Muslim,E,B,E,106.1496689772,20.476966341358093,D,E,151.6091519381428,159.7731591737153,-87.16895422275088,E,B,-256.9615180694417,228.87729500975152,16.10591336030384,1
Hindu,D,E,C,5.757174839128447,239.27696263396564,A,C,25.854123185807982,-107.85040996677992,209.8059273532586,A,D,-86.76984236250046,-20.084851583321,92.50482796405544,0
Buddhist,C,A,D,-6.174839379849742,102.34399006831292,E,A,-33.397695907684636,7.734510436404253,92.20620492902864,C,B,-12.510991279113847,-65.37010945164472,-23.778808617020108,1
Christian,A,B,D,57.53381584161811,-27.37693093371414,B,B,118.977437326049,16.74156385667661,9.979155948027113,B,B,-180.8916540476962,75.18518395406869,-93.69041469070575,1
Jewish,B,D,E,-172.13311436495815,81.23265170627234,D,C,-10.450682592005132,42.693318689369754,94.61595507982396,D,D,-149.45348720614538,118.44386549549249,-2.5468968218083425,0
Christian,B,A,E,-5.3776765745627335,-137.77017280066363,D,A,29.59141874470011,-30.393485284136464,-11.141291212807364,B,C,-123.9586118683667,71.12602859602873,-6.26698117650574,1
None,C,D,C,-49.40584130550846,58.41543229872056,E,D,-128.3459894724217,226.800639147037,-139.21742822599342,E,D,-129.7595547685274,34.03230700647842,-10.143336115220887,1
Other,C,A,A,-40.42645075701276,62.49175366246188,A,E,-125.49402999759019,-53.93747900061935,-176.97327613228245,C,A,196.99025683710101,110.23911175113501,78.30177455390664,1
None,D,B,B,-107.73316648299098,-197.16108766889647,C,A,-130.8392509776878,85.9982219113944,-22.489573568960655,B,E,-130.58443211475966,-4.5101658178891295,-160.44715237992486,0
Hindu,B,A,E,-77.81471092426742,118.59174071978076,D,B,73.1928481467368,-16.149783445333995,-143.01000897192705,B,E,-80.83546476322226,169.08831831291877,-55.55117640715466,1
Other,B,C,A,20.34352636072701,-91.18676802047536,A,B,22.70521813468107,-20.401861510756692,61.08178397866742,C,A,19.823479141395044,91.29003317357011,-71.32579157740417,1
Jewish,A,A,E,-3.741894968786487,62.66626838544608,C,D,4.404520073391138,214.71247219535718,25.591866157111298,B,D,-12.311742082115117,-23.905822078831854,56.40568851331415,1
Buddhist,E,C,E,-20.249150974136896,-108.11324285727024,C,C,-89.66691245488832,57.82553228779498,-183.1958688197317,A,E,191.4767883198859,-138.53205177395225,172.9509110444842,1
Buddhist,D,B,C,109.28102747674772,46.791100523811465,B,D,153.17379781415565,180.27343184247357,42.46949065941213,D,D,32.32909049905518,163.44751104365045,44.08315949040709,1
Hindu,C,B,D,59.44071633193702,-137.6586062661714,B,A,-29.537273579370734,85.39930396693129,79.51579381847803,C,A,20.490121744609123,-18.886810023084887,179.36398486322526,1
Jewish,A,C,A,254.9052961413798,-147.5203714463113,E,E,57.871911864284954,-71.45594538353924,-16.484327911886048,D,E,2.7091585282636133,-37.11124330332913,-50.0674731084246,0
None,A,D,C,96.48617770863926,-114.42360804083818,D,E,-63.645564365168774,-89.6173785802168,81.90862997212402,D,E,-221.06643325341153,-107.31796142721788,4.74737476191586,1
Other,B,D,B,97.44308880645501,-0.26115241034873726,A,D,-338.85534206925144,78.2668527156034,129.38875396638895,D,E,-225.44334276005583,8.098039619299339,-40.07434084126514,0
Other,A,E,D,-311.6561431012979,-38.18123771201133,D,E,-60.74314300556315,-29.182711927258204,42.972956379297415,A,C,99.90622949856314,-71.00863918533025,-1.1739187733178367,1
Hindu,B,B,A,-149.50099101455342,47.371211869282234,B,E,-101.45019981502664,90.24651135974364,110.77921549646612,D,C,-174.73259060541653,-125.30633536235361,149.47780987196296,0
None,E,C,E,-73.63449795635323,-155.1331596754888,B,B,-216.3822225931216,-153.19884811565626,127.73576874877557,D,A,-43.91298745992522,76.35666752190036,-18.027413961563376,0
Other,B,D,A,-124.22263937242448,102.56680262404726,D,B,2.5593384448928975,-235.29450038559415,47.46899186358153,D,C,-125.97341119089351,-43.55386420189391,136.825729162,1
Jewish,C,B,C,156.21761812919098,86.87300350329798,B,C,-48.05526695271563,-52.1119894159352,-94.73160310953068,A,C,53.12639360975879,-27.81917757497809,156.99918100719054,0
Muslim,C,A,D,2.0937399577873093,78.48798203704425,D,E,78.6732282392415,18.81932477047636,53.82424241368218,C,D,-132.90993907282945,-18.988000291361022,101.11241927599713,0
Other,C,C,B,-73.182021286243,-68.21205867911588,B,A,210.35820166810277,-4.74178377861999,-206.1417597051843,D,C,57.96732839159478,-143.4127324927595,121.26400253672189,0
Buddhist,C,E,D,51.34758404954347,-4.338252421567531,D,E,-127.16257715191692,-40.575160936895045,19.655505332885426,B,C,55.268316574970235,-67.27379888766848,-32.57188747862952,0
Muslim,A,E,E,-69.74743277482723,-32.12895984273277,A,A,-67.30314734978975,50.89006396767546,-70.42927192723548,E,E,9.051420175779452,174.8035464503179,-12.92601804948133,0
Jewish,C,E,D,-65.63127522524296,77.89615531161593,D,C,12.582184968493479,-129.85316953776953,-71.6661544783452,A,A,67.86434975855965,60.44679277814965,60.218580125790226,0
Buddhist,E,A,A,-129.5735728445938,81.04060903002312,A,D,-74.61769731263405,74.53482465638963,43.762336143616025,B,A,-72.96828065079328,-101.51555204459785,87.51466499623334,0
Other,A,B,B,61.14825620411004,-107.64348029919908,D,D,-45.49454914188325,179.95900793643352,54.07897977889375,A,B,29.369103649583945,-142.74698297791187,108.47375343448988,1
Hindu,C,A,B,188.9730220308405,-57.66283892876437,C,C,46.07307805584186,174.41055472780744,3.047068538038422,C,B,-78.1831942318069,73.81064705522344,47.05770468890852,0
Hindu,A,D,D,-93.76235674234294,71.57491725630871,C,C,75.67788713115276,74.64705653787786,-2.7821002740349843,D,A,33.048780174669325,49.973068651579105,11.827974211629993,0
Buddhist,A,E,E,-131.570108975475,100.71258739117155,D,A,-16.405990695352695,-53.85937545302738,-8.618323174238686,D,E,-124.75158492713527,-54.90471950571649,41.29723439069702,1
Muslim,C,B,B,16.54497871678002,27.569789746780955,C,B,-81.17298694422718,-37.97816805600737,39.17801669172325,D,C,133.30042911119443,56.27641305002198,-74.55396933926518,0
Muslim,D,C,A,136.6671645881662,2.65800277065906,B,B,-48.9338493491598,107.60007785862153,123.40657538656895,A,D,11.360882676334379,-7.007597573679885,13.721808786725406,1
Other,A,D,D,56.77468385758685,-98.14073235855442,E,B,-107.1681914617004,40.651592259381125,-11.971889770455899,E,B,32.51805614542075,-175.52946406597823,-17.898724477514758,0
Hindu,D,D,C,53.31517407749617,-76.4201938090861,B,B,138.92543149686486,-52.65004825000636,133.32286467091302,B,D,-12.858616382350425,-159.48155752398213,-242.26998985909592,0
Muslim,C,A,D,-141.62799688667354,-31.9081829778327,C,B,-86.76500921862687,79.05577492984224,-47.007954302558765,C,D,-24.98301048138292,-150.19547981435787,12.387135676513012,1
Hindu,C,C,E,-39.006480731092566,126.90104379723479,C,E,-19.967267285703763,-72.5709133952498,115.21998811132474,A,D,-45.95056318831372,-34.97009282542664,144.45225467749705,1
Muslim,C,C,A,43.25988709588031,13.690072197540958,A,A,41.17647380020142,141.29242063094375,-161.7696341288684,E,A,193.39922543915722,-144.04474215851872,-82.83771967818026,0
Jewish,D,C,A,-186.90483295274504,205.5492938903934,E,D,-63.98380558099147,-61.039933375450715,55.31582429262366,C,B,-192.60708972162658,12.932629868233455,-12.377143874199547,1
Jewish,A,C,B,140.19216551578296,-49.35935772135695,B,A,-135.69200457408877,-34.771651530084696,68.03270701919747,D,A,-93.64483092856595,3.290579736379012,-100.86415987919688,1
Jewish,A,B,C,-193.45016800285163,-33.305778734115975,D,D,-217.64953381432557,70.12961273732144,147.35234842160165,E,D,11.64077487048366,-51.807713025131974,-267.06166609959956,0
Christian,D,A,A,-149.3295750863351,-71.61353472685853,C,D,310.5107863409313,-41.3498036885337,23.393391209044676,E,A,123.25469795109814,-9.305632609493356,33.767413161661246,0
Muslim,D,B,A,-26.193070174402827,98.55325866481309,C,B,24.10735515498622,-79.79117679980125,103.59273001180117,C,A,66.74954163947719,-210.13319096793802,-48.639064635559365,0
None,A,C,C,-189.65817765164067,-162.05242210458655,C,A,10.196928900432292,-42.947478114195995,115.74158852701689,D,C,-44.98748439242446,115.42406051954922,66.60435642767474,0
Buddhist,B,D,B,-190.11965819037965,64.92507952290914,B,C,-94.85842125304875,-101.69302166971303,-8.03518919161502,E,B,-14.516793968693806,-7.5791853824468305,-89.0465779577035,0
Muslim,A,E,E,127.77328107029082,25.1853515133866,A,A,-99.45539514495862,-55.80972452626186,40.21081934534412,C,A,-91.32771520714394,-143.2500846916933,-56.14132089609334,1
Muslim,A,C,E,1.890040996354126,-22.27673931613749,C,B,0.8478107784921172,-96.82818517018158,143.2364605325889,B,C,46.660102780903166,214.47756383503952,-73.020263813805,0
Christian,A,A,D,168.27068685568224,56.9637933350882,E,D,119.09737858165694,-109.143120483164,-20.7344120614456,B,C,-86.54575098144609,-28.936062714029394,-47.2967857153981,0
Christian,D,D,C,-196.78221720245133,25.87598582596669,E,A,-180.7631158371188,103.29297336075169,142.33782474003075,B,D,-15.008861409285723,50.54969339891593,-102.14488257066428,1
Buddhist,B,E,C,17.714120053501638,48.371487207995266,B,C,-35.33882226473284,-22.634417044069295,202.22287609569855,E,D,-49.41318367508275,110.10696598439058,70.93204969458534,0
Hindu,D,B,E,149.7241154600711,-47.18919678140207,A,E,70.31637838390283,-2.2834567799880605,-182.83639411460254,D,D,-238.96702802063214,37.35162426486175,-72.12077736574105,1
Hindu,E,C,E,-191.45872407838812,121.33497524006434,D,C,110.02467625526538,68.91541312730938,68.27570833632583,E,A,104.86830649866039,-62.23896210473622,54.208110378476036,0
Other,E,C,E,-53.14641700537328,-183.87213275171138,B,A,53.18901626711911,-22.52468664504398,104.93394029362923,C,C,-82.5146511583681,-94.19032898318487,26.62271676798141,1
Other,C,E,D,17.847673180171824,-13.505523289121577,D,D,157.84110357622467,-154.3432010343801,-38.393603051191036,D,A,-31.605183246812196,-211.67340557236943,77.14913551587733,0
Christian,B,C,A,-31.36239279621924,-145.1836138594926,B,D,-111.067342956834,-146.4058278012816,19.17891972842294,C,A,-158.0901165210314,-19.67216358160991,-44.886740054761766,1
Christian,B,C,E,-22.43410225038143,-90.41640114356096,B,C,-5.706122940601093,-161.69532304675863,22.69327065809122,D,B,1.5516539538596017,181.6546164097012,-57.84975977072121,1
Buddhist,D,B,C,-220.40964167765958,-32.9806584594142,C,E,185.2448052801155,105.41285312900497,147.73778144960914,D,C,-8.627935896668737,31.1281435508045,-4.288183154734438,1
Muslim,D,C,A,-69.43952366014848,117.20324402954476,C,A,23.445988601282437,-168.99057570769153,-131.40606817245884,C,C,48.40207418142007,27.147990150493197,-18.49529663697354,1
Muslim,A,C,E,80.2560694318834,25.05247606744997,B,D,7.090925084447646,43.32370760470669,52.593908167927935,B,E,155.93912320020698,54.402388209317934,-112.55646914941187,0
Other,C,A,C,44.724678810457355,-123.34586811717358,A,A,128.20687893106307,141.37564649912076,-11.372077166675766,B,C,-42.08862434607244,-8.756307814424288,22.16737759525997,0
Buddhist,D,B,D,64.96656893096117,-136.84580714424806,E,C,50.10382574218095,-97.94458692861166,70.2790115001963,C,C,4.779070706472434,-48.93351421475482,-81.43328264322663,1
Hindu,C,E,A,29.04478335896296,9.738138212590679,B,C,74.42270093311618,74.09224060840153,62.90827136017918,B,E,-91.03043507144231,104.5122769527293,17.70728696347609,1
Jewish,C,E,C,89.93960618044187,-175.7544694382676,B,E,-68.29220138787309,-72.12455212773831,-123.33016889379438,C,E,-33.279587925448894,-3.5569015152800874,78.74211628634372,0
None,D,C,E,-18.240634849143852,-119.66440218572598,A,B,-98.93167991208091,98.92803618307882,61.46182384178075,C,B,50.255807195523005,-54.20391329149423,-12.143295460307465,0
Buddhist,B,B,E,-98.78745426148677,-47.349858720850044,B,E,144.268805698365,-34.145992242340775,-66.72400670375968,E,B,-30.081177138628572,44.39036821082741,-29.610751013209235,1
None,B,D,B,-32.98328690957615,20.58424828506688,C,D,-137.29605507389232,16.02347333271811,-129.09981228622166,C,E,-249.52633323168652,-7.896838947101465,181.81288369535577,1
Hindu,A,C,B,-23.79225215083413,-85.42185628884268,D,E,51.55560083513882,0.09277461428686114,87.03408161430353,A,C,-184.9955721288034,14.0019039367368,-8.20003248060861,1
Other,D,C,E,-98.61159070732764,17.283897263226137,B,A,84.32654760234549,-163.83239005558653,-95.6962806328352,A,E,37.508181645435315,-59.962037219682195,-226.4849528098083,1
Buddhist,D,C,A,247.11171358276664,-146.30840692495292,E,E,-148.7082935246689,157.69935691270211,-21.25141505647897,C,A,58.18156779142905,89.64642411051234,-13.134261031508423,1
Hindu,C,A,A,-67.85969001458024,185.0490918175674,A,A,-42.635095500202716,85.6192527440688,89.73013286388978,E,E,92.90619553195377,15.725189239623985,-50.09016340556789,1
Buddhist,A,E,C,-22.63315195035238,7.204216538094518,D,A,-23.398341824823447,123.08900181686846,-82.27756623608343,A,B,-248.83286478625783,-1.5904251380855912,79.09899166388641,1
Christian,C,C,B,117.13018223873135,81.00757979371447,D,A,129.69635844419415,-204.73827432040846,-170.5829966711315,C,E,-22.754588356297045,160.40904228612294,-59.54471132776658,0
Hindu,E,E,B,38.03423777394698,-52.27058486827899,E,B,-120.12875686889237,60.53906785015548,-125.3652963091739,C,D,24.16018597034391,-130.47551206282793,134.6016339253134,0
Muslim,B,E,A,142.22698969405988,-82.0005459492741,C,B,49.51278230502456,5.292742174761016,70.74341313351987,A,A,-155.05105946656457,-145.12040229399312,-24.222786611807884,0
Muslim,E,D,C,4.502816253992361,-213.71583383787168,A,E,-66.23017135223613,66.84258852049238,11.034972770861392,D,A,-101.09949071432949,-47.25635169977166,123.49496932939763,0
Other,B,D,A,12.00829336220609,-57.18004506001466,E,B,46.62298512097783,-20.009628065857218,126.99989207349425,D,E,136.79869313848786,-110.09897793081774,117.65477708786396,0
Hindu,D,B,E,27.824274506218856,0.9501131262979993,D,C,-21.19166616998716,237.07824340363192,118.78437612074335,A,D,148.94684924204049,-97.2669506891562,-40.43811299764948,1
Muslim,C,E,C,-8.917641329092788,-135.87324679233046,A,E,-64.74612507200119,25.397691317019117,-133.34544692231609,A,E,-94.52810710695094,136.97358771801044,-115.41876654556677,1
Jewish,C,D,B,115.95884893349351,-42.33085088839194,B,C,46.96144413325926,90.26985205449374,21.13585270266519,C,D,39.31655713086391,62.54627318743241,142.40807219068873,1
Christian,A,B,E,48.936040477806095,-163.47407116589395,A,D,-24.759104751085566,99.34094797717832,140.53591293237565,C,C,-48.66096873979627,125.80306454568093,-5.055808771376175,1
None,E,C,C,238.703833340772,288.46798845104234,B,E,-173.29381238283125,-102.08687422463348,139.70177958968875,D,B,-117.73001999192176,-97.93889286826959,180.20136851979356,1
None,A,C,D,-24.536537509168323,114.86850535038764,B,D,29.93308817587281,-101.5992258121031,-107.65038381231196,D,E,127.99797799288474,20.047294132605707,-111.54686538626815,1
None,E,D,A,95.11622192590254,181.97795577025266,E,A,-40.23347326421825,-215.25184666939353,58.70457806235745,D,B,-144.09722261933408,-179.98234925933158,-67.43415028287126,1
Jewish,B,E,C,-153.14845988959712,-123.23764977263123,D,A,11.79463493309795,42.16305624908927,200.04161389524833,C,A,-26.33102869037443,140.1061785377821,53.666865470458944,1
Christian,C,D,E,-113.92040777987644,-56.8190436888556,A,C,-8.888441049654306,-185.82983638743457,130.5490048060366,A,A,63.56657236528239,60.93742195351567,19.63236339158594,0
Hindu,A,C,C,-18.103372809100847,115.32951729441183,C,A,-76.79180660026017,116.21802759312013,-142.2837956245167,E,D,34.79437463947773,117.0207171867576,55.9904612751217,0
Buddhist,D,B,A,99.9897671945412,122.3636568862126,B,A,-64.54701647063276,-113.03790893502583,41.90865019309587,A,B,111.46744087354554,-75.46832484186956,63.6898129623059,1
Hindu,E,A,C,-128.92896255551028,69.37788468273244,B,C,17.273454522469976,79.2658739514764,-15.000676792298318,C,B,93.95270004715255,-37.989527113949066,-102.5455915378785,0
