age_group,orientation,Veteran,Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
18-25,Heterosexual,Yes,No,24.08573443564142,C,27.96481422435051,-3.990151866223125,E,-39.984044149302576,0
26-35,Heterosexual,No,Both,154.20965978004514,D,87.58145807381898,73.8591395596016,C,4.394301918862668,1
36-50,Heterosexual,No,Yes,-44.5224072031553,A,210.18932291767604,-250.03720531981156,E,189.94561752263422,0
26-35,Other,Non-Veteran,Mental,116.887667018596,A,118.96672880622326,182.71832950412167,B,-49.3505122956518,1
18-25,Homosexual,Non-Veteran,No,129.77498239937034,B,-106.05377605083576,-67.25590856515117,E,-85.78721304695472,1
65+,Other,Veteran,None,64.2068962884051,B,237.02754068812618,59.39592699722909,C,-43.755173237919536,1
51-65,Homosexual,Non-Veteran,Physical,99.87039790671665,C,-10.928357135054346,66.71409920945945,A,-60.84929715961641,0
65+,Homosexual,Yes,Yes,-66.49176295628443,B,-148.18206535728697,-45.83426070619788,C,272.19093416984595,0
65+,Bisexual,Yes,None,3.326066568668535,B,66.09413017227432,179.18879439196905,A,-51.713210889960045,0
26-35,Other,Veteran,None,-46.57104091885575,D,-96.28202955365678,-250.75448080534488,B,95.58572453476786,0
26-35,Heterosexual,Yes,Physical,3.675975031902811,B,-130.2151240616279,-171.76224892790452,E,-58.08112004433432,0
51-65,Bisexual,Yes,Yes,-128.94952246256827,D,90.4727288072074,-65.62855495209332,A,-92.80808759585788,0
36-50,Bisexual,No,No,220.8099086640612,A,184.22967962177526,27.072146739902607,E,33.1307448440044,1
36-50,Other,No,No,19.179283083291605,D,24.14422363732567,-33.29035471542018,E,-75.46005949718771,1
26-35,Other,Veteran,None,-10.695985889393588,D,-91.99256079451521,126.40338487385532,A,15.804408068691247,0
26-35,Bisexual,Non-Veteran,No,154.0530371436784,A,19.95127975588785,-2.814735201495391,C,-7.669176759717199,0
36-50,Homosexual,Non-Veteran,None,-138.01278564928342,A,-47.354913038579504,-26.95327167274413,D,-39.50422027657392,0
18-25,Heterosexual,Veteran,Both,107.35728232784285,A,-59.173820944275036,-58.27367858000606,C,-137.99077451899845,1
36-50,Homosexual,Yes,Both,-10.915364774420794,D,-158.9291249076407,-3.6305817164440404,C,79.10937836903696,0
65+,Bisexual,Veteran,No,130.22415817235625,A,-6.206690120394809,111.21052516680207,E,83.70978101055194,0
51-65,Bisexual,Yes,Both,69.2581691111943,C,85.75320161596673,23.021709395025937,D,-85.62250360716291,1
36-50,Homosexual,Yes,Physical,-110.43579266565342,D,-104.10208433059888,89.41434798831504,B,-25.215463560221142,0
51-65,Bisexual,Non-Veteran,Mental,-97.53411073211011,E,-0.04325243481940016,-77.08836571991853,C,112.40183648458755,1
51-65,Bisexual,Veteran,Physical,104.83112754040962,A,0.48287815345181373,-114.74207184966203,A,74.97320088732103,1
18-25,Other,Veteran,Both,26.608559867105757,B,-46.60737142245861,-54.3863687348263,D,-37.43661943953994,1
36-50,Heterosexual,Veteran,No,-5.220429869068186,B,16.88484330330044,-57.86139275751741,B,75.86182319672186,0
65+,Homosexual,Non-Veteran,None,263.9698315118349,B,-53.028184694855895,74.41177473701923,C,-182.29209779621175,0
18-25,Homosexual,Yes,Physical,80.60478567911277,C,-66.9181038029366,11.362606872361553,D,52.66501036705551,0
65+,Heterosexual,Yes,Mental,-101.76607475393769,C,-276.93486170064415,25.66484936426926,B,-154.35416430386334,0
18-25,Other,No,None,37.724436881622715,C,-15.424086738589502,-61.034984990016014,B,172.5310618136523,0
51-65,Other,Yes,Both,15.04419617042416,D,-66.25891605366276,-113.1864337156293,D,-56.71952051973261,0
36-50,Bisexual,Veteran,Physical,157.17185629984425,B,68.14495786469324,-160.585433822117,D,171.9493678812714,0
26-35,Other,Non-Veteran,Yes,83.00278370329552,B,137.11037173353597,-104.5145527757661,E,-1.6034596221407016,0
26-35,Homosexual,No,None,51.843153332187654,C,1.1082388500446814,56.88269567982395,D,-191.26940053841395,0
18-25,Bisexual,Non-Veteran,None,-147.2633335278342,C,155.06162290835988,-8.40012856538892,A,-31.964169585361212,1
36-50,Heterosexual,No,Both,46.39818429747599,A,-172.78411689385626,141.2976478310151,C,114.44375454954489,1
18-25,Bisexual,Non-Veteran,Yes,-19.039129279177548,A,73.56531502443738,-37.81071887330951,D,294.4130408089469,0
36-50,Homosexual,No,Yes,-154.22577079252233,B,190.446584042846,-25.37495410558077,C,-63.16394673111751,0
51-65,Heterosexual,Non-Veteran,Both,-67.15484302532936,D,-7.45783197758587,-134.01821719659813,B,32.32750934897559,0
65+,Other,Veteran,Mental,-113.45824064254697,D,75.76538927232693,-76.78229815012692,A,31.73647392971678,1
65+,Other,Yes,None,48.773919136078305,D,-53.78780742918274,108.38413852543236,B,7.493808939255888,0
18-25,Bisexual,Non-Veteran,Physical,55.20827633470865,B,-214.09089880896252,4.503187921619095,B,-92.40959851245978,0
