Disability,married,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
None,Divorced,Other,-44.52739979624321,-2.29442918603999,C,-36.76882234076783,D,23.061555839695068,-148.37103070378944,B,1
Yes,Married,Male,-73.23464121287806,-109.62600542331482,C,24.768626674461068,D,-34.44212801506822,91.1801382598186,E,1
None,Single,Male,51.011265950045626,219.54148940090116,B,-94.25637531177303,E,121.71376743837754,-56.34499596649184,D,1
No,Widowed,M,66.79583082444933,89.32158179984164,B,126.52434959765802,D,-47.78500609170663,116.99578099998706,A,1
Both,Widowed,Non-binary,126.40217979934074,-268.2488131282057,E,131.52902701003921,E,51.33489750200734,209.7803001324328,C,0
Both,Single,Other,-85.84868026034289,30.626292908729052,B,-97.7125333765088,D,203.89818399671736,2.104537754590361,A,1
None,Widowed,Female,1.6275394118241442,-125.94263123445958,E,96.37340631731395,C,166.80209155151303,-69.15705602927925,A,0
No,Divorced,Female,-32.78054209576922,-183.98555438801642,B,190.39462136085632,B,88.60549125287874,-120.69204384664172,A,0
No,Divorced,Female,-186.637254808387,79.77963478036848,D,-79.57874247978359,B,258.31287704418264,-81.08225649892132,E,1
No,Widowed,Female,-90.60065636038675,31.097516833202405,C,-24.716896152900915,B,-72.60471754145719,-21.240402815974498,E,1
Yes,Widowed,F,27.373527737003574,-169.33752801229815,E,-81.44581091635678,A,232.69314940391936,-87.75103479125505,D,0
Both,Widowed,Female,81.93846569450724,98.19670333097814,B,-62.613566085778274,B,105.91740182802202,28.17449441234897,C,0
No,Widowed,Non-binary,-111.36923553965563,-5.613360714694194,A,-15.035330377244813,E,-178.84913773671508,-69.1288402938819,B,0
Both,Widowed,M,59.6890068783391,37.25856143909356,C,82.73335049064869,C,-28.01274539582926,-152.8463881758356,C,1
Yes,Married,Non-binary,100.7982009625921,-56.86783860083495,D,-94.06944694151804,C,-264.8848655703671,-185.37687904172583,C,0
Mental,Married,Non-binary,-44.86806665408571,71.69127775078861,A,-120.51829388567108,D,54.7802020452405,91.63899360700057,C,1
None,Married,Other,-5.869568963622649,-90.18338727356453,B,-68.03434696561779,C,-109.08841735214088,-52.03678185823988,C,0
Physical,Married,M,-13.041337629877958,-153.79653602013633,B,-113.73406010016434,D,91.93333967173866,-54.59818649761594,A,1
Mental,Single,F,104.19847481211046,-79.09788185426629,D,44.15550477869504,B,-73.34252053358796,-73.64585552191485,C,0
None,Divorced,Female,170.25981130068755,21.4586294063117,A,27.86099642454162,D,-12.752737685115425,-44.734761799809355,A,1
Mental,Married,Other,-93.54258256738352,18.116188410856523,D,-69.1121677907569,C,25.456228316274014,-49.02406591409342,E,0
Both,Married,F,-159.3963776916959,-82.85866254028852,A,0.030330226608620392,D,-56.73993431746764,162.70643426228602,D,1
None,Single,M,61.3220765986098,-247.6305896963834,B,147.2812365245314,A,-56.80762117423227,-95.31351270051258,C,1
Physical,Married,M,-49.093706770419516,-128.09107015181408,A,57.40603299256842,C,168.4371521695433,-204.7734625234051,B,1
Both,Divorced,Male,-69.70524812590301,6.179868787139893,A,-29.387405755897156,D,-44.85437031222139,-120.47824375787839,A,0
None,Widowed,Non-binary,24.881783236145328,0.42657977801110436,E,-181.81431259174542,B,-137.60330252368058,76.28657359403172,E,0
Yes,Divorced,Other,-226.58860224192884,116.75014213475524,D,121.99909767731367,B,-1.093173753786056,248.162487906911,D,1
No,Single,Other,53.55588549380512,-14.192273152243592,E,226.11188586327523,C,-7.335107921115664,223.04783527733295,C,0
Yes,Single,Female,-2.0612208770055584,-43.03646088920844,A,-33.56494834193124,D,-28.311051371690155,154.39117645747388,A,1
Mental,Divorced,M,-197.33172761071384,-201.6722392861105,C,94.02177542185213,D,-4.609139748880598,-173.64314617378596,C,0
Physical,Divorced,Non-binary,-234.93291972730995,-11.069932672074554,D,43.06667884837801,A,-140.9727041867929,114.90429513678224,E,1
Physical,Single,Female,-48.93569321821206,-41.666162908544905,D,133.55471499914418,D,266.13770126292377,-34.806893327491636,C,0
No,Widowed,Male,15.609968044983095,-31.08437379534707,B,-178.60168668255687,A,14.924159307808374,54.29881681503074,E,0
None,Widowed,M,-51.24131901718152,-191.5747291725066,D,-42.55257792923426,C,167.59782660782898,35.549459876859565,B,0
None,Divorced,Other,82.73111428000107,-73.3937240713335,E,111.70037229634264,C,81.67295011574232,136.14542304849735,C,1
Yes,Married,M,-228.66737896418678,73.75588407613583,E,15.234160599915619,A,87.44327781414457,-15.440336609361596,E,1
Mental,Single,Female,-117.37925909147467,19.33821034206899,D,60.705151559270064,A,65.43763368651425,97.68737528383052,A,1
Yes,Single,Non-binary,130.2331279631626,-153.03738193089626,A,-54.92328011042558,D,-55.017761907864816,-112.88663998003958,A,1
None,Married,Non-binary,-10.668158706741371,157.54159362410348,B,-51.86261873304269,D,11.86615659980154,17.775799570061306,C,0
Mental,Widowed,Other,102.64993538226608,18.59167029628299,D,72.25534297279424,E,-50.444916098050975,-38.16195945353967,A,1
No,Widowed,Female,-58.57870326293351,-36.21480919430455,A,-130.04287844278247,D,147.78051196750954,72.40417633789457,B,1
Both,Divorced,Non-binary,131.2902308034902,-59.22089527901381,E,-137.4084191069656,A,-5.970319418516926,0.9095089573377031,D,0
Both,Single,Male,68.63956024237649,-92.8321765959987,A,31.723501586148505,C,142.07732763435618,-3.3930519774366874,B,1
Yes,Divorced,Other,106.36616366946197,41.22975666385169,A,9.275120811574316,A,96.28917860304034,16.341655336048706,C,1
Yes,Single,Female,130.91667196213956,-107.04180340160545,B,-74.83037765047175,A,71.1164897250343,63.99260291198701,B,0
Physical,Single,Other,15.45194574363542,63.29194027040456,C,29.6650625198148,B,-20.270113189711527,-149.21980828517573,E,1
Both,Married,Male,-34.161690357459726,69.53776572640184,A,-186.01314100990868,C,48.57761508828164,16.183959975890893,A,0
Mental,Single,M,-84.1432079705625,-32.147867807894094,D,-18.013974242858495,C,-95.39277968876512,-29.084374423111136,D,1
Yes,Married,Male,-44.098227983738994,-56.108238154266274,E,126.69718115545727,C,19.294133406732918,163.36010432904436,D,0
No,Single,M,-121.45904318310872,-48.433288687332194,B,-170.04678721882843,B,95.72105599499146,-70.90395127513767,D,1
Yes,Widowed,Female,-10.997111055495926,50.81471690466176,C,-74.2438379941054,C,126.29816634247675,-87.03807472424823,B,1
Both,Widowed,M,166.0539541544959,-170.01283244805037,B,-39.25152602997798,B,49.07643789535468,25.46498605892381,C,0
No,Widowed,Non-binary,147.7735445139257,124.38628871656552,B,97.68990880756233,C,29.77746133334207,-81.015109898167,C,1
Yes,Widowed,F,76.48803021841645,94.44656642623751,D,-61.87628968151194,A,-33.23794679906001,-84.31662751842777,D,1
Yes,Divorced,M,-115.75889644353936,-114.66467420120449,D,-57.99795776861243,D,85.95109680946355,67.95299722932775,A,1
Physical,Divorced,M,74.60979063410345,254.55961199173595,C,72.91821389973163,E,-8.181791964510838,-157.1972791287979,E,0
No,Widowed,Male,-152.8392806501785,-126.87438796444792,D,3.5584798427616233,A,6.30678860447741,-144.48216948758915,B,0
None,Married,Male,-1.5311858831139464,96.15570994172413,E,235.2598676277585,D,-78.61115090615762,-26.704554388459194,D,1
No,Widowed,Non-binary,14.144639054301692,-144.33727043133652,D,97.18022233278411,B,197.69861927313121,-75.21088240629956,B,1
None,Married,F,-38.47818185551391,20.28827035429377,E,-119.83838617655873,A,97.02240599285105,35.77127366476493,D,1
Yes,Widowed,M,-121.22284503480299,-5.905629151189118,E,-168.0988588740036,C,36.91826793951577,50.98120638817855,E,0
Mental,Divorced,F,57.895795256310954,-50.92013058025601,C,-134.97136367785492,B,-32.55995119994608,118.44006958277492,C,0
No,Divorced,M,90.67656606669853,-101.40267084984482,B,-6.51279857645303,C,108.85245528288358,-25.474602466931216,B,1
None,Single,F,17.696796041477135,19.191070631509135,C,-34.512090594293035,B,-55.9361282254622,-49.02610707205598,B,1
Physical,Widowed,M,-36.41629594912611,-62.22428527461814,D,152.45827491014785,E,-1.8461738534814562,-100.5319000836189,A,0
Both,Widowed,Male,55.626187454429854,-124.29825336782476,E,46.06688969530375,A,155.1940786334871,-84.19841114363062,D,1
Yes,Widowed,Male,-25.025825514734308,-44.07863406993925,C,-71.3660296824726,E,105.71571753914282,4.419724729991195,A,1
Both,Single,Female,-114.83300380765229,-117.6586333104932,D,-116.95355711246049,D,-95.46516912530072,-117.48311021116645,C,1
Yes,Married,Male,80.923605073955,-272.18854194480946,E,-63.674473929864796,C,5.529304766175773,-46.71461567861006,D,1
Both,Single,Non-binary,73.97161527583978,51.53989728965173,C,-6.047827281439886,B,-99.1666587377773,-100.6747898736849,C,0
Mental,Married,Male,-7.801467047564262,-64.40035703373367,A,-22.146627068567867,C,-241.10733662168923,-93.09720915403265,C,1
None,Divorced,M,16.834712747911613,101.07247302099422,E,-231.0113234343661,A,-110.31871727559259,-215.61411710654053,A,0
Both,Married,Other,56.44835160544609,-83.51092862368282,D,-59.898700937217534,C,170.57166172387053,31.841220440448776,A,0
Mental,Married,M,-175.3032536743411,77.00230240463154,B,51.72117204122411,E,-54.483725256737515,1.4135934505013583,B,1
Both,Married,M,-38.788267662190826,32.48731225151191,E,17.918931251041244,D,42.718308758459095,43.21668235282694,A,0
None,Divorced,M,-182.1029935925178,-22.77013626022074,B,50.61547454305604,A,24.11756840605549,67.62497916907927,D,1
Mental,Single,Female,62.50602068255381,14.33244954172603,D,53.51686563319604,D,101.89518578233077,61.29484693590614,C,1
Mental,Divorced,Other,-23.501926991508235,57.669957600782254,C,105.74890457245378,E,56.25086780451718,-182.96822943724163,A,0
Both,Single,Male,116.09721097267882,18.239643067543945,C,9.883577319202509,A,62.64523800800892,-160.49593783864913,C,1
None,Divorced,Other,279.24699136324045,-166.99713640433623,B,70.3097754661345,C,-66.2468646727654,-40.26947377745917,C,1
Yes,Married,Other,34.39533152347167,-155.97455814398893,A,39.85895186085751,A,-202.70856339221444,-186.15181537107753,B,0
Physical,Widowed,Other,147.32876196797278,-103.36960099956016,C,176.40842470733025,C,-75.96517897634581,-84.81498897826461,E,1
None,Widowed,Female,13.762149429679516,15.566979723978037,E,-124.03393291257821,A,-67.81542984869985,-8.731166931837427,C,0
Both,Single,Female,23.20540044493477,-79.66476884586258,D,-59.3453233964905,C,134.83211352951477,-8.099237908239845,B,1
None,Single,F,67.71738393821242,90.26737107900273,B,-54.636646255253254,C,55.97030280044579,-10.626315938396944,E,0
Yes,Widowed,Female,43.787980529154936,176.40983768139213,D,93.01333821017236,D,-16.216116784160356,-155.4565843008641,C,0
Mental,Widowed,Other,-41.36866404876308,69.80884358449488,D,-93.89864188007446,E,30.199339130372344,96.29595439973014,D,0
Mental,Single,Male,30.396886624357066,-50.53161507555228,E,-219.09486198326164,C,-180.68875631965798,-0.3563863984856118,E,1
Both,Single,Male,1.9085037508899707,131.62101367187947,D,1.0297611182006035,E,18.779980358321748,160.05321772636267,E,0
No,Married,F,16.76277548703927,-138.2992351751417,D,0.975286901780803,E,-28.49864591840455,22.796293808273344,A,1
Mental,Divorced,Non-binary,-65.32442616221874,-78.07672472501288,E,-37.37332369665714,A,11.748453907138302,-144.58001868091083,C,0
No,Divorced,Non-binary,-47.36680040429117,-72.75358131230033,B,-192.0423266691025,D,70.27356682460554,71.38202882098496,B,1
No,Divorced,F,-39.14294034603039,49.268719499355676,B,-71.43194749802554,E,110.78298228328055,-40.72780861579032,A,1
Physical,Single,M,-14.8900983830248,44.46911672239624,A,-71.19480161817371,E,-43.59820777699267,-34.6194325022192,C,1
None,Divorced,F,4.6166309975378725,158.60536112047032,E,-8.688505697952245,D,118.6920999490668,131.74136208020244,D,0
Both,Single,Non-binary,40.56803176812478,51.765686653279595,E,167.3451035046475,C,-72.38594534526706,104.78146722064712,D,0
No,Widowed,Non-binary,188.38851864777675,77.65533942109317,B,54.07514897475066,C,-73.00437622643233,151.36852071774462,A,1
