country,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Mexico,Veteran,B,D,C,-112.2555069837039,-15.433938374468198,C,126.07278862923081,23.120028504597183,-92.68347159219108,E,E,C,B,104.39506530627773,-141.25744160403391,-122.2181677745101,86.82355102925224,0
Germany,Veteran,B,E,B,111.21588073624909,-96.04210563698763,A,-24.736703692438315,-52.136092303313376,-14.738663554237021,C,C,A,A,101.5692228942966,16.055151647045136,-62.09732406579616,52.90529349523607,1
Other,No,D,B,D,89.21913856025074,-20.878667668265578,A,-86.08726996136085,152.0010414936985,73.32338787270321,E,D,C,A,115.27356886447846,-86.00622167095587,-19.75834979646032,51.53511519780053,1
China,Non-Veteran,E,B,B,105.3651639525977,87.08420661645043,D,-72.82347805594253,29.323740963965005,119.67311652196311,C,A,E,A,95.07286227373953,-176.4814165049491,-98.34888168653379,-77.77356576512163,1
UK,No,E,B,A,-19.00031561914542,196.85785856102538,B,49.13588954446573,-28.7633802479434,101.67874809780575,A,C,C,C,-35.611508090704675,-139.3632348054701,4.6628248715656895,-12.81171927105329,1
India,Veteran,D,A,B,-26.541849666464433,-5.570345894222465,B,-180.17472336376923,136.3282207050959,59.30743475654231,E,C,D,A,-52.610245210985,53.57483565735036,24.38092083177682,73.33488079315941,1
China,Non-Veteran,E,D,E,75.48324463470662,-8.937069365650055,E,-65.19872046097261,79.13365242784539,-55.876781171638534,E,A,C,E,17.67998352632026,199.10884510277413,-41.95634426460394,65.10489239160428,0
China,Non-Veteran,D,D,D,-70.68242034908741,126.025918377698,B,134.12162041535572,68.43180680370028,184.74564410044928,D,B,E,C,-194.95430435289427,96.74554395853328,79.45169923742742,49.636190575280466,0
Brazil,Veteran,A,A,C,85.69168637451914,-182.7585559922978,C,-23.309322185410615,56.820069980559154,-102.27303835791734,E,C,E,A,-62.75765635019634,29.81410146146749,10.450936560304301,-54.803895729359795,0
Other,Veteran,E,D,D,-56.094018365678366,-110.76795022061951,E,40.138092314971125,-231.67770003173484,105.16189599475518,B,E,C,B,70.67274496363405,-98.0344081974574,61.72215904557219,78.44304607160426,0
US,No,A,C,A,-69.91488603330217,145.4778067712365,A,51.66850493261007,150.24760737841538,2.066321160697739,E,B,A,B,95.01555665214045,0.9308571437830848,-3.8546953779101876,14.672783600623532,0
US,Yes,A,B,E,-28.64014300409784,32.467582093899026,C,278.63276139790395,-18.74237669565123,-14.968577010277793,A,D,D,A,-37.904586002543134,-104.5677002736278,22.823927957470982,-57.01697633570583,1
