nation,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Other,28,2.763972775230454,98.61099940810134,-96.12334019708267,A,-83.57668636413167,133.66850477025667,-149.63690916949315,E,B,-69.48788619272005,-22.067047028258564,-263.9918523310496,1
China,57,-37.273814879071665,7.380853676363628,-56.05029119540087,A,-24.546262235557723,-128.66897755200483,-49.77181424125416,D,A,78.77898203226565,19.612801898995563,-151.14101995826846,0
UK,66,206.1060767704019,154.53808777905036,-123.03660179756588,A,82.0825554265023,45.30814786961479,-166.95398453384703,C,C,79.05169494533969,-28.265773730281975,88.70961090382794,0
China,74,-46.769050748882975,131.21191368783587,-127.32181639025401,A,29.157430750188436,98.14485315814915,82.15752074640864,B,E,14.187912891613719,91.94925787150451,154.76011483950208,1
Mexico,92,93.4903068949715,-85.02470538570547,-77.58201830510997,A,-45.33178200001706,65.03802563917326,141.93165073571697,A,C,-119.59946895747875,28.693071202124624,-58.7303123612554,1
UK,30,129.9149657607466,-72.76467628872331,55.49113893811638,B,23.355665601596638,-12.61626343183597,-116.19123763114929,E,A,-1.7486743147366577,-209.14580661082204,-176.7264802624125,0
US,70,-26.022546962347892,-66.43056745877342,-73.54233538663672,A,-40.97802380754405,-3.1959762831752037,98.55342873821338,A,D,53.03114796760663,13.283833022858463,-143.36044201202319,1
Brazil,88,-4.130367187631528,66.47388897794593,-83.78521581642451,A,16.079513601476215,-37.62507091674384,-145.7058699405827,C,E,-97.90071965886253,-14.8458620722979,-112.59292153591925,1
UK,53,-161.63126329447394,18.61747164948983,10.924408986575106,A,-71.15320763113763,22.829393295110545,-142.86512648974482,A,D,-56.20201650182158,-45.81666918307175,-77.05242131337153,0
Mexico,50,-245.75438219642996,-21.664235445481427,39.19967794012567,C,9.544425513822201,-29.771563301828362,-88.6305188926195,E,D,88.0883251921117,186.2896778722072,207.14875235017968,1
US,82,141.34658819355246,-210.27423500713675,162.3508581944305,E,89.36589657673403,56.47355831956533,-72.63261606145001,D,B,-27.225744749038917,-23.51816093946067,164.96655687529633,0
UK,50,229.807504962662,-10.746923358295367,-31.352718719274947,E,-20.450637240982516,16.2307528871391,11.227782852733128,A,D,65.60095416153831,3.1106228053141187,119.1296464316191,1
UK,37,44.88751187699004,97.00022006379555,67.92212101174398,C,96.96491505479099,7.312503151267258,49.73929071938977,A,A,-80.42230234126205,84.68659936566839,89.36561452217762,1
Brazil,44,1.9242411017299763,-5.841762440339041,20.25739195213748,B,-20.06340156629605,20.680410668941327,-28.657177295572094,B,D,53.11191962361408,-169.54135207983506,94.66300662873174,0
Germany,82,139.24157617711467,-29.31062703611767,33.549156368575176,D,-163.76468594183578,-82.96773968718034,55.018297644153776,E,E,104.90078425386568,55.87550266178031,-34.29458827112818,0
