disability,AgeGroup,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Mental,65+,42,D,77.37303526259758,13.120606109060267,A,-44.42580301513151,-185.24930092391764,-179.54464187666278,16.965080412437533,26.171434292821232,-2.2368498348180523,C,D,C,-96.84669146600156,-51.075314358290235,B,A,-46.52128053417698,1
Yes,65+,66,C,118.79976572401485,160.87251909040768,E,-30.56578561317307,35.01911593450504,-28.49925720485808,-118.4291834024772,-47.69571626223302,-49.89989515916594,D,C,D,78.79003029872784,12.082165551987474,C,C,-16.659660286774002,1
None,36-50,65,D,-45.28909205066395,9.579175193976845,E,128.3897210679342,26.728389138020948,-108.38721445875477,-27.054524685109516,-28.328205072708297,-12.978551077835753,B,B,B,-164.42992353411793,75.05430861737797,E,D,48.55699583596632,0
None,18-25,47,C,54.28377917338866,25.18608833395647,A,99.77397154233637,-134.785048050239,112.41333720583526,4.370838716919469,-60.652116803524436,160.94036854257118,E,A,D,187.46198317902946,-46.74143369763806,B,C,-73.11840299156775,1
No,26-35,20,E,175.00510357394896,57.91352899033271,B,-86.39340306362672,93.66764804182155,44.08228123256022,-80.30199396063415,145.8276683240936,59.13403381731087,E,E,A,-30.831064048419233,-106.48509797818741,A,C,-46.5320082618646,0
No,18-25,72,A,-1.1048722223216876,-30.321926969725354,E,7.885376226844228,68.42848505309549,-47.740122546214955,-49.308476843593176,108.0112773783932,-23.98349435555475,C,E,C,78.02554087848922,-36.89050125068128,E,D,-124.81349125502736,1
None,26-35,37,A,4.226604639972441,76.53989783765046,E,-233.28708290822897,-72.59610466612124,11.54356314224164,93.81348227913381,-51.16831534704237,-167.5488038700945,E,D,A,167.11137020700042,-76.79931167418198,C,B,-116.54025820778948,0
Physical,65+,26,E,235.3470957417632,145.75651744076617,B,-28.061202997331886,6.046023226847906,-74.2167455065439,22.07465547438673,-18.019192702579538,-82.08353904221919,C,E,C,-25.967597855536635,53.11819359061719,B,E,-120.64026071063849,0
Mental,26-35,30,B,-11.921878414164576,-5.350071757443921,A,-16.496097870477655,21.722578531690516,37.791755120777665,-62.57389687188457,10.676845245117894,5.790414170631178,C,D,A,6.041796297082941,72.4425770049264,E,B,-210.4419648507059,1
Yes,65+,66,A,62.09218348169566,-179.2068277185628,D,-107.57891839163902,-299.545291855601,20.62446463900181,-65.10281937496343,195.43714159588458,-74.21984963615328,C,E,B,-99.4770281430842,25.571860177107226,D,C,-39.222639998361764,1
No,51-65,55,D,-1.1627130135809538,42.50591674423881,B,-20.645872417433882,61.56975783637358,156.29776431017592,-109.61250961152574,3.631722836949881,-91.68967385801656,B,B,B,-33.73145098136412,-53.543022441089065,A,B,130.82939210434196,0
Physical,26-35,63,C,48.78000097653828,7.915662476977429,B,211.4926646103316,94.37366011566453,90.28109022604163,50.83355129267338,-198.91585171000625,-187.43414814004473,E,E,D,-92.82546326969471,78.01599033629546,D,C,184.24324518957692,0
Both,26-35,67,B,23.50094853253281,152.4253495995384,A,98.59555290967123,-111.65387075421724,-170.41067653735274,-85.82806904328251,7.3490679753856,-81.949293505499,C,A,C,4.079488195254016,-113.19409300617454,B,E,40.445349475548994,1
Mental,51-65,47,A,63.21590625300174,13.852596769175651,D,59.24351472827526,183.9865242583821,-128.4420426545445,-100.88010190132492,-52.51762923629892,27.70523058786283,A,E,B,94.31395470510725,-37.38890130937929,C,A,-55.9431139325954,0
Physical,51-65,38,B,-40.43783105988928,-101.94718297719467,C,20.859455032285904,-220.04452017143828,-127.47781358694961,-76.6952551898198,-156.17012341437695,101.53054778638311,C,D,D,50.44257338560707,-35.950759729524236,C,A,-56.10709968058975,0
Mental,26-35,35,C,7.293996638232988,-44.470643898602994,C,-39.574588422456564,-112.56545288408128,-81.24935379455238,184.58667253761345,-15.589136765334702,-85.06646186518867,B,E,C,-26.238109040600083,-10.897065251077208,E,E,38.581779906594456,0
Both,36-50,82,B,-31.05151366977303,67.81707080409832,C,2.480072438476098,95.82656939625814,9.771904705507858,312.3801344789134,-46.720081639995044,-38.80884054531881,A,D,E,-152.5660825797125,210.53055414720686,C,B,-72.28894471792057,1
Both,36-50,59,A,-73.05204731532332,2.590178701977108,E,121.39796312359769,-94.20030614481466,20.821995177340888,-65.40503703524458,89.88369942467979,-7.756213131297026,E,C,D,-181.36948646637165,-59.53218274411889,A,D,-250.3120801944342,1
