age_range,country,Race,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
65+,Brazil,Hispanic,70,D,35.764603854019285,A,B,B,-30.392151088786818,246.29192070029572,A,23.36557276738164,C,19.10571345445798,0
26-35,Brazil,African American,31,D,-10.462013695766696,C,D,D,135.47105826345765,25.02926388327442,E,21.538677172718103,C,-164.40954043259495,1
51-65,US,White,48,B,50.843120687064555,C,B,E,151.38145650644907,-22.664320841056735,A,-30.805619886839263,E,63.48298157308753,0
26-35,Other,White,20,A,19.66343554906262,D,C,D,-40.17457332545021,-198.13815101386132,B,-93.60049045482921,B,-127.09976963617495,1
36-50,UK,Asian,54,E,-75.06337422916599,A,D,A,-74.49465493475233,37.348695599066104,C,55.36778284954427,C,160.97471131820225,1
18-25,India,Other,54,D,88.41045288936108,B,B,D,-79.00482640819837,15.525183406667342,D,-153.03029414842956,C,126.43839909332235,1
26-35,Mexico,Other,93,D,-24.557512797032306,A,A,B,-41.6450037363135,-69.40648109787976,E,291.3069273541765,E,-47.226780960193175,0
51-65,UK,Black,98,E,-128.32123476532988,B,D,B,85.7846774465682,178.77263803736264,D,-219.60808300990428,C,94.42548236448481,1
18-25,China,African American,68,B,-104.16947664765262,C,E,B,-68.15691608686231,17.532882072670485,C,-165.31779221685508,B,-19.00905360109723,0
51-65,China,Black,66,D,26.471530460786486,B,C,B,-13.230244512467419,5.145203328489904,C,9.244043921660241,D,7.396140914438898,0
51-65,US,White,45,B,74.47550740456886,E,C,D,25.566068864536117,193.57034330235095,E,62.90739913777719,B,60.15386158606943,1
51-65,Other,Hispanic,40,A,-69.93390219074257,D,C,C,37.44022349503423,-77.65166962582474,A,8.178139946449724,D,116.73075869240897,1
51-65,China,White,36,E,128.04469878992865,A,D,A,8.660593185477177,-172.36092263986959,C,-123.29639545277328,E,-65.30269787625274,0
18-25,China,Black,56,D,-64.70946087807194,E,D,C,-106.46458085690895,8.553113088316007,C,108.0388012190344,A,95.3247085287942,1
36-50,Other,African American,34,A,194.89273814163863,E,A,E,52.13713152107368,119.87984409253873,A,-56.259333309337286,B,-0.2210978692788964,0
36-50,US,Black,74,B,26.06462369661333,A,D,D,-13.252028770612323,121.58955002776577,E,-25.68771851570325,C,-8.092618409750472,1
36-50,Germany,Hispanic,92,B,-69.51969757861724,B,A,E,-12.11274822956494,-7.418315320405602,D,-187.99903537159236,B,123.3427390365893,0
18-25,US,Black,85,B,38.558914230573066,B,E,C,182.28155466637966,-107.09023470629737,C,-37.80722224418266,E,-98.73949703083419,0
18-25,UK,Asian,37,D,42.324640461380795,D,E,D,-13.355682219134508,83.3809385576871,C,-100.27778512701558,C,-50.1637232428045,0
36-50,UK,Black,84,C,30.577544406538454,A,A,C,97.74021779546618,29.56776054768892,B,-85.58472517980749,A,74.65048587109388,0
65+,Mexico,African American,20,E,-75.4081638648886,A,C,A,-24.89926348941372,106.79150071372725,E,-56.01179633414638,A,170.6134867013173,0
65+,Germany,African American,31,D,61.72470792272636,C,D,E,-109.24733805311233,-192.6593436034917,C,-65.64673596482756,C,-65.21384992836242,1
51-65,Brazil,Other,55,B,-155.7629639522937,B,D,B,-37.686968035580236,-63.36434070935808,A,-130.9166355509693,A,-36.361566656208915,1
65+,UK,Other,42,B,92.77629200505953,D,A,D,-150.76942630115497,-64.11371730150258,C,-85.25357285171133,E,10.013955231849838,1
51-65,Mexico,Other,89,A,-191.5358679073474,D,C,D,71.58509075007677,53.72445018872134,B,-120.90533289289075,A,67.02302253114118,0
26-35,Mexico,Other,35,E,65.10346683922556,B,D,E,42.786431661125285,21.395447865306696,B,74.67075760893194,B,179.98618718383298,0
18-25,Other,Hispanic,24,B,-49.849997114211824,D,E,C,-65.8185129445454,-39.63115243291058,D,47.401244740134295,E,-182.9617477075693,1
65+,China,Hispanic,39,B,17.829511687113044,E,D,B,-63.16253600738203,65.65160885751084,D,-30.8437526239958,B,-49.50413070353963,1
51-65,US,White,99,A,24.990720536909265,C,D,A,-94.96918091042504,68.0575124485058,C,-8.269087164088866,C,38.63127645692455,0
18-25,UK,Other,20,D,-25.05301853637056,B,E,C,-130.57955678205644,79.87612030091464,C,73.15627677678481,A,59.51249070174508,0
18-25,Brazil,Black,29,C,9.169274066776099,B,B,B,159.83880989415488,-67.00520203380995,D,34.16765976746172,B,-105.2645043345124,1
51-65,UK,African American,52,A,110.68204411720953,E,A,B,43.32346028532588,66.19150378300459,A,101.65977328251647,D,51.04749793950969,1
51-65,Mexico,White,24,E,82.97889438316477,A,A,D,-63.94501774257345,40.23192624042256,D,-153.98355747963495,D,86.73282534307288,0
26-35,India,Other,37,B,37.34379623567649,C,C,A,136.90691585164322,84.04856688924525,A,135.72677395998693,E,-26.91030590898635,1
51-65,Mexico,Other,36,B,178.6203543387539,D,C,A,-70.46969872601268,224.16623924615183,E,-6.7290616643436145,D,20.23413923649724,0
65+,Mexico,Hispanic,27,C,-58.1702467265872,A,A,D,21.434300141263808,-63.463407372208216,E,-2.3622155202423842,D,-43.89270870348806,1
36-50,US,Asian,37,E,84.32549513837034,A,C,B,51.56754550848329,138.28594808307432,C,182.94044552199756,D,159.97469130611353,0
26-35,Germany,Asian,81,A,-15.924834071362003,A,C,D,307.2704235428424,-31.595617414874255,B,-60.11558636595476,B,-75.21943275683245,0
36-50,Mexico,African American,40,E,50.79560037719071,C,A,C,10.3055596524793,176.97744935431749,E,-51.270293765139996,D,-79.47124213822396,0
26-35,India,Asian,52,A,-6.65616675196095,C,C,E,-14.572770451788633,-135.7950450990018,C,-206.8510022553593,D,44.41239095593583,0
18-25,Mexico,Hispanic,20,A,85.59651550029206,A,D,C,71.44982718164454,-22.506211062810856,B,-106.87896617601807,D,92.96999841299312,0
18-25,Germany,Asian,69,B,38.26818414770375,B,A,B,-123.17316864824497,-130.2640742250748,B,57.96448558611493,A,-3.1591620298952274,1
36-50,UK,African American,51,A,-85.7450944333491,D,D,A,-34.348799724061365,-81.21097941088229,B,-4.22422125522295,D,26.736316372511602,1
36-50,China,Hispanic,67,A,6.5545724689933,C,A,B,113.73329822377947,77.19838117301288,A,81.4098315283833,E,-22.961838191254685,1
18-25,Other,Black,49,C,146.76580780325875,D,E,B,-46.15440097597013,146.84195715764872,B,-81.67869731878284,A,10.071473219340326,0
18-25,Mexico,African American,42,E,99.65547483755894,D,A,A,40.39259687446009,-103.18653735675557,B,40.05557988359681,E,-82.57859204941593,0
26-35,Mexico,Asian,92,A,-28.632629729424924,C,E,D,-18.523218323152218,59.74551591585314,A,16.66404302450642,C,100.53951444102256,0
18-25,China,African American,88,C,15.261520470923365,C,D,B,-262.8569107902013,44.973131432041114,C,25.824472492584576,E,-267.7841187156603,0
18-25,US,Black,19,C,120.23055341187091,C,E,C,-128.90144276160507,47.894850241383914,D,-47.11355928263554,B,104.42816063966367,1
26-35,US,African American,93,C,95.06489343513503,E,E,E,-26.821159657873178,4.02513291392121,E,-39.14453711792588,D,196.22026400794311,1
36-50,US,Other,18,B,118.82311357635287,B,E,D,75.82490876220814,88.23776905562212,C,19.349818528840988,B,-43.88124480758277,1
36-50,Other,African American,36,B,129.80340238147,A,C,A,-18.77491554259363,7.2456831149532945,E,-5.483673472199223,B,78.44340886256576,1
36-50,India,African American,60,E,34.76925293388686,D,B,C,-39.544819276292884,-8.469468881720827,B,-25.826174306885676,E,111.68877264382513,1
36-50,China,African American,58,B,72.29566956324345,A,C,C,-57.388680674362206,-47.825946660550215,A,269.80698428835626,E,-67.58078222433309,0
26-35,Brazil,Black,25,B,-114.2203776253481,C,E,E,-17.23969290285055,-20.892535670672682,E,73.4570866006302,C,-49.644695745519265,0
26-35,India,Hispanic,85,A,48.70851750250461,A,E,E,16.531780378029907,-95.95899457350889,A,48.8081950293156,E,-13.051726384465631,0
36-50,UK,Black,39,C,-72.72679332025746,C,E,B,38.48617289593838,37.154227616793435,E,-244.71146766648837,C,-24.890085223586784,1
51-65,Brazil,Asian,22,B,44.97254412252833,A,C,A,234.9292676354226,41.695136130472335,A,14.536798106455285,D,-167.42905077326128,1
36-50,Brazil,Hispanic,89,B,-162.66124483305083,B,B,B,-71.01229149275419,-15.52794972921838,A,38.05494323401075,B,63.46903612238766,1
18-25,US,Asian,63,C,-54.857818269085016,E,B,D,-168.72869857154973,116.83240052040433,E,-19.419772616148215,E,197.13598277875707,1
