military,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Yes,Heterosexual,B,-16.397616763227695,E,A,-20.70606945922986,151.9666083718746,C,E,-175.41732530042012,-22.23444971632653,0
Yes,Bisexual,A,133.22483584633144,A,C,139.05637838181292,220.92209027875816,E,E,0.9523820366836374,128.18997581549837,1
Non-Veteran,Heterosexual,D,163.31727503191078,B,C,-73.01302620367527,-29.873267946400023,B,B,222.63378014633957,49.96134573542912,1
Non-Veteran,Heterosexual,B,119.45085220040303,B,A,-46.79734311602009,-14.731779264334879,E,B,26.371944710004435,-7.579950723061173,1
No,Other,B,131.19112682935202,A,A,30.312396760364685,-296.90776160670913,E,D,-56.270200502670065,95.27738319443803,1
Yes,Other,D,-117.60079786046977,B,E,57.007794153959615,81.48574013695399,E,C,96.81819248041454,110.60822117679778,1
Veteran,Other,A,-63.561547132794225,A,D,-25.6203856395304,-89.08513993957584,E,D,49.8891603234823,-89.8714192648373,0
Yes,Heterosexual,A,-160.59502949626113,E,E,-72.39094090683967,204.0964360062257,D,D,-8.25594301913189,-173.62946638840324,1
Veteran,Heterosexual,C,-186.2980419684893,E,D,22.89252557958746,150.98365867396723,B,C,-71.32612685104972,58.943434482313215,0
No,Other,B,14.476275855745492,E,A,52.13466360484972,-199.2604095335348,E,A,85.40198410785528,-259.3366948377931,0
Yes,Bisexual,B,-32.136823125140445,D,A,-98.68030720880877,15.080955298206348,E,A,-28.354152262839065,-121.05582781867501,1
No,Homosexual,A,-22.365733689149113,A,A,-115.92693323304566,70.0280716413576,A,C,-154.04496818367062,26.27832608034717,1
No,Other,B,190.99190285297016,E,E,-51.173319376522564,-63.012123927391826,C,A,105.61934841298542,95.93434273512442,0
Veteran,Homosexual,C,5.861125557343745,A,E,142.42414878129716,-109.38329156492752,D,A,-14.013119376814185,-18.605758945738952,1
Yes,Bisexual,E,104.13618806892684,E,E,-117.54842366446472,-30.0536778901201,B,A,-92.97386020777846,79.3814886346281,1
Veteran,Heterosexual,A,38.232844409419,E,E,-150.5671125929382,13.093099483539817,E,A,-71.78641976597132,58.26894429786179,1
Non-Veteran,Bisexual,E,88.34445586482005,B,C,25.386305266506692,31.86561660295722,B,C,-12.323840913661787,-61.19945442224227,1
Veteran,Bisexual,D,9.182224642050404,B,E,89.55437028835698,40.84371903591913,C,D,-160.106607224687,-40.73026801331175,1
Non-Veteran,Bisexual,A,-19.33984176981652,B,B,-21.72565228665692,-10.001551601327469,C,D,-12.345434859494747,34.784125577808354,1
No,Other,C,24.96880191882992,A,C,-47.53245864599718,-28.61589685160066,D,E,-15.036002480167618,-82.86746372277095,0
Non-Veteran,Bisexual,E,96.06366195640628,A,B,22.607625513146974,-128.2138897968352,C,D,26.510364232578265,166.051115198157,1
