marital_status,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Married,Physical,-14.368908928274887,21.424555398910226,52.17125493577059,-138.64950704099422,176.29489220702882,A,14.88361886049526,228.99638954449713,A,-85.9298268829233,E,77.48482935759534,1
Widowed,Mental,52.31830492364984,67.78913722428226,-37.42343297936925,11.393840041255327,68.28091633045665,D,109.00027595069439,167.06122211705372,A,-20.680929974732003,A,-36.157315103329005,0
Widowed,Physical,104.65664309577232,-23.33535209951779,115.79470784506343,-143.5591403388136,33.64445030612751,A,239.9601975521006,-116.8977023896459,D,91.94950846360892,B,-114.81138694603568,0
Widowed,None,-82.45281628890842,-190.7066828549532,-66.6760783267407,1.7732027315600818,-100.60841982477093,B,96.25291946192075,39.64786961049253,C,54.92269454475963,E,41.9881596272896,0
Married,Physical,-78.16080224312064,91.68238874715038,70.37947237549793,-98.06828791242435,-46.2710463951232,A,142.83043917890174,130.94821389314987,E,81.40469440898977,B,-46.772158670169595,0
Single,Mental,237.30952008393467,-96.46366337827173,82.01444750581754,91.21941061534969,-20.80331540720728,D,25.551048843472685,37.01681098161139,C,33.89264740533701,C,-58.39660271764006,1
Married,None,79.49025943866405,88.5339005138002,33.950141748021935,110.03590200629374,-63.17636318743997,E,-68.53729885858746,141.12958445180078,A,-139.39408857562688,C,-146.6335582003861,1
Widowed,Yes,31.40216011785767,-183.38979165317687,-80.11574251990788,-9.214762511832761,-39.70808951496061,A,-22.47789675946165,-235.0896008251469,C,13.64856340923824,E,-3.2182885797753933,1
Single,Both,9.671376379377799,-105.52152445909815,-24.311289005703333,-20.67912919829686,-142.16173020577648,E,-24.727222905257175,-122.22981506232658,D,-85.32170760748664,B,-51.29291935621658,1
Single,Yes,7.439279264241399,94.19734651629246,-92.61513109897778,140.3965829210336,29.501973583829145,D,243.9649284364571,-0.9638269582341055,C,-154.90504011983646,D,99.42581068732011,0
Divorced,Yes,-219.10711262025458,72.72034775752407,-6.503414743979931,9.22794951029681,24.91362563231521,C,-114.11913345898843,23.577593364733602,B,1.7837173802075141,B,76.7709603453897,1
Single,No,-21.762692690519607,141.91082876484577,61.087098393961185,-42.0519718205627,106.71394766704094,D,-7.101466517737047,-64.84252777923054,B,45.082147744351445,E,90.94057959959108,1
Divorced,Both,37.694133897916984,-35.179197078337324,-164.09436141239865,-103.20279423279739,-103.00373984015827,E,-15.618705389043832,-104.0031185220052,D,48.08621230246198,A,2.755569395908527,0
Married,Physical,87.66099544463779,-163.4108298495159,-165.36416165124314,107.11218289626858,243.76262906025755,B,-2.045019602754539,51.76917370353715,D,45.386189992999384,E,72.70446602262099,1
Divorced,Yes,-7.971658890305296,-159.64712508321148,-82.16285844035308,-48.14390410470194,-120.24262831838199,A,38.61476933094054,94.90424616789804,A,60.9866189217096,A,72.59464780291938,1
Married,Mental,-59.27381884692006,-106.22769495530898,79.70268651460405,90.0129675153428,-102.4858364704909,C,107.43473773355794,125.27698595523337,D,-37.53776410723847,B,31.603349425743538,1
Widowed,Yes,65.9919648188331,21.72590043675281,-41.98803212237124,210.31916917451906,168.14768221397537,D,-13.169918233259207,-8.401008583355244,D,-13.29661089321556,E,0.4881652764756345,0
Married,Physical,-4.568874180346886,-113.64056309388386,-104.75378506697992,20.174293034984654,-40.98864771867685,B,158.430208104194,-179.46095837269715,D,-31.97679934243546,A,74.52636467121373,0
Widowed,None,-27.353153436704886,-31.29174676221828,-92.89598798855609,5.464084702778208,-92.98049089371958,B,-70.01001167801802,166.20082067481542,E,169.01339920003983,B,58.62072053459021,1
Divorced,Mental,102.02913821450007,116.06216375224913,-112.11416088888132,-19.704601170684217,39.54544955634354,E,-20.340193508462942,53.60134004243494,A,-142.35147093962146,C,-10.627550198812486,1
Widowed,None,-34.80962857313879,-52.42053684358917,65.28524497354282,33.51448920809933,-318.9617779174604,B,-62.479282305677586,30.667350546645476,D,73.97667075243632,C,-8.298030486258847,1
Married,Physical,-25.22450127382463,27.443753671793754,-17.11676152014652,-145.59379552060327,-31.532311948960416,E,145.3204566745635,-66.12314014625974,A,-206.70103272028095,A,-120.97809250851812,1
Widowed,Physical,108.94172216422979,127.09813730738308,233.10232283992062,-18.277454855078513,-97.14963742497446,B,-96.89477361650518,83.20813923775762,E,-113.62439243467077,D,-138.42199863134257,1
Single,None,52.006452371786935,16.6217757428531,-21.849868697781435,-19.405927346270623,34.23834437294471,E,-115.83349029851804,-107.26089668595631,C,-48.227941121527316,E,-92.73273733935213,0
Divorced,Physical,-37.30410080813576,-44.12399768948341,51.89410781535296,32.63179101938295,-88.914734373089,E,-96.78975646131047,-111.44015622903612,D,-52.33989139608407,A,48.2340605422398,1
Married,Both,71.92602019697036,65.92659190809263,74.25649925504023,-56.20406493266383,50.96184926502628,A,-78.8291698250758,53.89075754764585,A,-156.76444097965097,B,23.701911905828695,1
Single,Yes,-32.52242547173046,42.692821431310485,190.16604771653206,66.83931920021898,43.74124061562807,B,8.934270112874316,-58.38006378102497,E,-93.20862700822033,D,-76.66838527687045,1
Married,Both,27.148375798314706,-36.99952231644163,150.55816856021372,-79.55147508197344,-72.47667576647267,A,-62.16147321096297,-70.65416371046787,A,-40.14346657498543,E,-11.070226570191164,1
Divorced,None,-71.75648935205979,58.702217731764684,-64.30431553685806,43.076808844242684,-47.30071069142992,A,116.98635123477239,-165.0626021992444,C,-74.86451791483704,D,-38.39581444344296,0
Divorced,Both,16.64934878755276,-81.17197615581527,76.37475064600126,-50.31294037196618,-105.1475238552675,C,-27.773617835964572,42.427050863056216,E,-34.98716933441076,E,-95.56633980860988,1
Widowed,Both,-29.79291552398396,102.47273337088461,17.51958120009815,85.16555092850713,182.70167536898992,E,8.1038326487828,-17.186412776405614,D,-50.799044951404326,B,119.21366922122205,0
Divorced,Yes,-10.923231650617668,91.14338538944455,-77.00344583528819,-14.889420655074934,8.549204036041578,C,261.4704630018568,60.76081391686419,D,-84.21041044299827,B,-53.37425513763998,0
Widowed,Mental,68.67944224256979,-120.65135466555066,122.91523848734516,193.48943513568418,-119.14753908113833,D,-218.25316145352102,110.49718853286011,B,153.9847198475593,C,59.98983168388514,0
Divorced,Physical,74.61589809662082,-74.19497471971961,30.191509739210147,-51.66565785038061,77.07062532435963,A,142.13048212857876,-91.90247672217419,A,-135.1307508885654,B,21.096224442833012,0
Single,Both,62.37022344957302,-115.86808202450037,-60.91331953885152,-153.46862836823595,243.36141072212905,B,-48.517741449326365,-72.3597091558898,E,132.52481019709796,B,-70.22907133504843,0
Single,Both,67.7677227493271,-92.49499060986838,-86.0873725470926,55.155480666254284,-115.93010787551157,A,93.16552025118584,-244.14639898089644,B,73.14895595191996,E,95.5550771914775,1
Married,Both,-125.16344486267626,-95.50679330848205,6.230862555145562,-18.179827249310858,-26.54439859195703,E,15.425171761547402,-44.77039118388704,D,121.93850240945767,B,-12.887975437305442,1
Widowed,Physical,15.056666705876202,96.2377962357144,109.30974318518408,74.37356220399745,-74.29706587349494,D,-13.319526207451371,-99.53303584827174,E,0.4109620771407113,C,131.67193045888908,1
Widowed,No,-20.934530275226233,17.532250990961458,200.28923830160238,84.89519769053146,71.27489880006296,B,-143.29192465373976,41.57704421466072,D,-91.58434044930296,D,-85.3833694824141,0
Widowed,Both,-18.576836163956237,48.72919023156825,37.91230208992648,-29.37449499905844,-159.04285968295972,A,-11.939313201633478,67.05089311979172,D,175.2996632483476,B,71.92229151658421,0
Single,None,-88.39684743144115,101.15546532669315,126.49129900016094,-50.05503900809642,20.449099418065327,C,-126.35318453185872,86.88226995601039,E,56.11061139807061,D,214.12655767494897,1
Single,Yes,77.94336799010789,-68.66350132628281,-26.2722966571168,-27.367508654939243,-62.50721438435621,D,16.255081010500973,-12.287239608649742,A,41.23285034813478,C,-27.39599671304065,0
Married,Mental,55.18536300099661,-1.0095942757086644,-39.3313428982035,149.09557086388173,89.08216966551379,E,-104.98259584441251,146.68777957829624,D,332.62278786656213,B,-0.09562489102541023,0
Married,No,47.31231231623235,-9.209791970317372,68.56122491421107,102.3006935068975,-101.90392848420542,C,-125.17976781478868,-93.37864415463616,E,139.79322663597048,A,-117.8210241851222,1
Married,No,1.2705608762935723,-29.868503711846213,-55.31404896760881,-152.504031508823,-79.76504868482418,E,-119.37624141319496,50.60398707834792,E,-28.613208179945993,C,-191.21024582985788,0
Single,Both,-49.655364289538944,-186.01192776066677,148.4436591911769,-136.38359432681818,33.29016930636999,D,41.34108277531753,174.5585988897942,B,60.6903963202606,C,9.807964035128972,0
Married,No,70.74190933309768,-114.04664221196789,-9.763288693457184,115.26413241985969,60.04121929720638,B,-12.057058636868376,-11.697875045178307,B,41.17789975607419,B,34.3793323309913,1
Married,Physical,-17.809543825720766,188.56210964963867,22.89014865109499,77.2534374375091,123.70736437839153,C,105.77636581105337,-28.344338796271224,C,-12.56254608997127,C,-13.101705363693089,1
Widowed,Both,-13.999784944512852,35.99202058942548,-30.0054991575643,-211.079306267196,76.32978507372913,A,212.5960555440256,-219.37088851219585,B,196.0429937989323,C,5.04562639873342,0
Widowed,Yes,-102.50665313601861,-0.2847722650872192,126.24624648707987,151.57880994807132,84.06646246738214,C,54.74776165123809,157.8308894601793,B,4.5991963780638825,B,-87.07843174121801,1
Married,No,-116.22716909065612,-103.24326794649934,98.6840561192847,-65.96683416535255,236.73232115150694,B,-76.341709823975,39.843783385426676,D,95.54910735148528,E,-46.41952115750666,1
Married,No,-31.74208001364328,226.0355675942614,-102.21235423785957,-126.21068149868233,145.25211572931713,A,67.23942958590867,-113.88608776890439,D,-11.847249911792805,E,8.101498271717672,1
Widowed,Physical,-46.196967293032436,-328.67459452747806,-34.559136258931034,133.9699247679939,-32.89272296780138,E,-2.5165325711823514,50.48214065572269,B,85.54624125732977,E,-111.80352487456608,1
Single,Physical,60.13681638091105,-41.43970672078644,15.825829267765206,-38.60143021664861,60.881290286824374,B,-113.6499579444816,-12.616377281349225,C,119.35057351712273,A,16.109008603681474,0
Widowed,Mental,-213.19666980481006,-20.513634620418912,112.84339535636299,113.97219901512602,-10.829766711901309,A,-33.24902642331345,119.97725235607899,C,16.50028802191293,A,197.7081219979135,1
Widowed,None,-146.23567083546473,-22.861071103220276,129.69694676443063,20.700430133060248,-12.87698920582434,C,-72.2954722338386,42.769055657589206,B,-47.59877868464618,C,-45.78320407204129,0
Single,Yes,-180.9064262043004,-42.1933258910231,-65.95665085025682,-157.2880368079908,114.09252941865347,E,-126.44498481305526,95.68008495387593,A,-38.727627809150945,A,-71.05041453155346,1
Divorced,Yes,20.727773743183366,32.12097469756327,243.63061143891574,108.98751781244074,-60.35740918076776,D,-189.03995699690182,105.40542607061066,D,-9.002903031911465,E,-142.26286278792176,1
Divorced,No,-28.92490650709983,-70.15288082364646,-0.0880441833982998,-38.73779138264109,-33.170412861744154,C,73.66518768800276,-141.31560375542333,B,-10.02411563144786,C,170.17795083229797,0
Married,None,-5.155219388042715,-19.533544626187044,32.56830516956274,-24.155076182726486,-8.02650007174312,B,143.7736164058238,-225.98939782933755,B,139.61520895559894,E,-106.76436600830029,1
Divorced,No,-21.588304731466017,29.949061153282752,60.65993017834397,112.68837197628103,-8.360830859211392,B,-83.74131351666317,108.20948899446377,E,159.60433953151468,D,-99.86615563943248,0
Single,Mental,196.86656167116757,-41.31455520639163,-156.73634344068094,-19.525191535518545,-51.030918257422485,A,-142.25025824032593,69.06300366895393,C,-58.13296276311202,E,63.89735651722018,0
Divorced,Both,-72.5801295197981,-226.19124270597774,-135.63249243761965,16.114274432700892,143.59077356165005,A,16.441719646999378,125.85327742154458,D,39.02983850860434,C,-17.863541831078926,0
Single,No,20.616586536578925,119.65805751703675,103.58476069096778,19.59542247629172,22.921799047463992,B,-79.10975804630742,-2.178045473055806,D,-23.72676535827925,E,-90.6802909976312,0
Widowed,Mental,178.14082404475403,-63.15602278060679,105.71820035485173,-70.66962521833867,-34.090479189002124,C,47.50387558996205,158.65249028535098,E,-16.304550582306614,D,27.630530156429778,1
Married,No,70.75031194326435,131.82265709912443,113.51923821469019,218.18623075775574,22.08868285697928,E,-20.798157546731723,-17.36823679230593,A,67.54937611226973,B,-31.67635982214464,0
Married,Physical,-63.00546226068244,84.86638834057958,103.96952411822559,-20.81899531597288,-21.354864153046705,E,-152.0237063475513,42.87339365681943,D,-159.78284906322398,D,-79.52318733531067,0
Single,No,108.32560357451915,15.192586280801109,123.96424762059786,60.03568702005908,30.3954477976644,B,67.3740499387281,-10.822884530037458,D,-224.31986610056097,E,53.97823635138555,1
Widowed,Both,83.08123724721722,-171.78616399668297,-36.616394491844325,-78.36084415688971,64.63783622678932,C,68.30565722731514,-86.63037488220363,D,40.649184344172,D,-8.109700070376187,0
Divorced,None,-5.7445194736337575,51.72158171033276,-43.88647177367872,-94.88869534496447,24.468490604208885,A,-77.0439767836797,141.15481038306845,E,-67.98610537034689,B,21.201398725120786,1
Married,Both,59.24902980810983,45.588797898176196,-96.72346058475712,11.275784255717873,-32.24516434590548,B,-73.47133884672263,56.15691329318775,D,-119.37801266692858,B,69.05816190709973,0
Single,Mental,112.51255027856297,-9.356521113885808,108.02890756517169,-12.018228206677492,193.88668086820334,E,-142.06635751454678,-114.2898592658149,A,-69.5395185305917,C,-14.924784935110843,1
Single,No,-185.52577628966782,99.55982747744133,42.3557731580197,-142.52990472889405,-128.37624364972925,E,49.1386262218429,-4.857433880362376,C,-113.82994665174076,A,16.28788418097386,0
Married,Both,34.864987587396186,-143.34622843533018,83.83259543979237,60.452876534905684,82.9142197374859,B,-67.023035147473,86.87758341112907,E,-29.982492730884264,D,14.544148184674208,1
Widowed,None,-22.81105524512309,75.51896623525975,-50.89309158278512,-129.84138948345716,187.30976657733095,A,11.919223157874818,-60.81317256134259,D,-14.472098860579704,B,210.67172297199122,0
Married,None,-97.2019583556946,-92.7884141068148,-155.948826594231,74.17368419050715,257.88887943091987,E,-35.3119699365444,25.910561442906733,D,91.56019805703932,E,-11.297372767239013,1
Widowed,Both,-189.62387012782133,59.68521999745631,71.55466256642438,-82.75216173375006,-31.978665808801875,E,62.45576749111878,102.43528501829411,C,31.47849695576474,D,-40.325339261680995,0
Married,No,40.8066765171095,14.54524230387639,20.419094152546446,92.61996245979873,73.53884185086861,E,32.06946751494616,-8.92930189210256,A,3.998340775014867,B,55.62140370293076,0
Widowed,No,-17.2278416669341,24.041926230120136,-39.73960530726067,-6.6983863250862345,186.52555930318272,C,238.744891095401,139.42779410825753,D,66.19408010391818,E,47.19924092299392,1
Divorced,Yes,13.319450150135678,-25.23310269011822,-75.10694286832567,73.23693862457066,-29.115350462718027,B,118.77331004431777,9.75131249355005,C,-29.538748551274235,D,-39.67960537650997,1
Single,Both,-16.16196528000732,38.81034362500132,-50.507784539541824,-30.837918660174562,-26.102376647716397,C,60.17282965129793,96.06650038511589,A,-96.05065719016197,C,72.06905004404088,0
Divorced,Mental,-47.02944434680714,-135.59820063026032,120.50580347661818,-93.85757562835036,-158.63676547360234,B,22.56168970739962,141.91724984864769,B,2.8070570654091247,C,20.755244362004998,0
Widowed,No,-101.66072267033084,167.782200296189,-112.1996247488454,-135.2628334770944,74.39515987535982,D,-98.93079344174633,102.37703909368312,A,-160.23017166835825,B,-59.765822220879,1
Single,None,-36.54615553919927,-23.61561559018333,37.21357372100492,-76.96892451196172,-151.47300703596923,B,-66.19646409302017,-95.57041285717027,E,-107.68650486244834,B,109.22037239763279,1
Single,Physical,-21.681030137701516,-164.49206165228972,30.549949951070847,-16.754685574639712,-6.823119956298974,C,13.090715610898112,-32.37012296844495,B,119.59467268759438,E,-83.38484877954461,1
Widowed,Both,-99.60752098231626,26.55129184675975,-24.17033356584534,-46.62453545963139,-41.72212469520908,A,73.00381948730643,102.48448346672492,E,16.411516448421978,D,-58.25318611332811,0
Widowed,No,-22.343048929518915,-147.07897877714328,-156.7425069181584,55.719884026023635,199.19462388102815,A,5.542341071020296,86.61036346817188,E,149.84758086596477,D,56.874038781300115,0
Divorced,None,-68.57728515552311,83.08956132234918,112.46770889376667,-102.53686594522493,-143.1118131252695,E,-83.60687278857154,43.04013349025257,C,86.43616179928217,D,-35.08086864074626,0
Single,No,-3.535694247131059,-71.05208600668016,20.4936282895554,-103.24441655678444,178.6245862255907,B,-177.38711344865655,10.98482016019139,A,68.27425698517298,B,-95.85450457010829,0
Divorced,None,-2.6544145884659898,-118.75017677051389,104.57880270067592,-232.24711233370505,134.55092039121962,B,-73.36973652753896,-45.227875445248486,A,33.11063090586989,B,59.14085950839224,1
Divorced,None,1.8944565506766158,-56.03162459344323,-90.5011667363739,-74.46949519797768,81.88941463208732,A,-181.0826725219738,5.684603644213862,B,-38.30831723094029,B,-20.842429185713897,0
Married,Mental,80.79200789860798,-61.732792481107644,-127.49980496709397,146.93135944868033,-106.52935064743687,A,6.221406757519616,-44.4504849355572,B,-181.2600957119316,E,134.9231280459542,0
Single,No,154.20542238926572,85.31056059423814,167.26157825572682,40.40079139146805,-70.97891080901061,C,56.50121225504166,-91.25193748465425,C,176.98652696694793,B,61.075323936960565,1
Single,Both,-158.0700095069827,23.204965695027056,-74.85246585151812,3.0574347998819604,-142.79627662052764,A,-33.286167838482605,-93.30809198337545,A,-3.8812680626575577,B,-10.222520377417938,0
Married,Physical,100.11320059149658,19.41198146445463,-38.90518025824187,11.292445931433718,163.21423688471305,C,-17.729481186185826,23.794841079567888,E,-117.92708345185036,C,-2.2479635406973437,0
