ethnicity,country,civil_status,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
White,China,Widowed,Female,E,-32.47895633224043,D,D,34.85630550471934,B,130.52983272197048,D,-159.15287477377407,B,0
Hispanic,Brazil,Single,Female,A,-71.06479908568176,C,C,46.52902022913346,B,82.36818817202763,D,26.11526583653801,B,0
Asian,Germany,Widowed,Other,E,20.58024948952232,C,E,-31.147373337665957,E,113.04644392016792,A,-18.974764824667552,B,1
Other,Other,Widowed,Male,C,-59.73612348214866,B,C,-13.39901510104109,E,98.31904303588304,D,105.99319611343128,E,0
African American,US,Widowed,Non-binary,A,73.1377952817338,C,D,-77.28322875759207,D,16.781677214034765,D,211.132214542544,E,1
Asian,UK,Married,M,C,155.14980519539876,D,D,113.34295554061735,B,-94.50833673763245,D,-17.946359809924026,E,0
Asian,Brazil,Single,Non-binary,A,-100.9779502742712,A,C,-99.7598214540457,E,27.056885786208813,E,81.91840038020051,B,1
Hispanic,China,Married,Other,B,183.33782704237566,D,C,-51.65933390700356,D,173.62118933905907,E,126.026967060563,B,0
African American,Mexico,Single,Non-binary,A,41.06909598850779,C,C,-79.4550084265083,E,57.44824713002939,B,-118.56402211150548,B,1
African American,Brazil,Divorced,Female,D,-217.58185414736025,C,C,-72.63121643964648,E,-280.38298974886965,A,-52.29603927204297,C,0
Other,UK,Divorced,Male,B,-96.55912152812012,E,A,-5.347399510974806,D,13.32468001922367,C,29.962433958511614,B,1
Hispanic,China,Married,F,E,3.043824552701271,B,A,-40.92608894639549,E,261.86931553690994,C,-121.51545361233869,D,1
Black,Other,Divorced,Non-binary,A,-21.13826564242108,C,A,60.29923757923875,A,83.5719642380571,D,-95.12607924935463,E,0
Black,Germany,Widowed,M,C,-83.00850965152222,C,B,-41.84866875601174,A,-86.0050549942463,A,-62.30696412579139,D,0
Hispanic,China,Married,Non-binary,A,8.889252390457544,B,C,71.15970008795517,A,-65.20084877885914,A,25.667180216983525,E,0
Black,US,Single,Other,B,69.67948986324134,E,D,-128.87646537574676,C,-133.13588567974057,E,-24.55666654222879,B,1
White,UK,Married,Other,C,-193.21775921390054,C,E,3.127295620935061,A,-37.52211588231404,A,35.80854887826264,E,0
Other,Mexico,Single,Other,C,30.34535740259282,C,B,-93.28196323175929,D,-64.32803410500418,A,-0.38071099766708866,A,0
Other,US,Divorced,Female,D,-170.78513783868823,C,C,125.06011076691412,B,-59.28168630327046,C,138.49854638833486,A,1
Other,China,Single,Male,C,-19.956710672951846,A,A,83.79396962166267,E,35.78576683257545,B,25.57699605741191,E,1
Black,Brazil,Widowed,Other,E,19.15556574529731,D,E,95.03795960389719,C,86.73195087856345,C,-3.624838695438771,E,1
Hispanic,Other,Widowed,M,E,32.86430240279869,E,A,35.95709030676474,D,77.90372204743952,B,-189.79966432745573,E,1
Other,UK,Divorced,Female,B,109.13090811160713,E,E,-126.72860144290922,C,-87.81492704191251,E,46.32777304833756,B,0
Hispanic,US,Married,Male,B,75.17983546362417,E,E,-69.43001627434737,A,-4.574151659438982,D,-44.23286711553918,E,1
White,China,Married,Female,D,120.69455656551382,E,D,33.99756512430608,C,92.03941420783207,E,-5.512428502441538,B,1
Hispanic,Mexico,Married,Non-binary,A,0.46146967656288823,E,A,-45.07060087277934,D,77.60375758917932,E,-72.82606819529698,C,0
Black,US,Divorced,F,D,5.464640021323699,B,A,-236.78603390956238,A,-118.24711623649078,D,259.975749658152,C,1
Black,Germany,Married,F,D,-31.06741356299223,C,E,-37.11932459855467,B,116.51962067149124,A,-133.5550842338653,C,1
African American,Mexico,Divorced,Female,D,3.087675280360648,B,A,134.0410212463467,A,230.59331026891948,E,135.0572940171607,E,0
White,China,Widowed,Non-binary,C,253.2130052928652,D,B,-71.14558257101892,D,103.56201824110718,A,33.24327523076568,E,0
White,Germany,Divorced,Male,E,-241.00240220954618,C,D,-58.47451311105581,A,46.46575772350964,B,-73.27053964310669,B,1
Hispanic,Other,Single,Non-binary,D,13.52642017702933,C,B,-90.47914434780061,A,-29.804993252028144,C,26.186861297556383,D,1
Black,India,Single,Non-binary,D,149.52393559559323,D,E,62.30406622596901,D,31.59398540757748,A,-125.05021526297067,E,1
Black,Mexico,Single,Female,E,59.09190275800118,E,A,22.515335807238294,D,26.19204327980391,A,-23.59928363305941,C,1
African American,US,Married,Non-binary,C,28.743634533730194,C,D,105.81256869056432,E,-124.90436852084612,A,56.809306676150314,E,1
Black,Brazil,Single,M,B,118.81723011138223,D,C,-121.65216851704461,D,-175.70608899133936,A,154.33188370010836,A,1
Asian,India,Single,Male,C,-58.80180458495134,C,A,-73.9715329233064,D,9.710857467781079,A,22.44624380962105,B,1
Hispanic,Germany,Widowed,M,A,-68.8385853947575,A,B,-25.521222297893853,C,-27.913105312148783,C,9.077207445882841,E,1
Other,China,Divorced,Male,D,52.615935853607795,E,A,127.82452824373252,E,-105.16225663696794,B,3.3261597979484665,E,1
African American,Mexico,Divorced,Female,A,-18.4354982378696,E,D,64.45248444022725,C,47.96835325959393,D,57.08796877709968,C,1
Asian,Germany,Widowed,Male,E,-69.09697090712719,A,E,24.628875176396075,B,-100.0582502918337,E,-150.34524972097697,A,0
