age_group,AGE,nationality,Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
65+,41,UK,Physical,24.421179932025712,E,132.15302083857316,A,-87.56373577082391,E,D,1
36-50,20,UK,Yes,-166.11871031641007,A,-27.671428175096622,A,32.840383409830025,B,A,1
26-35,35,UK,Physical,-10.658049691442125,B,14.343013472697494,B,-432.2365193079738,B,D,1
18-25,20,India,Both,103.29476839922727,C,-71.46624906281271,A,-185.39394170018855,B,E,0
36-50,36,Mexico,None,79.26180923080251,E,-93.0342542407114,C,-26.912072370204726,A,B,1
65+,20,US,No,-88.91859139057537,B,201.64263107923085,D,-78.74718143653735,E,A,0
51-65,64,Other,Yes,128.69256961915875,E,-54.3946340433805,A,-58.35104650900402,A,A,0
26-35,25,Brazil,No,-42.758929751951314,A,-74.45312141711571,D,149.91528647944082,C,D,0
51-65,78,US,Physical,-126.13213404100752,C,14.665154758829239,E,-141.20789000079313,B,A,1
65+,31,Other,Physical,67.98083376146354,D,-72.1057498186097,E,-22.5719186115297,A,A,0
26-35,59,Germany,No,96.83913410609046,E,43.419048693470785,A,-120.61506708628566,A,C,0
18-25,25,UK,Both,34.91160947158407,E,174.78232676536922,D,100.45228020225487,D,B,0
26-35,78,India,No,-56.48627379602134,C,61.19846133135675,C,70.28239295117474,E,D,0
51-65,77,Other,Physical,-44.464196157271665,B,-45.77791237356657,E,-52.263863395614464,A,A,0
51-65,29,Germany,Physical,-112.71875461444867,B,-38.967520187511326,C,-32.24888976408471,E,A,1
18-25,21,India,No,-125.99153527285452,B,17.060436764514375,A,78.42094196469994,C,E,0
51-65,49,Germany,Physical,76.02475813958026,D,153.2803907201766,A,-7.505008481368231,A,E,0
51-65,51,Mexico,Physical,-46.427323744300985,B,38.33867433273612,B,33.70103681548234,A,E,1
65+,73,Mexico,None,-140.45083690808556,E,-183.6589970374665,D,159.93449839659291,A,D,1
51-65,37,India,Yes,27.405783892421248,E,-139.40709723892,B,133.2299813632972,C,B,1
26-35,71,Germany,Physical,104.19995199569871,E,-10.639311653668864,B,60.531529369494606,B,A,1
