veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Veteran,-138.05779055427485,E,33.22042860300036,E,-60.28550319373146,B,A,E,D,D,A,1
Veteran,-10.706792236125553,E,-54.46460719714167,C,23.13688073578811,B,C,C,A,D,B,0
Yes,76.35627971663126,D,19.646623848000534,D,-37.5908258406049,D,D,D,D,A,C,0
Non-Veteran,-116.39198888707136,D,-9.315251541977844,C,20.9393972085922,D,D,C,E,B,E,0
No,-86.70659045533083,C,154.38859272216197,C,-154.79300187506658,D,A,E,C,C,A,0
No,-107.59345843185015,A,-32.114672965501164,A,-49.360609813438636,A,B,E,A,E,C,1
Non-Veteran,188.0753347240357,E,21.88540417709717,B,54.576233645601434,D,C,E,A,B,D,0
No,6.724730138993464,D,-61.1128380500544,C,111.76847360949738,E,C,D,A,B,A,0
Veteran,345.9567005164673,C,-10.32562231340501,E,-82.55204475158979,A,B,C,A,A,A,0
Yes,-93.02501718042629,E,-83.16517928368813,D,25.28060521175639,A,E,A,A,E,C,0
Veteran,55.14317888409106,D,-178.69904828211006,C,4.541712519780042,B,A,C,B,B,D,0
No,48.66871892735071,A,-129.45945000291084,B,-22.604728699771183,B,D,A,D,E,D,1
Veteran,135.64389667365262,A,2.3266658556322586,B,-117.82954205410398,B,B,A,B,C,D,0
Non-Veteran,177.54012950367832,A,-73.81257781214276,B,89.49541011309479,A,A,B,B,B,C,1
Non-Veteran,-5.85480022194378,A,16.267623535064928,B,7.404699325138951,C,C,B,E,A,B,1
Non-Veteran,-143.66057418822788,D,-32.22209974149685,D,-40.4090779954438,C,B,A,A,A,B,0
Non-Veteran,7.53068061558855,B,-91.28337776770657,A,-24.90367568505563,B,E,E,D,C,E,0
Yes,-127.56338621577011,C,-2.8567742096855375,C,47.90679794036705,C,D,A,E,A,B,0
Veteran,35.2769357061658,A,-29.90129660524698,C,93.89359193442586,E,E,D,D,B,C,0
No,-54.557254770128395,B,11.120282773753507,B,-76.46182841308449,D,D,B,D,C,A,0
Veteran,-122.29855725708309,E,-204.17316868883896,D,36.959551315874556,D,D,E,B,B,E,1
Non-Veteran,-132.320992369876,D,-100.6943366529041,E,24.681294367294868,D,D,D,B,A,E,0
Veteran,74.60183463126714,A,-182.67377658167143,B,-37.470196658989956,A,B,D,D,D,B,1
No,110.71144089145501,B,-78.83295004436657,E,30.69963169070568,A,A,D,A,B,C,0
No,4.518500544344441,E,184.0924997326056,E,26.461299517422987,D,E,A,E,A,D,0
Veteran,42.26253192013593,C,156.44518470136467,E,100.99464319174083,A,B,B,C,D,A,0
No,126.7919868857696,A,41.07442458574733,C,-29.19717527813076,C,C,A,C,B,E,1
Yes,93.40500858200826,E,132.81021298595118,C,51.86068875579449,D,A,C,C,D,B,1
Veteran,51.04261880152083,A,-72.98187402068163,C,-31.893807016550042,A,E,A,A,B,A,0
No,-96.15326226837799,E,-150.39728875782203,D,-27.905912575486695,A,D,A,E,B,B,0
No,-51.4848308351776,A,66.34761940385758,E,78.4770902786393,B,C,A,C,C,A,0
Yes,45.887777503189575,B,-117.93861523048481,D,-25.89332203070891,B,E,D,C,D,C,0
Veteran,78.82607148253317,E,-12.55097425003265,B,88.0123572383889,C,D,D,A,A,C,0
Veteran,-34.90285616438839,B,-36.07934349464918,C,65.81398957799574,B,B,B,D,E,C,1
Non-Veteran,-99.59086464446166,A,-8.122540148738079,E,-159.93631470033102,B,C,D,D,E,E,1
Yes,-215.73538069570964,B,74.05733807244145,B,-5.923930722681922,E,C,E,D,A,D,0
Non-Veteran,-172.1931783098351,A,52.76219407373033,B,155.39087164869332,E,A,E,D,D,C,1
Yes,56.26913712040788,A,-1.3379558681604578,A,-21.50153686936084,E,C,A,C,B,D,1
Veteran,3.970531102051901,B,77.69653783446105,A,118.8359500560191,D,D,C,D,E,B,0
Veteran,-117.73746577654785,B,-98.11399530709853,D,-25.95804000084473,A,E,E,D,E,D,1
No,-91.94505220554795,D,110.35009975203032,B,-204.01639163750468,C,E,A,A,A,E,1
Yes,84.03513849981987,D,-56.089367294661784,D,140.3005494193691,C,D,A,C,E,B,1
Yes,-127.75684437309502,A,-14.110360997315224,A,-47.21710303334793,E,D,C,E,D,B,0
No,150.77260064893716,A,-157.48834947852077,C,62.33645387891023,E,E,D,D,E,A,1
Non-Veteran,-60.901555620782176,A,-171.56456539092054,E,-29.800863082042646,D,E,B,A,B,C,0
No,-56.531679603811966,C,-68.39678865220118,B,-100.3716951190583,E,B,B,B,C,B,1
No,-131.4796940408637,C,-200.63926319789132,E,187.52665157654732,A,B,E,A,D,D,1
Yes,45.06199824080235,C,-75.91018222344984,C,85.97916466369603,C,A,D,C,C,A,0
Non-Veteran,-9.952012256374559,B,-169.03258764268497,E,62.986384260853065,A,B,C,B,D,C,1
Non-Veteran,73.39898204674775,B,-60.20967064262308,E,-55.8623316158232,C,D,C,E,C,B,0
Non-Veteran,129.38324897009346,E,153.55362611701045,D,-165.64761778746367,C,E,C,C,C,E,0
Non-Veteran,2.340468193825553,C,63.025358089546536,D,111.04303770476523,C,C,B,C,B,A,1
Veteran,12.398984387980363,B,-27.450460687579074,D,25.026739504328475,C,E,B,E,C,B,1
Non-Veteran,108.10406156366821,B,38.16287408099237,A,-48.697272161039315,E,D,B,B,C,E,0
Non-Veteran,-48.45058685583866,B,122.43518621354137,A,-72.1137799935063,A,D,C,A,D,A,0
No,-96.19832691481882,C,-28.644358874509212,C,-37.510212909780854,D,D,C,A,E,B,1
No,115.80909028894281,A,206.21153029313683,E,-124.97299685720877,B,C,B,E,E,D,0
Yes,-11.565323775088485,E,29.113087878959053,E,-86.20115465722567,A,A,E,D,C,C,1
Veteran,46.207188299847296,A,-25.923718596315126,A,-47.96943884777208,E,E,A,C,B,B,1
Non-Veteran,-103.94762738136154,A,-58.15760859010851,D,226.66086104123644,E,D,E,A,B,B,1
No,-210.03180695631386,A,-36.25216296267864,C,-2.826672188517688,A,B,E,B,E,C,0
Yes,-1.751555576326897,A,153.59641054479638,B,-19.305673549347386,E,E,D,E,B,B,1
Veteran,135.52673149564527,E,-93.03496823365667,E,111.2885728534347,D,C,E,C,C,B,1
Non-Veteran,49.08433832040418,D,-142.8482971059411,B,-25.107289222006713,A,A,A,C,A,D,0
Non-Veteran,12.01192638622161,D,207.74651949076392,B,33.37830728970344,D,B,A,B,C,B,1
No,-270.8479148144754,C,-178.8837207202742,A,93.84751498058233,C,B,E,A,E,D,0
Yes,-22.82491230647736,D,26.231013677576854,A,178.93066007489844,E,A,C,E,B,B,0
Non-Veteran,40.82443544509498,B,19.943092790824146,D,9.206461808994419,A,B,D,C,B,A,1
No,-66.10063002882947,A,27.567968660499844,D,54.936159939820485,E,D,D,C,A,E,1
Yes,-38.66622852292274,A,-87.02124248030486,C,164.3209844949162,C,D,D,A,D,A,0
Veteran,-118.65480577229776,A,-128.79291627329596,E,-163.5128325321419,E,B,B,C,C,C,1
Non-Veteran,208.69115174513618,B,-9.298162781061922,B,-73.36679134890835,C,C,D,E,C,E,1
No,-80.29927969588658,A,82.36257721986215,C,215.1514414755288,C,C,A,E,D,C,0
Veteran,-12.672546820079965,E,40.993644749329675,E,-38.15716282898457,B,B,C,A,B,A,0
Non-Veteran,-24.182988144635374,C,265.85508689099106,B,55.737857973702745,A,C,A,E,B,B,1
Veteran,-41.23675338040794,E,-59.5818824548478,D,-213.26216558104375,C,E,D,D,D,C,0
Veteran,3.781652034167874,A,42.9251818732448,C,-10.857631023029167,D,B,B,C,B,B,0
No,136.43079608843755,B,-42.671557079270805,C,29.004567156128026,A,D,A,D,A,D,0
No,219.92889509924078,A,-83.29608502113872,B,67.9150119277648,D,D,C,C,B,A,0
No,150.26057702532728,D,-81.3390271901507,C,128.19827168718683,B,A,E,B,A,C,1
Veteran,-53.5579575387218,B,1.0129454414690329,B,-60.86093491871368,A,A,C,D,D,D,1
Non-Veteran,196.3167346698592,D,83.34992569481386,D,-44.063618287551506,A,D,B,D,B,C,0
No,111.56878578910761,A,-84.55947456237195,B,-70.0218490685564,A,C,E,A,A,B,1
Veteran,161.308521428116,B,-6.193448159085558,B,103.0128770087543,A,A,E,C,A,B,0
Veteran,130.0147565138215,C,-82.70093981828022,C,-214.34296884439226,D,C,A,D,E,D,1
Non-Veteran,90.05485663264234,A,-134.05348268012455,B,-32.81793037630752,B,D,C,C,E,A,1
Yes,-210.39238496132532,C,35.227916738887274,A,-4.5880470339275385,A,E,C,C,A,E,0
Veteran,-223.3013495403787,B,-53.13461240599786,E,9.585511860972238,D,D,E,D,C,B,1
No,191.17044760618643,C,141.32482010970347,A,138.164310826374,D,C,C,C,C,C,0
Veteran,6.005701952415318,D,-51.13756423798767,E,6.411208857835011,E,E,D,B,C,D,1
