veteran,religious_affiliation,ethnicity,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Veteran,None,Other,Brazil,-7.684577347142542,-149.33046758817287,142.93144493717023,-80.63456347070459,51.48296797248608,89.98731476903387,110.25743565515187,A,99.10119875188855,14.372552641555894,C,35.414175465725826,1
Veteran,Christian,African American,Brazil,49.70410736351461,10.286168324937144,195.47151380723446,77.77153816893538,-71.13350707574575,-31.796556105766438,-119.16359821634286,E,133.85197633648852,36.52157858797093,C,24.82633336484034,1
No,Other,Hispanic,Mexico,64.42194896973564,42.75269287930395,-111.08514697125509,46.85350433397119,104.67560970408113,71.9345651716776,-30.666584375325645,A,18.63127248013007,9.59807624269939,B,-56.309344675069575,0
Non-Veteran,Other,Black,Brazil,112.74354563162308,-4.949825421051001,127.11501985488809,-50.477095975842815,44.64237506192247,74.98170845895761,18.804161676973898,B,29.600193845352557,-83.27929682204243,A,-101.80868548924317,0
Veteran,Christian,Other,UK,-153.37852560867535,-75.11389116790399,-131.1520705783201,-7.502542955239082,48.01564458868824,-60.56806998630883,-93.35238720021292,B,-110.10251691714407,-23.836221295179325,D,-100.21415311942792,1
Non-Veteran,Christian,Black,Brazil,203.291264374812,-60.64756326970057,-53.80098117653127,21.38275798918619,-114.27175086657586,13.81086296459381,-38.79713804457514,E,-22.603458688236334,54.34855617928188,B,-7.807194979019055,1
Yes,Hindu,Hispanic,Other,-24.696630772275793,161.46842250294532,-89.21084677409632,-20.35435365191874,7.013785599567406,206.79291350456174,-30.022641554424872,E,82.09632732013908,-2.0899038261075162,A,-113.97020555981695,1
Veteran,Muslim,Black,Mexico,-1.0123744715253487,2.080271460547883,18.00815141728501,51.04981310740361,18.652778741768834,54.16353915209089,-40.075793473564175,E,-126.35799400867378,115.51021219822921,C,60.98948472254716,1
Non-Veteran,Jewish,Black,China,140.3843555360976,144.77936013991,168.37109080534452,-94.13237679652468,-109.41915730787291,24.77735916282622,111.54824679068618,E,-16.137575706975433,143.6265011348986,C,-92.09431449556628,0
Non-Veteran,Christian,Other,UK,-83.05794698372662,-34.96989906323462,164.68743485314812,50.50145077700521,-31.928366402288518,-18.600151393518953,65.84116846714399,C,-58.42433911051073,-101.480656114578,D,41.48290627945034,0
Veteran,Hindu,Hispanic,China,-130.00685816623582,-4.516476475439742,-8.273238458077738,-38.51008643577554,4.092811328842076,-8.284625317030542,-75.32811680530568,C,226.5386610881082,33.82274276457557,C,83.09620058922344,0
No,Hindu,Asian,Other,-87.50707968672064,-91.44848830498557,-129.51363715415903,-10.059473423293209,183.05576230417807,53.37495055213125,176.11069297907002,E,-2.5610776627501153,-10.251851448091015,B,71.38287243523513,1
No,Christian,White,Germany,184.9459165351233,108.99314292360785,-92.16129972850693,26.7567629676901,-40.838591133977594,-88.93043813784838,46.00924259802524,C,-34.70971590869386,-106.19731106641565,D,144.6628175399852,1
Yes,Muslim,Asian,India,-46.816352368553446,-53.78306039730044,-132.03671569519574,-43.574516036843065,-43.556162357674175,-18.68423591669625,-292.7284599310547,D,-157.7038324541661,150.604407637017,D,-46.231139790704795,1
No,Buddhist,African American,UK,62.0515266407333,-85.28837345641101,-36.437765504777225,33.465116443565265,91.35067302246998,-23.250687443721542,-47.92804543924143,D,20.847820089679196,-8.036747189978925,A,-107.32611131017184,1
Non-Veteran,Muslim,Hispanic,Mexico,-25.851686893728388,24.65818553739403,-51.824979552313074,-4.463775241817524,-188.90277318470518,158.04112593192207,37.43834643045741,C,124.16887190864698,5.447902125621439,C,72.31237134774497,1
Yes,Buddhist,White,US,40.25452385337952,77.65704006990748,25.270396188198223,-112.80408658447705,3.2689303992687497,52.48862906574079,45.66499749436324,A,-278.89597675107296,111.09073665535887,A,34.97068218419548,0
Yes,Jewish,Hispanic,Other,-49.47829387954303,106.00155036324732,45.16392014249144,6.071822366942733,98.41439178834189,44.69243732485724,42.19486319354841,B,-46.81481185756314,99.78107354990794,A,39.43893117725858,1
Yes,Muslim,Black,China,-14.90517057456101,-1.5272399883696148,-28.952095327499322,153.6464901731614,18.021519800694115,-198.45855330590072,16.28501879026847,B,135.67137695245296,-59.26677873655404,C,-38.59678343948474,1
Veteran,Muslim,African American,India,49.82160903366859,-10.846547666640317,-206.70407972180453,169.90646323700125,-51.235519907904994,25.623150561882646,66.43628928366482,C,27.311269683280333,-32.09050742221544,A,-74.5648289851318,1
Veteran,Jewish,Asian,Mexico,97.85028284386628,39.65674344673894,18.87576703525478,31.69726823663885,-48.09039253832662,42.84508193386197,-138.31803069978895,C,-199.70858981722282,44.71254542333013,E,22.405199666025418,0
No,Hindu,Asian,Mexico,-136.11980144566076,20.742776913258293,89.52698306189274,-101.05709961604843,28.76262249197759,69.94084818510213,162.8133633268661,A,-50.591496954327674,80.07511746076726,A,-133.1759209255709,1
Veteran,Hindu,African American,India,14.11208973020062,8.582746135158677,71.81976404711577,-19.14473071534495,-77.01578014634353,-227.09827212597168,-13.612472374009002,B,40.9082042041877,103.1812947993782,A,-46.27970172882836,0
Veteran,None,Asian,India,-113.43620397962795,52.761544721817664,-44.03219941676531,-31.072757004136854,36.08739767115505,25.760686498119078,170.26279845497808,D,228.33913445516956,-38.08881130901281,B,-87.21577208227122,1
Veteran,None,Other,Mexico,255.7664093058555,-27.701695624111345,-116.88711148093883,66.3934152266088,44.17710293272404,65.90967038552253,-19.83911555647629,A,108.99237980834842,23.061208939702002,C,-56.19314122150426,1
Non-Veteran,Buddhist,Other,UK,-18.146212264461038,-139.32987226333137,8.291154128549968,3.135332913212812,66.50450718148306,-72.84287220526004,90.43597206900147,A,-156.3563825907007,155.65828448639115,B,91.96821352465054,0
Veteran,Other,Other,China,124.4181079049487,-100.46985855447252,105.78561104968938,27.13253307449176,1.6184932478668554,95.81210848049476,32.62583933530528,E,-156.7847722222315,104.44679510003112,D,-208.374056362132,1
Yes,Muslim,White,US,-225.82056683916156,16.564739088678014,-27.667683216223715,195.5281253153356,-0.9719942764868341,28.198652904038447,-40.34898856917927,D,5.590513745167375,-64.30272102416033,D,11.101804785831822,0
Non-Veteran,None,Other,US,-132.57408780444965,41.14843763260087,-25.927819934414003,103.74858139882144,-30.45117789296058,2.67639506435705,-55.17846496508463,C,65.02044907711668,-141.52472288717837,C,-41.361424615480686,1
No,Jewish,White,China,163.7493770789163,-47.85279439114161,47.25825696797125,72.09075979838943,-71.06796133338992,-154.44325135746598,117.69722752677964,B,5.468319235165382,-232.85468710216642,D,-69.52047941842937,0
Yes,Hindu,White,Germany,-81.44721975077546,59.94421785016478,-3.742959153338731,60.048163051744986,-19.821250903135677,-97.10456517538066,-61.278378992453185,A,-41.77383393132095,10.727837938905676,C,-225.53450470599873,0
Yes,Jewish,African American,Brazil,-168.4532701846788,-77.99156092728252,48.890767793241594,32.341094958836216,20.155063844081923,-29.724651159572208,20.22302743917362,D,26.741098175273635,-38.945802060802706,C,-71.42299283369118,0
Non-Veteran,Jewish,White,UK,-13.147719244014166,1.6395864654047243,-6.517074973219304,167.4667503771791,47.12226003061623,73.48352931565462,95.66701710045812,D,50.793476726906306,101.79613902154298,E,-37.412835204860336,1
Yes,None,Hispanic,UK,-108.39126486250925,78.23945130213362,-36.81190315781238,-217.14218100345533,-95.49877668407338,118.07541284621333,-52.61245409507049,C,53.38983616711076,-76.3647760326984,D,-55.812571257451836,1
Yes,Buddhist,African American,Other,24.520860759772823,-42.76114516122612,5.226057259443355,-24.92331476071551,-8.86562819589427,-64.48857862181589,-5.92640092028747,D,-184.4516208853136,-92.00560794099918,A,6.743170034586927,0
Yes,Buddhist,Black,Germany,-114.11042684833023,39.32349567589069,-45.56871291533494,92.69540976906276,142.7787123746025,61.32118466136639,80.41579774323172,A,83.2029505580058,19.597364398438913,B,-39.23067842417139,1
Veteran,Buddhist,Other,China,94.24061613561891,-96.02438742562684,-165.47833920898975,58.563909004661326,-286.4084153133903,-51.19709634101667,-84.65739146332601,E,-30.038661732863265,-128.15663519726516,D,180.28882791569768,0
Yes,Christian,White,Mexico,88.07103266984066,219.9432582687157,66.42846321197709,15.135087728174565,77.1620192976396,83.37067090876444,-85.23711715234619,C,27.243146490435883,-94.78486979148141,E,-42.05500234054257,0
Non-Veteran,Jewish,African American,UK,152.64890590341474,-102.83194039604734,-132.64677620806768,178.4925855684874,6.956183904851736,-177.4568575852379,-66.33928771616362,E,192.67648587111623,-85.33111290779924,C,-174.39364700103414,0
Veteran,Jewish,White,China,-21.619157929897675,13.12471331839101,49.833331671865125,76.91232968093442,142.8785603866314,116.40043452956597,-32.398752772967896,C,102.9629813191854,-27.000334010263817,B,-185.3586559470528,1
Yes,Jewish,Black,India,180.75225354491272,-204.29447767190135,-9.82635304772165,21.993544310230607,-60.20075992681249,-82.7457441842539,19.531722635933363,C,88.30895677156012,-338.2826154674092,D,-201.71891659069655,0
Non-Veteran,Jewish,Asian,Other,-97.37682142868573,-58.66227235390519,-32.962402933549406,25.90852761855943,-35.091234043605745,20.9758138535437,12.170532469538676,C,-195.85138629874123,162.73839946627373,B,103.49649665313547,0
No,Christian,African American,China,-33.78318320585442,-11.067554532081658,131.63781461519383,15.370230921210801,-135.29623179394318,-54.5380670763774,27.46127427630625,D,-10.447899976663571,20.88486630963431,C,-9.857788742249141,0
No,Hindu,African American,Other,-136.95698322300078,-109.94279962672671,-60.710986376965316,-56.7977085624205,-77.69173559729055,-86.61872865827371,107.90593014685139,C,0.6536315243780475,-127.65527270101902,B,-238.8070125842978,1
Yes,Other,White,Mexico,-67.67080316819188,57.04800368958121,86.43320442459887,33.31653142856788,46.98720640820826,-130.37813650681582,-27.910410669255548,E,-47.613475591373785,177.01589261226846,E,10.842269872037955,0
No,Muslim,Other,US,-90.7476245432057,98.85930534620123,99.9328926629565,-111.46434507111603,-116.83372838558942,-104.28514434803913,-6.0431633398626445,B,-111.54445208296706,66.01864683201558,D,90.87414338532574,1
Non-Veteran,Muslim,Asian,UK,3.719341500897945,-110.85257446918024,-208.6787451046243,146.79639968673922,5.319496867076441,-23.850856245416765,14.41805194162461,A,18.17662706211626,-7.438652377147004,E,100.08200747431042,1
Non-Veteran,Hindu,Hispanic,Germany,215.44936585862774,125.41507009340617,-133.4868933020152,-117.94128589099589,-97.93013621919671,152.93535921917177,-125.34220246908436,B,-124.28813040227726,-45.62211875004332,E,26.974539197035373,1
Yes,Christian,Asian,China,-25.51311570337726,179.66602074912603,60.72684195131367,-55.30946821882677,-46.755590718688,-114.16055281941453,130.06555359375182,D,24.490251478636505,104.61106723471656,C,-56.187111525365864,0
Non-Veteran,Christian,Other,China,-65.27687403132683,-55.282609040606005,-28.681815684704056,-80.17344680351255,90.71901181387784,43.517978030100736,93.44744163236103,E,-329.74102505705383,235.6532301513683,C,106.40750675032542,0
Veteran,Jewish,Asian,Other,161.07098160037202,-37.53714588268937,-113.98277234069644,-50.12489146637091,-29.403213200890804,-55.29365609370831,86.99791042797226,E,-151.69860647747515,39.872509324537695,E,44.61532268203426,1
Yes,None,Other,Germany,24.60578524137434,-92.1108607542205,100.55490586852594,259.8730571923103,-24.034671549717444,35.79865218930758,-30.819599333215457,C,-48.14383604230785,55.30469321816523,A,30.81296087280057,0
Yes,Hindu,African American,UK,19.293835700273824,171.00845865664948,96.15188469149737,149.1905178751638,-33.83808900776587,-18.6788874829878,-27.050098433354318,A,-180.72025090790197,-38.588610563473104,B,87.86544241030704,0
No,Muslim,Other,Mexico,73.82909060436621,-4.6298974656020935,-97.30008564852601,45.32052474262591,98.32567159911146,118.6196320445865,165.04719370920645,D,-102.29075020863093,-87.85470897913301,C,74.80091630347346,1
Yes,Muslim,Hispanic,Germany,185.9694732928842,44.31352821234921,-136.76081100590892,-182.2539105789858,217.55134135531463,-107.41079544137433,43.7497065713625,E,-9.992344691996461,-109.26389269688768,D,99.00205252980255,0
No,Muslim,Black,US,-62.01818924411706,-1.3538596610265772,-17.312499885510295,-130.67471210654634,-2.2188736923772154,-8.136386131761578,67.32542173379841,D,-7.42525804210824,95.6488632118456,B,-73.57640590217778,0
Non-Veteran,Muslim,Other,India,78.26129738600983,-220.31448920298126,-12.103470941954011,76.93953753178523,28.468964357679877,104.36406515161096,-8.542875582010875,C,95.02707921819352,-43.732113471292536,E,-128.65310206468263,1
Non-Veteran,Christian,Hispanic,Brazil,-11.043375680135297,-74.71462941983438,62.87281991481779,-5.5690646876257945,70.99830262868913,-81.09222466290254,-93.47006584544847,D,-24.474630912689616,28.251089812027825,B,-77.89828163547827,0
Non-Veteran,Muslim,Asian,Brazil,115.91485855795165,111.4383568179287,71.63927587164135,39.12548061854121,24.603625313604873,-60.02160431439629,61.842554741769426,B,131.72712205177092,-94.17881755135636,C,87.08315783274043,0
No,Jewish,Other,Mexico,-74.55592234842176,217.72481727720537,32.927755609574696,-6.073669257855326,-212.8180637623658,58.0695773821738,43.57370586244777,E,-16.7652245714661,-52.75380905086111,E,172.44865133717516,0
Veteran,None,Black,China,18.693400369233697,-20.680892312663804,-29.403104875981374,-112.25396795707468,-108.12649788748698,233.73013626077562,22.387407808718297,B,-77.45812502780598,53.58160456334235,B,3.212442720761763,0
Veteran,Jewish,Asian,UK,53.197793316776966,75.32552635416002,32.92810330394303,42.791765570287374,-101.78510638000984,29.696842074980612,257.19550107016914,C,117.17816300704314,-71.12098931184244,E,-135.4156092594966,1
Non-Veteran,Other,African American,Germany,-23.15023848916717,179.4148925761226,-96.98218169315183,-81.86077636441527,-77.78321435543035,-92.94435026600685,-27.12914000072685,A,-69.70962522048075,71.16904314502173,D,87.95249897483306,1
No,Muslim,Hispanic,Mexico,-27.119708974766016,50.578692295931816,28.584452876436885,25.752210524222065,-129.73199304254896,-116.17832655606541,-369.9669704889817,E,55.07370357653323,-71.50021078183225,C,42.30786085106504,0
Yes,Buddhist,African American,Mexico,273.8499175711251,-9.34498959698905,35.32563454411978,86.50665133494489,-47.62611185400418,112.62322772045196,104.27129345458339,C,56.11220321043998,-208.59768610987447,B,-23.58556479558113,1
No,Hindu,Asian,Germany,-80.7474564578486,-67.96597759240228,-100.4784959632201,-126.10018755944658,59.950875491034225,15.293143053567787,-24.759505444737172,A,-59.26123126160678,290.801318369239,E,94.2251495074643,0
No,None,Asian,US,142.45506204889844,42.00417504385644,95.59787289361292,-97.6603145110351,-71.58025921945895,-49.49646553654925,-42.19978356782674,B,-77.35615076023218,236.97037597374498,B,-93.59314665830071,1
No,Buddhist,Other,Brazil,7.048193097014183,95.22715683415387,23.44923759808907,-43.03129773608567,-165.3135482995914,159.32744564492643,51.04564052222883,E,-4.036071104474358,-14.249617839243776,E,-113.97489261949927,1
No,Buddhist,Other,UK,28.03255444629672,-31.88435227716471,29.32361585919658,-222.71005383000832,-35.80193981122297,44.62513356052916,81.72412543190451,E,122.9602654524388,-38.48305958044602,B,63.490622510476555,1
Veteran,None,African American,Mexico,47.685169483581475,-78.1085655602752,125.12110389067446,-24.141729167491842,-80.96298269850935,-94.66331810517347,-15.133631169069597,A,195.75664124122457,-8.491467521063639,B,38.6515185155292,0
Non-Veteran,Muslim,African American,Brazil,-50.84853196391808,3.3010693305159626,-42.89431776874328,-38.10795033052927,52.51183342448059,1.1593266711732955,-18.461311497701377,A,-74.01736073312638,-27.152358182016407,A,5.895263789230625,1
No,Other,African American,US,-16.861290531853143,-205.08934229884278,-73.77528563160536,-110.65668600627558,-181.06001364215967,-207.16166061816745,-84.15461673398956,C,-81.82191592684728,-251.06655533431442,D,-32.93129166366961,1
Yes,Christian,African American,Germany,92.47977635573264,30.114472357804306,-10.780404079747068,-97.07591680000998,-58.26026840797752,64.79819923142114,12.125137461970434,E,-29.291274797753175,-7.99482190335028,E,75.71764477095911,0
