Disability,Religion,Nationality,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Yes,Jewish,India,Yes,-38.9399628598969,64.88899136218726,4.672703380988396,E,E,C,E,1
Mental,Jewish,US,Non-Veteran,4.619580805403433,36.52022885323591,69.21268747292937,D,A,A,D,0
Mental,Buddhist,UK,No,-130.13149236703688,-84.68093616575075,85.70230959602173,A,E,D,B,0
Mental,None,Brazil,Non-Veteran,-108.4277400052707,-124.26308734559251,45.94152667105614,A,A,B,C,1
Yes,Jewish,Germany,Veteran,54.38272881687176,122.39786411270606,152.6802932242048,E,A,A,A,1
Both,None,Germany,Yes,-3.510012791352373,-51.631173848196376,-60.25245496134764,A,B,D,A,0
No,Muslim,Mexico,Non-Veteran,187.80117729413936,129.348502807076,50.33615886486263,D,A,B,C,0
No,Hindu,Mexico,Yes,-27.86168349327393,181.0859653018744,-20.79885591452831,B,A,D,C,0
Physical,Other,Mexico,Yes,-59.09757388804333,-214.91782117616788,164.94935492054492,B,C,E,A,0
Physical,Other,Other,Veteran,-81.41246849805509,-99.77461069107936,16.632017679393066,E,E,B,D,0
No,Muslim,Other,Yes,-33.982512731418154,7.5892283155238776,99.52761881756199,B,B,C,D,0
Yes,Jewish,US,Non-Veteran,-51.16843416042515,-54.64614587011272,-62.8535242659062,C,A,E,B,0
Yes,Hindu,Other,Non-Veteran,67.40326404836291,115.5863131649225,-52.812508007562506,C,D,D,C,0
Physical,Other,UK,No,-75.55329284585909,-67.02542441356337,46.33753713165441,E,B,B,B,0
Mental,Other,UK,Non-Veteran,156.15953182199,-25.451246667863114,-124.1648121498492,B,E,D,C,1
Both,Hindu,China,Yes,54.075340634795324,58.93255676337458,5.703640277370243,C,E,E,E,0
Both,Christian,US,Veteran,-132.5667182208196,15.680991706196668,-159.18264577810461,A,B,C,B,0
No,Jewish,Mexico,Yes,-38.91787416092194,-4.273239655164045,-87.90482194438627,D,A,B,A,1
Physical,None,US,Veteran,-51.33960488241564,-169.79873469880783,22.350676255637154,C,A,C,A,0
None,Hindu,Mexico,No,-28.78854583252294,163.02777727893238,-102.318325847112,E,E,E,A,0
Yes,None,Brazil,Veteran,-60.64301284344993,103.32928123182694,-11.051107568733382,E,B,B,E,0
Mental,Jewish,Brazil,No,61.16380251096204,43.84609855460253,46.70072367483344,E,B,E,A,1
Both,Jewish,US,Non-Veteran,-44.15436521722337,-32.463565581698745,120.52435428567942,D,A,A,E,1
Yes,None,Other,Non-Veteran,-40.808069594774935,-231.95201297338045,-139.14078877661836,E,A,E,D,0
Both,Other,Mexico,Veteran,39.27781501224094,13.403240484794967,73.49502614978243,D,C,D,A,0
Both,Christian,Brazil,Non-Veteran,14.02981270976597,182.29165775037924,-14.412928153484023,A,E,C,E,1
Mental,Christian,US,No,133.69977379503268,53.39394166192798,63.120751083694024,A,A,C,D,0
Physical,Buddhist,Mexico,No,-54.379250947117896,37.94530052028635,11.805944481140127,B,A,A,B,1
Physical,Buddhist,Other,Yes,-38.25801563600569,-186.42922466768155,-94.08387742810974,A,B,A,D,1
Mental,Muslim,India,Non-Veteran,-191.65272290553878,-109.42761177056637,76.30356962947428,B,A,E,D,0
Both,Christian,China,Veteran,-59.36938723871856,-34.65694130038063,-123.01939441181808,E,E,E,D,1
No,Christian,Other,Non-Veteran,153.31014443426045,-111.45653610423294,3.4667121169330755,E,C,A,A,1
Mental,Jewish,US,Veteran,4.988639930451333,-79.09941169847893,58.60990830414517,E,B,B,C,1
Physical,Hindu,US,No,41.31989982679719,-227.09255429768086,164.78484098978709,A,D,C,E,0
Both,Muslim,Brazil,Non-Veteran,-28.3234302240125,16.33019245912063,-47.61397224139643,C,D,E,D,1
Both,Hindu,Mexico,Yes,62.894073195428746,17.77078969634486,-57.64817622260496,E,C,E,B,1
None,Christian,Mexico,No,-58.03472446870508,-60.6193509332286,3.353100721569293,A,B,A,C,0
Yes,Other,Other,Yes,-168.41550495141658,-120.94486157422838,-87.45718336029353,B,E,C,C,0
No,Buddhist,Other,No,-13.159551332354857,13.352623334894897,28.89506121335193,E,C,E,A,0
Both,None,Germany,No,-48.71745226656935,-139.81138188663567,1.6459321182386515,E,A,D,E,1
Physical,None,India,Yes,104.48696372894379,62.94375155311086,53.127459661829725,A,D,A,D,0
None,Hindu,Brazil,Veteran,-14.972054508782398,-127.05402440315538,53.62858945195522,D,D,C,C,0
Yes,Muslim,India,No,-10.312797450165952,45.80610317251446,-89.76641129181544,B,D,D,D,1
Both,Muslim,Brazil,Non-Veteran,185.5919963622994,-41.07410064252985,142.84778971053325,C,E,E,E,0
Physical,Buddhist,Germany,Non-Veteran,40.93873430563557,-260.0459994108452,75.93449200333728,B,C,B,C,1
Mental,Hindu,Brazil,Yes,-54.31419043844624,-38.95991447862553,29.18553658577706,B,C,A,B,0
Yes,Buddhist,Germany,No,200.08193283619065,-160.56893199219428,139.7217263091436,D,C,E,D,0
No,Buddhist,India,Veteran,-168.295781886423,3.019300453417756,-15.247631443264789,B,E,A,C,1
Yes,Christian,India,Veteran,-39.92557421442574,-322.3345748923077,102.80427677313601,E,A,D,A,0
None,Christian,Mexico,No,6.469663953647924,56.34437620069792,22.77215544196991,B,E,A,B,0
No,Jewish,India,Veteran,70.64449809870904,57.237203113739156,-113.11358953241599,B,D,D,E,0
Yes,None,US,Non-Veteran,-25.942582263919455,-33.01147850325466,89.98550526955597,B,E,C,B,1
Yes,Christian,US,Non-Veteran,18.02385368054149,-92.81026226006634,136.38806794325373,B,C,B,E,0
Mental,Hindu,US,Yes,-44.8478424371501,-36.204060779998606,5.061259355025579,A,C,A,D,1
Physical,Hindu,Other,Non-Veteran,-59.10441123434615,5.326537561221033,69.01207141427984,E,A,D,B,1
Mental,Christian,Mexico,Yes,-25.268300191300124,-60.57583453344252,20.373525223522236,A,C,C,D,1
None,Hindu,India,Veteran,166.22130342760275,-11.956296720870574,137.40949790335938,D,A,D,A,1
Yes,Christian,Brazil,No,-37.80191664098927,148.22599067608368,-17.822923853244497,C,D,C,B,1
No,Jewish,Germany,No,180.19881069535387,250.7093817205125,-39.65075926069094,E,D,B,A,0
Mental,Buddhist,Mexico,Yes,-93.87998668349255,-39.095118202592026,49.101327801012864,D,C,C,E,0
Yes,Muslim,UK,Veteran,-7.436226922468663,-43.525483749000784,-104.81264602642328,C,E,C,C,0
Both,Christian,UK,Non-Veteran,117.34716858891781,178.09659050119126,260.42362161761366,E,D,D,B,1
Mental,None,India,Non-Veteran,20.919578790929762,47.33683435905835,-24.463043964841862,D,E,E,C,0
None,Other,Brazil,Non-Veteran,91.01876693230798,-171.02992325192284,126.1993719928016,B,B,D,E,0
Yes,Buddhist,Germany,Veteran,-43.09684408423129,-117.77166790167806,86.51605663258361,A,E,E,A,0
Both,None,UK,No,9.343186131832121,31.55801463936087,9.550675426711093,C,A,C,C,0
Yes,Hindu,India,Yes,-184.0104405851502,-190.34450286218797,-37.05755248754453,A,E,B,A,1
