disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Physical,C,-51.53460782527899,-64.77760293087125,-22.924476274372733,E,160.12083298627658,A,-136.8609640859017,A,E,3.6015571020443207,56.36317528508863,C,58.01108590861103,D,-15.900329466483196,1
Mental,D,-35.132382865479165,-38.680060631810434,-103.99307748223173,C,17.004935580270214,B,97.69287812021918,D,B,15.856908426808758,-152.77321292417946,C,-31.901848116343757,C,97.18807481284922,0
Physical,E,-153.15097475036526,69.66553883375197,-68.22998393812664,C,-35.93635779124912,E,33.647484907243744,E,C,-44.53213425402937,-77.93071729563141,C,17.77545276877171,A,162.75493290885342,0
Mental,D,-84.31132761202538,-6.5577927979620965,10.595614507640128,A,61.52902000647254,A,241.84654074315995,A,D,60.776164149386744,76.65200913834937,B,-99.78381516747959,C,16.361438002322792,1
None,D,-32.13200422785681,-149.9505646472151,-137.5673096558748,E,104.92524113730386,A,-46.55350811610056,C,C,2.5011503331055267,-60.779708958380674,D,-46.41604328829131,B,-5.991303934829957,0
None,E,-80.2744719943576,-56.866021175548276,180.542992626603,C,6.14368231396913,D,-41.502216883757384,C,C,-25.592309730354668,-96.74623605782836,E,40.84665004151087,A,-39.609040447837295,1
Both,C,-30.595579945225452,-39.45824351220323,99.77293326335409,E,35.25371251768438,C,63.382903672814926,E,C,127.75314226350581,236.81124696542528,E,-35.07111178763563,A,15.603799377242627,1
No,D,-3.2419170931997967,35.82941369202182,-11.569368155580493,E,20.665319061246343,C,-26.270306698072375,C,B,-127.22763380211642,-29.11421853565166,C,-128.56866492025074,C,-95.13659560212592,1
Mental,A,142.7053957749235,154.28881041668436,10.750060651258881,E,-36.88208757894276,A,15.992509935542046,A,A,-231.10803616661389,-85.19405021750028,D,63.72016304736483,B,104.64076864691482,0
Mental,A,100.46999578251621,6.074103851243436,-104.97423201167118,B,-28.917325354270517,B,-76.32924446811103,E,E,124.24511923334909,112.61909296451972,B,-89.09596796374296,E,-76.94283338908393,0
No,A,-49.27364422681637,23.781181278973644,-94.81764739981686,E,-6.7171932751457915,E,102.46833511306232,B,D,221.23826702842715,239.7486347983763,D,-13.373251845402237,E,230.62384252681568,0
None,E,49.517339472598024,-16.824145328302066,-72.6721492607551,A,10.418519230317466,C,-3.585812483520223,D,E,78.41947627760216,-27.54702965882636,C,-85.47254270428087,D,-18.115824461599956,1
Yes,D,-93.89163100648918,-96.65815958259162,173.97894773711778,D,-36.151037905121285,C,-18.685206769806005,B,E,-46.55828631896388,67.79091091886316,C,55.338515300220436,E,-185.77002652527798,1
No,E,22.416046879335248,47.974212321866446,-24.87559045048938,A,-18.133066589957014,D,-30.06630114106761,D,E,60.42707289318713,119.4386205618047,C,-21.505393127317856,A,93.1788405215577,1
Yes,B,50.456180972754524,45.566810781654965,108.65955340505676,A,-52.74753972762228,B,106.5311644380322,B,B,-24.763921874115923,-177.66969748092905,C,158.14684621248793,B,63.60793927339351,1
Yes,E,47.68876982094664,210.67902499516995,-64.80826052802476,A,-59.46618173042777,A,167.38757801336112,E,C,187.37734728418005,-29.4118247363355,C,-33.62116743614569,B,103.43376543775962,1
None,E,-109.59925906059887,-36.56955365571348,205.74751910820711,D,8.97635537201265,E,155.88533779111242,D,A,89.51343980215889,-14.627986724488249,B,-169.44244559200843,A,-60.162752756981575,1
Yes,B,38.93167385973379,-123.40447562793099,-187.44379307879083,B,-55.6575319321855,B,79.79604858497014,D,C,-16.552783604769033,-103.35820539730148,A,-15.980680214728979,C,6.0980606336955185,0
None,B,-63.12253107654961,-9.42044679646276,-84.36681003031822,C,-10.45097377357233,A,-80.83122967873938,E,B,58.12824988009626,-76.66890551188017,D,-83.27179670954234,D,33.87690478510129,0
Mental,E,-110.31816940038206,47.22188295199569,-164.39288511943968,A,24.938049747005387,D,-85.52092597593459,E,A,-127.04871516292955,-110.49163244417551,D,-25.902426096627856,B,-120.69926656636218,1
Both,D,-157.89464411725916,82.94189448480826,-260.1237833377126,B,38.13457715659448,C,5.355356081042614,D,D,-240.18105426334265,172.43618003805406,C,-36.14194219912212,C,-47.28039318966919,1
Both,C,-46.781564394964505,44.697166472890395,126.1612393893673,D,-2.0548166488195165,E,-49.01846667909672,C,E,11.016781976904332,190.79526958664104,E,-131.78237203287057,E,248.75311375043006,0
Yes,C,-38.59801966806288,72.55741834604311,-106.74067956922522,D,2.934076059671965,B,13.74993549345655,E,D,188.00643389801544,40.0994608410217,E,127.15481410106663,C,14.972312552652028,1
No,B,-75.33297944854425,165.92588913958917,-44.96037885462784,A,2.2106875285851606,A,-81.54630934150632,C,C,-82.51520438606377,11.21353387203242,D,-41.57470838520711,C,18.60208347940428,1
None,C,104.77453865097857,18.652978344949673,-123.88682765800445,B,35.1385762422956,A,54.61949198280561,D,D,3.996849410157561,-18.57761922143609,B,-224.5367891446595,B,-121.00526188025964,0
Both,A,149.44924767780387,32.02434282139614,164.09471502280954,C,-67.18190228388886,B,-83.49048149721497,B,C,8.913131819714726,41.32557625920078,D,-57.470452220279235,C,135.47096881092588,1
No,E,95.36110949729509,-44.09735162196302,15.157227445116513,A,103.82869251884192,B,7.748515442059695,A,C,132.50344579718742,107.92022801364749,E,47.23077843703602,B,95.42759836581965,0
