sexual_orientation,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Heterosexual,Non-binary,63.47480570925696,-139.61906455972743,A,-19.61042618006529,E,-68.25215279336047,E,B,C,B,38.496070173757886,-142.00798774701556,26.299422617631013,B,D,0
Heterosexual,F,94.20958432231704,126.46064543881059,D,193.9753942223659,D,2.9660189117998064,E,D,E,B,32.84261539921162,-129.38940491928656,-86.97277743106042,E,A,1
Other,F,-40.60398664639462,42.3969025858381,D,47.608627478115665,A,-34.79296408887379,B,E,E,B,-55.86932443110284,-35.30130251845988,9.469739714570768,C,D,1
Homosexual,Female,-17.65468953217006,1.3554369385748408,E,-136.7576101230222,B,-50.8143717142294,E,E,D,D,57.89221054810428,-179.5409686315965,-16.85435600265342,D,C,1
Heterosexual,M,174.77136671233202,34.48207559965942,D,192.5932082174775,A,12.404754992731364,E,D,E,D,18.11411629853932,38.69743046463616,85.86224978642313,B,E,1
Other,Male,-18.965827832901212,-11.46013272395766,A,-177.54893813113128,A,-127.67812529180141,A,D,C,A,91.85120465156925,112.23406184370033,82.36328628596013,C,E,1
Heterosexual,M,-56.013002482131725,-90.40585988001429,D,167.42283372441022,D,-97.98508599850646,C,C,B,A,145.42531401328154,95.14715972905698,8.218026238157915,A,C,0
Bisexual,M,12.279839008905178,115.22203305493738,D,178.80912120879196,C,12.312057881552933,E,C,B,C,-190.08422530291358,-92.51221159319071,149.56418034486586,D,C,1
Heterosexual,Male,-135.85262495979052,91.24161686997634,D,236.39629135500985,D,-15.491637870656783,B,D,B,B,-180.6521031665734,8.525592078670973,9.21592749469579,D,E,1
Homosexual,Female,-57.98370503869303,104.19078643319205,C,74.39451542735148,B,-70.77869713679377,E,A,E,A,159.51170397025405,-109.64441670712893,109.705297256281,E,A,0
Bisexual,F,58.63031365233399,-29.907499751916834,A,15.103319129161571,D,16.916203142989296,B,D,A,E,218.07225278311938,-13.81062381964067,-4.4483846977452695,A,D,0
Other,Female,82.75553763218947,-83.29685778144187,A,-0.46796255889824323,A,21.916677897673672,E,D,E,D,81.39434469331513,71.59709434548317,-6.332002914756574,E,B,0
Heterosexual,Non-binary,122.28231742097704,-172.6146262759102,E,79.65617966259812,A,-61.67495456889548,C,A,E,C,-120.37641436807327,-154.12409978406066,-107.7864967343579,D,B,1
Heterosexual,Non-binary,-68.06042944621566,6.879780921744988,E,-0.37905078592737407,D,38.12303358995613,B,B,D,B,-143.78039223809452,94.14372206114948,102.15560460923297,B,E,1
Other,M,-57.86490626262386,19.848124532452363,B,-11.10747273303358,D,-91.99364076481515,E,A,B,C,-238.36957971428663,-24.129471764355536,-66.43323034326126,A,E,1
Other,Female,16.34703978284495,53.36128741045126,D,-75.85666164593908,A,17.69599775130977,A,B,A,B,-66.71799426651528,22.190537252979507,92.89225966146286,D,D,0
