military,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
No,Widowed,7.836737377907454,B,-73.63022539520479,D,A,D,A,196.4686510031908,0
No,Married,-67.61395326082999,C,-80.2580413950636,A,B,A,A,73.77016367167997,0
No,Married,-38.48739063935407,B,166.51975977961894,E,C,D,E,-5.527594571198401,1
Yes,Divorced,-176.55760761501443,A,-79.46626901424156,D,B,D,B,-104.24660320871702,0
Veteran,Widowed,117.69842595622586,D,37.06521561805671,E,B,B,D,-142.2386690008213,0
Yes,Married,-89.76363796817253,E,92.13599688127975,C,C,C,C,61.11812635701106,0
Veteran,Divorced,113.77606991470033,C,-83.94502877913557,E,D,B,B,-8.319288508272013,1
Yes,Widowed,-159.14140625121215,C,89.08148353255856,C,A,E,D,40.359747771993746,0
Yes,Single,225.5408344181876,C,-151.542291829596,A,C,D,C,70.7262800675973,1
Veteran,Married,151.85264890922838,D,30.42481078045105,E,D,A,E,3.4281106792770557,1
Yes,Married,-25.95599517471036,E,-25.267901704471026,E,C,D,A,-204.34964362174304,1
Non-Veteran,Widowed,167.41540976987352,A,-99.99853007832252,B,A,C,B,-89.56205472997677,0
Non-Veteran,Single,21.9310094048029,C,67.29248252107942,E,D,D,A,87.24871944437322,1
Yes,Widowed,-28.141627433463984,C,-146.95897479754797,C,D,E,C,183.9838965553094,1
Yes,Divorced,-6.814999478830927,A,252.75312110144594,B,A,B,A,53.46245471770942,0
Non-Veteran,Married,166.89558861895284,C,-196.6541762715234,E,B,C,B,139.44051688035572,0
Veteran,Married,62.86009575599609,E,-125.1499409704707,A,C,D,B,136.63297835834493,1
No,Widowed,-117.42520941381305,E,-19.139700646506423,E,D,C,C,-92.73623359069343,1
Veteran,Divorced,102.3350720455601,A,0.6785527440035023,D,D,D,B,41.87741702018985,0
Yes,Divorced,-46.38368271404269,D,-106.72552352044,A,B,B,B,53.05868489018351,1
Non-Veteran,Single,-99.76447723709333,E,41.62556634028713,E,B,B,B,48.63217169247665,0
Veteran,Single,70.56492460219125,A,57.731561223376026,C,B,D,C,50.06354312967582,1
Veteran,Divorced,70.65206022393225,C,117.67821501957883,E,C,C,B,202.55242819286093,0
Veteran,Married,65.40894876602805,C,65.4175395531182,C,A,A,A,-27.13093826005285,0
Veteran,Single,-51.97753583407226,C,32.16342610613451,C,C,E,B,-161.34082603787584,1
Yes,Widowed,-120.17658771196078,C,-147.56218513485402,E,E,B,C,-21.608712988677077,0
Non-Veteran,Married,-179.6750365529641,D,50.62387590835821,C,A,D,A,-6.745039451818887,0
Yes,Divorced,-88.95383158659992,E,-136.48196975668324,A,C,D,E,32.58683027865436,0
No,Divorced,123.52608126583307,E,55.46309238765874,B,E,D,C,80.73015956775937,1
No,Single,44.43273416561134,B,108.68553860332675,C,D,E,B,89.52524014336639,1
Veteran,Widowed,-151.213411483196,B,73.43248626613335,B,A,D,B,43.858434785903604,1
Yes,Single,-40.218829591600894,D,-37.791777248027294,C,E,B,D,128.3863165084458,0
Yes,Divorced,148.78703787959623,A,-48.029731698008234,E,B,B,B,-65.91330016946573,0
Non-Veteran,Widowed,80.66077488863915,C,-27.984904543697887,C,C,B,A,-155.6677381764063,0
No,Married,60.93794186944881,C,-26.324365916321707,A,C,B,A,-144.72003912587175,1
Yes,Single,165.4622686272173,C,-39.00260703897288,B,D,A,C,100.1057806032652,0
Non-Veteran,Widowed,-66.48472988215568,B,61.58334209479905,E,D,A,D,131.57326289084224,0
Yes,Widowed,-53.548572324824576,A,-90.43630509046102,B,E,D,C,86.77934437774375,0
Non-Veteran,Divorced,-48.03637200647954,B,-9.472553756278918,C,E,E,C,132.18592515979833,0
Non-Veteran,Widowed,128.35658612948964,E,-199.0691388618057,A,A,B,E,-175.50680649315208,0
Yes,Divorced,-57.02648040203356,D,47.80363028767474,D,C,D,E,-131.4258578128593,0
No,Married,-38.763492450314644,E,-87.13091462664838,C,E,C,C,102.48123068431316,1
Veteran,Married,-2.552048089972753,B,-45.06980688297563,A,C,E,D,-74.47908861612082,1
Veteran,Divorced,-14.089243749721673,D,3.6322393127425032,D,E,A,A,-4.48665880858714,0
Non-Veteran,Married,67.94649198701015,E,107.60315835432266,A,C,E,E,-20.044915039169993,0
Yes,Widowed,24.162990498827767,D,-61.21183960838689,C,C,D,A,110.98596018781255,1
No,Married,163.77922788999072,D,-8.593798398713016,E,B,E,A,-228.29982203158696,1
Non-Veteran,Single,-43.346078029259345,A,162.4640710884315,E,D,C,D,87.11243501274024,0
Yes,Married,75.205987832206,A,120.14032497288855,C,A,C,D,13.183843463235402,1
Veteran,Single,-147.05960406321432,D,-29.023573801377033,A,D,B,A,-108.80031743359393,1
No,Widowed,-128.44594798043053,C,124.97473020721002,E,D,D,B,11.843607630638093,1
No,Married,-66.1157185686786,B,66.3149407518307,E,A,B,A,65.20978314988412,1
Non-Veteran,Single,-69.93972491015614,E,-87.35051420655118,D,D,C,E,-111.47665962740479,0
No,Widowed,-24.778720953191055,C,-137.84941426994726,E,C,B,B,-98.43021603641424,1
Non-Veteran,Single,-4.682939877564334,D,-14.398448261482505,C,C,B,D,65.97997154379243,1
Non-Veteran,Single,17.594847934409202,B,-74.46542632382959,D,C,E,D,-82.25780786573476,1
Yes,Widowed,-44.99582810233275,A,-65.41909289506349,C,E,D,A,-14.127348912457666,0
Yes,Widowed,-38.28867781884038,E,75.52284404614991,B,C,E,A,29.239399394064986,1
Non-Veteran,Divorced,-102.92607397798686,D,217.02764560379825,B,D,C,D,87.68224588342514,0
Veteran,Divorced,77.77204289099893,A,1.4815381103583003,D,A,B,D,62.35744932062438,0
Yes,Single,-0.6058144953256258,B,-26.950465097340913,D,B,A,E,114.98697575974973,1
Veteran,Single,-222.12517702399873,A,66.35378146065123,C,C,E,C,-77.4663372023293,0
Veteran,Divorced,-74.21630604636313,D,-103.3252658939027,A,E,D,E,1.7123066211195495,0
