nation,religious_affiliation,Veteran,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Germany,Other,Veteran,Divorced,161.51873670369406,-75.43431185495099,B,C,-86.67584841501932,A,A,0
Germany,Christian,No,Single,73.50232883634561,41.23611508702104,A,A,41.88596973903436,B,B,0
US,Christian,Non-Veteran,Single,106.73718160676377,67.08104469703844,C,B,-24.09609752498327,E,B,1
Germany,Buddhist,Veteran,Single,-46.697270585484304,-87.26715799197653,B,E,138.55261663964657,A,B,0
Brazil,Jewish,Veteran,Divorced,11.10564969158374,10.117985796682069,A,D,111.4884952819446,C,D,0
Other,Muslim,Yes,Widowed,83.14249062699469,79.27061204679508,E,C,33.79144513166303,B,B,0
Mexico,Jewish,No,Divorced,8.739827277067935,8.443577944664407,A,E,33.073887598567126,B,B,0
UK,None,Non-Veteran,Divorced,11.416168856718635,-26.553432194476517,D,D,64.24853967323764,B,D,0
Germany,Hindu,No,Widowed,111.88018221851476,-50.24845538635607,A,E,62.73658196100265,A,E,1
India,Jewish,Veteran,Divorced,175.69708061754093,9.541375552218852,A,B,-55.636476011936864,A,A,1
UK,None,Veteran,Divorced,2.9981575184271114,19.90489637206803,A,B,-110.85675023846642,A,E,0
India,Buddhist,Veteran,Single,-187.44938361200047,17.099198605515785,A,E,289.2511594634525,A,B,0
Brazil,Buddhist,Non-Veteran,Single,-15.582746596051821,247.0238831327711,E,C,30.833942522415658,A,C,0
Other,Buddhist,Veteran,Single,-134.84578684003455,19.694165721276992,D,C,-33.633700546473335,E,A,1
Germany,Hindu,Non-Veteran,Widowed,-112.14393597036793,58.869184771052716,B,A,46.17020946180609,B,C,0
Brazil,Jewish,Veteran,Married,34.2454590673389,8.230140743159252,B,D,45.74340648716158,B,C,0
Other,None,No,Married,46.81026497488036,5.1114035150354935,E,C,118.69640927720437,D,E,0
UK,Hindu,Veteran,Married,-66.86350181299105,50.20972771854473,E,E,115.19547153984686,E,C,1
Mexico,Jewish,Non-Veteran,Married,18.954131827858816,-0.3787645223390343,B,E,69.61545947708264,A,D,0
India,Other,Non-Veteran,Divorced,136.8952598496289,-49.854531631216204,C,E,-62.752389808860386,D,E,1
China,Other,Yes,Divorced,-64.12001223841482,115.51452549210282,C,A,34.87155530704576,C,A,1
India,Jewish,Yes,Widowed,118.85416595718337,-103.11597482399415,A,D,91.1391132724772,C,D,1
India,Other,Yes,Single,191.30489500852184,61.05172743085744,D,A,-20.73822997738385,C,A,0
Mexico,None,Non-Veteran,Widowed,155.28083692960752,123.94819469503886,D,D,-132.6622892686379,A,B,1
Mexico,Christian,Non-Veteran,Single,-8.10952511503352,-208.55872504071206,C,B,-101.48103599215143,C,E,0
Mexico,Christian,No,Widowed,10.927404326972297,8.007196602258619,C,A,-1.9319832976570732,E,B,1
UK,Buddhist,Yes,Widowed,-79.52507100182929,122.30731181414731,E,A,-16.37754663285872,E,A,1
Mexico,Muslim,Non-Veteran,Widowed,99.04095157360739,42.75069151364503,E,D,-123.21672162756624,B,C,1
UK,Christian,Non-Veteran,Married,59.94190432018486,-90.87542296634852,B,A,172.10583140652594,D,C,1
