Race,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Other,Married,29.38656818793372,A,A,49.19792713127799,-70.01133695242386,-11.80617732302357,E,17.541241914861615,C,-11.0884206752334,144.68058617333492,E,-141.13970928740272,60.39342789152171,1
Other,Widowed,19.82024232629246,D,E,34.177293482886064,-8.450056618238902,-26.292826048457936,C,-83.62142177898384,B,47.37320678241867,9.433466737314927,D,-111.99197818589278,120.83799014433217,0
Hispanic,Divorced,39.379883876554246,D,D,-62.54871055497524,-43.74109526335596,-87.9961628623583,E,-101.31920215288399,D,-38.135027647506824,55.4410158122527,E,-1.0085398210581036,163.54445392322884,0
Black,Single,-260.3965793210105,D,E,50.543402161030485,-73.13218041476915,91.18946536268227,B,28.85027753460463,D,-167.37130057727626,-52.43448608383988,D,89.91802897637808,56.21664768077211,1
Hispanic,Married,-56.92522120010253,C,B,2.8491595088091954,-293.912991783095,46.87521014720786,A,-58.5593213494486,E,86.31024864804239,34.61479356323305,A,43.18870797672409,-2.3127699277372087,1
Asian,Single,-49.53749482961005,A,B,-120.37610490755837,-124.51174477214848,-6.763263083483981,A,24.13346655184028,E,-19.81608615195525,-120.59999766786376,C,47.56607070102989,-78.4117542875454,1
Other,Widowed,-205.2422591527763,B,D,-35.222468941928405,-4.356323660412608,-49.350657615027416,A,137.5887450486363,D,-109.51262962240278,-40.37170918902506,C,14.006308250832841,-104.08806570135167,0
Black,Widowed,-38.93594997569268,D,B,79.44821363678241,159.89908235228643,-47.31422966087217,B,0.5914467863355052,D,182.2880077408616,71.93618887186648,C,-68.43413740989227,4.167805852817491,1
Black,Widowed,-147.3194733234064,A,E,-82.73273791033662,104.22273099170845,27.229700810507968,B,-176.54914454877513,E,-19.17315749839944,112.32854789960886,A,-193.1553406588918,-6.724562559627412,0
Asian,Widowed,-74.65123052026043,E,A,12.900680766560454,-3.281288953479515,11.58218462173301,A,110.00987013429379,D,97.37196323291364,88.32938729393008,D,72.53242325154336,-69.16388090660388,1
Asian,Married,177.50496902568338,A,A,-66.60890602757854,35.26265231130629,-57.911659948647944,A,-48.08288909196407,A,177.13833765032308,60.18613900468971,B,-48.71751940021764,180.73881988392847,1
White,Single,-221.99550466178343,D,A,43.88256169972296,33.09727785453619,76.24312852591969,C,-36.127437137511684,C,58.99105318717746,113.5915908693468,E,104.7861700827154,-5.172230928862554,1
Asian,Married,0.6077391034483932,E,B,33.26563733969758,-8.515893128248003,-0.8966367144499313,D,-122.49887835116388,D,-117.76199079643021,-41.29254178916042,C,59.80802377153738,-250.1134980290114,1
Hispanic,Married,-101.57003021447382,C,A,26.788255111952104,-82.51493523112886,109.34037526990356,D,-148.33520434554225,A,-58.13322047231044,-150.17336612623754,E,-198.96270626376526,0.5794394168941521,0
Hispanic,Widowed,-138.98339320874172,E,E,76.17223779959987,-10.891160028480277,-49.24514121047061,E,-40.57662639311722,D,-79.25178612015927,-135.69680277206214,E,49.91368106199059,-137.7620044895579,1
Asian,Single,5.3977944738394354,C,A,5.799326669954054,133.7920814395939,217.20926401933238,D,54.59777725577478,C,-7.447032790582631,198.6038770539874,C,-229.99362287274795,244.75594898130683,1
White,Widowed,-107.53207048932387,D,B,32.951079784454386,107.81921120252194,-63.39548601082713,E,-42.26589148611148,E,64.12378518630817,19.818780045640523,C,188.7351759215773,-109.6884512532678,0
White,Divorced,-45.78211374134724,E,E,135.38461303488074,186.84492636034844,-6.219525925832586,A,-19.608856096914334,D,-186.65137446683087,-69.62956571133283,C,112.77722075150176,50.123386611144284,1
African American,Married,-39.981340799263826,A,A,-98.12808731256587,-138.02933854452812,-136.29871929873693,A,-77.39223612000762,D,-129.7210492490632,-39.70985545720328,C,98.34504454283545,-276.2489162104318,1
Asian,Married,71.65915622987306,D,E,-120.48496792013803,-256.80682636979316,-34.778767980986714,C,-241.5522787508246,E,123.60481396290332,257.9003811709502,B,-87.84728746341565,-25.91498440211678,1
African American,Widowed,-109.59249897479029,D,A,61.269192601639425,85.70445986978308,-21.713662042188396,B,130.60278590412844,C,88.8292473840185,58.35641188279171,A,-21.319795563324707,-222.3699065724131,1
Asian,Divorced,-46.99495751604999,B,B,112.23230948248005,-25.24646536315841,-95.30823832930906,B,-98.55486773279657,A,-143.54322158328395,-62.158795014003786,A,67.57466942622705,153.47634170749566,1
Asian,Single,-76.01267894381878,C,E,16.351911496813038,-9.610240512586449,149.35821096491102,C,33.57811446332952,A,122.51969542284719,15.881750147626578,C,-155.92446239272468,60.15003969556485,0
Black,Widowed,-64.33337746535089,E,B,338.8788207770087,-42.6460039588539,97.74660913016837,D,-70.78156792728959,C,-58.373459169206356,-116.40716546215243,A,-47.73915436224726,34.11750409397546,0
African American,Widowed,-42.87107977081664,B,A,-111.60169948614373,-242.49283891900117,173.02146677050595,C,-113.46070267730168,B,136.95291351681422,164.29560896775217,C,87.93010700100184,101.26529593020197,0
Black,Widowed,-100.78068789834805,B,A,-33.9807950244129,1.9728427586270698,83.03531647642079,B,15.53050708588581,E,-85.60506642832416,3.00950832340308,A,-2.2913546729755074,-57.019567573084515,1
Other,Single,71.34953916920739,A,A,-211.03874122169745,110.31678459472654,-73.12195835893104,E,-104.16060177610412,B,-33.919837530347294,-91.4075640842707,E,111.53466392625847,-213.3184910584808,0
African American,Widowed,-145.99365725226303,D,D,71.68071788038634,-20.599506757424184,-24.582097202388624,A,-35.412140734178735,C,42.47037226229974,59.475611976074646,A,-52.80259515196073,-74.47523400216213,0
African American,Divorced,-20.92416470795772,B,E,0.40340628549330054,-29.77390117103952,-229.93198914895325,B,-61.95329270280481,E,-7.579813129414556,27.29347370675112,A,-81.82019058914946,104.62459346967525,1
Hispanic,Widowed,-83.36152385710874,B,E,-131.21577181170713,-43.78656482859952,-72.46170237726045,C,-24.588835193336354,D,58.678810506066306,-45.820245835332,B,-131.3403369754197,38.910338135929265,1
Other,Widowed,-138.7283196316283,E,D,6.124393821536297,-28.54430030278536,-135.41201949980908,D,115.93887430596959,C,42.96301845684683,-54.5145653149163,D,-140.46049842727405,-37.194525484497866,1
Black,Single,44.6111330409492,E,D,-51.01348659060999,-132.30811857879274,24.019748887636027,B,76.30213605449184,D,67.20653430081818,-184.63123061318788,A,-43.88240464946654,132.70793067438032,0
White,Widowed,-35.15775935196964,A,E,87.32458523204457,45.20360343212781,-50.46647039420863,A,-110.21943791939492,B,216.17080723631267,-80.29312608950178,B,23.259864824688318,67.50894364417071,1
Asian,Divorced,-20.71741542468302,A,E,-136.33095162328758,-250.64579976522964,-27.601382567550893,A,106.17595531136614,D,1.4922796849153657,93.24093698878957,D,-154.58978989606277,267.38005793233015,0
Black,Widowed,156.59025278335142,D,E,-132.27014174105886,-5.448190786146588,-75.48597690600529,E,-273.0695756555093,C,113.19844685047107,45.60396327417677,C,56.338435845101095,6.399089473364701,0
Black,Widowed,-41.02666527472353,D,C,-61.171865084654456,-91.94602028172802,-179.9320531991614,A,-106.43525777153728,E,-135.64633264440133,27.959399160043752,B,24.246456998228577,-138.21677382104966,1
Hispanic,Single,-75.32248173904283,B,D,58.79941314269895,50.1910935227152,165.40273179568987,B,128.05590334748118,D,-79.48259857053796,61.76841043751033,D,-33.632406554739774,80.76384994121695,0
White,Married,-101.19877371376514,E,B,47.09342371345154,7.101387706555664,-114.13228680650722,C,52.6433958629269,E,-151.2615162212353,-73.2185088827217,E,-83.83016486339014,73.5365392951249,0
Asian,Widowed,40.87104609619552,C,A,-103.66641347686266,106.3774611495575,101.3551299485538,D,127.9388166745647,A,217.35854923437006,-169.31641518298994,C,-33.5769207880063,165.23219780293851,0
Hispanic,Widowed,1.9312121647714187,E,C,-96.91241251216495,120.85441843929007,-22.215272799114906,A,73.42557353470647,D,84.9941266787311,127.6413024043779,A,-73.13336904375062,-42.09564009804134,1
Asian,Widowed,-91.21227130751264,C,C,-192.78735195037953,125.61522123692069,-31.834064485562152,B,109.24309150124705,B,5.455656177782364,42.7076472069517,E,-10.204257212896573,32.54393827253453,1
African American,Married,-96.96873472807232,B,C,-7.193789690786274,159.45134043847605,108.33557715390477,E,86.17831996356239,B,32.48119070734429,54.345824713855365,E,48.270266545125295,-92.10079315513126,1
Asian,Single,132.14455994325397,B,E,-15.883601357718288,86.56581138330009,-205.7035571987698,C,-33.457136325101615,C,15.579211231947015,90.983120911432,C,0.07588533834943009,114.97786905470171,1
African American,Married,155.26484864084227,C,A,-37.840911315774015,-108.57713655012893,47.78865928722599,E,-67.75354803995583,C,-113.61160196744153,96.76675331694123,A,-56.23192344937159,137.0309524664996,0
Asian,Married,101.69390241242154,C,C,-35.900327929922874,-56.459645993208206,-121.4913417055348,E,186.25712351644157,B,-142.7229938720594,121.7472941140491,B,115.00068418535993,-144.97144900230703,0
Black,Divorced,49.17975307153539,A,D,-9.287690300597918,-129.08364859598086,46.147738072173176,D,63.64518316644842,D,-2.9671192401546866,-97.45876654568451,D,2.709157920619715,169.04980728743786,1
Hispanic,Widowed,76.33942540910908,A,C,-6.013885258629097,-83.46123566576141,241.24739906182668,C,-165.85095643177291,D,-119.8608912780516,45.067339751057716,B,5.910157174081101,102.66925136175833,1
