veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
No,206.51810255595234,C,D,-127.59989174679431,1.3995828697696258,D,-74.12880826616293,1
Veteran,-126.27286285374856,E,D,57.02709685414978,8.321386679752733,D,246.27969639970172,1
Yes,-89.97156930438878,B,B,56.775558983766906,-87.76257942602791,A,37.37232451515481,0
No,35.3094294423482,A,E,-12.16724134496377,287.04098084874545,B,-139.37716638634305,0
Yes,-86.76877990602621,D,B,-76.90148648129646,31.797500008103803,E,-26.05868695679773,1
Non-Veteran,-99.70603788811255,D,A,-125.45451661751532,110.37534830429654,B,-46.41244028210095,1
Non-Veteran,-8.67025987228656,A,B,-128.15895883344444,11.247548375669028,A,-259.160066755509,0
No,-68.63735952102846,D,A,-125.2800660594367,-130.75684986695,A,-74.20311422956624,0
Yes,-67.50641326786445,A,C,-29.277195668875393,144.18717554515746,A,15.772918494840512,1
Veteran,133.7524801690842,A,D,-99.88585043089347,-81.45511683989162,D,-1.767527839181625,1
Non-Veteran,-4.21643179570324,A,A,106.27697003853417,-44.308717182873785,C,16.220704105262406,0
Yes,-116.9875674663326,A,E,-100.75077915470784,-18.090853178736083,C,48.0920088357069,0
No,70.77601681715136,A,C,-163.03747217235437,178.15032305447397,B,84.9705022809468,0
No,-88.94869827073626,B,B,114.60821666987025,-57.47097565875842,A,50.851337918471465,1
Non-Veteran,47.063430786072665,A,A,256.19543857193054,-22.265260805643845,A,-45.59643470709431,0
Veteran,108.63306503427175,B,B,154.8764812584065,-122.24084263278141,D,159.51073647168764,1
No,39.22141616067088,B,E,-40.65839987242943,126.30365621079778,C,-8.238991404846367,0
Veteran,163.91532544610556,B,E,19.92875551398903,134.21610578751157,C,61.72717280602706,1
Non-Veteran,-43.18933051488037,E,D,-29.18753353382267,-3.1758153610175177,C,119.62732374388617,0
Yes,43.21683118716994,D,A,-45.50619129662796,-23.70792226517725,E,36.35120613588751,0
No,-91.83038870878224,E,E,-32.28613659705885,-46.65502652830001,A,-69.24960116769594,0
Non-Veteran,-101.05129731567037,B,C,-145.36089492242348,31.811498298863057,C,-101.18232451349347,1
Veteran,-95.01608658041296,B,C,-18.582214152272552,-138.28864785440882,A,56.959634187886046,1
Veteran,63.689451169128844,A,A,-20.789943737049605,7.2064496489452265,D,-25.794348394149637,1
Veteran,27.484914267295522,B,E,229.96469417969405,-151.98207901418309,B,-43.541186256705124,1
Veteran,3.863086293268904,D,C,173.00653645895235,26.136493806869577,C,74.74180602719463,0
No,102.79388716357245,C,B,124.09465624826805,124.50659048846964,C,149.46213065779773,1
No,-129.1085352415585,D,C,-40.836348503511935,-15.407779127787533,D,28.78455908722335,0
Veteran,-125.17579347241103,A,B,-32.279636327836045,-63.70509743835999,E,-146.55959507013685,0
Veteran,-20.459235883039803,E,C,34.852616165435194,-27.795321107844728,B,-107.60222133259289,0
Non-Veteran,-130.65024119806284,A,C,113.12544778451925,48.185009700512374,D,-27.330655551145856,1
Yes,-70.62367572213705,D,D,17.830501581489013,-2.3056170595683425,E,68.1482975325307,1
No,-115.32940022212964,B,B,-7.348506680294288,-141.9357603310552,C,-25.4948567571594,0
Non-Veteran,47.55121553010916,B,B,38.415216217627346,-52.70834335043507,B,-48.25816414167631,1
No,2.8136674923597957,B,B,104.52019041172159,-1.6749498292346954,D,-112.9057294936625,0
Non-Veteran,-112.11560291006005,C,C,43.634170654476215,-93.72423578379333,B,64.59753694101309,1
Veteran,-56.78050169950429,B,B,24.812434189676168,-221.069146942114,C,-230.54870760126067,0
No,-32.88899198378175,A,C,-153.0851128477924,-177.12883351574175,C,163.5721169024865,1
Veteran,-63.762704286452866,A,B,70.77453255192655,127.64239425901518,E,-156.43571320843773,0
Yes,-78.86562138464232,E,D,99.30239573526312,103.9000509187424,E,91.17661462390836,1
Non-Veteran,-139.66819802211617,D,C,-64.84067335779568,-14.84601066190239,D,-91.66976227308533,1
Veteran,-122.08061253106533,B,E,-35.227893924863025,-0.7136369134336011,E,30.641106589174466,1
Non-Veteran,-193.36865288069137,E,D,65.43176293445781,124.11404461166018,D,-93.21996812556701,0
Yes,-35.05896407557631,B,E,166.8273827561163,148.1241591232327,B,223.49903103332954,0
Veteran,141.4909840154045,A,C,16.274470450023895,-112.96279859293914,B,80.02332245058939,0
Veteran,-77.78290530351616,C,D,-156.17937454707007,-156.50326622600488,E,-111.95163452759569,1
Non-Veteran,-58.41161094328935,B,A,138.09307135245535,-47.456587981234414,E,190.85643621974017,1
No,-129.0911659433692,E,C,-12.518286322655115,-233.8397990171403,C,-23.11626282719918,1
Yes,-102.6032022352307,E,C,165.88367259279633,10.520742406323471,D,89.47414005304158,0
Yes,-64.16458868183462,A,A,132.82440127093037,-83.81623609128401,A,-146.8979832550073,0
No,20.614491042560857,C,D,-143.3288885170594,132.51854874492756,A,49.887691869438,0
Yes,38.812746817071975,B,A,-24.814891561502716,-111.3965794068035,B,-147.5444153200415,0
Veteran,90.95156724092715,C,C,-106.1465098337687,-249.39139708282875,D,-48.022079468513226,0
Yes,-56.101300991278315,C,C,58.26287770173616,-28.01390739332693,B,-68.79007005256557,0
Yes,38.837894215185344,D,E,133.51243003461488,52.033637063065996,D,105.22146515030629,1
Yes,-71.44535487706635,E,E,176.42277243744064,57.080402064274814,B,103.25478385358984,0
No,-134.4106911293243,B,E,-0.15026542072231866,136.11789076170152,A,0.5055912044329859,1
Veteran,177.95081661571288,B,B,99.0671914463807,-56.58721072798939,B,-8.878183042521803,1
Yes,-94.76203125063485,C,E,-47.536578645599306,64.07618599865947,E,-72.33549975859205,0
Non-Veteran,95.23904858555767,B,A,-29.901147992053367,-75.88776727281747,D,83.79583288494551,1
Yes,96.45386313876776,D,B,210.77631054115687,-107.34516375800479,E,-55.27590991383483,1
No,-43.11833250306739,B,E,-49.195009563969116,-49.63591557691629,B,61.95299010849893,1
Non-Veteran,63.1646025078651,C,B,74.01161309126037,33.7114201148974,D,-113.10087979769597,1
No,105.88350845052501,A,A,-166.08175709428917,-32.07969776958533,A,-27.549592343371504,1
Veteran,74.94428755370403,B,D,-82.53067012147906,224.0335435665167,B,193.53696967579737,1
No,3.1255806680196314,B,B,87.96794309806471,-107.32085199207819,D,18.09783411591783,0
Veteran,6.796410816611628,E,D,211.05100551343133,-176.86708964011245,C,107.12298359222505,0
No,16.396747891270206,B,A,-8.910030748915505,-26.619584628301716,B,-45.26181624215366,1
Yes,-111.25760151901525,D,D,-100.84563745507447,42.607566593344245,D,28.036937671240064,0
Non-Veteran,-25.212671697146593,D,D,140.90682190818558,29.91588266240545,D,-190.77901422363337,0
Veteran,159.49625509560988,E,E,-114.7521323178837,-42.415941319345905,B,2.91573212302766,0
No,-96.38175065283572,C,A,43.337025106591085,-58.42819589367691,D,-25.518050413060767,1
Veteran,-60.80967126187692,E,E,-69.18915845766223,25.469054572474498,C,-49.47473848772208,0
Yes,120.97854065538802,C,A,-36.68772357062452,-218.5105743885091,A,4.939410602301983,0
Non-Veteran,134.72703298353116,E,D,-12.121421732862046,-55.55459194186457,C,-39.799575634672124,0
Yes,-87.3575897379006,C,A,58.9338308387783,12.574690634788652,C,116.82664092092911,1
Veteran,-11.239466084147146,B,E,104.92318991372078,83.73379868175431,C,-45.88830041805464,1
Yes,127.80610708315882,C,E,-46.210629836107756,-20.78478571604964,A,52.0198764184454,1
Veteran,-151.0888734667838,A,D,60.32688392218278,47.996564152415004,B,-72.83674382976474,1
Yes,227.45749230133825,E,B,-0.7414334292669833,80.1494467185506,A,85.80707302845771,1
Yes,16.06750660446912,B,A,44.50621523433813,-183.12875207888942,C,-65.32019177015667,1
Yes,60.480998402310114,E,C,-162.717371336429,54.56422574625973,A,17.04391564843078,0
No,-42.97495253192491,D,D,-80.37339104016922,123.65693085499274,B,113.44907087722795,0
Veteran,-34.595814795432844,D,A,-121.71585353322712,113.63688454141001,D,34.18705585241807,1
No,-120.66498830371344,D,C,-51.766985738143525,32.14024294649173,C,-26.298821554687997,0
Non-Veteran,-90.22185925050607,B,A,24.159185766390692,145.2048202458315,B,-37.61269411742187,1
Yes,2.015063550034754,E,E,-14.097816700124612,63.249124193486,B,142.33821725971262,0
Veteran,-42.87460586345259,D,E,40.868722918915935,135.20069937408502,A,-18.415501561911938,1
Yes,-79.51008922194535,A,D,70.2286291758377,106.66152304591392,E,-96.77945834727382,1
Veteran,-11.39456441382269,C,A,-74.77183227829985,108.29121868666749,B,38.245628761556965,1
Yes,109.7468985692805,E,A,-35.90622682504497,-16.797081039721185,D,-64.17904175349815,0
Non-Veteran,-168.64197587837404,C,E,82.41247370639367,66.44952725963348,E,-181.1271894244633,0
