RACE,age_range,sexuality,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
White,36-50,Bisexual,72,-48.44992651112042,-30.802306110585004,38.145381002566246,184.62401381434265,B,A,-84.80462002670176,-64.69669530133912,-76.5944882885359,B,100.17109793636547,85.63223122326258,A,A,32.392035040852704,-175.71321353965854,-24.718650455901518,1
Asian,18-25,Homosexual,46,39.374191329550634,116.57354190612435,93.66446112231017,-122.73437392522644,E,E,-76.09889760038358,124.34191785465099,43.00705731356992,B,100.22460153950628,-233.0989182019596,C,A,-184.55112527030673,-117.08301397550227,-110.06266668250382,1
Asian,51-65,Homosexual,48,-111.74871328563616,-5.287890462245442,81.98398081255894,138.82241782399853,E,A,-47.3499321533007,-32.92231047122733,-183.17837162417842,E,-27.366997506947378,96.81317350729934,C,B,-32.48089306821468,-64.92331195414036,105.91871714745633,1
Hispanic,36-50,Other,44,-49.93775897871439,-10.049119225309862,9.491701460642991,23.76583111545642,C,E,159.80166932105934,10.814994002793053,57.247025855834764,C,-6.8289277330815,-97.07354499331603,D,C,-12.07730724084664,60.323324161024615,-64.00217184270255,1
White,51-65,Bisexual,59,75.78337686722769,76.34539038348083,31.866873967843855,-121.56875678380894,D,E,1.085227060952832,11.738889765389585,-26.94214181258082,A,-78.38353477463819,116.39009735846851,D,C,58.426270555326944,-34.27026047187078,-45.038364524837675,0
African American,65+,Other,30,18.802364009687274,138.23543190053297,-90.25312130457877,-104.79439340606025,A,B,-11.94354491949358,4.316762208420247,-103.17372788735591,D,-89.66628087518967,-44.59917838412416,E,C,186.89792108098368,33.35395101851732,-68.04261080186413,1
Other,26-35,Other,40,42.385505184847084,-80.94727364799677,-57.92045270213847,117.17244738657959,E,B,95.03109123172318,19.31045943059361,-101.03339016288722,D,-54.03350722293072,-77.20967770587531,C,D,-43.62009383160543,79.51360717942487,52.11724724287915,0
Black,36-50,Heterosexual,24,98.08534512199529,54.363929576662464,15.692424437647123,48.78975941572652,E,B,50.21876229942258,53.71614977048749,47.53586111059627,E,22.58261316723055,257.2440321018203,A,B,82.89573304846695,42.880501788913634,139.917910650588,1
Hispanic,36-50,Homosexual,61,109.14995727151523,-113.47003769920742,74.46273277874461,87.14332978432805,D,A,102.9154768205608,110.63326419323305,105.28349981103852,C,-9.161269040829744,73.39085814223695,C,C,-25.8686275405299,-47.32028142223838,3.873588961699231,1
Black,36-50,Other,62,-111.06358965283434,185.43080375741627,-67.60837096566578,141.72283553954196,C,B,52.008047789366685,-4.699506434400347,-68.37103252016142,C,-56.258387435858594,-37.72886720755607,B,A,325.61032414688566,-39.20484250504977,121.92777277778862,1
African American,51-65,Homosexual,79,120.39486166629226,-72.39874613164551,-8.531592158430685,-18.434727769127747,D,B,68.9900082603647,-90.94653049231208,4.257380284389237,B,101.84413143694012,231.95526767031745,C,E,-27.99284693927967,25.07857789157076,-180.596450416599,0
Hispanic,18-25,Other,66,-55.89415693832396,-102.70908646559633,-76.56113994644316,-207.85379851496765,A,A,-3.3967865095069083,-209.96996802541855,-31.726643086532725,B,36.17741334132704,124.80770277837962,B,C,171.80413392373248,245.0270500215426,-34.92908464422937,1
African American,51-65,Other,35,-64.34237571345803,195.62641871656308,40.672438793776436,5.232017222471213,A,D,-130.7844921907683,118.51600870913074,158.47277273410083,D,-127.7110424410312,-58.98011353394418,C,C,124.73531099713797,-165.05305638928363,155.2873332845318,0
Black,26-35,Other,45,-83.5266063367316,132.51532919310938,23.870947547418986,-53.355207012999465,D,C,-205.71113902783637,170.21930970459286,124.85676994296198,A,-31.023430079974858,-126.094440304255,E,C,86.74943748910856,-60.56860940876376,-76.63974168016048,1
White,51-65,Heterosexual,47,-284.23150151404377,8.831329328295045,126.0964760442786,-82.92940127908832,A,C,149.7425218271379,66.46686202953957,-60.28409450173506,E,5.613985193652938,-5.570532315351449,B,E,97.27472177835311,-156.42784295471995,65.27559527918176,0
Other,18-25,Heterosexual,19,-21.753542643871775,-30.83986637555184,123.37302119444118,22.44333534049471,B,A,-83.43323775894895,111.8813850689586,-97.09845945186858,B,-41.88635328325255,229.05491161828354,C,D,-104.17724355137712,-23.00672243645035,-207.69246773740355,0
Hispanic,65+,Bisexual,56,-157.52500287043833,-8.830466897778997,-46.16455762360279,30.59427898564138,B,A,74.17478061903451,-125.75578857410936,175.25771406017284,D,44.03331172935687,151.15996171562932,D,A,200.91417284434314,-51.44212332228333,-69.59976085849209,0
African American,18-25,Other,59,177.78000370714423,92.8997562178867,-74.82855479212816,-100.2055755802029,D,A,51.62559315009775,75.88994821537668,50.10104524121972,C,-153.35127928881502,-158.07237109824325,C,A,9.827032461127013,71.32553939178862,-79.95375457973643,0
Black,51-65,Bisexual,23,-136.0035537722246,-163.63081207115897,-111.8311759993049,-41.86788636666377,B,A,16.632907603217898,-0.7690657992219672,17.471476019582923,B,-47.6643287752443,3.0914480242488445,B,C,-14.045746078786228,130.60037201469294,123.07916899275,1
African American,18-25,Other,63,41.29467203039412,-25.20123022237632,-42.94171891589064,169.93277300669607,E,C,56.88634089865353,78.77788152714564,-80.80740172370885,A,-216.77798705594915,-29.96598359259987,D,A,75.39233296347923,123.81779085000171,111.87040101111403,0
Black,51-65,Other,68,-18.216016327441405,126.37338144170221,-84.36392279881697,-95.76317038126204,E,A,183.9524369479657,-98.02628609198042,-19.896786966548145,D,-44.40383819333029,209.77685389665103,C,A,91.04964418125424,-44.65101920126556,50.3553790212105,0
White,18-25,Homosexual,45,-10.634670648049159,258.53388998304996,-50.141107004424114,-22.48063556323717,A,E,167.5517706286013,81.15764440949062,-21.345252104926583,C,43.89172926206692,112.14872059964627,C,C,97.52361500710789,47.2559870550956,37.26207362009442,0
Hispanic,65+,Homosexual,63,-1.5742349435199396,56.323793450457195,-215.5956351886033,61.356342664587615,C,D,81.93105668660657,158.92930192852396,16.38458126464812,C,82.03912935923994,50.849049430691984,E,E,13.883199414933644,-250.29730726888758,-158.4109453868651,0
Asian,26-35,Bisexual,39,166.6377219257143,19.708836028531966,-6.040340034488351,-115.76035229292543,B,C,12.926963480850345,120.79017034447446,93.85891969493004,E,-20.994285617072467,-162.29827619915335,B,C,26.30807040510555,113.37559063938994,125.6516402353068,0
Other,26-35,Heterosexual,47,-50.139515063112796,47.00534311733486,12.143662217836512,-205.49489717452064,C,E,192.7013387691557,-94.57450387390553,27.12594395566097,D,-3.7981331495666244,-142.99391656981513,C,E,-14.363979576814357,-112.31237740410853,98.34217434124048,0
Other,36-50,Bisexual,66,58.4355823082373,-98.09422772317028,-34.53699274976908,-48.53543434346766,D,D,-68.653035098103,-68.30184732529386,-150.83939103934026,B,-13.778102768148933,-77.05165586111518,E,C,-52.05867243208214,-45.65559900687584,-116.037188852643,0
White,26-35,Other,52,-79.51333172597467,-132.45012200175233,125.94105661775407,-165.16326254838052,D,B,61.68098467326375,-31.56166154613108,-79.82122429404174,C,-108.85792872499118,-53.84267094585694,E,A,54.08812407830537,2.1705533978022853,-37.26208146531151,1
Asian,36-50,Heterosexual,52,73.74295541832484,-30.3177235238599,-51.301959807624144,114.82702537019318,D,B,-62.21948363487402,-97.85583928359391,78.1328328767056,B,188.73612092317865,91.35904227770517,C,C,-89.67606670523556,50.77929644236265,-52.99935556088657,1
Hispanic,65+,Heterosexual,62,-27.746572961281117,64.15825840965222,-19.935506660688485,8.39032267595572,D,D,-11.31070276934942,-146.33311016550448,69.75305653994138,E,-16.313581351861984,-54.264866641174514,E,D,-15.5111763965411,80.59070122780894,47.88806649049431,0
Asian,36-50,Homosexual,73,49.90280911018623,85.9410107842862,-66.9466536493206,105.4708989042789,D,C,110.58343073402624,-9.292483067057814,-207.7926270253737,B,28.890569624976763,75.00048871014778,C,A,119.86744060923624,13.1220039849199,-26.338712593256414,0
Black,36-50,Other,54,-163.8104766402441,-178.27584047846415,-32.71569145192219,-48.19474932735066,D,C,20.937979375567288,-86.31302593582751,39.77968636270657,A,70.56435695399507,4.632607021063859,E,B,-2.861789670563691,-41.96633169341089,84.6238484462652,1
Black,18-25,Other,56,11.40328180261797,68.61708465837685,97.76048000772896,-15.032559025554622,E,D,52.658565506655364,105.90078897423784,-146.93946227998515,B,-107.3669404653198,72.69295710203244,D,A,-28.494337482146275,137.88985466155074,-175.16099972101316,1
Asian,26-35,Homosexual,36,-43.729982070005505,224.09096680252222,1.5062486973852869,134.8270467321268,D,D,73.14118715870654,-122.16764258004463,-16.199679538817794,A,-32.90636595595504,202.3245440113313,E,D,-96.6306592553027,-62.41494426041358,28.6566969732205,1
