marital_status,birth_year,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Divorced,21,Other,66.64251145770645,-116.62348877882572,-33.03756869160683,-49.26195345804418,41.60975209651178,-82.00453023919874,-44.87107172541628,E,A,19.66241798012989,D,C,E,93.68811430066992,E,-261.3113301887813,C,1
Single,70,F,26.536426556813492,26.15539389086125,73.5104151990059,167.16741272568504,66.91762763661843,55.328694899324645,-99.3655042196571,E,D,144.21187071820856,C,D,C,51.882278321297136,D,-54.42715276701594,B,1
Widowed,37,Other,-11.641998971751946,146.3792789645022,-45.18145061048091,21.11635082108709,34.68413606053138,-73.07370707211021,-39.91362467269742,D,C,2.537042626207544,E,E,C,36.17870333094355,E,-32.65808278490307,C,0
Divorced,84,Other,105.10137796184051,19.549938469576315,43.56694938154517,90.86286521656272,-207.26739107890998,56.06251132504059,104.5226645203649,E,A,-64.86744451360835,B,C,B,-137.51061042016454,B,97.79131775771019,A,1
Divorced,24,Non-binary,-48.29954936549486,-214.3001948453864,-153.09346579630397,-158.4089377180999,137.2016756403343,-74.81875019810062,-142.264890166684,B,B,-72.30108895859918,D,D,C,-125.29657269021716,C,13.117414667302798,A,1
Widowed,75,F,36.430283258298005,-18.78201396641326,-91.03271773010445,58.68361961257412,144.8802368016158,-98.43272464412681,97.6263426490616,C,A,2.9918277219303695,E,C,E,288.81025238300833,D,101.06102885101652,C,0
Widowed,71,Other,-31.774914576670316,-261.1494579452784,-12.449904640345107,-123.4034032751048,128.89911601025594,-194.37013769021155,-28.16576079932175,C,C,-9.275635579634613,A,B,A,-155.76104592452822,D,86.38795934977334,A,0
Married,47,M,63.308614182517495,19.72961735071157,178.00413609078467,41.27141410801504,-256.96800062558276,83.77435558352595,107.870546165323,D,C,14.029958594343203,E,C,A,104.04949834264399,B,-13.278764587044137,C,0
Widowed,93,F,-94.12916255074968,-0.7649182490253739,87.05783601221792,58.49566031073399,-321.09954753598,65.53837356825996,195.28947281179828,B,E,111.90913967864246,D,D,D,-198.77187806829312,A,-52.81575447717577,A,0
Married,83,Male,-124.11868062353177,-105.84084165045473,-53.85971706964921,-241.8452375862322,11.309055063690945,-100.3708846783711,-81.30106545980958,A,D,31.491612017090766,E,D,C,-72.84978686894688,C,-24.054118253044148,D,1
Divorced,32,M,-9.417696987308432,-128.35385978934605,86.96943171516389,-101.9935881239787,-7.0195864741214224,41.51007271863748,-189.23688030953772,A,B,146.26701016172316,D,D,A,77.52471859093774,C,24.072319229658554,A,1
Divorced,77,M,92.34009812856354,-112.80386587032034,-80.6072876784626,143.09273755331358,30.638961676627297,11.057417073468729,-8.014551820205577,C,E,160.36846598110728,A,C,A,-216.37387941889773,A,295.77633843043355,B,0
Single,64,Other,-104.13578149346566,68.30072462126287,108.43617040435633,29.693408568310154,38.30997512141977,-5.450042749044292,-21.49024434600887,D,E,215.77591956703031,D,E,E,-71.35089647714317,A,-9.467458237854514,A,0
Divorced,77,Non-binary,-32.68802020960638,-78.63619402786193,-44.0471382825901,1.6125199263027947,-97.58829192045727,-17.202094230389715,-56.46573468274917,D,A,-0.36982411129095355,B,D,E,-59.964588487895846,C,41.85463259899305,A,1
Divorced,21,Other,-270.4184808014222,-47.06274242560743,126.41206383255832,-28.927039343422084,-14.631218563783873,-35.66468146095974,-41.198925396956376,E,D,24.953348180465643,B,C,C,-99.24455251339978,A,-143.80871773023372,D,1
Widowed,77,Female,148.53286519299976,-116.72949966889858,89.26126814231938,-233.28489678775588,152.25824914282381,-67.22864701880852,-48.68851917509806,B,E,-95.88842348611733,E,C,B,42.9848072410165,E,57.52129773944041,E,0
Single,40,Non-binary,-69.52565958430955,-120.38074320067342,23.882382696129913,-112.43255077825776,-66.6961385552376,-76.71811771471756,42.75086644226427,E,D,-62.484057154170436,A,E,D,-48.25386133807221,E,-138.21279365591857,C,0
Married,33,Female,-101.17213490026764,-141.37675694367843,83.44175611832962,76.97932444837703,85.61376743489599,28.017435058694463,-75.59819384662578,C,B,-39.773808227014456,E,D,B,118.78722305447698,B,-103.86461625670356,A,0
Married,46,Other,4.849111458827529,-179.78550350207024,19.407204060523135,-92.77435643291956,109.05748750349449,-152.72262795356446,-124.08078405153589,A,B,47.5455944956758,A,C,B,-29.219755939759313,C,-19.274732646271744,A,0
Divorced,91,Male,-65.44966507218919,-93.38255621136311,-291.26800770038784,69.98163593653247,1.1994331334653112,-88.59371247118378,-65.6886367064885,D,B,-162.97329155668947,A,D,A,210.01182137208093,A,-60.10886777917539,A,1
Single,88,Male,-53.17209670503368,83.86729507669882,-22.166245328679064,59.21660211446294,-74.502315401533,-24.77518168360136,-32.3963202703307,E,E,45.14106424072093,E,A,E,97.86736795930375,A,182.82767477737204,C,0
Married,66,F,-12.424505480162342,-31.658151839784125,-98.82602126589777,-104.94156251809181,-169.8281151139655,111.16960074213938,-104.03177069651406,A,E,72.51600628250476,E,B,A,36.48705014341197,A,-122.87371527710445,A,0
Single,61,M,65.92651943810434,-16.72360462836365,84.14691327612005,-42.7707204266033,13.242091373656544,-17.493312354843614,-35.31002280123003,B,A,76.23106889650404,D,A,B,-140.30607514067205,B,-115.4064738301554,E,0
Single,74,F,-125.87177191151578,-92.71525391993178,19.769604252343363,-181.56769788136464,-102.75049055034708,6.1336057243851405,45.46966568605783,C,C,120.46696022197719,C,E,A,-46.57246793179982,C,-157.88830841135942,C,1
Divorced,90,Non-binary,7.204609937109914,176.10136366740488,-109.60003868670287,221.62999545420178,12.809320468370396,73.8127991787918,-175.2740149641337,E,B,-111.90627016486245,A,B,D,82.58004238056526,D,12.590866235477046,D,1
Married,99,Other,-25.842858524283574,75.18529778401616,-62.71385943186374,-8.290560322074835,-83.32969487207184,-123.44174278744546,82.030235635646,B,A,-6.34041486613568,C,D,A,-140.39616002519602,C,-9.800692690815685,A,1
Divorced,69,Other,-129.02922364025574,93.82573232160618,-195.87682403011593,-58.274555497796754,-32.00668623654938,-83.19702162261106,101.3495898398751,E,C,-47.78632827086784,C,E,A,178.65130479284235,A,-70.43350337560655,B,1
Widowed,61,F,-88.99657773832358,85.75847862471974,31.922471501414456,98.32151434140617,-124.81100510370509,25.256179598377713,-78.85504388194508,B,C,-13.29454578051273,C,D,A,66.92271270391306,E,-134.35733003356557,C,1
Widowed,46,Non-binary,10.788477033791184,134.1710450879219,-90.24252579382772,14.707837319657344,-49.583694337381004,-16.513499748784866,142.19064237642013,E,D,5.607416761277801,E,E,A,-49.092613667794296,A,-94.02542392315752,C,1
Single,89,Other,133.62784032384195,-72.12169091369273,62.23015896161257,54.33717230164306,163.53938114383973,25.396023896818214,-13.27100751993423,C,D,-174.61154689169095,D,E,E,48.81225338296473,A,159.81301138119522,B,1
Single,65,M,15.352755418215247,144.35630838277902,-56.92738594636422,46.231040498499546,-20.23673490726096,-102.34317015356392,-89.24080713734081,B,A,118.78618838305928,D,B,C,45.43311246303397,C,309.7745775080706,C,1
Married,44,F,2.040813868961949,78.62353149019124,-23.82090934889783,-4.012246769155645,182.02220720758882,131.14843570371798,83.26702186106144,D,A,-118.88729573436605,B,A,C,-122.27708313320453,C,-214.91589679602453,B,0
