Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
India,E,A,30.46164105921592,C,165.64167623585777,A,D,0
Germany,B,A,45.88444476681026,D,45.3730752334559,B,E,0
Mexico,A,E,3.2527373145301386,C,86.77569821225237,D,D,0
Mexico,E,D,-165.1896160148324,A,-64.53696302950388,D,C,1
Mexico,E,D,10.532961580062329,D,47.46504678408909,B,D,0
UK,D,E,15.876770212726052,A,22.942105856111127,E,B,1
Mexico,D,D,-51.14440452543395,B,55.81251125533589,C,B,0
Other,E,A,-24.14453449085043,C,88.8842425256872,A,A,0
UK,E,C,-101.62532467190016,A,-20.426863545624542,B,B,1
Other,B,B,-154.64249067722838,C,16.347980620782078,D,A,1
Brazil,B,C,114.57613593896974,C,-58.735306967622435,D,A,0
China,A,E,208.31047316295047,B,17.17035484784467,E,B,1
Germany,E,C,-16.011557870730016,C,-95.67255562509075,B,B,0
India,E,E,-207.9889132001177,A,-41.719880746354185,A,D,0
UK,C,A,119.29251630595911,D,-161.32210976105023,B,E,0
Mexico,C,E,-2.3214184407958074,B,43.00586705951896,D,E,0
US,D,C,88.12493444817864,D,40.80465620141881,C,E,0
US,B,E,-22.81975518864288,A,37.028630718311675,B,C,0
Germany,E,A,-41.655151355012556,A,-61.34139897921268,C,C,1
UK,E,D,-9.907032443148516,B,-20.77886681423413,E,E,0
Other,B,E,-4.444089784503864,E,66.83564736646377,D,B,1
India,E,B,-50.26124361987395,C,124.1229626463811,E,B,1
Mexico,B,E,-49.81778474918266,A,-4.936111935598612,C,E,1
Mexico,C,B,-58.568345826965526,A,-84.29056991665918,B,B,1
Mexico,D,A,0.45656581023781556,A,-26.154531810488646,A,B,0
China,C,D,308.1393663055275,C,-66.56067567050052,D,A,0
Germany,D,D,-106.19554859043818,E,-88.0520356953641,B,A,1
China,C,D,-56.96629059066367,B,88.92361068037454,A,D,0
India,D,E,-16.86867655035565,B,-46.698952253303794,A,A,0
Germany,D,C,46.053557567933936,B,-54.71408041886316,E,C,0
UK,C,B,233.1771591216777,A,24.885934315070543,D,E,1
Germany,B,C,105.5237169100137,D,-179.36430868533256,E,A,1
Brazil,E,B,-80.01790267662506,A,11.521053308083367,E,B,1
Germany,B,C,70.94062021221943,A,-214.40445900601924,B,E,1
China,E,C,297.5637006595146,E,226.42686066463895,A,C,0
Brazil,A,C,45.56267532562923,B,-112.98788457898755,D,A,0
Other,A,D,179.0473893057299,A,6.451389257554041,E,D,0
