veteran,SEX,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Veteran,M,63,92.67024036548511,14.60527589870883,D,D,E,C,-183.89983461105496,94.05954613386865,127.93935361800173,B,D,209.59560527285382,B,A,0
Yes,Female,96,8.553936300376174,-23.342058774070935,B,E,A,E,39.96901552935653,216.74456549029912,-150.26182793595206,C,D,86.81352758874488,E,D,1
Yes,Male,82,89.19492877678867,77.30054313776355,C,E,A,B,55.647475867384976,-49.54411032431636,31.16589086453274,E,E,45.31494958206779,B,A,1
No,Other,96,-55.42562965151227,64.3951109093555,E,D,B,C,200.89862425670435,20.27049759665603,-86.5918246610677,B,D,-127.54173723599835,D,C,1
Veteran,Female,94,-181.0117430227952,58.99387680173662,B,C,E,D,-31.096380409350253,5.442529585732122,77.59670017806411,A,B,90.58202860779559,B,B,1
Yes,Male,63,-9.076927807519608,85.38197327293511,A,E,E,A,59.15180076690248,-7.329135052646175,-54.5625303298335,E,D,138.60031415536181,D,D,0
No,F,57,-27.894339296116428,-57.61402285262868,E,A,A,B,12.54529159866465,-8.200537597314996,-72.37847968006783,C,E,-127.7555340909513,D,C,1
Non-Veteran,Non-binary,87,-2.9339067739581224,24.88527794347231,B,B,E,E,-37.794655605445,-245.90783832685813,-32.75249594691481,B,C,91.32555547533204,A,E,0
No,Male,40,107.91291270324581,3.9264045679943154,C,D,D,B,47.4643072576893,-40.28663087892594,67.03953011043234,E,B,24.559351379189017,A,D,0
No,Non-binary,74,297.92605532722644,-172.1331625375663,E,D,D,B,-51.45542892051673,-31.046677051942577,4.2246609838317974,C,B,-79.8601553215219,A,E,1
Non-Veteran,Other,79,74.60711994458093,-52.28435036469696,C,E,B,B,-109.00788413603316,44.14789093301866,-22.932768884796744,E,A,-81.5066554236897,A,B,1
Yes,Non-binary,70,23.323037071319465,-48.32475241443704,D,C,B,E,-31.272375506260687,-21.385706554621066,100.94239158771403,B,A,5.3497238393447875,B,D,0
Non-Veteran,Other,26,-60.20531938239988,-0.11214840957599044,A,A,A,D,-120.73531599168632,87.4372523435922,114.23111112767552,C,C,57.987311929353126,A,D,0
Yes,Female,88,-107.79443163273359,73.34294408057687,B,E,C,C,-114.79544407613041,184.05585113436823,13.621412632847148,E,B,3.261415827606699,E,B,1
Yes,F,56,-23.619725142424976,150.2389488441822,A,D,A,E,2.817525734618582,161.61478730316276,55.12443928206723,B,E,-128.85548401044218,C,E,0
No,M,54,-110.08277499533288,-174.73545934190088,B,B,D,B,-39.64105653675956,-19.15050769997967,-59.76965787259172,E,A,-28.44089958883633,B,E,0
Yes,Female,35,-172.06880391601723,-33.999242742159815,B,A,E,C,-180.10011736863117,72.90348766748149,-24.418880949530816,E,E,86.10739684350689,A,B,0
Yes,Other,23,-76.40916088688748,82.99810511911006,A,C,E,A,137.49198048433834,133.083301128557,6.403940146073424,E,C,8.382171389049924,B,D,1
No,Non-binary,22,33.32241971175996,-83.3833505732903,B,B,C,A,-43.82286563015939,-24.522282579638706,-49.11957681765322,A,B,-140.27101308996407,D,A,0
Yes,Other,24,-349.01608876963473,69.84480203960524,D,E,B,E,-90.20275558147054,-8.770653290333073,25.69841214988103,A,B,-209.30495531773167,D,A,1
No,Female,94,64.18772032402578,-15.770708731842067,D,D,C,C,85.38880325540204,-25.063593738928347,-98.5857037043102,E,B,-146.93824301201238,A,C,1
Yes,Female,76,-148.6026404227897,-33.097723610705096,B,C,A,B,36.52477734334185,-1.4792478568312835,167.1439275668044,D,B,-97.01882187996931,B,E,1
Non-Veteran,Male,99,25.05278102812144,95.49213796425236,A,C,B,E,115.77058023364597,114.93072856918687,189.15837791236189,D,D,-127.78395567631328,D,A,1
No,M,22,2.939262060637,65.79589994358578,B,B,A,D,-115.17089106345011,-131.81065667457523,15.234870388203007,D,B,-85.4248842081027,D,A,1
Veteran,Non-binary,43,-121.45065151955907,72.990178513841,B,C,E,D,-100.03546134435415,3.370099820706639,17.392777624319436,B,B,113.70302094948418,E,B,0
Non-Veteran,Male,80,-103.73227750027208,10.875276626336852,A,A,A,D,77.59620108995672,55.910410954153456,-73.52770277834496,D,A,71.37070364788514,C,B,1
No,Female,36,8.61094665295323,-55.16554938099013,C,B,C,E,-100.8918908338416,19.789552525662003,-111.4211862498008,C,D,94.96090410328206,A,E,1
No,Other,76,-17.94828164168521,-35.734351527668714,B,B,D,B,-173.87559325370495,13.769438164273781,71.79445633888567,B,A,50.2699295328661,D,A,1
Non-Veteran,Female,60,-43.86533848345352,-138.10132927507496,C,B,B,B,152.65046184407288,10.207033024130537,-159.08357725517996,D,B,86.86220177197045,A,A,0
Yes,Female,22,42.15294442262801,-64.48699633846384,E,D,E,C,-75.50974421785465,85.31279189516066,26.041839435135145,A,A,134.5821975924249,B,C,1
Yes,F,83,-92.72062888205149,-70.00161354608491,B,E,D,B,106.17026177399387,-126.05137547844798,176.2776438959209,B,C,-207.95387864039694,C,D,1
No,M,73,69.6488940067528,-1.634948870387719,B,D,A,A,-48.558238957544035,-167.00466526221953,71.0177720760271,D,C,-62.807956556023385,E,C,0
No,Female,55,-70.92731616251604,98.2790050886319,C,D,B,C,151.3740815835412,-62.91392277740656,145.63187199509517,E,D,6.485129742227647,C,B,1
Non-Veteran,F,87,38.581923485347,76.10992439147972,B,B,D,C,78.98525494399574,-36.067825846409754,-102.24439929954514,C,A,-57.52400703022308,B,C,1
Non-Veteran,Non-binary,80,-89.67584547943169,-79.19676793419553,E,B,B,B,60.85567874336194,-80.48208420555596,138.79740540486014,D,E,50.07775272947632,C,A,0
No,Other,85,-45.954261346412785,-24.41356289354238,D,E,B,E,92.87123024442705,81.99686795310956,98.12986144968295,D,B,-173.7802634691415,A,D,0
No,M,96,22.99084806450421,-128.24186665407277,E,D,D,A,247.02075460127747,-334.2125514349798,-12.129613152325033,B,D,184.7638313306446,B,C,1
Non-Veteran,Other,37,-85.05403346805622,24.928790014941647,D,C,C,E,95.45747863385444,-5.4455161496995785,-87.03086325469573,A,A,4.813306257961908,D,C,1
Non-Veteran,M,54,182.4357060220522,-60.355990228035154,E,D,B,E,-69.5433562420046,145.77910005708802,-41.791133743129016,C,E,280.20019005046646,E,D,1
Non-Veteran,Non-binary,21,36.666614139852754,-26.571344827522086,C,A,A,A,-56.09960291509856,-67.0017872162812,-8.119808549589228,D,A,-141.37539817368037,C,E,1
Veteran,M,22,-95.16387631423227,-77.81571563071371,C,A,E,B,92.66402707524446,30.820533144571804,3.230539511218062,E,B,-3.0371192071414423,E,A,1
No,Other,45,-21.94636328412674,-119.84238681037715,A,B,E,D,40.93547696951653,-33.00561707871281,43.17688745565145,C,B,-20.058119211467755,A,A,0
No,M,71,52.68570740769821,88.8905675809252,E,D,A,A,252.4856665947428,37.67610528656138,91.09772357629218,B,D,36.71097153720159,E,A,1
Non-Veteran,Female,76,195.18362281909342,-106.82544674311671,B,B,C,E,109.66015811100284,-53.36071813343997,62.74110359674284,A,E,-95.40220591730964,A,B,1
Yes,Non-binary,96,-69.79208326169226,10.370753115521811,A,A,B,C,93.20249572169352,-31.016883274538966,53.95651845249135,C,C,52.42038790203942,A,B,1
Non-Veteran,Female,21,-125.33638192900227,-31.96718461683793,C,C,A,C,52.8075477103156,158.57199101404325,114.03866696295854,A,B,29.24168991980567,D,E,0
Non-Veteran,Other,71,-4.657149115396648,-54.35055117055849,D,E,D,D,-72.99798072926438,-30.4131940082987,16.884110614270007,B,B,-12.194294014304793,A,D,0
Veteran,Other,72,-0.056867220709342345,46.38106165197666,A,B,D,B,-90.78321512094128,145.84730358813815,-17.444848457904012,E,E,35.29886119660717,D,C,0
Yes,Male,87,51.82460750658073,18.9022797158661,C,E,B,D,3.2215083525112242,-23.631598226085046,165.32849599966886,B,D,173.2820308936127,E,D,0
Non-Veteran,M,43,-120.87775533343854,202.41051277361652,E,A,A,C,61.57974188891523,-13.991945603754113,118.20575137820288,E,D,87.10281701497361,B,C,1
Yes,F,81,44.99529138723062,14.126158828747451,E,D,E,D,-163.679964609006,-106.99192700530674,-114.68679395822593,B,D,57.025933855415445,A,D,1
No,M,73,-19.682578209668442,-30.521896474434097,C,B,B,A,42.71606387684177,26.3719870329578,160.3217581096816,C,B,-32.152389493655434,A,E,0
Yes,M,63,-256.76295092994167,10.898073528140563,E,C,E,D,63.804159992100374,-325.29531578899105,337.9739953001826,E,A,47.30048786490655,D,A,1
Non-Veteran,Non-binary,47,20.610069037776952,-15.746414364911415,A,E,B,A,-127.57651430908874,-102.87676251304292,68.33944425634718,C,A,-80.60490122664086,B,E,1
Non-Veteran,M,60,-269.3686828186431,-33.826203892054906,B,A,E,B,-63.02765491808113,85.10563776512431,-158.24125653219784,E,A,55.24237766685572,D,C,0
Non-Veteran,F,56,-11.314048048299814,-85.38873722201423,A,B,D,D,40.224387783685415,-15.20339575246245,-9.355810042522336,B,D,-162.09917099674934,E,A,0
Veteran,Female,48,-19.48139966273132,-5.936852650749238,A,B,D,A,37.470743436590205,65.40924897563897,53.97205788828422,B,C,26.91821390322435,C,B,0
Non-Veteran,M,34,-110.42504332412713,89.21429759386945,C,E,C,A,4.112815663099368,110.65956161393169,62.197359965191815,A,A,80.63924282605697,B,B,1
No,Non-binary,81,-57.306266251446324,-146.94190361578347,A,E,E,E,-19.96694295221672,156.46777027425344,-94.8332396181884,D,A,-266.2249491025525,A,C,0
Yes,F,39,42.875549916621566,-0.7272194088743283,E,C,A,D,142.40821353564004,49.11744079025409,-14.1239695443893,C,A,-0.6074141772844367,A,A,0
Yes,Female,40,132.8157916081797,-15.885749051468109,E,A,C,A,-13.116396913044587,21.247791863252623,-100.91898045390415,C,D,170.8838116511455,A,D,1
Yes,Other,81,86.13362801286495,120.91489479408794,A,B,A,C,-56.1593163735998,76.71275850671663,20.08636322308387,B,D,20.161548242232694,C,A,1
Non-Veteran,Female,27,-184.89702709739012,15.453152263222108,A,A,E,B,-49.900020098771655,-93.77016096152644,64.63523092769827,C,A,84.19097951240462,C,B,0
