ethnicity,orientation,SEX,anos,feature_0,feature_1,feature_2,feature_3,feature_4,target
Other,Heterosexual,Female,70,21.125358147885187,E,A,-82.04336167445796,132.154525078327,0
Hispanic,Homosexual,M,80,-90.77644193568115,B,C,91.58629578836316,48.95573539907552,0
Other,Homosexual,Female,77,-85.95084807222977,E,C,9.124319320394166,-2.275093808148995,1
Other,Homosexual,Female,74,68.46156296523252,C,C,10.580596611535857,-114.49518934240113,0
Asian,Homosexual,M,65,58.25886249235446,A,E,54.78379407012288,-27.045940545227896,1
Hispanic,Other,M,31,4.939179942015835,E,C,11.658248703697655,15.372584085175149,1
White,Heterosexual,F,52,-48.6800025381969,B,C,60.07332242640327,-288.76879416271373,1
White,Other,M,68,216.07949713100885,B,A,128.82678195272217,-68.59954119450042,1
Other,Other,Male,43,-94.76909176164713,B,C,0.002085172018489375,-83.976951556822,0
Black,Other,Other,64,-233.92738731480483,B,E,-12.681835953636497,-37.073240808538465,1
Hispanic,Other,M,85,68.8914439077913,E,E,53.12795790853695,-69.23629297624448,0
African American,Homosexual,Female,81,-125.81089133360959,D,C,234.11022189190814,-60.901378446276134,0
African American,Homosexual,M,39,101.6787110959623,B,C,87.68533385544283,146.3772994838352,1
Other,Other,Male,23,-10.183057979759322,C,B,-162.2047083209562,98.04401748341753,0
Asian,Homosexual,Non-binary,85,79.14975506018533,A,C,-74.45548601331495,-219.56821991015457,1
White,Bisexual,Other,69,-39.74332672191658,E,B,68.94533494129365,-2.4339797359725255,1
Black,Homosexual,F,70,42.43805352620547,A,D,65.8264356842415,-183.99233025726156,0
Asian,Heterosexual,Female,81,72.41428202167965,A,C,131.4512788308785,-39.7874108882744,1
White,Homosexual,F,47,-6.418150654402946,C,C,-202.24388631004265,189.29626715748134,1
Black,Homosexual,Female,45,145.9940273067716,C,C,-216.30736115594442,-152.50641536474828,0
Hispanic,Heterosexual,Female,94,10.46323669211764,E,A,172.17488393400149,39.55062176710589,1
Other,Other,F,53,59.41493261364593,C,E,75.65131344680248,133.66602123084527,0
White,Homosexual,F,53,-47.426001117038965,E,A,-114.61060060702839,-16.095441285876458,1
White,Bisexual,Female,46,-9.500800698332565,A,A,-53.53061436106073,48.32044459446703,1
Hispanic,Homosexual,Non-binary,50,-72.69380062160165,E,C,-117.82791875899308,-48.81414730111235,1
Hispanic,Heterosexual,Non-binary,90,-30.809091891021485,C,E,-41.820462872136794,19.76635937003726,0
Other,Homosexual,Female,75,14.248232907517053,E,B,-74.35891465770207,-155.42881250002728,0
Hispanic,Heterosexual,Female,45,22.164525791682777,B,B,15.62564225526753,-209.51864415738353,1
Hispanic,Heterosexual,Other,28,-65.09812213461579,B,C,287.10445703913024,-120.96939805056579,1
Other,Other,M,52,-198.9462818687147,D,C,-95.24461483892456,-123.97354477435327,1
Other,Homosexual,Male,35,-71.05648391400709,E,A,-151.75082307686517,63.270190193006194,0
Asian,Other,Other,52,-169.47115926085985,A,D,184.3571596289786,-109.2434972992728,0
White,Homosexual,Female,65,96.33364369162926,E,C,2.3563014983823107,-121.44570854535989,0
White,Bisexual,Non-binary,68,94.65489870886847,B,D,19.791167599376266,128.35502997653515,1
African American,Heterosexual,Male,60,-41.43663364360033,A,B,-163.25945363905544,-85.5760557355864,1
White,Other,Non-binary,18,91.98596889585534,A,C,214.46483207512247,49.12962544701016,0
Asian,Homosexual,F,34,-133.0198500895893,D,B,109.02935762092545,-105.77999085298318,0
African American,Heterosexual,F,42,96.57735932989645,B,B,-179.50439169437306,2.675929435935269,1
Other,Heterosexual,Female,90,147.99338140830227,D,C,249.8939740001828,-114.00788981381945,0
Black,Other,Non-binary,66,19.60294868414724,D,A,-132.98415348034004,151.5275777616828,0
African American,Other,M,45,-12.363594578467865,A,D,165.91202743450202,151.07662587799692,1
Hispanic,Homosexual,Other,88,202.1179976795199,E,E,230.21993290020512,131.3994568392421,1
Black,Homosexual,M,79,-17.447750185642956,D,E,-7.753355894276767,111.72470746292579,0
White,Other,Other,99,-165.20676088245108,C,B,43.35750881511484,-132.62473790288675,1
Other,Other,F,44,-44.591087434305386,D,B,-37.85042028619045,-34.00173982047281,1
Other,Heterosexual,Female,41,18.741044439988805,B,A,62.08603509155104,149.80793754297474,0
Other,Other,Female,82,-165.92062567139948,E,D,35.8537990966028,-33.465108083324566,1
Black,Heterosexual,Non-binary,75,-62.27074917593269,E,D,-111.07880652336894,47.32134406957659,1
Asian,Other,M,28,-10.315495202437463,C,A,-165.26324291756157,-65.17981606573375,0
Asian,Homosexual,Other,52,126.4990259339603,A,D,94.1801777172458,-40.01404464152324,1
Hispanic,Bisexual,M,39,-99.30545066629777,D,C,-101.66048748877536,39.36062515150376,1
Other,Other,Female,29,125.22909086720311,D,D,147.6438460981183,-11.554435313924074,1
Asian,Homosexual,Female,60,35.24584971569284,E,A,-142.7590476159111,-91.77708590337332,0
Black,Heterosexual,Female,28,21.335973844879323,B,D,10.616644176663591,175.72077867193318,0
Black,Homosexual,Female,60,-332.7361785549847,B,A,127.68849973129164,-68.25773965968894,1
White,Bisexual,Non-binary,66,-156.84487520927772,B,D,-106.74245362736833,77.06459751198481,1
White,Bisexual,F,39,-71.15304823638157,D,C,-27.461610856298442,-17.489779688261855,0
Hispanic,Other,F,49,68.21700652331786,B,B,-187.60933714404192,289.34520532178857,0
White,Heterosexual,M,35,22.934687470962302,E,B,41.00597871686302,-197.94942033069958,0
Black,Other,Male,47,88.69511950092028,E,D,-55.38461899033169,24.049225172550496,0
Hispanic,Bisexual,M,79,300.1123658026659,D,B,-23.953706591576903,-204.5505238814425,1
Black,Heterosexual,Female,53,81.45617760674315,E,A,6.894502808533579,-49.020555523976206,0
White,Homosexual,F,98,-116.1749467653552,E,D,106.17707618938044,-21.05736547387433,1
