Disability,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Mental,73,B,C,160.19179450123363,A,C,D,30.029989414394187,-62.36410918502546,E,A,-45.752731112214406,E,B,C,D,53.586956926515185,1
Both,35,E,D,-122.22219302878372,C,E,B,-32.71407758226018,-59.672930262588075,C,E,-18.391939003184277,D,B,E,E,69.67467782981922,0
None,77,D,B,-17.997406977068838,E,C,E,-37.614113063036186,-98.99912689422655,B,E,-15.875572889754547,D,A,B,C,-204.00862187623196,0
Mental,36,B,A,-151.9049235245393,C,A,C,-81.28756975508892,-81.58000605830806,B,B,52.267897568179414,B,A,B,A,-42.34473505417837,0
Physical,74,E,A,-77.06123642508787,A,D,A,291.0574288049621,175.4333442954694,D,D,-155.74761678253486,A,A,A,C,137.74555269338532,0
Both,75,C,B,-82.5763341943969,E,A,A,-73.73105335478094,-38.45872043380282,C,D,222.87537860638898,D,E,E,C,81.39599389443045,0
Yes,53,A,C,70.70673333011852,C,C,E,104.04013679767515,160.7745698757489,D,B,97.76545962947448,C,B,D,E,-6.570284355707392,1
No,61,C,A,100.6468123648395,E,B,E,-28.72859714651465,48.37366583544704,E,B,178.48417851102235,C,A,B,E,100.67424244559939,0
Mental,61,D,C,106.69320252270762,C,E,C,58.419403709285966,-126.02229104110219,B,B,-1.5383262138627947,D,B,A,B,-63.462176633856636,0
Both,65,C,A,-53.45798630648599,D,B,E,104.58357532265627,1.90918400401804,C,B,104.87691135411058,D,C,B,A,45.95023553253721,1
Both,69,E,E,13.858067978182161,C,D,C,207.84204333556158,39.428333855427375,E,D,175.66684347685074,C,B,B,E,-102.03149429507859,1
Yes,79,B,B,156.1575380563448,C,B,D,118.86246096160575,22.686287093598313,A,A,68.94887174119087,D,E,B,E,16.203764829042544,0
Physical,41,B,D,-138.5515298623617,B,E,E,59.39384130981071,-71.59787195966635,A,B,-74.73873453418986,A,C,C,B,-61.21837750365433,0
Yes,62,B,E,-57.84582656880235,C,B,C,-83.10455566064334,20.14615525702042,C,A,-148.28068702037734,A,C,C,E,74.74235328199327,1
Both,21,A,A,-132.4464096250366,B,B,A,-11.404075276024349,46.50740429477056,E,A,-106.43413013337408,B,E,B,D,-19.44354348631466,0
Physical,38,A,B,-20.008149519746173,A,B,B,27.32170975573922,-80.99498929358651,D,E,100.02173769602483,E,A,C,C,-59.52243026758682,0
Physical,27,B,A,59.217971260383365,C,C,B,86.42702558377827,178.2461247951161,C,C,31.623735145145492,A,A,B,D,-135.75603505792057,0
Mental,49,D,C,-108.93076501219228,C,A,C,86.59817738097934,119.23568959001499,E,B,-73.8995979519455,D,E,A,E,51.32189441959958,1
No,40,C,D,-46.43678067037305,B,B,C,-146.78843505182124,-5.66680683052064,B,C,158.9715018610678,D,B,A,A,96.24214166771647,1
Mental,22,D,A,-80.69453593836553,B,C,E,104.92608790347032,-79.78049702305145,B,B,113.89317148714626,B,E,D,E,-29.054193039850368,0
None,71,E,C,54.39519116569285,E,B,B,-101.01204216971773,8.526340510499155,D,D,159.36214783467645,B,C,D,B,156.930366817141,0
Both,59,C,C,-109.97271700782214,D,B,A,-80.23378694707694,-59.38231314160167,B,A,-148.44748795670688,A,E,B,A,-201.04290850886537,1
None,49,A,C,-18.658319233779128,D,B,E,7.5613247163977135,10.58023990481139,A,C,-71.50765685689797,B,D,C,B,-54.8767994863981,1
Mental,64,C,B,-51.25128935662904,C,C,A,144.59271696693764,-143.009749436206,A,B,49.06321456647145,B,E,D,A,-55.87030533818752,0
None,75,E,A,-107.59566285915534,A,E,E,183.20338233568765,-91.83909441435235,B,D,-151.4151299521247,D,E,E,C,74.16539502543519,0
Both,22,A,E,224.9033748946359,C,D,D,-8.712403477723212,286.0769611227402,B,A,-185.41882098644209,C,B,C,C,-55.67425403988412,0
Mental,72,D,E,-88.07173461116827,A,A,D,25.011375378974204,-134.15976000320836,C,E,-46.300544942570475,A,E,E,B,50.90791633285996,0
Yes,43,A,A,82.42964786950931,A,A,A,-149.1793170123747,20.439867250354354,B,D,-219.02512821077568,E,C,E,E,162.54785654257964,0
No,33,E,A,119.50998761753893,B,E,B,-106.55799890141489,-35.034419815968405,D,E,76.12433668951661,D,D,E,C,-272.5438102549062,0
No,62,C,E,47.077494442528575,E,B,E,33.359164320110764,-99.07582799406093,E,A,195.58580896182477,E,A,C,B,104.71780981878858,0
Both,57,E,D,-192.85016445772106,E,A,E,34.230356122571706,81.01539802336617,E,C,-138.61066047480122,D,E,D,D,124.24154257287935,1
No,41,C,E,113.709839712952,A,C,B,-225.89277060882992,128.51820844747022,A,A,-33.978993460069226,D,C,C,E,57.82703458607676,1
None,36,C,D,-13.015527640720508,A,C,D,-4.44663932306328,-115.38525127763559,B,D,-389.8146319318909,B,B,A,B,61.53132660497174,1
Both,27,E,E,-70.62470920921022,C,C,A,-51.3733448131252,29.502619663662287,B,C,-4.563657777374333,C,B,B,C,-198.03543686195056,0
Both,35,A,A,-64.95600382634422,E,A,C,-100.38708580717004,-1.5864454785384647,B,A,-4.715658084140436,B,D,E,C,13.950723333696816,0
Yes,63,D,A,23.36509442658448,B,D,B,-23.37219706914943,117.0089090060203,D,B,49.92250618593451,E,E,D,B,26.37904698402676,1
Both,67,C,C,-53.57573995416084,A,C,A,-162.39552101603317,-69.88206754483569,D,C,-45.078716931453414,E,B,A,E,38.6601792286826,0
Mental,30,C,C,-62.60257316395356,B,C,D,-222.6299599168887,-120.92327227612722,A,E,198.54964090739367,D,A,C,D,-1.5367704948369898,0
Yes,42,C,C,29.424967582324335,E,E,D,-147.0773619051,-22.07692819209534,E,E,-32.429617622985326,E,B,B,C,31.83969941365774,0
No,33,B,A,116.80030124387373,A,C,D,4.04349680442284,-12.012752930131528,E,A,-39.99966780758339,C,E,C,E,-37.54299467086953,1
None,57,A,B,-55.33976187392974,B,C,B,-36.80642095321007,198.34738578688643,D,B,33.930370191540405,D,E,E,A,73.42154839267138,0
None,65,D,C,64.30059397773846,C,A,B,7.576089004693788,43.215769236273374,B,D,-188.4779909064616,C,B,D,E,-22.317804715362435,1
Physical,55,B,D,40.77872373916127,B,D,D,115.60984551657461,-58.373450015770736,D,A,-53.14630500799947,A,E,A,E,83.86522283277039,0
No,57,D,D,26.867470534277015,B,E,C,42.00157259293341,-77.94237608834248,A,C,7.178516842266405,E,B,D,B,-72.108230562723,1
Both,57,A,B,-273.2962871845759,C,C,B,-112.93109256951811,196.9121059369668,C,C,164.9859745769171,E,B,E,C,-165.23543848219842,1
Mental,36,B,E,-25.14739160371309,A,A,B,32.46395405050895,44.54020533177035,B,C,94.14632411896649,B,C,D,E,-74.84276659327644,0
Physical,22,C,C,-86.52962750765458,E,A,D,-131.80927193676592,96.6854684208219,C,B,-41.50397401214836,D,D,A,A,-80.14524885050834,0
No,18,E,B,110.97065829966107,A,C,E,-28.735845623506517,120.57093644212347,E,E,95.77882891252779,D,D,C,B,194.37266229688282,1
No,33,C,B,-70.24768771319914,B,A,E,-24.19042597417306,108.50769101701485,E,E,-3.8761806986091685,C,A,A,C,34.14897382363592,0
