race,handicap,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
African American,Physical,Widowed,A,110.07250692311096,E,242.18406998106786,E,D,36.15811715374493,E,B,C,-99.01041609068922,E,C,1
Asian,None,Divorced,D,-14.97572223003637,A,110.88843438001518,E,B,149.88070207988633,E,B,A,-83.22870041504004,E,C,1
Black,Both,Married,E,-95.96438947908754,D,225.17642508757297,B,E,-53.367406136037545,D,B,D,-3.161069251024479,A,C,0
African American,Mental,Divorced,B,-34.126474434654156,C,-64.9524651739922,B,B,56.017170989420904,B,D,C,-45.89091493408793,E,D,0
Asian,Yes,Divorced,C,-107.66253099840849,E,-107.31488551261444,C,E,114.70145261593956,D,C,B,-124.73370380462079,D,B,1
White,Physical,Single,D,113.95564866190672,C,-90.75656950809979,E,E,77.36857655710504,E,C,A,25.057866956614887,E,E,0
Black,Yes,Widowed,C,-205.76777897966338,E,-127.3997763773014,A,C,76.80227140970234,C,D,E,-25.29190282500734,E,C,0
African American,Yes,Married,A,97.64858512594996,A,-65.96145421820421,D,E,28.125336120533458,C,A,A,93.44205242717058,E,A,0
White,Mental,Divorced,D,-121.37780818740929,D,-27.790383541641628,C,B,236.97828896979084,A,A,B,14.524939310797102,B,E,0
Other,None,Widowed,E,147.31588769819197,B,115.49825792446673,A,E,115.09802927489466,B,D,C,36.32602578900591,A,C,0
African American,None,Single,A,-97.89838037387064,A,-2.3764955721587793,D,E,-23.69570144151427,E,B,E,23.24353943697539,D,A,0
Asian,Both,Divorced,B,-172.23373249540802,D,21.772850860274552,B,A,-93.53457085462105,C,A,B,-12.342070483322127,B,E,0
Asian,No,Divorced,C,23.93437464056241,B,-31.157491753839345,D,C,32.98759679393578,A,B,D,80.32236461366682,C,E,0
White,Both,Single,D,13.749454379157248,C,100.66393668981783,A,D,91.75113843883528,A,D,C,-36.845288653003,E,D,1
Other,Physical,Widowed,E,98.33631015230182,E,-33.41003512161279,C,B,29.54609263129136,C,B,E,-254.53499154468696,A,A,0
African American,Yes,Married,D,-18.976371552180733,A,113.54917665042838,A,D,-67.83791220827081,C,B,C,88.02940078262905,E,D,0
Hispanic,Yes,Widowed,E,41.506834020857006,E,-103.93280416351229,B,E,17.173343448297786,B,E,E,128.6318206708399,D,C,0
Other,No,Widowed,C,51.032248063551286,E,-32.249592335454665,A,B,-106.19758080523386,D,E,A,-226.52580204275284,D,D,1
Asian,Both,Married,A,-18.524287539414058,C,8.180780793912884,B,C,-106.46404396470439,E,E,C,162.45694711988995,A,C,0
Black,No,Widowed,E,97.54208852639562,E,-171.2398142957284,E,E,-78.38932567255604,A,D,E,103.01920199243844,B,E,1
