nation,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
UK,None,-61.25521470453528,-54.725143758382636,A,E,D,A,C,C,B,94.9585016980176,98.90780481081782,E,D,C,-122.78293499785413,A,-78.81827467625594,0
US,Buddhist,-29.226456967954384,-59.633112976916614,B,C,D,B,E,B,D,-8.70259649829301,65.29859450199719,C,D,D,35.4644271288408,C,203.72527299708887,1
UK,Buddhist,63.626085875533214,-129.3151584402269,A,E,E,C,A,B,C,-49.394116804316376,-132.36356905976749,C,D,E,-54.564638596765725,B,-96.31975526979178,1
Brazil,Muslim,119.59089760702616,64.79214097974041,A,D,A,E,A,C,E,-9.782860745539057,-194.87346428826322,C,E,D,-60.018960460936064,B,-49.91941094176651,1
Other,Muslim,-137.62179272532464,-173.4156838934139,B,D,B,C,D,E,E,67.89457030112658,-155.02280481101238,B,A,E,88.80546635952886,A,-43.85470473012056,0
Germany,Christian,-115.10790137930225,-109.56301605014089,A,E,C,D,C,C,D,101.62724404557848,-28.801559757673623,C,D,C,7.576812877289702,C,-222.20211700452396,0
Germany,Hindu,-180.43748496023755,142.54764528761677,A,B,E,D,A,D,D,46.694576441410206,193.84071869900566,D,B,B,134.614697032186,A,-25.196737880461402,0
China,Other,-143.79940839557003,51.12188898139623,C,B,B,A,D,B,E,-71.5588672766305,28.898261621005695,B,A,D,4.203963859374287,D,-86.20822446699667,1
Mexico,Other,97.75116053903805,120.46955092785466,B,A,C,A,B,E,B,130.41292559981338,70.45001715751292,E,D,B,-81.76130090291471,C,20.21785850201537,0
Mexico,Buddhist,75.37806376596141,-8.487848021380879,B,D,E,E,A,C,B,109.86925584428522,18.92152412196674,E,B,A,70.41314456230793,D,-37.72596173484426,1
UK,None,3.193175767733535,159.44137989123007,E,D,A,B,E,A,A,28.92467996426069,145.6272515275532,B,E,B,-85.27396092600159,E,174.63101579955392,0
Brazil,Other,-23.98113962300377,43.66336488501412,C,C,E,A,A,D,A,-82.56733049634242,-52.42853658963348,E,A,D,-29.764245462745798,A,-165.2209239973298,0
UK,Muslim,16.89638813804567,90.21740411698728,D,C,B,B,B,B,A,41.55356895604635,108.26873879906222,B,B,E,-73.1607940261703,C,-40.671672627849226,1
India,Other,-13.125212833946447,83.30706142664862,A,B,C,D,B,B,A,61.5771490640151,-45.980635465266914,B,D,C,166.18330181752506,B,124.52969860943519,0
China,Muslim,12.965443150313591,-171.18221191874505,A,D,D,A,C,D,D,46.466815761478195,-59.167116186882,B,C,A,-43.50028506320661,B,75.32965662244028,0
UK,Muslim,84.49521566770159,22.111259512639382,C,A,D,C,E,E,E,-10.153137405234663,63.043246173257174,C,D,C,42.171364576458195,D,5.03721370127626,1
India,Hindu,-143.01619977298395,-79.28317595469096,A,D,D,A,D,D,D,-12.38636753980159,40.45430043864129,A,A,B,26.5775705514597,D,133.70900210619067,0
US,Other,65.5858768361243,-58.07078157519695,B,E,D,D,C,C,E,85.0265121102561,9.330227937566189,B,E,E,-21.963768971761542,D,116.53153709112436,0
