Gender,AgeGroup,country,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Non-binary,51-65,Mexico,Non-Veteran,B,B,B,64.45716042312038,-60.03410895707506,23.842899710536297,E,E,E,-34.11805796101402,-136.2528882308293,0
Non-binary,36-50,Other,Non-Veteran,E,E,D,-52.69636878212335,9.715238155783169,80.19392555672223,D,C,A,75.70858650158647,-76.08047781097481,1
M,65+,Other,No,E,E,A,10.554867326804054,-80.06203781440156,-144.1529891142465,A,E,B,190.04894465240315,77.48092690617602,0
M,51-65,Other,Veteran,E,A,A,58.553148299799496,177.59828104850334,65.68123202254768,D,E,A,19.249245687520382,89.62149187107235,0
Non-binary,36-50,Other,No,C,B,B,10.928766938450103,-36.41296222223964,221.7144258220157,A,B,A,-118.39254887712201,69.88585050680027,0
F,18-25,UK,No,B,B,C,14.669012762995711,31.338912399602243,71.4954190650005,A,E,E,15.35381732701101,-220.75833586368515,0
Other,65+,Other,No,A,E,E,-0.5035010636954208,-218.6645425195067,-0.049255736692875876,A,B,B,3.475687672411451,-68.36166208893425,1
M,18-25,UK,Yes,E,B,C,93.35487439199748,-147.82049133991865,-196.86790177318036,B,A,B,-124.96171736046561,103.46183230151067,1
Male,65+,Mexico,No,B,C,A,124.66307322794763,48.319573669754,208.34284328930508,B,C,E,-149.50607837897834,56.30935499984903,0
Non-binary,26-35,India,Non-Veteran,E,D,E,56.6448182899719,87.1141230119699,133.50245390164258,E,B,C,-1.328157161291333,177.04615697545225,1
F,18-25,Germany,Non-Veteran,D,D,B,-187.21737967598312,30.457636121906965,75.04261242263749,A,C,E,103.38727019112693,-98.81033347522852,1
Female,65+,UK,Veteran,B,B,A,-81.86996108130785,-70.68273091556989,-142.07604812342524,C,E,A,73.26625714519228,-27.925500468760962,1
Female,18-25,China,Yes,C,D,B,136.89397849729693,9.918351053935465,-86.37428812562493,E,C,C,93.15780209089942,20.02894164195021,0
Male,36-50,Mexico,No,C,D,C,-72.87834320402705,-114.17990710370421,5.431795109302412,B,B,B,53.91453015151077,-84.07342357709776,1
Non-binary,65+,UK,Veteran,E,C,D,104.32414912942347,-47.163777893241445,34.30957267475627,C,E,B,-111.99984487838799,84.92843306002965,1
Non-binary,65+,India,Yes,B,D,C,-134.04791672317697,135.96761073191007,25.320631407574663,A,D,E,21.204288032140536,62.303127623308576,0
Male,65+,Mexico,Non-Veteran,B,E,A,46.78207911077279,47.31820171685063,122.4052552153689,C,D,D,49.63853760879815,10.495091419443508,1
Non-binary,51-65,US,Veteran,D,A,E,-76.54538298634064,97.36107653083677,-23.2007325365208,B,E,C,68.63922483081365,-190.5291067918939,1
Other,36-50,Mexico,Yes,E,A,A,3.5231169497582466,22.678896119032277,-3.9339086103881913,A,C,C,20.07509761977413,-108.18106282645272,1
Other,18-25,US,Yes,B,A,C,-123.10517716329694,105.7789776654009,35.46818019464746,B,B,B,36.740752944078956,-51.53913903827152,0
Male,36-50,Other,No,C,E,C,-85.12883443879083,-85.9866348950258,71.0799584929778,B,B,C,30.754605512858816,-52.74164897299166,0
