birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,target
66,D,B,-152.4328805873503,D,D,1
36,C,B,-11.194334654351474,C,B,1
19,A,D,-75.91753843377569,E,C,1
67,A,D,9.163451431101851,A,D,0
65,C,B,-135.90042948956983,B,C,1
37,C,A,-102.85020476153927,C,D,1
25,E,D,-167.71127194363822,D,D,1
38,C,A,-1.8951388885156937,E,E,0
65,D,E,-52.58777661843298,A,C,0
42,B,E,-31.631468227804056,D,C,1
29,E,B,250.6174079384292,A,B,1
74,D,E,-80.44231080982702,A,C,1
32,B,B,-19.439466251376327,C,D,1
29,E,D,-87.9325384222321,B,A,0
47,A,B,54.43604634997571,B,A,1
62,C,A,-154.04052428040146,E,B,0
62,D,D,158.93343861828302,A,B,0
60,B,D,112.06564840368402,A,E,0
62,C,B,18.607703313152395,C,A,1
33,D,E,-23.815623249451164,E,C,1
21,C,E,-84.76493778194337,C,A,1
61,C,D,43.77390397323134,B,D,0
48,C,D,-89.23478976465566,E,C,0
40,B,E,-15.905124559774727,D,E,1
69,E,A,-93.48880661255077,B,D,1
21,C,C,-115.69103971938372,D,E,1
56,C,C,-108.24054637632968,D,A,1
54,A,E,-33.01224226760502,B,E,1
74,C,B,144.97462111242515,A,D,1
69,A,B,-43.21155767770571,A,A,0
24,E,B,-14.529547369487855,C,E,1
20,B,D,-19.015411491423365,E,B,1
79,B,E,21.144371297286163,D,B,1
70,B,B,42.244040654100935,E,E,0
37,C,E,60.21528720391823,E,C,1
44,B,D,-86.6451740775063,B,D,1
74,A,B,131.74272358951998,C,E,1
77,E,B,-17.18607066719348,B,B,0
27,B,E,13.89762555420678,D,D,1
24,E,B,76.90242218896906,E,B,1
18,A,E,-123.41482344890689,A,A,0
61,E,D,-140.83384803907046,A,B,0
64,E,B,-54.33299785649904,E,E,0
49,B,E,-91.88016469895103,D,B,1
26,D,C,-82.34371064565138,A,E,0
58,E,D,-93.869188981275,C,A,1
41,D,A,112.51401503280691,B,D,1
38,C,D,-61.15028750810112,C,D,1
56,D,A,99.51730765475838,E,B,0
59,E,A,24.03060210819494,A,C,0
66,E,A,29.96396249984755,B,A,0
44,E,A,-66.26649393658593,C,D,1
18,A,C,-71.83142096176766,A,C,1
51,C,B,-142.03238877423885,A,D,1
72,C,D,-55.24570192236001,D,B,0
60,D,B,-119.68112309839074,A,E,1
29,E,C,182.63043210078376,E,B,1
19,B,E,-139.22256864679426,C,D,0
36,C,B,-35.368798720395795,C,C,1
78,D,C,60.89141432151788,A,E,1
52,D,C,142.40670476133997,D,E,1
24,A,A,212.7350854003072,C,B,1
32,A,B,-58.259718511708634,A,D,1
44,B,A,-5.309397093941198,B,D,0
66,D,C,-69.27591632304772,D,B,1
71,B,C,-1.1562261495983162,B,B,1
55,B,A,-84.25914802051793,D,A,1
20,D,B,40.466791163121286,E,A,1
34,B,C,42.35191267074534,C,C,0
75,A,B,-16.63328832748764,E,A,0
73,A,C,-8.416289952812264,A,E,0
44,C,D,89.72890251248153,C,B,1
52,C,C,100.37369051150039,E,C,0
74,C,C,123.9274845133066,A,B,1
67,A,E,-131.41024099295876,A,D,1
31,E,E,20.943227558483272,B,B,1
57,B,B,-40.879630086722926,C,D,0
33,C,D,-105.24735155748948,A,A,1
26,D,D,-109.27319790567232,A,B,1
29,E,A,-26.291448252616696,A,E,1
22,E,B,-91.9476394191416,D,C,1
39,A,D,78.18221354033498,D,E,1
51,E,B,24.527517134742,E,C,0
65,A,A,32.054628416242515,E,D,0
75,C,E,-68.17428073953316,A,B,0
56,A,C,-77.49499485781907,A,B,1
47,D,E,115.34403749219398,A,B,0
37,C,D,-94.89785110386457,C,E,0
73,D,D,-38.313276631880896,B,E,0
67,D,C,-114.52529201515466,B,C,0
31,A,E,-1.93386549674914,E,E,1
77,E,D,25.611418716866417,E,D,0
47,C,D,-78.85098311890142,B,E,0
27,C,C,31.44762193474775,A,B,0
35,B,C,-43.61991224129909,E,A,0
47,D,D,-30.30906101916647,D,B,0
78,C,C,38.33723601796197,D,C,1
75,D,C,55.72129294671726,D,B,0
21,C,B,186.97634005035238,E,B,1
69,D,E,148.18652130169033,E,D,1
53,E,B,142.76810690433427,D,C,0
59,A,A,-109.9781628381816,A,D,1
42,D,D,15.47240706384051,D,E,0
54,E,C,-32.326382067772784,E,B,0
19,C,C,-60.35918838214557,C,E,1
69,A,D,108.1391209214521,D,B,1
23,C,B,35.49241435698209,B,B,1
47,D,B,86.46053527503418,D,A,1
78,C,B,191.05873514599872,D,C,1
35,D,A,-20.50302536976167,E,E,0
59,B,A,-42.21303160888227,E,B,1
66,A,E,41.82687101323948,D,C,0
34,D,E,-62.361256650818795,C,D,1
20,B,E,112.61143481959009,E,D,1
57,B,C,-10.095864097020728,B,B,0
74,B,A,-21.641780150076038,E,A,1
24,A,C,-148.5629909639608,C,E,1
51,B,C,25.191093941369154,A,A,1
24,D,C,37.80084529870025,E,C,0
42,E,C,-88.08521650463327,E,D,0
72,C,A,41.185387135368686,E,B,1
44,A,C,103.73051491805363,E,B,0
36,E,D,-55.21342808152634,D,D,1
40,E,A,-124.07930040883353,D,C,0
61,E,D,-60.89114345765625,E,C,0
49,C,E,57.27355905160889,C,D,0
22,D,E,-6.776051561141276,A,E,1
47,A,A,-57.81463658005235,A,D,0
69,C,B,-38.56996901140875,E,C,1
50,B,E,50.264019780614376,C,E,0
44,E,B,-41.5877752852945,C,C,0
25,C,C,-77.63711808839253,C,C,0
36,E,D,50.14649933665536,C,A,1
70,E,A,239.0537819377301,B,B,0
66,C,A,87.2508998146051,E,D,0
46,B,D,-264.36573471565094,D,C,0
33,A,C,-46.25126487586555,E,A,0
32,B,D,182.2185955736688,D,D,0
78,E,A,-117.76878619592222,A,A,1
22,B,E,198.96576613175333,D,A,0
67,D,C,-14.224042763666315,B,D,0
49,D,D,-136.1521798932466,D,B,1
