sex,Veteran,nation,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Other,Veteran,Other,Asian,76.32848731052803,-103.28694129849103,-48.07953912923958,0.14258811330687526,A,A,C,0
M,No,China,African American,23.180790920309178,14.57197677052199,-112.11731320066957,-77.07313185887297,C,B,B,1
Non-binary,No,India,White,5.016586903501658,57.89487588330597,-99.98028950920246,-55.47186283852763,E,D,E,0
Female,Yes,Germany,Other,123.1613688334326,-71.01544524503667,-170.30991695321327,-179.59581871647552,E,C,C,1
Non-binary,Yes,Other,Asian,93.65511685228597,92.29261885780048,56.359851988654675,-76.89086403731866,C,D,D,1
M,Yes,US,White,-58.14439167033514,52.410630489919576,87.25581566020942,-86.23642240324398,D,B,A,1
Male,Yes,Brazil,African American,-193.4220686093045,-27.438238402507732,-127.11973652871909,131.57919287310074,C,E,A,1
Female,Veteran,UK,Asian,-196.33352722254597,53.97684735658693,-2.502376616210576,89.5841967549421,C,D,C,1
Non-binary,No,UK,Hispanic,61.86490691590745,5.4737549610950635,59.798922487715075,38.805488668744914,D,E,C,1
M,Yes,US,White,-37.38761290409362,32.3320966974525,61.3583155067274,-65.6149650496359,B,B,B,0
Female,Non-Veteran,Brazil,Other,51.057712453645095,107.31223717995357,21.628019636025524,-170.88883870279687,D,B,A,0
Female,Yes,Brazil,Hispanic,164.27703998168718,-66.71151720242867,-20.843957343391807,88.21725982751158,A,E,D,0
Non-binary,Veteran,China,African American,9.595975570264942,-47.64411418724334,-113.91856948558343,-116.3773202668972,B,B,D,1
F,Veteran,US,Other,57.753388274847694,84.01263079976212,-110.1567063854793,119.07908538035639,C,D,B,0
F,Veteran,Mexico,African American,33.45623759133599,-33.517446158887246,17.32984299616269,-52.47881007407841,B,A,B,1
Female,Yes,India,African American,-88.09533572682892,237.77190137896346,-50.27235800533156,23.764856215788168,A,C,D,0
Other,Yes,India,Black,68.48558944673398,93.1513299888014,-27.281729957643748,117.88989244245707,E,D,A,1
M,Non-Veteran,India,White,-35.47588139418386,-2.8632862317623107,26.404267628747164,-136.54882000448697,D,E,D,1
F,Yes,Brazil,African American,-72.06633797456752,32.96476647784925,232.87340413865078,140.6863093103493,B,E,B,0
M,Non-Veteran,US,Black,-120.37862886281694,-85.50875937273562,-177.4140896719193,-94.17970648617862,C,D,B,0
Other,No,US,Other,8.770221817595006,-30.980541180210597,-15.135837181973328,-43.71046259004699,B,D,C,0
Non-binary,Veteran,Mexico,Black,-193.0908218334034,160.5679789363906,-29.39405203189425,-48.45356806589225,B,C,A,0
Non-binary,Veteran,UK,Hispanic,20.80334386356389,-42.64897267039551,49.46546928214291,-3.2209482621868486,B,E,C,0
Male,Non-Veteran,US,Asian,-3.587198372934793,75.74888060114695,-123.48509407271577,35.646537758174986,D,C,E,0
M,Yes,UK,White,120.02368697431814,99.46031206569802,37.26088000995493,-105.2530038906366,E,D,A,1
M,Non-Veteran,Mexico,African American,56.1366211986399,203.38074399243703,-83.75466985090301,-51.439661166716455,E,A,C,1
M,No,Mexico,Asian,63.2507330625972,81.60557844694623,-112.48642909723688,44.243691742285904,A,E,D,1
F,Yes,US,Hispanic,-166.80481448163334,48.26727965592383,-89.00291333694335,-147.12419419904097,C,D,E,0
Non-binary,Non-Veteran,Brazil,Asian,-124.02876162260415,-5.390213085288299,17.268177651292028,-11.531562854466506,B,D,B,0
Male,Veteran,Germany,Asian,-24.637049869402677,-22.65725602174015,94.25869182556421,13.935634229421353,C,B,C,1
M,No,Germany,African American,117.96698967129686,-57.457693517954866,-156.0856141548044,-70.95506623302893,E,A,B,1
Male,Veteran,Germany,White,-181.32415567466214,194.5225599461294,-242.8728588107007,98.62133117976668,C,E,A,0
Female,Yes,India,Hispanic,41.82031634792248,292.7673046278247,104.23999556083976,-68.79765264680951,C,E,C,1
F,Veteran,India,Black,-75.55967314134128,-89.43924164580794,76.99782844077538,-59.89121936654419,C,E,E,0
Female,No,India,African American,135.29940598585074,3.3435130406455364,-132.18204788969362,37.74630262739648,A,A,A,1
