religion,sexual_orientation,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Christian,Other,None,37.705179714143036,A,E,E,-19.61628101115344,29.53170252609875,D,E,13.572160820860994,157.57883373201793,C,B,E,0
Hindu,Other,Mental,138.3196513092261,C,A,D,-52.779505302883386,-210.27300934130707,C,B,23.422430699114127,-63.331071851732176,D,C,D,0
Other,Other,No,181.01062773600245,E,D,A,97.09477533015826,-1.1212578778691782,C,B,82.74393482622253,27.828238038127324,C,C,C,1
None,Bisexual,Yes,81.57838156516918,C,C,C,63.27013685118327,147.6760644255926,E,C,156.56880311504037,3.1869282451933296,A,A,E,0
Buddhist,Bisexual,Physical,213.03511890448195,A,E,D,131.61957261577479,-168.69292637410277,C,E,-102.08866494882886,61.43804367819429,B,B,C,1
Buddhist,Heterosexual,Mental,-0.254673672325455,A,E,C,2.836569358653763,53.42641650514268,E,B,-117.70662928820266,147.6748775577396,D,D,C,1
None,Heterosexual,Yes,77.72830252542812,B,A,E,-82.88897908905088,69.71235324295039,A,C,23.74830320883651,73.38310053193815,D,E,E,0
Jewish,Other,Mental,10.053661519766624,B,E,A,141.35136508956674,23.27611401008812,E,E,-33.48655209443046,-126.22707325035994,D,B,C,1
Jewish,Homosexual,Yes,126.90910828290289,A,E,A,-72.65548317218521,3.824242389360577,B,C,-88.10059396963929,127.30980974717194,C,B,D,1
Other,Bisexual,Both,-54.036771348117696,C,B,B,-149.16906783241473,-16.643271565653244,A,B,263.23222711174526,-88.93602928888079,D,E,C,0
Christian,Other,No,34.677734828099226,A,E,E,-181.94954956175656,263.9979712727019,A,B,182.72797555923262,-182.97910963318986,A,A,A,0
Other,Bisexual,Yes,-80.45021011079074,E,C,B,-0.053116074330580645,83.83218876646613,C,E,-47.07423323426166,67.27210138071253,B,B,C,1
Muslim,Homosexual,Mental,0.45650916044409334,D,C,B,23.25484231230718,-74.9126689910038,A,B,-45.58597703793074,49.72725861375782,E,D,D,1
Jewish,Other,Both,61.10711903484074,E,D,D,-76.57238857070251,-109.95576429138467,C,C,-69.19694319239161,128.41314005191725,C,C,E,1
None,Other,Mental,71.28123070210897,C,D,D,48.922119884832505,4.225753387007998,E,E,23.87915712361553,62.85660353784288,B,A,E,0
Hindu,Bisexual,No,-8.575574025345759,C,C,D,6.1148212858324165,104.46779110469078,D,A,-195.01431662288653,-57.31507699964595,E,E,C,1
Jewish,Bisexual,Mental,26.084244697635267,E,B,D,-33.72003759943672,6.634718292199285,A,E,11.734127003162744,-48.3995704224421,D,A,B,1
Christian,Homosexual,None,-58.050606934651086,D,C,A,71.60892840508095,31.992334047218407,C,C,42.68404332125842,-82.27619910817272,A,E,B,1
Jewish,Bisexual,Both,26.493499606730865,B,B,A,70.54289848309526,26.05932145582772,D,A,30.21406812483652,-55.19552152707179,E,E,B,0
Other,Other,Mental,-16.806824159096852,D,C,E,35.38183221533265,35.66597987022945,B,B,-88.03012787726794,-139.71182138174606,B,B,C,1
Other,Heterosexual,Physical,62.64356847761986,C,A,E,112.07910558342493,-165.4022513454959,E,A,-187.03441564005269,72.27698138853405,E,A,B,0
Jewish,Bisexual,No,100.64251979652748,E,E,D,29.587596095426576,4.975322171415798,B,C,16.998767968555985,-94.83539283986802,A,A,D,0
Buddhist,Homosexual,Mental,46.904765074490086,A,B,B,74.35535982029029,205.98647867596168,A,C,114.8261847113194,-116.20557014708952,B,C,E,0
Other,Other,Yes,77.07718959075619,A,D,C,-48.10257216897965,184.37578392836957,E,D,31.460487573938888,-48.75135971769052,B,D,D,0
Muslim,Bisexual,None,129.20867284244096,C,B,B,138.40059428884192,-56.13177286528417,D,B,182.53002750312314,-79.09159846713273,D,D,D,1
Buddhist,Bisexual,None,-105.81741569901044,D,C,C,-23.21206388030789,-191.62008033997077,A,D,-19.512107187925626,-28.632430736446494,A,E,C,1
Hindu,Homosexual,Yes,98.66814739608792,C,D,D,226.20594207707626,108.60782055712642,E,C,-53.24593016873093,77.0567531153575,D,E,A,0
None,Heterosexual,Mental,-51.736813973615966,B,E,B,68.30775874518892,7.446488271726957,A,B,-20.468176758531467,-107.30680276833932,D,A,E,1
Muslim,Bisexual,Yes,-132.3372222749896,D,C,B,20.641470508054113,-41.77317772323149,D,E,-71.0292587194489,68.71996949006439,D,B,B,0
Christian,Homosexual,No,57.85208385003568,B,D,B,54.880723846247115,161.0720613929935,B,E,-88.39523409964815,-3.463161198554439,E,A,A,1
