disabled,country,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Mental,Other,Bisexual,B,A,B,83.1513095802938,65.56640464507885,C,C,D,E,A,2.9072442142032875,-128.1959352244985,162.35575948146283,A,1
Mental,India,Other,B,E,D,-7.292051559460119,-62.075624343962176,D,D,D,D,C,16.43676798545192,64.0820937628395,16.017599664522017,B,1
No,US,Other,B,C,A,22.159567871695533,5.617077558365264,A,C,E,E,C,-75.1799984388515,130.19832038150756,-82.56763666203362,B,1
Yes,US,Other,D,A,D,28.742737031487774,-32.14305016086713,B,A,C,E,C,39.766051186245186,-40.58079271479537,88.46600961476379,B,0
Both,Brazil,Other,E,C,B,215.46709712619904,70.77877065724802,C,B,E,A,A,97.05385498191009,-34.21427962452874,-26.032280553959296,E,1
Both,Mexico,Heterosexual,D,E,D,-173.26862056707378,236.06490479780854,C,B,D,C,D,42.83156193536225,-35.295925212237115,46.276649117038986,A,1
Physical,US,Homosexual,B,E,B,-74.22041414178871,-69.85675757368007,E,A,E,A,B,61.10863559512839,-70.69928083363448,-92.57422157360735,C,1
Both,Mexico,Other,B,C,C,-49.16633868448184,-75.24093328008551,A,E,D,B,D,18.530041047068384,-92.65585821725033,14.605857860872066,C,0
Mental,China,Heterosexual,C,D,D,-58.33709734712082,62.73923886431858,D,A,C,C,E,35.348027844421516,-167.90556377081361,111.6053060499093,E,0
Mental,Other,Homosexual,E,A,D,-39.53294728369045,-60.12273633685393,D,E,A,E,C,-15.289129810255965,15.230852485970866,113.7946219854743,C,0
Physical,China,Bisexual,A,C,D,180.17307851764613,51.72066640180164,C,E,A,C,B,92.05308450248428,-12.211175980226626,-64.58089873868188,A,0
Both,Germany,Other,B,E,E,126.29987617619905,18.81289470644641,C,B,B,E,D,-14.190246110274748,-65.76987564754519,-60.3391738052259,C,0
