marital_status,age,ethnic_group,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Married,48,Asian,None,E,51.33696467552029,17.275354364838417,152.69048784820066,A,E,45.69680404086653,0
Divorced,44,Asian,Both,A,-3.4650647998535753,189.83121162923246,-123.03533762963885,B,A,62.46188705542747,1
Widowed,27,Asian,Mental,C,-125.1040388284878,-102.5592662639203,-17.398664583498956,A,A,16.47017731432046,1
Widowed,35,White,No,E,-37.846031311648744,81.55701497352185,-51.540824277252895,E,C,22.59930996663017,0
Divorced,41,Black,Mental,D,-113.6052994291009,-19.6715382190809,-136.20195166867302,A,A,-65.73170916976451,1
Divorced,48,African American,Mental,B,-19.83245131404118,114.88231017553099,37.55184474303796,A,B,-36.1584998013204,0
Married,23,Hispanic,No,B,-113.92457109147446,3.7734102223536055,27.37576595861771,C,E,-173.4408863328637,1
Widowed,61,White,Both,E,-30.884794746008282,-118.63953853913584,20.886022885587064,E,B,-137.16331375817722,0
Single,71,Other,None,D,-92.22024158094241,-22.741328112714644,58.53446131826722,B,E,-142.63633551128737,1
Widowed,96,Black,Mental,C,-15.2882462419785,22.518415343664117,72.63764110537095,E,B,52.97891288629171,0
Married,34,African American,Mental,C,73.2090771348879,96.08481685338357,90.65459655305894,B,E,0.44056209978405364,0
Single,99,White,None,E,42.9939095042957,40.79197792863735,46.93506282334495,C,C,80.08938083534349,0
Married,90,Black,Mental,C,-32.69561542981231,68.66973425220576,7.065530470934876,A,C,-216.38694120535246,0
Married,78,African American,Mental,C,-15.478722742566974,46.40220396265987,-38.46479736623636,C,B,52.77030218191804,0
Married,90,Other,Yes,E,-70.89766884182802,-4.560915332797806,-171.98497902912695,E,D,77.99297126993672,1
Divorced,85,Asian,None,B,77.84003821135133,3.9608244310528056,161.04310178756572,C,C,17.352277832045374,0
Divorced,96,Other,Physical,E,45.16532579730793,23.283766591109394,292.97332499806635,E,E,-36.40346595391782,1
Single,45,Hispanic,Yes,C,24.4841212850807,-34.88554964042236,118.17396548930743,B,A,176.55385114322613,1
Divorced,53,Black,No,D,-84.82276991713262,66.1874146323571,131.30185137699112,D,A,-140.49654328934938,1
Single,68,White,None,A,15.035361574467462,98.01450300066585,-185.57973142224432,E,B,149.23497007636183,1
Widowed,78,African American,Mental,C,-100.3451927385905,-16.489175324636644,-75.17077471452845,D,C,73.847881144971,0
Single,32,White,No,B,107.36542724021577,188.18297235355152,-150.17599849694062,B,A,146.21097456041952,1
Widowed,40,African American,None,A,-72.94089849504378,58.567272146856595,-138.59063523728864,E,D,61.796400169418455,1
Single,74,Other,Mental,D,-50.45676704751466,7.003786936325381,-55.38284162174345,E,D,-53.39815376080702,0
Single,51,Hispanic,Yes,A,49.096920178741605,59.676114255429134,-1.7613363979616068,C,C,62.760904231293125,0
Married,72,African American,None,B,-66.72934165090862,-1.7489256610489317,-87.8169925497058,E,C,-39.85275729523619,1
Married,97,Black,Mental,D,140.8015198808616,171.18002636629882,117.81300467493278,E,B,47.54791298780455,1
Widowed,82,Black,Physical,C,10.972468216913157,27.006776038872587,-17.239845578652833,A,A,-157.10219412262802,1
Divorced,82,White,Yes,A,-47.9199350952126,49.00619100967876,120.12862629534634,A,A,39.7106448742759,0
Divorced,71,Other,Yes,C,34.04969221816451,294.22530629025385,56.246717644963674,D,E,-145.7852538155479,1
Single,99,Hispanic,Physical,A,65.06703678491644,33.59359251220042,74.09398417727088,E,E,-151.70507838531313,1
Single,34,Asian,None,C,-18.566873846241368,197.16495023675319,-84.2894347342193,A,D,-88.18449476461431,1
Single,32,Hispanic,No,A,70.89166838592635,34.27940634230866,-54.917278613872774,A,E,12.219355996278765,1
Divorced,84,White,Both,B,6.001040850926258,-215.33858119129934,-18.42451520500151,B,A,0.2912504228484264,1
Widowed,30,Hispanic,Both,C,-5.737160550914953,-113.19855086471671,-93.89352803508724,C,E,-65.66362618170176,1
Widowed,82,African American,None,B,-78.06233305406239,-71.23875390947823,197.26159108549334,D,A,-9.28483521415334,0
Divorced,69,Hispanic,None,E,-80.87194027989668,-93.9191739808886,78.37450860757448,E,B,-6.6162968984365005,0
Divorced,62,African American,Physical,E,142.7031211780012,-17.18369975506697,-109.56581309454536,D,B,-163.73539467108503,0
Widowed,52,African American,None,E,69.5205788483069,44.09980764796671,-10.245815195851513,B,B,-189.30062016566424,1
Divorced,29,Other,Both,B,187.24045242272018,134.15523834799671,74.01409561368897,C,C,-26.327459304482996,0
Married,65,Black,Mental,A,93.05426156945389,-259.95824707190206,-22.252515189997542,B,B,-50.21384724046673,1
Single,84,White,Physical,A,-51.69268569670816,-99.01712676951328,141.03784899164378,D,C,-80.98355587405294,1
Single,74,Asian,Both,E,-131.7075326898881,9.831475540492951,25.36512153151143,E,D,90.44016775228447,1
Single,97,Asian,Mental,A,-73.97446909669047,14.210806153674108,140.6875912670676,E,A,-158.2609396354143,0
Divorced,29,African American,No,A,194.17388494182245,-91.47690386311322,-9.178780911656126,D,E,-244.45164320481086,1
Single,95,White,Physical,C,-3.82577554203093,101.25484544720476,-195.19229327682783,A,D,129.27903759719334,1
Married,63,White,Mental,A,-18.98662731283221,19.277411080335856,-84.84174513993598,B,B,149.15922413569308,1
Single,48,African American,No,A,-56.55111814092402,-72.1264307712115,68.63885674593199,A,C,-74.64893788749279,0
Single,47,African American,Both,D,-111.40455189329855,238.69523956179793,-53.183313433008415,B,C,-98.04801181379975,1
Single,49,Black,Yes,C,6.9807203715841535,117.03659357028214,62.98632697030171,D,B,-199.89092925510027,1
Widowed,98,Asian,No,E,-68.9272097335887,13.890539956988382,52.19380144404525,A,D,-55.032666589208,1
Single,20,Other,Both,E,-104.50787887349757,48.94840686509433,78.4112368972892,D,A,1.7186108694531927,0
Single,32,White,Yes,B,33.630180805068484,-63.73658634201783,145.16247107139796,B,A,-82.20190074333344,0
Single,36,White,Yes,E,-32.05552900163309,-163.20470615804646,102.40150252587704,A,B,100.6620150771089,1
Widowed,54,Hispanic,Physical,E,169.16808061542338,67.2214061753867,20.768012910441396,C,A,-126.99300396552735,0
Married,96,Asian,Mental,E,81.79158122014861,101.92077574616765,-148.96601602748532,A,A,25.040326543735112,1
Married,55,White,None,A,-55.540754128946446,31.302960051613226,-59.72259216272208,B,B,-35.43049192794449,0
Divorced,37,Hispanic,Mental,A,68.69066107570457,51.70723265379556,-53.22867939269577,B,D,33.52489097198083,0
Married,70,African American,Mental,B,-189.55306633968198,-128.0108861958461,88.51163722698635,A,B,-45.500418686051866,1
Single,49,Hispanic,None,C,-49.66672750753849,-47.06848852095676,111.27065836018708,E,C,-75.55704031594878,0
Widowed,25,Other,Physical,B,-7.309221107485133,-94.69727850362375,90.27197626658217,D,E,81.07672818515701,1
