anos,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
63,Other,A,-36.709244977968666,D,E,111.15044025686294,C,B,-12.33819565412117,-112.96409768537809,A,0
51,Male,E,68.72117026229974,D,C,121.15515572144213,B,E,73.3692171325639,97.73078658248434,B,0
66,M,A,54.37297440477433,E,A,198.3348985787851,B,E,-318.9966934261068,-311.6551225013374,B,1
24,Non-binary,C,-44.04046200408039,D,B,2.7992005572897347,C,B,201.06319005710526,-112.13134356742269,C,1
61,Male,D,-6.221649643366817,B,A,125.50806625251091,A,D,61.18970640536847,45.65408861641419,E,1
70,Female,B,-13.609343256955638,B,C,-90.32452960853101,D,C,26.231646422954714,-86.98822037133787,E,1
61,Non-binary,D,100.53088433615167,D,E,-21.2888732209428,C,A,-120.31082267660305,116.09910052665685,C,0
32,Female,C,-120.97539490425342,A,E,-4.954250632699235,E,B,13.33640233680724,43.251569377366245,B,0
24,F,A,-109.09819239443364,C,E,-34.62554997416024,C,A,150.10446193713832,72.4271070905516,D,0
45,Non-binary,E,-111.69048104203074,C,C,80.32376324552234,B,B,32.12700310903862,33.27218649023934,E,0
31,F,A,-4.985287180168265,C,B,35.43938127068327,C,B,-68.90518780214862,-63.67016646793299,B,1
45,M,D,69.00221816255782,C,E,137.96117662173268,E,A,-94.62572956526071,131.72066490205657,A,0
25,M,B,-52.47086217411234,D,C,164.05038375082043,D,C,-48.10639365475631,-24.615237261401944,D,0
45,Other,E,15.793020921636503,E,E,68.84088346504717,C,D,-117.75846979965445,-60.78936361129846,C,1
54,M,E,-69.15819713509521,D,A,250.471289805389,B,A,75.18496071697663,-5.025349086618565,E,1
75,Other,A,-183.85372915560902,C,B,-58.89669185567309,E,A,-186.55214085207368,18.848636714939012,D,0
39,Female,E,-8.824801991768743,B,B,36.63985876446075,B,E,129.23458207958217,-68.58357406948765,B,0
54,Male,A,75.51618998015147,A,E,-66.78147186628968,E,E,-168.1427343599608,-50.89541870382036,D,0
35,M,B,105.00378353090156,A,E,106.26835287227779,C,E,-22.990743869355025,45.59895383524745,B,0
28,M,E,-61.430557244061966,C,A,-39.55898237818204,C,C,-32.46462265177568,-5.656011718755787,A,0
50,M,A,-27.47343062979311,C,A,163.84351367289972,C,A,257.290636814312,-5.5164049961560675,C,0
50,Other,B,-71.14376715824761,D,C,-89.86521754632427,A,B,0.4489624421355371,35.462319148830964,B,1
64,Male,D,-65.21291401100414,D,A,13.557116069921465,E,E,-226.65333422596441,18.917303323275362,B,1
54,M,E,107.27191808743397,A,E,-95.36537394132746,E,D,-46.83209572965377,-118.13119711801127,D,0
58,Non-binary,C,-186.1188563362456,E,A,-29.724189036154897,C,A,-54.997465961897674,382.01993877798793,A,1
56,Female,C,-165.04163410869057,E,A,-2.207044801896677,D,D,33.2460768431346,-179.73770933278587,D,0
24,M,B,-60.99801025423696,D,E,116.15915686217232,B,E,-73.31340753059519,-15.499962313197177,A,1
26,M,C,88.41031056351324,D,A,80.27131112592738,A,A,28.961836569709348,98.42170005187705,E,0
25,F,E,-97.75313046530401,A,A,-94.96001739113646,A,A,-197.2332937813561,142.86782195909734,A,0
65,Male,C,71.69570749076425,A,B,-38.06524694558194,A,C,103.52721131693632,17.289760133179588,E,1
38,Male,A,11.701440018580085,C,D,-57.55132438034158,A,C,60.70071774445505,-21.91481400650172,A,0
52,M,E,-55.061782419738556,C,E,112.96221621246715,C,C,125.8616340967879,76.64009747655473,B,0
70,M,C,-51.388375412398325,D,B,-159.63141079280996,B,B,88.78435829244748,-53.16896413905236,C,1
35,Female,C,-95.57439436388643,C,A,-50.246546820662864,C,C,16.60812942905446,73.69219717707394,C,0
53,M,C,-22.978136485937657,E,E,50.98609572997096,B,C,196.21641739425277,42.5782357281642,B,0
37,Other,B,-89.28103364233574,A,E,0.06977765988682334,E,E,83.9014345524485,31.995846841430847,D,0
55,Female,D,-109.60406342193814,B,A,-43.29736428639935,E,A,52.66483108599319,70.65122661022677,E,1
18,Non-binary,B,67.55267403334977,B,D,-66.62748234945377,C,E,-13.622920968866433,55.33939423406788,E,1
62,M,D,-93.26317051858044,D,D,-98.95838249136436,D,E,6.853114059120904,-120.1563739059551,D,0
77,Female,E,182.1769848029583,A,B,-74.79650843253668,B,A,2.397191601210165,-45.08377123624324,E,1
60,Non-binary,D,11.715847044957153,D,E,51.20629637621084,C,E,157.61305530811438,-58.42565995828919,D,0
48,Non-binary,A,113.90162443507268,B,C,-58.79769424225901,B,E,-77.30419526458635,75.39712554083586,C,0
79,Female,A,-15.99772507222164,D,E,-4.514687682541984,E,C,-100.66995996912821,44.76561082697337,A,0
56,Male,E,47.434928106146394,B,A,-165.07348942630748,E,E,57.15339970209234,-79.27591377595465,D,1
29,Non-binary,C,117.16709599799194,E,E,-16.253808661154455,D,A,16.780291197601862,49.512645036604425,D,0
18,F,E,-84.40707272278235,A,E,-64.3483794402717,A,E,6.222805656650976,100.0485263125708,D,0
76,F,D,2.6024024864192383,D,A,-5.3926265504997675,E,E,-45.70752341809063,-20.33032862596837,E,1
60,Other,D,-173.07256550853768,A,A,20.290065854864224,D,B,-233.62778103913567,-23.96766107993395,C,0
51,Other,D,-104.08832558926015,C,D,59.68746574141341,A,C,8.42931837718287,-65.46031607377869,D,0
48,Female,A,143.13361502129916,C,C,-96.72100843231202,E,B,228.13147333872723,30.356237179793204,A,1
22,Female,D,42.29731667683668,E,D,166.23893116643595,E,D,-201.99792774531642,138.7895711121906,B,1
50,M,D,39.02392020601452,D,A,-55.307305818437634,D,A,-83.8684459376145,-88.30965383512658,E,0
32,Female,E,-32.7197008636451,E,E,64.9098070333462,C,C,9.519232570488953,63.018891288081406,E,0
29,Non-binary,E,-71.98531947954262,B,B,-70.18217216000949,B,C,-32.17874078907427,21.36519801617986,B,0
72,Other,B,96.21709949752855,C,A,84.65064148046399,E,C,-43.109947819277174,-211.03725993540817,A,0
55,F,C,206.3686117807995,A,A,-20.053305268044184,A,C,-126.10562557609055,-86.67703216736473,A,1
51,F,B,-26.425736066248284,B,E,113.30541066094393,C,B,51.928701264244204,-112.0506568763236,D,1
48,Female,A,158.83692336078215,D,C,110.63813392265793,C,A,62.72466382188902,-52.27059719866068,C,0
71,M,E,79.36620108644321,A,D,-74.73227554449387,B,E,-46.54411281836646,176.35315908435493,B,0
27,Male,E,-118.1781114479667,B,B,-186.5315596502212,A,C,-44.01147859196625,-87.31975423416289,E,0
59,Non-binary,D,-28.671679704324614,E,A,-24.610279924809,A,E,94.24370453167751,-18.874306621988804,D,1
71,Male,B,24.67246793879022,E,B,58.807426101435944,C,D,-81.19094581566777,-134.62633008325935,A,0
47,Other,E,-142.96795060347455,B,E,133.07492959904263,E,D,-189.02040469879967,-149.1583868852582,C,1
49,M,A,57.02449124720178,B,E,50.1869264370538,C,D,65.24030375767114,-47.74578519987678,B,0
33,Other,C,75.33944974649233,D,A,-2.1067079584518407,D,D,120.58195312802312,44.297501423711445,D,1
50,Male,C,106.37170716939244,D,B,111.97723419488219,D,D,-7.873934418959812,-103.12662685519891,A,0
55,Female,D,37.11536376080794,C,D,39.414531599282796,C,B,190.35580156892195,-35.856857743654494,A,1
76,Male,C,139.04290763752613,B,C,-38.9540508813795,A,A,291.42269654913946,40.92753616841177,E,1
68,Female,B,-34.070286152175115,E,D,130.15581750491307,C,C,-174.54399731120762,-89.11657419107293,B,1
68,Other,D,-8.945444989936458,B,A,-160.66936455289337,C,D,39.99753312299813,21.390331356298113,A,0
50,Other,E,6.529842717956916,A,E,185.41344794482188,E,E,52.41554126988678,-76.16634010365668,D,1
