nationality,military,orientation,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
US,No,Bisexual,None,-3.034109186904082,20.118125307178108,E,A,A,-51.68245548052217,-84.37545231164947,D,C,155.95729399804972,0
China,Yes,Heterosexual,None,-52.0635544352545,-15.389230448130844,B,D,D,-14.969144114177524,-196.76495490904117,D,B,-179.5988248650388,0
China,Non-Veteran,Other,Other,8.47290266631659,247.3502756827239,E,E,B,113.02313634426547,74.72030740873839,E,B,-35.016581925114565,1
Brazil,No,Bisexual,Muslim,22.548964519802972,-80.21359759150495,C,B,D,140.1645265265227,-6.60121127198895,A,B,17.69174470366675,0
Brazil,No,Homosexual,Hindu,-22.434369332125826,-14.78468785099228,E,C,A,145.05843811773087,-92.04182138731412,C,A,-87.65729829395555,1
Brazil,Non-Veteran,Other,Other,200.21640577586032,74.110394627283,A,C,A,16.61641707767512,86.94853918994146,C,A,83.75120316753522,1
UK,No,Bisexual,Other,10.393696492383027,-13.342980556332249,B,C,A,-33.94719617268042,-104.84853200062942,B,B,14.069355358311281,1
India,Yes,Bisexual,Hindu,-31.51178202711667,145.952883734501,E,D,D,-38.172577725695454,201.0419363189584,C,A,-44.02368030673047,0
Other,Yes,Other,None,-15.203395968622836,12.889340567281021,E,B,C,-112.28132387627441,-10.27335195406129,C,D,26.58681502554735,1
Other,No,Heterosexual,Other,-106.2160498804263,16.268393275132674,A,C,C,-36.50422966432515,96.9277877899075,A,E,85.60826974194008,1
Brazil,Non-Veteran,Heterosexual,Buddhist,91.15594429636558,-64.42346730520441,C,C,D,-0.8553740710714584,-77.77115154450915,B,C,-59.00985592046521,0
Germany,No,Heterosexual,Buddhist,-119.01616577262826,-44.53626349105501,E,E,A,-20.89162210239566,-49.14144135962444,A,B,7.904316335003609,1
US,Yes,Bisexual,Christian,131.98517493550642,-122.36177357355116,E,D,A,207.57803417762722,185.97287713144692,E,E,-46.922515325656406,1
