handicap,faith,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Physical,Hindu,Non-binary,A,D,A,-207.3982203848339,D,D,B,-67.67733375183712,C,B,E,-1.7293973689829438,-83.30768291598898,201.94684338087123,A,0
Physical,Buddhist,Male,A,B,D,20.145271980919908,D,D,D,13.124008766873049,E,B,B,3.8822621028981783,-158.90169219933244,-58.76110836712404,C,0
Physical,Jewish,F,C,B,E,123.29559012198405,B,D,C,-96.42038566350656,B,E,C,44.348282677214065,-17.688591796348412,119.08678220622595,A,0
Yes,Jewish,Male,E,D,A,-46.368934046888,C,D,C,48.33122677324984,D,E,E,-13.416421425826755,99.27823335340243,-216.90143783316483,B,0
Physical,Hindu,M,A,B,E,86.12834054811691,B,C,D,-111.90291758820088,B,E,E,14.282131185323003,-78.38071577915736,140.56450569814731,D,0
None,Other,Female,C,E,C,75.22892296176047,C,A,E,15.057514844141021,D,E,B,-5.930425902405314,86.07543317935087,272.68758624907065,E,1
Physical,Hindu,F,B,E,A,-55.878383467694206,C,C,C,6.393631621485102,B,B,A,-77.2521967876338,72.37909284437873,106.93790727603174,C,1
Yes,Other,Male,B,A,E,-93.79968212322221,D,D,B,64.58484916554458,D,C,E,22.335392513618483,74.22404871404362,108.02126831681325,A,0
Physical,Hindu,Non-binary,D,D,A,253.71947206060966,C,E,D,44.77778207340054,B,B,C,142.0280724406419,76.48488585419825,1.7129321921030525,A,1
Both,Buddhist,F,C,C,D,-41.049908149315,E,C,C,-32.827921986601545,E,A,D,-19.256443520226775,-156.5945717946722,-33.88155119194437,C,1
Mental,Other,Non-binary,C,C,E,-191.93551690604738,B,C,A,-38.45928868521538,A,E,B,-176.0446352758072,-63.9776647790383,-5.830991818513904,D,1
Physical,None,Male,C,D,D,14.85985770992814,E,A,B,79.7490653515362,E,C,E,-1.5650137341178987,-39.55175189629658,20.834314363419125,C,1
Both,Hindu,Non-binary,E,E,A,33.829047350733276,E,E,D,44.183379650076176,D,A,A,201.89665738874615,71.21739491903483,-47.237703302019376,D,0
No,Buddhist,Female,B,C,A,-159.66105832303415,D,B,A,91.91688102403377,D,B,D,-115.95596386745225,-65.08952147452968,142.69913683429908,A,0
None,Christian,Other,D,B,C,35.46018745929392,B,E,C,206.95070665817568,C,D,E,83.37518801873047,25.453683308341894,-50.82053716610155,C,0
None,Hindu,Non-binary,A,D,A,75.50588238015027,D,B,A,91.96359765166414,D,C,A,174.62706383982857,21.22220045585693,-147.75031870639305,A,1
None,None,Female,E,B,B,-100.6294324872537,E,A,A,-177.90579567611053,D,B,E,26.590102907544395,-19.152453315631917,91.26624256299577,E,1
None,Buddhist,Other,C,E,C,243.99175690266378,C,B,C,-10.851433208967261,A,A,B,-100.68356822208521,-9.580632036266561,-237.20381536607476,C,0
Yes,Other,Other,A,D,A,-9.29953078521486,A,A,B,-120.45520906382814,D,C,A,167.8982398322986,66.31059963263401,267.5406641182527,A,1
Mental,Christian,Male,E,A,A,-124.59869278797579,A,D,E,94.96504585495039,E,D,C,90.99071483114074,-36.05015602375647,-152.48680957022466,B,0
Both,Muslim,M,A,C,D,-68.4440975274392,D,D,E,-77.96406864415631,D,E,A,144.18508221635963,141.81446870141977,-32.279971577055896,B,1
Mental,Buddhist,F,B,C,A,173.2382162834934,E,E,B,85.78833484884302,C,E,C,-74.78546942053829,32.72586712818061,31.6783174366729,B,0
Yes,Hindu,F,A,C,D,-100.21925434875992,E,B,D,-88.56250000401961,E,B,A,-60.54949396532422,-125.9106190679385,-21.95897847812075,E,0
Both,Other,Other,C,A,C,113.85960123244931,D,B,B,83.721362025102,D,B,C,192.8213838248632,-61.93031613225946,-124.0368180469739,A,1
Mental,Hindu,Male,C,D,B,1.0543986125674694,E,A,C,98.38363872810251,E,C,E,138.79325021877972,-115.07474565963727,80.99036302220993,A,1
Both,None,F,B,E,E,-5.960510018522211,A,C,C,-174.849688494261,E,B,B,-192.36868558291974,-3.399434026402697,-111.28507386220512,A,0
Yes,Buddhist,M,D,B,E,-52.22032676678463,B,E,E,135.04128241058254,C,E,B,169.78286571539584,39.92964172016322,-121.01825174205032,B,1
No,None,Female,C,D,C,65.93425373956705,C,B,D,12.865427257556458,C,C,B,-20.137413106922263,282.88524269444287,-76.81070533425458,C,0
Mental,Hindu,Non-binary,B,C,C,-98.16947186477397,A,A,A,41.03119373640472,C,B,B,-104.15937047802728,107.6952657463335,46.59933953637917,A,0
Physical,Hindu,F,D,E,D,53.51141069484127,B,A,A,-79.33121534852494,E,A,D,-162.97864889674943,-32.07226945671564,-139.85528891926944,A,0
Both,Muslim,Non-binary,C,B,C,174.43508637300405,C,B,A,-94.34486250404058,B,C,E,24.35331189660954,58.915028554521435,-80.59825632639756,D,0
No,Hindu,Male,B,B,A,-65.05948529354794,D,E,B,142.47809671222527,D,C,D,-194.8150620518153,-171.23507896761942,96.34846981985945,A,0
Mental,Hindu,M,E,C,C,26.731491746194568,C,C,D,39.46530535747596,B,C,C,85.62576219842032,210.02479267988562,-24.51166666364708,A,1
Both,Jewish,Female,D,B,C,121.1660026537835,D,A,D,23.96066993533304,B,B,E,106.69263141304998,-129.42524509254963,51.008422675563146,C,0
Both,Hindu,Other,B,E,D,-92.45362557730584,B,E,C,30.175726903193784,D,C,C,12.083132034309635,156.16410427804738,-24.08148876211282,A,0
Physical,Christian,Other,C,C,E,-69.78042063107597,A,C,E,122.89076268539358,E,D,B,62.323981545417695,29.85648066380068,61.15005098043138,A,0
Yes,Christian,Female,C,B,D,-98.7227947318565,D,A,A,19.88999526038495,A,A,D,-27.60814586228866,53.82585668398592,97.11213132024629,D,0
Both,Other,Male,E,B,D,19.028488672643725,A,D,B,-95.86944483088277,A,D,C,146.94534932269815,-100.06140676078566,-42.09269018756364,C,1
Physical,Jewish,Male,B,C,D,22.813984693829084,B,A,D,56.605184825191756,C,A,D,-106.98347933369033,-174.70005638971222,-46.1977253730848,B,0
None,Other,Male,B,B,B,-162.01194517756065,E,B,A,85.5013475126979,D,D,E,47.464390581109136,26.190310026294405,72.48508170421255,C,1
None,Jewish,Male,C,E,C,-96.14557078798525,C,E,B,-117.92873238747936,B,E,E,-18.761755710660776,132.90224963942782,-19.00390709594308,B,0
Yes,None,M,A,E,D,124.36333792404632,B,A,A,295.7255515657329,B,E,B,191.49970288964636,-110.40727011659529,-112.28170224924014,B,0
Yes,Hindu,Male,E,A,E,-24.480031413062736,C,D,B,-45.3072447946755,C,E,E,-12.837313063787342,-93.44057951030813,-9.410604697618437,A,0
None,Muslim,F,E,E,C,72.69114291874602,B,A,D,57.961985983221645,E,A,D,28.35539218415456,91.54076064538617,188.42436646858863,E,1
Both,Muslim,Non-binary,D,E,E,-11.603693395228309,C,A,D,149.035306089659,B,A,D,7.350634573939733,19.203852031374367,9.00228546942485,E,1
