AgeGroup,sex,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
26-35,M,Muslim,E,E,-78.6183981034991,-122.47191220926545,D,-73.32141978398174,C,A,-195.36487981723016,1
36-50,Other,Other,B,E,-89.28303506303274,-31.07407035884519,C,14.328488685886878,E,B,-96.9513551632717,0
26-35,Female,Jewish,E,D,-54.51887321239825,-104.5775250629688,C,90.40833405607034,B,E,-64.71339966546978,1
18-25,Female,Jewish,C,C,-59.325735873415,118.82594739880743,B,-89.25982879750843,D,E,-124.12136166719026,0
26-35,Non-binary,None,D,B,18.130596436863993,85.76957522047539,E,-149.19904563476715,C,E,-12.372501556815468,1
65+,M,Muslim,E,C,-66.68589600571534,82.13756463955372,B,61.108499177767904,D,B,96.14801310601653,0
18-25,Other,Christian,D,C,-188.64973031858693,100.9904208799467,C,142.86684282356032,D,C,-22.727438289081896,1
36-50,Female,Buddhist,D,D,25.568768805204282,-43.07456948910742,A,-165.3050520064495,D,B,88.15829179615025,0
26-35,Male,Other,C,B,-23.309096547641555,31.30340283994539,C,-78.9204627656665,C,B,-19.871021309537426,0
65+,Other,Buddhist,D,C,-61.330220288307245,-12.2404435453294,B,56.159309117992606,D,B,17.765141814093088,1
36-50,Other,Hindu,D,B,16.74462831823668,66.18515424989053,A,-92.36161390472198,E,E,-37.92279701958604,1
65+,Male,Christian,D,C,-74.9182523632329,-113.33068784900905,A,-187.68053479387618,D,B,45.95226574140289,1
65+,Male,Hindu,D,B,-94.17950423335128,-40.88195710494054,B,-23.851237583182318,B,C,23.454562147771053,1
26-35,M,Other,D,C,231.6215713143127,-92.0220322716882,D,-87.52996248012971,B,D,10.796423431318647,0
18-25,Male,Christian,E,D,-5.557827238334283,80.31807687066926,B,15.064006418306281,A,E,-70.5723423164096,1
51-65,Other,Christian,E,E,-23.83692669876657,-142.0716273083174,C,-20.565019378621095,D,B,14.359142317511003,1
65+,M,Other,E,A,53.565965724701215,-147.96415790579528,D,-30.814834398712744,E,B,203.7478098092489,1
36-50,Other,Muslim,C,D,-82.5901621753056,76.54240705336979,D,-14.21565184643942,A,A,-57.28739670443734,1
65+,Male,Christian,B,B,-61.28977332684872,-71.36083225613703,E,35.50625560063452,B,E,67.17563454073299,0
65+,Non-binary,Muslim,A,E,-4.476149956574145,226.65088006462466,C,80.27542087401503,C,B,1.9885601935806456,1
26-35,Female,Muslim,E,B,-42.54248585197259,25.047502083119017,C,108.8393420070785,E,A,-0.8608598450780616,1
51-65,Non-binary,Other,B,E,-62.44364663393732,-50.564028154988904,D,185.48847786044578,E,C,-152.87870818092944,1
18-25,Non-binary,Christian,B,C,-56.46077592279202,90.24662650352818,D,-14.90192903146927,E,E,19.58223142944588,1
51-65,Other,Buddhist,C,E,125.16088401714391,-106.61192253609244,C,-72.42405876328925,E,A,-87.48432149967414,0
18-25,Non-binary,None,E,A,150.0290307384057,120.6814158524236,E,71.4009856076745,B,B,-124.10670339147207,1
51-65,F,Christian,E,B,-80.0746309977785,-0.42478569632679924,E,-16.595242838711176,E,C,76.11256970620855,0
51-65,Other,Muslim,D,C,-8.50039641536487,16.002423570041564,D,-79.24784638590607,D,C,-91.42875479019474,0
36-50,Other,None,D,D,48.016966606406484,-11.0941442467007,B,-56.42586138456625,E,E,29.930592809361773,1
26-35,M,Hindu,B,E,225.03585198240432,20.68265251350232,D,53.15578857922796,C,A,183.6175130753991,0
26-35,F,Christian,B,A,-132.1651063498713,74.38568617664731,A,52.32218652429608,D,A,-4.952883722944336,0
51-65,F,Hindu,B,C,-30.564319937239148,123.17712123519928,E,-4.9902393248740715,A,E,97.34164141656848,0
