veteran,gender,nation,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Veteran,F,Germany,45,D,-148.51950605271267,B,E,-107.37639285480944,-51.8251226554559,-49.10810178054452,A,D,1
No,Female,Mexico,57,E,230.63329890858165,A,D,-160.70789326545747,-9.358578625619156,159.13547626126137,E,A,1
No,M,Germany,77,E,-46.73882633787203,C,C,32.606691965763346,27.97120318974507,-65.51605798240277,E,A,1
Non-Veteran,Male,China,26,A,-57.928881482147155,E,B,-114.45534302182527,-49.89278236657098,18.93926961073092,B,D,0
Non-Veteran,Non-binary,US,42,A,-57.529726475295185,B,C,-96.60027860038495,-15.359159432519693,-126.04895140541363,B,A,1
No,Other,UK,30,E,94.76915317761967,B,D,-229.06686963346945,-191.83780617585086,0.7169379542023594,A,D,0
Non-Veteran,M,US,55,C,35.894936764500365,D,C,120.79111842144592,105.87161384541118,18.498722908761124,A,C,1
Yes,F,US,70,A,8.34075689550373,E,A,-0.17444791138305984,10.941100363023802,-136.4176018328973,C,D,0
No,Other,Brazil,35,C,-121.87408285629846,D,D,83.94399971459727,32.032114396318875,107.88879320388006,C,A,0
No,M,US,54,B,-154.88434090474195,C,A,75.89084169629994,-28.8122700715642,-61.48033707883869,A,A,1
Non-Veteran,F,India,55,D,71.52331258042764,E,E,-46.33731083737815,158.205408908318,80.35195366934666,A,C,0
Non-Veteran,Non-binary,Other,45,D,86.69066975409443,D,C,-17.215686989638726,60.45400528958959,-82.13119002280008,C,C,1
Non-Veteran,M,China,21,E,-50.41861775887354,D,C,-38.10766064342621,-15.077596250595523,-12.562775702188286,D,D,0
Non-Veteran,Male,Germany,68,C,44.08305062349981,C,C,223.38118224607913,85.77612302188194,-121.2966820164272,E,B,0
Non-Veteran,F,Germany,57,D,91.82796395789235,B,C,61.272441139927025,-26.67681937368826,-75.36023169945642,C,A,1
No,Non-binary,Other,34,A,-50.649388490064304,E,E,-107.50795458628764,84.61548242841589,-58.05284900944967,D,C,0
Veteran,Non-binary,UK,39,D,-269.22193213530227,B,E,-26.66584615386664,20.641999462165703,49.71263727083095,B,D,1
