sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Bisexual,0.6988638088081024,5.9974464293444,C,E,5.822245167770493,3.52327778602275,A,0
Bisexual,-118.20956634467423,140.0606352742083,B,C,0.6225441849510831,61.32000483247971,B,1
Bisexual,107.12400580312993,4.691261126419813,E,C,74.93423520700799,-115.35688941942543,B,1
Homosexual,28.534310186117256,8.814709383693772,E,C,84.28674857034733,-176.923724221209,E,1
Homosexual,49.01369845723356,-5.3408841653249075,E,C,-76.97990726804045,39.218104127330655,A,1
Homosexual,79.48439227840377,32.33208382290052,A,C,-55.99367858038169,3.137136664681048,E,0
Heterosexual,-99.70406859355447,135.28447956307465,D,C,45.230103591571556,224.71509291037458,B,0
Homosexual,1.8743269975164634,-11.661968662006899,C,D,8.43839183319347,80.86507372094994,C,1
Homosexual,-9.202556325722828,115.75733217249345,A,D,76.96545965698049,-40.42005164125491,B,0
Other,-137.5893565711068,136.2150852889437,E,A,-59.000667003129806,95.19130891006594,D,1
Other,108.22062043873144,-42.219394814850304,B,D,-164.73810869801076,166.83894992379663,E,1
Heterosexual,-90.73886264587823,-8.218245327972756,D,D,-22.994753495142227,-59.641284080747745,D,1
Other,37.982291747669464,-121.9503603057603,C,D,120.39882738930514,38.576871109058146,B,0
Homosexual,-229.53953096375076,65.4058291611805,E,B,69.90189469591976,-12.969602272587272,C,0
Bisexual,77.07536868920766,176.60005071093195,A,B,-34.27438261136852,343.85802469329974,B,1
Other,-53.17479614449123,-146.8170168617707,B,E,5.080745965522439,-34.07325054659182,E,1
Heterosexual,176.27429035823653,-5.507859966706398,E,B,-18.50391904193622,17.58744097962679,C,0
Bisexual,-215.3924318171728,36.554492441851444,D,C,-187.4539335924116,-65.15716575458016,B,1
Heterosexual,-121.16302712081419,-212.28623810633968,B,D,-60.97509116054477,235.30608665194657,C,0
Other,147.18781148526088,9.59579097574535,C,E,66.62058693646607,-44.95444575189457,E,1
Other,290.10514082165247,69.6321887248064,C,C,26.755327226143162,283.70747154197403,E,0
Homosexual,82.257083596986,-51.61638730412046,D,D,248.54766304936,-180.76086320539875,C,1
