SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Non-binary,C,-69.8299797816087,D,25.3818386951364,C,D,118.42740831981821,B,B,1
Male,A,72.82873850159248,D,-83.71492909666952,B,C,-126.60761304006662,A,C,0
F,E,-51.805272753323194,A,254.6198619594139,D,E,86.98656861232784,B,D,1
Other,A,72.13476423760532,C,6.1466610811642095,D,E,-31.242949409231997,B,C,0
Non-binary,E,-80.78179490200621,E,-29.659513986563084,B,D,255.26497714318103,B,C,0
Other,A,-90.21621966601117,B,-219.2267730278071,A,C,25.48825344452465,B,D,0
M,D,20.42124720929767,E,-46.55736071416394,B,C,-143.7189630850847,E,A,0
F,E,135.13259922103268,E,42.50810836135937,E,D,173.82052781377232,E,D,0
Female,A,-104.94632124859136,C,-70.16370581039997,B,D,-179.01750759774092,A,A,1
F,E,-27.150826209446997,D,-38.380371970070925,B,A,-2.1768836196112336,C,C,0
F,C,68.33851735353987,E,-91.71972413324082,E,A,29.759696742919807,A,A,0
Male,C,77.5734393270032,C,-145.90262196923675,D,A,-41.02822970598516,A,A,1
Male,A,97.44339301653892,B,123.1280063237944,E,A,71.24186318692928,A,B,1
M,A,98.53536372454563,E,39.41012409056799,A,C,-77.88302137202095,A,C,1
Female,D,-40.49179533257104,E,-15.174976752612531,B,B,45.20587436561655,E,A,1
Non-binary,D,-134.76011817935384,C,140.76601064360705,A,D,-70.40517846914886,C,E,0
Female,E,-35.11207378325647,E,-43.01836697991101,C,E,9.219805614982018,C,B,0
M,A,52.890608067446685,C,-114.7291722194532,D,C,-26.409959034899185,D,C,0
F,A,69.97582907580778,B,94.03945009797992,B,D,75.38330915497382,B,B,1
M,D,54.678353717661246,A,91.84499097243291,B,D,-76.32597666389486,B,B,1
Other,A,131.4369468210701,A,286.8819527930994,E,C,56.07884305738745,D,D,0
Other,E,102.23889339098851,E,235.36957428018118,B,C,110.71284057971702,B,B,1
Non-binary,E,-139.45030752911887,C,33.5015679630729,A,C,49.698858811442,C,A,1
Male,A,28.748584147851464,A,-194.89370774646522,D,C,-105.00493893039,E,C,1
Non-binary,E,-68.32734467610503,D,-70.01595179371624,E,C,-66.53277142505262,C,D,1
Other,C,34.900529562053016,D,46.93849094816564,A,B,92.11899697927224,A,E,1
Non-binary,D,-66.89592779014538,B,16.355114336976406,B,A,-35.50082221068143,E,C,1
Other,A,84.81338335908696,D,133.38466515977078,B,C,23.41525045324971,E,E,0
F,D,95.83696540190512,E,38.1174691521072,C,E,89.33760180303597,E,D,1
M,B,-45.08555239498626,C,59.65292942962457,B,A,25.57185079968804,C,D,0
M,C,-64.47526961745635,C,69.77834420568931,D,C,-91.6573587459898,D,E,0
Non-binary,A,3.8343765507366387,E,191.20661183841574,E,C,9.478752787288254,B,D,1
Female,A,-26.456619011331366,B,82.58005257808169,D,D,-84.56409653744181,B,B,0
Non-binary,A,-45.44060042663096,E,69.39002981215091,A,A,-114.89675679263553,C,A,0
Male,C,-5.090335037611676,B,62.1222772967221,A,E,-23.500131662400126,E,E,0
Female,A,167.99259020472738,D,23.90318263158985,D,B,-121.40544961087696,D,B,0
Other,A,60.79541817367892,A,141.51871365704824,E,C,-5.699881531877902,A,A,1
Female,D,-108.7515181432479,A,-238.84319584545906,B,D,85.87005150611888,A,E,0
Female,B,39.97866194293941,C,17.210072957306206,C,B,30.99685329053455,E,B,1
Other,B,-67.35119578057406,E,-263.48299287101213,C,C,5.596348351042001,E,D,0
F,E,31.071375467373684,B,-8.480595352707585,B,A,-57.34643630169502,A,E,1
Non-binary,B,-23.851685070526525,A,41.38966428884647,D,E,-60.88331042359615,A,C,1
Male,D,222.17189767955304,A,-47.38093190755552,D,D,-173.3675772211418,B,C,1
Male,E,-217.51428970175527,E,10.423745893748052,B,C,-72.2009876670968,B,B,1
F,C,-59.25489492598207,A,-145.88734805975275,E,E,-156.66068190681634,C,B,1
Male,C,-69.57136676927385,D,40.95019713318731,D,E,64.98179061849025,D,D,0
F,A,-40.97068627259885,A,-126.35053821567345,E,A,317.49473821984185,A,C,0
M,D,197.8024597000632,D,-151.73141274319667,D,D,46.03204637287966,C,A,1
Female,D,57.09360990308241,E,-90.67200369722521,E,E,45.033409418459065,C,C,0
Other,E,-40.871690787748285,B,-1.7246863430524253,E,B,30.388073318751385,D,B,0
Other,D,-62.43824104730069,E,-24.020186568149676,B,B,-197.37267021001452,E,C,1
Male,B,-228.47182604555167,B,-69.380142029658,C,D,210.38722503452126,C,C,0
Non-binary,D,-160.72043422396536,A,-32.10356399428476,B,E,75.73284656102165,B,E,0
Non-binary,C,56.678362735647035,C,-117.4436620385082,B,C,133.02123836590448,B,A,0
Female,D,-15.779959155966141,A,-8.946992178580459,A,D,25.614234299842025,E,E,1
M,D,101.54272245719882,A,51.48422733307648,E,B,47.693066168433155,B,B,1
F,E,21.900302152942118,B,-104.98066429301404,C,D,-147.08806336790974,C,D,0
Other,D,14.160829441814284,C,-167.21047088543065,E,A,-128.5033861996443,C,B,1
