Gender,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Female,23,A,79.21676580384825,-76.25958440497752,34.57871668936043,-34.42418241528327,B,74.1288615653943,-89.8291407991892,-50.86592671970611,102.26858521616296,-168.6809118056775,28.973937104266156,0
Other,57,E,117.54740822095182,113.54566035410775,-88.4847326863143,-142.2775178862401,E,-29.507488398089038,47.72503185007806,-66.25204826372808,72.53186077469503,-6.366111719804439,103.1640542123244,0
F,42,B,9.115039824189394,66.94667543146048,-40.329815532831326,-131.76288930014152,B,-122.15885309397372,3.123657589084571,-44.122702184344924,132.0970210997498,-67.73010464686638,243.94269977660153,0
Non-binary,20,C,-190.3042964820728,1.713392353769777,106.66901024460007,74.41984077855159,D,61.97649375320871,54.50235386520647,32.86542179283221,105.17861595015965,-55.732923543686155,52.32208274449446,1
M,65,A,125.47721775283102,68.07154691816851,17.376799032248258,-39.19281467061278,E,132.88162778009388,90.07744752744118,48.67692089998435,103.62971473121291,-5.052644248132744,8.786282862936492,0
M,69,B,-108.51209969154661,134.9621694962752,138.0619757411899,46.52386125440502,C,13.481952082265167,-29.88829744337358,11.929873488516526,-54.18021802121603,-25.889963972059487,-55.448022376131924,0
F,23,C,-143.88402517973583,186.66672709188722,2.594148295490481,-159.9492987654467,E,-154.13491865820237,113.25454635012895,182.85217826354165,-10.184648978802208,-147.9034861698876,-196.0324128649667,1
Non-binary,41,A,-71.9140526012431,112.57894527428715,-125.31090110192437,195.71606655916273,D,-60.57865096502562,-5.151160139690561,26.596715142796356,71.38779201212942,79.98296550843476,-29.66011455263622,1
Female,42,A,-111.9817626432835,-65.94648949109289,1.510566367987701,-0.9405551290212324,B,-39.984374583216166,20.09664605639687,-32.49820415493346,-12.594709484585056,14.813018918456661,116.72043776641499,0
Female,25,B,201.47230011609975,74.28307467844125,182.24768601742502,-180.6321999281275,C,-34.21853832926199,-77.71700147673326,-76.46414340856357,-131.51069733052626,-7.965427340239028,-70.44962740933845,0
M,64,C,-43.5312973075021,164.7210423469816,34.16300468043327,44.089646028256105,A,66.89858074671926,63.42526170037199,-125.99580788337663,-39.671872422463174,-26.544330238702614,91.71331949031743,1
M,22,C,76.18745912294902,-142.04397286878364,-120.06636781704026,15.104425696426638,B,-20.484678842100358,-41.51603012889578,-87.59223950379244,-11.964426507343063,-17.404406452672173,-181.78215005448385,0
Other,48,A,66.39888236284943,8.320874063909764,182.03336501393076,88.8320951444293,B,-195.79061831439736,18.139076338000667,177.01608087213214,-128.01543695922635,68.61934903566839,-132.99874404932334,1
Female,35,C,-77.38065856446774,80.78075693128388,-40.195948141904815,-128.23256035142424,E,-55.85833299527435,-89.85715272604509,67.32820164807436,181.01403627737326,-110.1653841499284,36.15893815822459,0
Other,28,E,-32.73386399958916,-108.52018737235302,-109.8652700587954,-76.66666421676562,A,-69.47939175519987,-42.525301116690414,-59.980361996766774,-127.8518986771233,-108.95010900402364,38.54303547722497,0
Non-binary,41,A,63.33833451085329,-44.864691353342785,-13.709871786208922,-75.94793323768282,C,-139.54682939164107,-39.89330675456403,-29.703593680205298,28.503923691668685,15.54686980934076,60.279231456474,0
Other,25,D,-158.96829536112952,-169.43557990313641,65.85183199819605,53.55126808279389,D,5.839782677950453,58.37034872702159,134.54081558380145,199.23739619803064,50.568800793892954,-87.3925718712241,1
Other,61,B,-41.208224909234694,-8.569363636850795,-12.308657675848602,51.593924370760924,E,-39.65876765959231,8.682321918621861,-62.01626469389897,5.774709718125274,100.65847888231572,-198.69787872900096,1
Male,47,E,1.8580803674636974,-152.59522825762144,85.90239290358252,105.93028522270147,B,-67.65425910826602,123.87207503852487,-130.22352144351578,84.856406870113,-37.517772724282665,-75.9203692611803,1
F,64,A,-16.21290771548944,-178.06521871571402,-127.79898982756018,106.81480191236537,B,143.37647875438813,51.44810487622438,103.77590621260964,-16.41965932045964,-25.278399344721414,-70.5225322099756,1
Other,78,C,-58.00403656537627,79.92638401633332,-32.31497545493115,126.21597514937177,D,-52.21646436885824,-51.545974652853666,122.54865972325312,12.645414968603555,-72.30465423850386,-213.2325938314874,1
Female,35,E,184.3069491745485,10.028361384315895,-74.18889110726356,44.92002780085977,C,-34.757170776970284,20.43737213334357,142.63151564245194,263.879104246371,-1.8247959181520699,28.502587121591365,1
Non-binary,29,C,22.38546988258061,-60.796493720477315,35.5197872514022,-115.94421477493975,C,89.36070830944699,14.469319869679955,-7.23462896062467,-20.95576632214203,69.93973165732037,141.9773614761239,0
Male,24,E,162.62924021036406,-87.85660667591995,-55.50981938215164,122.24886456025878,B,82.49217175241962,-20.191135915664425,12.07080089938326,141.6707813305381,145.64231466956667,168.2734425090793,0
Other,77,D,11.962086635136673,-89.1060190039889,-151.54698664630322,95.8441948459233,D,-66.69759456596356,-12.928574441389365,-101.12933322463098,132.82619550303406,-71.15714109346297,-71.69973363120292,1
Male,21,B,-11.840440601053276,-204.23246282436392,-20.35413699279359,-78.40564336945144,C,13.04515059219232,10.513299771133692,-31.912999142718846,173.9103157426565,-5.105677497886205,-176.13401301040366,1
Male,54,C,26.447408374872044,130.6485367571275,81.09590743290237,62.588176003870984,E,44.066380209345205,52.94536376603487,64.92214894609741,88.5130333791414,103.23882519724505,167.87933783550753,1
M,35,E,89.07847607819221,-22.326540466774137,55.59592414959441,87.6771768735501,A,-69.58537507878796,-119.46842329219498,-10.61322945933365,75.36287022608384,145.366490589864,-65.51512747126023,1
