Religion,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Hindu,Widowed,E,-8.612806314731799,B,D,C,B,C,B,A,-132.33711287527137,A,C,1
None,Widowed,E,-22.84464387853113,B,D,A,E,C,E,B,106.10543448866865,D,C,1
Christian,Married,D,43.967738468186624,C,A,C,D,B,D,C,66.32248858000835,C,D,0
Hindu,Divorced,B,27.663808560005982,C,D,E,C,E,C,B,-246.76447698392957,B,D,0
Jewish,Widowed,C,-7.932676409404489,B,E,D,B,D,E,A,41.368285662244844,B,A,1
Buddhist,Divorced,B,-130.8721812165617,C,D,A,D,D,A,D,-187.16988438499067,B,C,1
Christian,Single,C,-34.28989095985825,D,B,E,A,D,A,C,89.89191812678051,C,A,0
Muslim,Divorced,A,-99.41243907044954,D,E,B,D,A,D,E,-131.65859439743076,A,C,1
Hindu,Married,A,-8.400862641195527,D,D,E,B,D,D,C,-269.25892138635055,E,B,0
Christian,Divorced,C,64.413774462287,E,D,B,B,A,D,E,97.6932178919577,A,A,1
Hindu,Single,C,78.96875460405694,E,E,A,B,E,A,B,-94.00137984323813,D,C,0
Other,Divorced,D,-20.69566656111686,A,E,B,B,B,E,A,20.763522882955133,D,D,0
Buddhist,Married,E,-84.86599000207711,A,B,C,A,D,E,C,67.5240837490491,E,A,1
Buddhist,Single,C,54.387146253631,E,E,A,D,C,D,A,-42.453316869808305,E,B,0
None,Divorced,B,98.68910535341688,A,D,E,B,A,D,A,23.200008372471036,A,E,1
Buddhist,Widowed,B,-63.41091677629793,A,D,A,C,A,D,D,-128.8743174653521,A,E,1
Christian,Married,C,-105.97779806471148,C,E,E,D,D,B,D,37.481450122493634,A,D,1
Hindu,Married,C,149.2314057522101,A,C,E,D,C,B,C,-29.264835131277284,C,D,1
Jewish,Married,C,-59.546984784724366,A,E,D,B,B,C,D,76.45620921569552,E,B,0
Other,Divorced,E,145.20311945673595,E,E,A,B,E,A,A,271.1681059409765,D,C,1
Christian,Divorced,D,28.25519360768245,E,C,C,C,A,E,A,-2.879812833397337,C,B,0
Jewish,Married,B,49.917532962322724,C,E,A,E,B,C,D,-53.04744941935808,A,D,1
Muslim,Widowed,A,-14.21927690324892,B,B,E,C,A,A,E,-233.71218733178006,E,A,1
Muslim,Single,A,0.07156510125651587,B,D,A,E,C,C,B,0.3308380700932378,D,C,1
Christian,Married,A,18.1130477469574,B,C,C,A,E,C,B,-99.55058518342231,A,A,1
Buddhist,Married,A,-167.96521665661172,B,A,A,E,E,E,A,-8.432192718024657,E,B,1
Buddhist,Single,C,-125.82398531103011,E,D,D,E,D,E,A,-51.158981289802455,B,D,1
None,Married,D,15.983144241052038,D,C,C,B,C,C,D,-68.84082844555668,C,B,0
Other,Single,E,-12.749786931158777,D,C,E,A,B,D,A,-20.428992707262385,D,A,1
Other,Widowed,C,-41.791979606377716,B,C,E,D,C,C,E,-73.0605238477859,B,E,1
Other,Single,E,-145.30906623900893,C,D,E,E,E,D,C,-89.77937193350324,A,A,1
Hindu,Single,E,-134.60008621841513,C,D,E,E,B,B,D,-308.172668802947,D,C,1
Jewish,Widowed,D,196.24064215513295,E,C,D,E,E,A,B,-184.7484092201665,B,E,0
Muslim,Divorced,B,164.75001063720867,D,E,C,D,B,C,D,-64.98359384325725,C,C,1
Muslim,Married,C,29.243474760711024,C,C,C,A,C,B,B,64.71314677653614,C,E,0
Buddhist,Married,B,30.99141522808345,A,B,C,C,B,C,A,105.50486343789085,C,D,0
None,Married,A,-75.10980318949937,A,B,D,A,A,A,E,65.11985382320309,E,B,1
Christian,Single,D,23.482308058122005,A,B,A,C,B,D,D,55.099483611564146,C,D,1
None,Widowed,A,86.51693421587062,E,C,E,D,B,D,C,-90.81641823333393,A,D,0
Muslim,Widowed,B,-91.49653147974604,D,D,E,D,B,A,C,-80.8444740659054,D,B,0
None,Widowed,C,58.99999343797294,E,B,D,B,D,A,B,-98.87818545541491,A,D,1
Christian,Married,C,-203.93313024579456,D,E,E,A,E,E,A,26.956422271487153,C,D,0
Christian,Divorced,B,-92.02226242804147,D,C,E,E,B,B,B,-45.75690528522914,C,B,1
Buddhist,Widowed,D,82.33798247228174,C,D,A,A,C,E,C,91.80811166458835,D,D,0
Buddhist,Single,D,-50.829964341787374,B,A,D,A,D,A,E,-88.44532042385578,A,A,0
Christian,Single,E,71.15701585389681,A,B,A,E,C,A,D,79.93173287500942,C,D,1
Muslim,Widowed,B,-70.38331254918074,E,D,A,B,D,A,A,-13.728639985170396,A,E,0
None,Married,D,190.78194343677384,B,C,E,B,C,E,D,-28.921925133454284,C,D,1
