married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Married,9.340647334174315,105.04233329162335,C,-17.159281777739842,B,D,A,142.59663601480852,113.99834630760972,B,-92.7380076515916,E,B,A,D,-33.43262907414676,1
Divorced,-33.22731292485243,139.30918797645478,D,-290.57555970276576,A,B,D,99.35937683824328,40.29486951465745,C,144.7674822652359,A,B,A,E,198.07764102098534,1
Married,-43.87902524635045,-64.54159686770045,A,59.04548921140591,A,E,C,-99.86309408097512,58.221879983997226,D,77.81056638602132,D,D,B,E,125.39475887771563,1
Divorced,89.35764884181656,-112.2809273148635,C,29.060696706484286,D,B,C,-39.693155785776554,-208.05727787671407,D,-86.88371239709663,C,A,D,A,-172.08803785713584,0
Divorced,6.002156789847106,83.87569277334485,D,-41.389941801578864,C,E,B,-101.21083817410256,-108.60086514671347,D,175.47688349222935,B,D,B,E,159.40241847313155,0
Married,-0.7827897958261663,174.99996324523687,B,-23.485486507673762,E,B,B,25.57136425496516,72.37769583646393,D,32.8994576715273,C,E,C,B,-215.78605792061612,0
Married,16.08869131580338,-153.09709696325,C,187.72335467748326,E,E,D,121.47284680239585,70.0336161077111,E,260.89819672487715,A,D,B,A,56.90539492568942,0
Married,94.91204157415054,-120.91755800977953,E,-4.5949864327763645,C,E,B,-102.89601916678438,-72.19171222764437,D,-269.6191353811756,C,C,A,E,-53.38484729245201,1
Divorced,-154.91309182890768,31.940307183276694,D,45.96242828842794,E,C,D,-6.728800817272596,49.711535935061605,B,-276.35424017487566,E,C,B,D,-55.040722139262144,1
Single,256.1791432967733,43.63814838955044,A,28.55025603321348,B,E,C,-12.357950222563307,332.4168766550392,E,148.8603166579978,C,E,A,A,91.52005323190744,1
Widowed,79.41335792641138,109.8109616013011,E,-186.71369991271618,D,A,A,57.81815283855818,-125.11486500780768,B,45.948923239332,C,D,C,D,-38.797657833966376,1
Single,9.468135020797556,63.9869578821622,C,36.44663428264014,B,E,B,-80.22655076466356,-59.67392089205363,E,-141.0035159271191,B,D,B,C,-201.08877780018503,0
Divorced,58.57075681022763,65.03045449205835,C,-56.448215390414504,B,C,D,213.8926075866351,27.12313416617102,C,39.04981693339099,C,D,A,A,1.6346006664549038,0
Widowed,177.25197423427144,-108.17882350915275,D,37.63901253381613,C,C,A,2.852516291837425,-42.42309846688294,B,8.518658795903939,A,A,C,A,-37.59411498207389,1
Single,14.288211064916645,-140.42618089373084,B,69.95901611323767,A,C,D,189.36575397681133,-24.143850569213726,D,33.29393713263552,E,B,E,E,-93.67256266081647,1
Married,67.77739382563124,195.84091385168634,D,-70.85445673504707,A,E,A,-55.88186904527209,118.40116825112705,E,-38.13278026149722,C,C,B,E,21.922992018948726,1
Married,29.99470527516997,-36.95388350520175,E,-99.59006177256626,A,C,A,121.20922051675302,-24.302446954926193,D,117.27094193663974,D,B,E,C,-29.139582750039988,0
Widowed,-9.112616630377572,-65.81457084309962,A,-26.049139680207706,D,A,D,-40.92518029313224,255.15997276293314,C,-32.82296643504773,D,A,A,B,10.215263203282738,0
Married,-10.514191452728879,7.541118988229687,D,-67.83372717919039,E,E,A,39.98572748365581,-289.6669081036158,C,-257.762145976163,A,A,D,A,-22.627831928479402,0
Married,-57.182289729615064,5.6910773188753625,C,-141.48709751005003,E,C,B,-5.8247937798244305,-149.79179149666902,A,32.54130065686607,C,B,D,E,-16.185669565614834,0
Single,248.07260846903944,-68.02205376694155,A,-105.30051212546977,C,C,D,165.1476504268061,-65.40349021675054,B,95.87629047303406,B,D,C,E,-115.41971453773358,0
Single,-55.0962414669987,-96.69467595115972,B,-71.12730893364986,E,D,E,-39.149928325134084,7.122635521469873,D,-5.638935631332371,E,E,C,D,-99.23205427469414,1
Married,152.09223469060703,138.66271076733912,A,103.5732488722965,E,B,E,-40.80118358245299,219.53814194977252,D,-5.392033225371056,C,C,C,A,-46.43086171512814,1
Single,55.150738878489236,81.85150744269933,C,52.17099339204094,D,D,B,-118.37978096300483,-37.943850863967896,D,-115.32660759982205,D,A,E,D,3.3140325571273688,0
Married,-154.2178613378113,79.84927644649812,B,56.039711177328854,A,B,D,-27.634022034760868,24.435376087684606,C,-67.77475313164695,A,C,D,B,50.82011213536559,0
Single,36.38492021368596,-48.410827394678385,C,89.2414178963238,A,D,D,34.477560620979894,144.42293849919338,D,-19.258815192806637,D,D,B,D,-104.73558815676081,1
Widowed,38.220820139463086,45.624915367258474,A,-97.91290639482062,D,A,A,69.3742780046833,-39.522654240125796,A,84.3829493392146,E,D,C,C,-106.765487836937,1
Widowed,-126.90676787414856,78.06571691651374,D,23.577170510795362,C,A,A,-26.92473696778826,109.27823877326472,D,-60.13533145856576,A,B,C,A,-16.680775998055612,0
Divorced,-91.94294454513498,154.8069036110744,D,-22.881935280665058,A,D,C,65.83784216688332,-36.98688430713458,E,-173.9111995922042,A,C,C,A,-36.003310476274564,1
Married,-69.44390575921162,-46.551441319823965,D,52.291166974911995,C,B,B,7.010511293651221,86.95281643882787,E,-64.84064587782241,D,E,A,B,17.05068947019801,0
Widowed,-132.49710845552102,47.99474110613808,C,163.07176029189833,B,D,A,-1.5910017834038344,53.72176588234424,B,9.57088422146207,A,B,A,A,-155.29541207735903,0
Divorced,-103.64718522413128,28.655912226656266,E,38.55223904042624,B,D,B,-68.0244345205282,25.199572103731775,C,199.15467409001653,B,D,E,B,-100.7549370773219,0
