age_range,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
18-25,Jewish,A,C,A,B,70.20681626025916,D,96.29337907548687,A,B,C,C,42.23124290519264,0
36-50,Jewish,E,E,E,B,125.57815692200035,A,-8.948971534685004,A,C,E,E,-91.09170557461911,0
65+,Christian,C,B,A,C,189.13601273370935,A,17.76407648705965,C,E,B,E,98.38165558608989,0
26-35,Christian,A,D,D,E,-67.06942216424795,E,-202.1295318099186,A,D,D,A,57.801244648018766,0
18-25,Buddhist,B,B,C,B,-176.91121528832693,C,-98.2537887263561,C,A,E,C,-10.48725672256195,1
36-50,None,C,C,E,A,127.675363220825,B,-88.15615335139483,A,B,C,B,165.4134363070038,0
18-25,Christian,B,D,D,D,22.06413470800916,C,191.23518633470306,C,B,E,A,-68.1396006313547,1
36-50,None,E,C,D,E,-6.926709083999431,D,76.37978235331065,A,A,A,D,-77.13349449517132,0
65+,Other,D,E,A,B,-109.9737201250941,C,-43.657130694583316,B,C,D,E,106.71327682857958,1
65+,Other,E,B,C,B,-107.77361187416949,A,112.221795876726,E,C,A,C,28.527673994109655,0
36-50,Hindu,C,A,D,C,43.883778202381386,A,-216.25267006933387,D,C,B,A,-61.90021160258215,1
51-65,Muslim,E,D,E,A,-131.1694334913545,A,-126.80043576698246,D,B,A,E,178.43668786487527,0
26-35,Other,C,D,A,A,-141.31365681856784,C,-255.1385747025192,D,B,A,B,-99.44428968299347,0
18-25,None,A,C,D,E,-13.50827048420841,B,-109.70616964597271,B,B,C,E,55.473981860168124,1
26-35,None,B,D,C,D,-81.92709960061197,D,-40.550860331011634,D,D,E,C,-183.97558860500354,0
65+,Hindu,D,E,A,D,251.6467495243296,D,120.54115026063425,E,C,E,C,-63.41068519801435,1
65+,Christian,D,C,E,A,-70.396307819977,A,101.6654231353681,B,C,E,B,-31.896859271790625,0
26-35,Christian,B,B,A,C,12.381426519390102,C,-135.37848552245697,B,C,D,C,-70.53525374356128,0
51-65,Other,A,C,A,D,-89.0059053398093,B,86.8066073259769,D,A,E,B,56.40908854434144,1
65+,Muslim,D,D,D,C,72.5769146369401,D,-350.32194776477854,D,E,E,E,55.74620316579298,0
36-50,None,B,A,A,A,121.88509768398383,B,-186.3934254187599,A,B,B,C,103.71251349231898,1
26-35,Other,E,E,E,B,179.89120254723068,E,122.44262041674368,B,D,C,E,121.95100469206778,0
51-65,Jewish,D,C,C,A,-68.224091982821,B,59.47479788202057,D,A,A,C,153.00225700433705,0
36-50,None,E,B,D,A,-19.355281668160128,A,83.4557377424581,B,B,B,B,-1.708324701272503,0
51-65,Christian,B,B,B,D,-87.94787802280777,A,-118.3277660585976,A,E,E,C,55.788516218677486,1
51-65,Muslim,A,A,A,A,9.563209770866909,C,44.09345818697379,D,A,B,B,-1.119223945584986,1
18-25,Hindu,E,B,B,D,58.970139601255646,D,35.66668728052816,C,B,C,C,-7.1049604127125106,0
18-25,Christian,C,A,D,D,-55.555205405873885,A,41.00861976631483,C,A,A,C,127.84761802975373,0
26-35,Hindu,B,C,D,A,-146.91500083860032,D,120.49995060583598,B,A,B,C,103.55892106918157,1
18-25,Muslim,B,D,B,A,-88.89337094331384,E,-5.019548960402343,E,C,A,D,312.31579803187407,0
65+,Jewish,E,D,C,B,-215.91100425368649,C,-43.710436195966274,B,D,B,A,-38.68018655025036,0
51-65,Muslim,E,B,A,D,70.95889757974854,C,-93.29003348901034,A,E,A,C,55.24898592902655,0
65+,Other,D,A,D,C,-79.67900615749193,D,74.87837061359217,E,C,B,E,-96.31259665486112,0
65+,Other,D,C,E,C,-163.91159766648718,C,-143.29968031088382,B,C,C,B,-82.24964500410904,0
65+,None,D,D,B,D,67.85242584260479,A,-126.3050801632892,A,D,C,A,-122.42604130326053,1
51-65,Buddhist,C,C,B,B,-75.67284814996684,C,14.264117375964256,E,C,E,A,243.57068306804055,1
51-65,Buddhist,D,E,D,C,-64.92825485970535,E,-130.9514629316278,A,C,A,C,173.00962235250412,0
65+,Other,A,D,D,A,-54.455636873237324,B,157.91628005777417,A,D,E,C,53.53238091576913,1
26-35,Christian,A,D,E,E,-42.93298686705999,B,36.505380315485304,B,D,E,B,37.58258427541084,0
51-65,Buddhist,C,A,B,B,96.85807613059349,E,-60.66137682830954,D,D,B,A,-58.18722057116389,0
36-50,Other,D,E,D,D,-36.425754402077835,C,65.59289624157371,D,A,B,E,-78.84550977594161,1
65+,None,C,B,C,E,6.941060244706909,E,9.447791099087665,E,D,A,C,58.079360169676534,0
51-65,Christian,A,A,D,D,-50.01658752790226,C,60.28837393858906,C,A,D,A,-35.15304140058939,0
26-35,Hindu,C,E,C,B,-164.24537146583563,C,-223.35866655183293,A,E,B,E,60.456946917043496,1
