AgeGroup,genero,veteran,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
36-50,Non-binary,Non-Veteran,48,71.66888292179921,1.8861051914526212,8.952678559586897,B,B,C,-132.06186780783054,C,B,9.931093001289636,E,-195.47403669558727,C,-178.92383128772488,-186.2408632791438,1
51-65,Male,Yes,34,-83.60945461049488,-150.49386253970516,-4.8129635592494395,A,C,A,-3.620948492259045,C,B,90.69402931260882,D,4.510535974961866,E,82.07344919960701,25.581384419994617,1
51-65,Non-binary,Non-Veteran,94,-8.92733769346326,-61.97896353478559,-48.147638147938174,B,D,A,-22.144273678287757,E,A,218.6120186124945,D,153.60361711621326,B,-42.17709859728884,-4.604002767767297,1
18-25,M,Veteran,87,6.576647607478792,-171.94395337998301,5.330806199570026,C,B,D,112.59193399654575,A,C,26.59736883530442,C,-110.44294971640912,B,-169.36104203763315,63.151453608454986,1
65+,M,Veteran,39,-143.74073457883625,17.59554663302265,1.4227337640437254,A,B,B,-47.25083059574478,D,C,-59.2989438067998,E,-125.79548784195387,A,67.20564275048663,-11.222160378503588,1
36-50,M,Non-Veteran,84,-50.14590132039286,25.49073355362893,-79.69297501880051,E,C,D,-55.76071114768176,C,C,194.97976335683128,C,-14.559184686023658,C,-50.82326286631997,-82.74301715921322,0
65+,Other,Veteran,83,-43.2054121057691,-155.34681425869766,54.63386327516031,B,E,E,-57.74847889632988,C,D,-132.67611735180512,D,74.85804091087391,E,-44.38486739257606,-202.02309458811308,1
51-65,F,Yes,35,-1.1777317105886111,34.63405931725501,-100.9510366302907,A,B,E,35.886203623528104,A,B,-52.34428262791566,B,-63.77582326139017,C,-16.50835243828691,59.00449495533172,1
65+,M,Non-Veteran,73,-88.51540777553531,62.696509427227035,15.421862418154603,D,B,C,16.703806732616624,A,A,87.03188860522117,E,42.284248275449386,D,136.92025350685873,114.08246143243686,0
36-50,Non-binary,Non-Veteran,19,27.899934726042375,-67.43081003969822,-32.95792081772197,B,E,A,-37.53054711669215,A,A,106.9360798868549,E,14.734270702161403,D,82.52070905826555,-55.207442662509735,1
36-50,Male,Veteran,56,-45.2084641186577,157.52760315814075,125.48255606081595,E,A,C,-49.77993175195297,D,B,12.646070842040197,E,-59.377375605825954,C,102.97399282637707,-70.22947308922761,0
65+,Female,Veteran,98,4.079385762287068,-171.39642614156324,80.58673722367298,C,C,B,62.74428094540677,D,B,-120.95822390821608,C,-7.516686483122008,C,-63.39443743130302,-233.54672891429522,1
