Veteran,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Non-Veteran,Other,37.07539421336939,D,52.27006105481262,124.42677894369483,146.96889091700226,21.32303260491395,137.3382051871727,-105.2931639498312,1
No,Other,97.43112226457681,A,-122.36823843891167,190.74599061777926,-26.18572032137424,-76.39519302053746,-79.55473703503218,-61.5648127485645,1
No,Bisexual,137.33409071938647,A,72.92101144173358,-27.275833183246068,-117.79660454581638,72.61737307536943,-124.3320886685426,-75.71509110887068,0
Yes,Heterosexual,-30.78404839980129,A,117.45152622347878,-118.78804558150024,-139.1520046873047,-87.191880616851,-94.4594250995046,46.917348162692,1
Veteran,Bisexual,-154.8920767911285,C,1.1685191799045154,114.76430523263947,-29.580843362241882,143.9042014421215,-94.80901223559484,-8.237130062828411,0
Non-Veteran,Other,-271.8321930474272,B,-263.2826402190721,27.892008516066202,-155.1364326745017,-18.408203394331636,-87.60023412398057,98.68377788707738,1
Veteran,Bisexual,30.24229478516101,B,136.10788726298424,-48.90798901184633,-48.892508458727214,73.0203018064958,-29.68616215288019,-204.65504273573023,1
Non-Veteran,Homosexual,-192.25695198374933,B,-83.21758531636588,-225.62534078270136,27.24602245769879,-16.785827150497177,183.3149730956919,-239.678628277093,0
No,Bisexual,136.63055797639632,E,-238.75991911556517,-135.6553874855876,-21.592517381816723,94.81681181640572,4.894661807679332,-171.99592489928344,1
Veteran,Other,31.45550174629004,A,-16.250070613571776,-65.83453846158245,63.051428831383724,-74.09741543347359,-1.532450300531767,19.82452405057966,0
Veteran,Other,26.04118466033946,E,-16.379077112354025,84.20088352652108,-4.968092763570123,169.01527558977762,81.2522203588964,-137.64740036523767,1
No,Homosexual,-0.3391132093100479,C,-25.846868913762037,-139.91016462296767,-75.52931602679975,-55.16890621698545,64.00867013796437,-30.61796631790008,1
Yes,Bisexual,-140.63655078944282,C,64.18833782236815,-75.3260510473446,-76.04050746292936,-7.771884539558477,-58.724662620526814,-28.344318095621162,1
Yes,Heterosexual,114.04200861560538,E,129.11006126988985,-44.94231782269759,-137.98828793701404,-50.29311260303856,-254.99408248015953,-118.36440330742472,0
No,Other,-113.57496619089915,C,-130.10081422506428,-119.88248705270684,30.411242002655275,-2.6511987749415686,-43.08745180392106,-49.18934488580209,0
Yes,Bisexual,7.643743359718302,E,8.047950999907057,14.0129888020008,-82.60706674890876,-70.4611750359455,-25.261216931160856,114.57698825704792,0
Non-Veteran,Bisexual,-139.07765602391916,B,142.52878414323413,45.49539969493113,-81.53535585350315,-5.526924934189916,100.8121627915811,-31.170929634051213,1
Yes,Homosexual,-91.82973917066964,B,-53.645059765456836,-82.05848192577379,47.819660493927515,2.3626054884928256,66.68158512695376,83.92524078637297,1
