AgeGroup,orientation,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
51-65,Homosexual,Mental,B,B,-93.67250550488382,-4.93186847513599,C,D,A,E,1.1159029587654885,E,66.1962215703753,0
18-25,Homosexual,Mental,D,D,-30.375484881498828,-111.56027951263665,E,E,E,C,-40.36517087329918,C,-64.1763616596943,1
51-65,Other,No,A,D,75.03530454274619,-113.77030849983565,A,C,D,C,-73.62368642340073,A,-9.949840657744916,0
18-25,Other,No,C,E,108.0623340802461,34.64534870807121,B,C,A,C,-58.00845121005621,C,-114.87483216664901,0
65+,Other,No,D,B,-11.409223585927549,13.253641002385372,B,B,E,A,25.489692860539172,C,-27.10600981196481,1
18-25,Bisexual,Both,E,A,89.0801920106592,118.90951393514884,A,E,B,A,-70.9023371509822,E,-144.99988499863053,1
18-25,Bisexual,Physical,D,B,-2.470541067718881,-13.524565855163317,A,D,A,B,93.41741652527513,E,26.46479970666254,0
51-65,Heterosexual,Physical,B,B,95.05578641689391,-113.32204475194534,B,A,C,B,-83.81625225461073,B,0.6345152164189788,1
18-25,Homosexual,Mental,D,D,52.91060911129723,61.025833583271805,A,A,A,E,116.34929239293466,B,-25.4364336639187,0
36-50,Other,Yes,A,C,57.389848087658514,-57.4551493963473,A,B,B,B,-33.405130248959324,B,189.83119082045448,0
26-35,Other,Both,D,B,-26.491482495521534,22.298973292190567,C,C,C,D,-25.304383910675842,A,127.03544909709467,0
18-25,Homosexual,None,E,A,-6.63194593031457,-10.334298373407506,B,D,C,A,235.9511298615268,D,162.19255473627766,1
65+,Homosexual,None,D,C,9.543080365756405,-73.30778335052864,A,B,C,D,61.506921384173275,E,61.3161106295597,0
26-35,Bisexual,Mental,A,C,-24.1574129781112,-109.32173024500884,D,C,C,C,-88.91872045321291,D,118.47135243304314,1
18-25,Heterosexual,No,D,E,-75.28333768322443,-136.23863776138367,B,B,A,E,178.51279359883057,C,-128.0387005844647,1
51-65,Other,Both,E,D,-5.641657410707966,-199.3835246739099,D,D,E,B,-214.69142525103214,A,124.2631877664923,0
51-65,Heterosexual,None,D,A,109.47929135897594,13.8489143306734,B,E,C,B,176.6739951583816,A,2.403862436016913,0
36-50,Other,Yes,A,C,5.8977188768518785,-68.03415102723113,D,D,C,D,42.364088963029474,D,5.514988075014937,0
36-50,Homosexual,Physical,E,C,-65.51251378773189,91.85534721655463,D,A,C,C,183.5252110326357,D,-58.594451647934406,0
26-35,Other,Physical,B,E,-51.42030701943392,-38.65742760847744,C,E,E,D,70.05214383527523,A,142.3798985106237,0
18-25,Bisexual,Physical,B,C,-59.40096877472967,-60.613711040035575,D,C,E,D,-90.7311210431446,E,64.68171177933277,0
36-50,Homosexual,Physical,D,E,-4.05520116953626,-207.25429129529053,C,B,A,A,7.509548350135797,A,75.42371575416392,1
65+,Homosexual,No,E,D,202.0794868046156,210.1659191352241,E,D,C,D,5.91843878382469,A,-82.19300383047077,0
51-65,Other,None,B,D,37.09700772907396,-22.81315376899974,C,E,B,E,-62.73583853924772,B,117.10303129094332,1
26-35,Heterosexual,Yes,D,A,203.77809528247974,46.32426960095296,B,B,C,D,28.718418061239987,D,178.10811973920968,1
36-50,Heterosexual,Physical,E,C,-24.39901275212144,196.53257338882764,E,E,C,A,-38.09005155644735,D,28.44769764143597,0
18-25,Homosexual,Mental,A,C,-92.293126475888,-64.54882826607172,E,B,A,C,-96.55190571116728,B,-181.3652218154833,0
51-65,Heterosexual,Physical,B,B,-192.82330882979178,49.44227780159829,D,E,C,B,61.48510478506557,E,-153.23885599370882,1
36-50,Other,No,D,A,-29.012042693894035,-61.75210069967035,B,E,C,A,-36.89934253337268,A,-26.698456597417202,1
26-35,Other,No,B,D,114.26359774652785,32.27854794693697,D,C,E,D,136.31662115979523,B,-61.11324935144859,0
51-65,Bisexual,Both,D,B,-51.82837077129574,102.84481715513365,C,B,D,E,-166.93382595128477,E,125.4192169600634,1
18-25,Bisexual,No,C,B,36.98324315631005,-1.4926913714226537,D,E,A,C,94.11021658411953,A,140.44678375071624,0
26-35,Heterosexual,Yes,B,B,171.22201199524724,45.896718426874344,B,A,E,E,-173.79013287807794,E,-114.35865931729454,0
65+,Bisexual,Yes,D,E,40.19398600896806,87.42072807184023,B,E,B,A,73.4834040267069,C,-173.86540484958758,0
18-25,Bisexual,Mental,D,C,-125.76853545731169,23.593968655561895,E,B,A,E,-46.498139267724234,B,-33.099062333757715,0
65+,Heterosexual,Mental,A,C,118.71475766538104,5.686662215577683,B,C,E,A,-161.89406006382887,E,0.3622818300379842,1
18-25,Heterosexual,Physical,B,D,-110.32510227340822,-25.77796460363782,E,D,B,D,-31.11083766254716,E,112.31917699042424,1
26-35,Bisexual,Yes,D,C,25.749709421260352,58.213904294296256,D,B,D,B,-80.17054409787877,C,-3.375720010988101,0
26-35,Homosexual,Yes,B,A,42.56738213194329,-74.87653043617736,C,D,C,E,-105.77374347722608,B,7.519443552056939,0
36-50,Bisexual,Both,C,D,125.89064564104379,59.8943224863254,A,C,C,A,208.6919254669275,B,-139.76826897821547,1
