civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Widowed,B,E,A,-112.23405311806846,84.86259080983916,-19.878850430735522,A,0
Married,B,E,C,-54.239759835390934,112.35944755009169,-76.72572277251062,D,1
Divorced,C,E,B,-62.03096470624643,65.88202114903261,-1.7150914095326537,C,0
Widowed,B,C,B,88.55836848006817,-110.76987416198429,115.21618793225645,C,0
Widowed,D,C,C,-30.60145557141131,-4.712953637582248,-107.97274019186128,D,1
Divorced,E,E,A,-4.013518376727034,-12.938765040839254,171.00520402631102,E,1
Single,C,E,A,56.53829453483791,-64.75819021688076,140.76099962436888,B,1
Widowed,C,E,A,-29.345757392739042,-178.76419329827124,100.68865007209331,C,0
Married,E,D,E,-56.145043709137354,-135.00457065939463,163.6529790818676,D,1
Widowed,C,D,D,-146.0830439673033,-40.55016122591092,15.11731387695906,A,1
Married,B,A,A,-152.56695718858626,-4.649356903983258,225.21368127670698,B,1
Widowed,A,E,E,34.74500018788673,-35.85371330543938,-126.93826349790301,A,1
Divorced,A,D,A,109.43299722761995,119.33633424376318,68.57970526124501,A,0
Divorced,D,E,D,-143.11643346913675,-51.05260597751338,63.146899794842525,E,0
Married,D,A,E,76.3202931936016,-33.57164979581874,26.833163213955192,B,1
Widowed,D,E,B,-135.12879559364436,3.1417009986243,-124.79932218525758,E,0
Married,B,E,E,-83.11855389820806,-116.71311268327649,-55.74714945035537,E,1
Single,C,D,E,46.15576643783443,73.62495994453089,-41.52111289450659,B,0
Divorced,B,A,A,67.96958400226963,-84.095413147432,-163.026110292002,A,1
Divorced,E,E,B,119.13916629128269,-17.082734822211812,-123.42353103701818,D,0
Single,C,C,B,10.845965910557588,39.34668508655622,-126.69208361535331,C,0
Divorced,B,E,B,-49.61854082819768,-29.862110803498982,-86.43850512721603,E,0
Married,C,D,B,28.14253327259395,-3.0358783820921103,-58.194563271190034,C,0
Divorced,B,C,E,4.042276970073147,-219.59791779674362,-98.53739700603069,E,0
Divorced,D,E,B,230.94511263000138,228.6556247352472,-211.31720926085316,A,1
Divorced,D,C,A,136.36316004735207,-114.49359631040421,-21.783052799521336,C,1
Widowed,B,E,D,-93.42811247194668,-38.32003797372982,-63.98911624910062,E,0
Widowed,D,D,B,-83.80475010248821,139.7600183946391,-223.37595436031634,B,1
Single,B,D,A,-159.81031120612548,-2.89249640826277,-101.26522700359133,D,0
Single,D,C,D,26.792933066409514,52.462829426743255,41.206382224035465,E,0
Married,A,D,E,69.84136626441429,108.95302491272751,-32.01015009227316,C,0
Married,B,D,D,-14.864065808318355,-127.79817104431999,-36.21398587625511,D,0
Divorced,D,E,E,59.08087787288164,55.271840268193294,22.347642546969727,B,1
Married,E,E,B,51.75453651255668,25.28677295907346,-5.962147844272268,C,0
Single,C,C,D,-98.02360327782705,-194.3282865511719,-52.59264005934855,A,0
Single,D,E,E,-215.53527512662058,-52.00360768366525,-144.8220917129505,B,0
Married,D,A,C,-45.57791482198471,-118.85581737426254,-260.40033442925017,A,0
Single,B,E,E,-156.6086442859436,60.41038234692856,146.34924776045233,E,0
Widowed,B,E,D,-45.3196543295345,47.091248636551406,-69.27194473485483,D,0
Single,E,C,D,-50.44728564278164,44.959134759261175,-53.60699615027803,B,0
Single,D,B,B,88.2285474430702,173.58031442301666,63.97772666927395,B,0
Divorced,E,C,C,79.4373857529361,121.01312482082503,116.74439318067611,E,0
Widowed,B,B,B,-248.2752010569913,-46.68117998678136,228.36971320878612,B,1
Married,B,C,D,-4.306680174736961,25.1689048957388,81.07694596470213,C,0
Widowed,A,B,C,-64.3087685317623,-84.05423451294902,-102.17227981132578,B,1
Single,C,D,D,163.0277419093324,16.699065372408185,-44.62255679987128,A,1
Widowed,A,B,C,70.04486829131386,130.75713198615813,67.90485070808217,B,1
Single,D,B,C,-74.9835386079987,52.39579304852491,67.9221389556503,E,0
Widowed,E,E,B,45.625585120095614,-48.67211550112911,-24.439744674268912,B,0
Married,D,D,D,-29.910669588946227,-62.87227751417006,-114.4931095044156,D,1
Married,C,A,E,-66.03625550508626,14.8482498223774,25.671090933440095,A,0
Divorced,E,E,B,48.6321867735882,74.63929542977048,-119.18979690855022,B,0
Single,B,A,A,-45.31739976354677,-36.35542861787802,36.83653484722386,D,0
Divorced,C,B,D,21.892919477765755,95.02372212283547,-19.715668428642655,E,0
Widowed,C,C,C,190.9127147236243,39.32295363200372,-96.38560189115908,D,1
Divorced,C,C,A,-90.11360808492454,127.95082859913789,320.820062832073,A,1
Married,B,D,A,-75.91638733853966,97.61961402705951,-116.8096713213806,A,1
Divorced,D,E,D,16.77557274995164,-1.5513945813080556,-48.66827967203108,B,0
Single,B,C,B,-105.36877124771684,-32.83539364387529,140.08013337835936,B,1
Widowed,E,C,A,43.53407120126678,-16.85252120125213,47.963637826029725,C,1
Widowed,C,A,C,-118.09204314548738,109.71257484074093,-38.91221734989067,B,0
Single,D,D,E,23.43018907965641,45.600355383405535,-106.54101720299663,A,1
Single,B,B,D,64.8540312514833,-195.7605435040163,-39.26408817802676,C,0
Married,A,E,D,-57.79759218942158,-18.003673661585566,34.63715332807675,C,1
Married,D,B,A,-234.74191505384846,-10.571455523365238,133.70241066898404,E,1
Widowed,A,C,D,-129.05705592324065,76.37978524037447,82.10549491062199,D,0
Married,D,D,A,-51.736074750231474,98.00584576576968,62.26494042528902,E,1
Married,A,C,C,-70.59660315287944,-181.62855826846155,-196.7695715306541,C,1
Widowed,D,B,C,-19.256992092568282,-24.187788859039962,150.65222765914774,D,1
Single,C,E,E,-76.69476036538462,40.876977187806304,39.29227328021206,C,1
Widowed,B,C,A,147.81722965605505,49.611824646897894,146.66869785256233,A,0
Single,D,A,C,16.622508566294716,-112.45045140932261,-131.35541890050501,C,0
Married,C,D,E,-68.23121944468224,-134.1027343868058,36.48156709796686,C,1
Divorced,B,D,C,83.99586223413091,-193.04305605441587,11.663669295306695,E,0
Married,E,C,C,-69.36154363283796,-48.08424658270275,-157.33238458758476,A,0
Married,E,D,E,179.157361056074,155.84173212010955,208.16772167391994,D,1
Single,C,C,A,-32.32150023503307,-9.563192328902668,16.675520109484804,D,0
Widowed,D,D,A,-96.60014615281042,-113.29292460488287,-43.31907240385048,A,0
Single,D,D,C,149.23903981616746,34.75305595263362,-27.071975767879458,A,1
Single,E,E,A,27.19541216151629,81.56944454255525,-9.040779296108619,E,1
Divorced,C,E,D,-74.32423730330622,5.268288284724876,-177.2886997370011,A,1
Divorced,B,C,E,119.29596869302361,-94.65806188587817,101.65797036001871,E,1
Married,A,D,E,-57.682096320939515,-92.90999665521339,-69.81073179616146,B,1
Single,A,A,C,18.270382148732793,-119.67455658607864,-67.13935878787134,A,1
Married,E,B,D,16.03618770769914,-17.49854758045021,3.387299395025493,A,1
Widowed,A,D,C,-92.86998191373735,45.51486847121941,-111.51871465475054,A,1
Widowed,A,B,E,10.30991637821015,-46.19059745769757,107.35801715204924,B,0
Widowed,E,D,C,88.64392142094259,76.77039398178567,-55.002474903908336,E,1
Single,E,D,C,94.90874689045917,-27.9469401774585,-99.96845586095677,C,0
Divorced,B,B,E,-128.97668187448957,-61.78207326643745,-32.237540814613055,D,0
