Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Male,E,151.03620200352393,-88.64970705253279,-148.35976588291584,80.68385133690849,C,B,-188.31419302571913,91.63495953418288,B,-85.88087111837467,51.17122214361225,153.9135626558622,B,C,0
Male,A,134.63122158642182,-25.43395000941939,123.47788323091176,-75.4127828935855,E,B,94.83352816375718,-8.993364465217715,B,-38.51601984225454,14.7823203468019,-197.86814595373056,A,E,0
M,E,-54.178463398303776,52.527461923629005,33.63296042927683,-43.95318951508595,D,A,0.06972610178992811,42.95802926697792,A,-71.79829550233585,-183.76655139296446,251.6740277786959,E,C,0
Non-binary,C,128.11309231049205,1.8322206184382999,85.90948413847208,113.04278494096933,A,A,-52.998772990313995,-18.88592337736999,E,33.26160682059552,36.788794911471456,-151.62684635600775,A,B,1
Female,E,-4.28754980920629,-43.12045061207771,117.56577720009953,-17.780496651662286,E,C,59.722316010174424,141.5048913625255,A,129.4063506078136,0.5359578746763919,-6.042613803167933,A,E,0
Female,C,-17.129606053127915,59.70168174775381,-80.31288051783619,-41.39948705612861,B,B,-202.86911722893964,155.2307995094867,B,-128.71670366693655,27.092046270580354,163.97640039812083,D,C,1
Other,B,15.019721436309224,32.61082451372939,31.79171818365159,6.195969197453173,E,E,-87.90175217806664,44.931406819497504,D,7.75309061008748,53.25669402792519,-2.627590915034303,B,B,0
Other,E,-209.7578045765891,6.433044551564452,103.67556040883237,-38.02941592008841,E,E,-98.50517835031347,46.957428636781664,B,-124.63773121479215,57.90943618424439,22.933858378861068,E,D,0
Female,C,128.5724640612218,18.572686347772198,-54.7365499041309,-32.42917209754401,B,C,-118.08160238985444,-101.12284339459447,E,38.62446091178413,26.147805748312397,47.93340110529348,B,E,1
F,D,-145.55224804402192,-103.44088512416346,-92.01557749470172,-129.4017679849916,C,A,12.000869494175978,-11.334535086958992,D,35.42561372438479,-14.228111323811007,-174.6465952155951,A,C,1
Non-binary,B,-147.35113682085412,-132.6007175813486,14.923967297291668,-105.99695379153155,D,C,-205.36012573936478,44.18641373685995,A,74.47879198965882,-44.88328448044218,-35.02064965509398,C,A,0
M,A,-9.752584832735668,79.59432933044471,-207.80809669158145,-42.13866455620233,C,D,-225.29859830197844,7.491320036678255,A,179.52737317986654,-26.916669986551593,-72.87775798819321,E,D,1
F,A,-121.24976131637868,112.25526526102185,61.3147284183558,-334.93168093313,E,B,-35.061620726273524,-77.05739013519616,D,47.85538906783337,-114.67901384158563,-166.60957209400874,E,B,0
F,A,16.091775241392767,-52.18063629496667,92.31122916252055,5.975841842720377,E,E,-20.51620237906658,-112.554332987261,D,86.46659377996457,-38.86658633140996,6.986998386133257,E,A,1
M,C,-65.094745668461,-52.489415561965004,-49.22413528922035,-76.69999154880757,B,B,63.325887818812035,24.766255235682554,B,-2.7941714272823135,-11.171937351819897,31.417398839721773,E,E,1
Male,B,-73.43154135903912,-70.57454298161392,-45.13526242567955,-4.671876699571566,C,B,-73.6795378379562,-67.98745875556101,A,-13.400552416533912,158.46027438783972,-167.88144636097653,B,D,1
M,A,179.08978381147506,-2.4804747043940254,91.25710339422265,239.06391116006282,E,C,-73.63610118135098,22.6337238803965,B,-51.63465829659189,47.3975585527203,28.786363659479818,E,E,1
M,A,-176.68260818091085,-90.87951020515015,-221.7336899540331,4.631465531306808,E,A,-44.88078637771952,155.69191578744346,C,56.663123637094415,-12.708663390854097,-20.145563380408728,E,C,0
M,C,-60.941339544012315,37.58352999574214,-173.49526318503894,-38.285433015354805,D,B,-106.43491924306316,-53.69981437139073,A,199.43523585871543,12.868173861487076,-5.403071038590532,D,B,1
Other,D,-37.215446022936085,30.890654276494693,49.51919163100269,-53.9911767235454,C,E,-21.875265364180194,56.71659390274559,E,-131.64025794609282,-110.32429449592563,49.45814746752391,E,D,0
Other,A,-68.0475590981611,-105.61446183949954,103.97233143961608,103.04067341539994,E,D,-20.44558916185312,45.58208589029012,C,58.6039649664508,-57.10774640552546,139.13317933045104,C,D,1
M,E,-144.40852680959463,-55.908694422891344,22.8388055392625,-7.014117937562035,A,E,-73.23947485180666,-27.969599208897023,E,87.81026793213523,-148.92188388167065,28.848090067337072,B,A,0
Female,E,64.9196794741947,96.60545663205758,-21.50015649440906,25.517874901649222,C,E,-74.6135710850932,55.953637967943514,B,-50.49504608706917,9.502854316890605,-67.27931039196754,E,B,1
F,B,-49.49125308492294,-83.21345980130211,-10.928089905880551,99.84787201470625,E,E,244.43031779117575,-87.72237350827811,B,-151.94554984147894,-45.72946936226895,-0.7419190925356336,C,E,1
M,C,6.450828683878404,-142.3705713595552,-47.95660400185819,68.67007175584632,E,C,-17.7729264468762,-1.438553394012799,E,-26.05173030229408,-23.42430251279122,-175.30831919620218,B,B,0
Other,E,180.24136209091046,-17.210814134315257,43.10457695905291,-11.727453281191773,C,C,13.363558907449235,-103.75024654526625,E,52.94440982414718,97.90644175931087,-38.73711698519979,C,D,1
Other,A,54.30086647121484,34.413180304684396,13.666902800425273,-39.49391596733821,D,A,-27.06020933421922,215.98817392161496,D,-104.54915522814035,102.28775668201958,42.260762813152915,B,E,1
Male,A,253.1594525641344,-13.519509303277289,-88.74204000855343,129.68451412647929,B,C,82.28442165869822,7.42011991208847,A,62.440585187910536,210.69546206672533,-46.05175685358315,A,E,1
Non-binary,B,-67.977126188648,-71.67963312464785,-56.52635425349675,-79.04752375883581,C,E,69.48731216641899,-25.745318119488214,B,118.59399830926279,30.920087265796653,81.76530217900778,B,D,0
F,C,143.7165145691127,-228.66928114507164,95.10445467138861,81.838560904489,D,A,-7.493821889574197,48.14592708895869,E,47.05445262751992,22.45942466533397,36.00886899816392,A,C,0
Female,E,-25.480102116778337,-11.907256820249568,-11.478330787554949,208.77444712322432,C,E,139.01725808753847,-88.28658775745389,E,42.16141478169392,-143.28698923440223,120.40323485885567,C,C,1
Non-binary,C,-38.75795811688494,204.64322453597595,-33.76107510266716,45.2395221123973,E,A,25.960981113817343,-54.18435786483632,C,-205.721867393045,-96.25500283087185,-224.1326847115592,D,E,1
F,C,181.5909258113175,183.2612496949445,-126.14441011598609,-11.883116568716089,A,E,230.27962824155313,-110.79864717965881,D,-34.909754272318985,138.6460161959409,23.10660291157565,B,C,1
M,A,128.48399674863106,-270.33663166194907,-74.01967534136654,86.69963858041994,B,E,144.97599142576667,-5.951109271117577,A,-185.9671487852882,71.26435147458665,99.84196014516075,B,E,0
M,D,-46.124761184476945,-4.0757794192511465,9.173286604746396,41.50916260565492,D,E,-100.11734243366331,-97.87111925173465,D,-210.27502345691173,-159.81406337394247,-80.81704476261336,D,C,0
M,E,-144.6480351223772,36.85381695242773,118.35122429869563,-100.1294588595826,C,D,-110.48843552894765,28.693241934678454,D,-88.50021878331698,154.170564528415,18.52132397291547,A,D,1
M,E,16.21530062892474,-49.628924011959654,23.903826692002212,-149.1670788648782,E,B,78.32398991846449,39.05157549209897,E,0.5388429072481379,-33.163786889221555,8.525376038001193,C,C,1
Female,E,-57.235693926577135,-39.34367476006544,17.075071935000565,95.72049369887912,A,A,-34.38444133129818,-135.88482912749845,A,120.88208468818029,-19.268974947721677,-48.57309132235152,C,A,0
F,D,38.6370643947366,-11.147785467628255,156.11027619986814,24.566051015702975,A,A,-8.260334348105784,-17.07992509490353,C,-106.36692329076641,34.260379902174385,3.3882820083015366,B,A,0
Female,D,271.5742017139039,100.27349076799486,-89.71956194341662,-112.8215457031762,E,C,-14.167930489518188,-38.71068540414654,E,-52.36015023090784,76.04462875140979,15.556350507093237,C,A,1
