SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,C,-66.04602242384728,A,18.05285691558946,-34.440240752395916,B,40.68239060635717,E,0.937724746802871,103.63481693099594,E,D,A,D,-19.11568089629351,-141.95863476851883,140.7243573647004,0
Non-binary,C,-31.966970413808927,A,75.22338089745342,99.46166125730618,A,-16.339034797885915,E,-58.84227549564627,107.85948030785684,D,B,A,D,67.34314699422468,137.37773348578028,84.063377630577,0
Non-binary,A,23.8206645667071,D,-154.3273465435409,75.95469985853724,D,-21.53098460449569,C,-5.577431691073108,79.01358080887132,E,E,D,B,5.818313663647604,-84.7691217088156,45.44861921025606,1
Male,B,-4.929191646208677,C,-80.28272727515363,-10.883954638948978,E,99.79765289588723,A,-103.23015792630297,180.5448462301477,D,D,B,C,54.89097888202441,11.913900811617454,164.43081295778458,0
Female,C,-33.012157010100374,D,76.96581102512025,-219.03447661575078,E,-148.0334234614594,C,-54.00453880777949,2.43309391043598,B,D,E,D,196.07407580087417,-52.242141654143026,58.94811993557989,0
Male,D,132.49389683595015,C,-48.2055712372912,-151.72520292225354,B,83.83147606116424,A,-52.54969930003749,21.4105663884603,E,B,A,E,-67.95764000611993,-51.11232275029067,-54.45649490490385,1
F,D,-13.55580465755805,E,132.66856472259093,-45.08141440731614,B,-93.37877640052473,E,76.95500687750717,-39.625867491971675,D,C,E,D,37.0502641540787,-108.99665830610374,-40.2651127042756,1
M,D,55.610096516508136,C,-19.991043144001758,-62.10222048595382,A,283.3973379972748,C,156.3683833455102,-6.385760750411321,A,B,B,E,45.02853191758969,-181.75931534222732,-100.30151761948922,0
Male,E,34.99810365637463,A,104.64211153459473,-90.34066278103583,B,-72.36513187922232,C,52.24316645008462,99.80581351345391,E,A,A,D,240.3693529350105,-43.29001285815781,-155.58952566040546,1
Other,C,-184.63162355337542,A,-7.585732647043029,30.168075378174052,A,-125.5455165177282,C,-69.76195367206712,68.94954242828707,E,E,E,B,81.49552572255277,26.550724686538256,27.45257267412513,0
Female,C,101.19229481852886,C,12.936382504436098,-163.89297376168918,E,-33.25940213898554,C,-64.12649119638931,-29.164706119843586,B,B,E,C,36.721825080861315,87.29992784329654,61.67138842591835,1
Non-binary,A,-38.668711422059175,D,-109.36415172929486,-58.24530056912651,B,100.21448152326198,A,-152.91254783881035,-123.97080743227265,E,A,E,A,-16.333324229811907,67.62045402263,-19.289064538807636,1
M,A,-18.11523367626533,B,-117.46267821287393,-48.14574831995461,B,-110.93504510604129,A,-3.6642547151384917,-46.49507584626229,E,B,E,C,125.87200730558313,142.93264076555332,-170.41246169848498,1
Female,B,-37.949025895202304,D,20.54290722944069,-56.843820464801134,E,-73.57944879725986,B,34.753546655874956,171.2575190436455,A,D,E,C,41.66831458863924,-38.63276629428036,145.34813456486398,1
Other,D,64.28636489248876,A,51.585045829122734,-2.9562290098148334,D,52.84875695361293,E,150.5391571284909,-81.03571539575265,D,C,D,C,58.486965737238016,-115.18136311302074,-63.59459563653231,0
Other,A,-52.47723047777156,C,172.0324222056719,-110.98591087390179,D,69.3337973448124,D,58.335316810382665,-4.344886703187701,C,C,A,A,-11.00797837809243,148.14976140489082,107.25016891767929,1
Male,D,78.03617532925101,C,30.990304759966413,-164.70805380576047,A,12.11267118624937,C,22.800172764913064,140.2198524201926,A,E,B,D,-132.57933973602442,-37.18000725423895,161.79061715333077,1
Female,D,69.4256372845751,A,-94.21669717572898,-46.20460410332599,D,161.46200638108388,B,-147.95679536705873,-46.430384335461405,B,C,D,D,96.71459716908115,8.726027758570378,83.07139235179498,1
