Age,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
81,Other,A,B,C,E,-107.17520421621313,D,24.12503996657808,D,5.8294370041363885,1
47,Hispanic,D,A,A,B,-38.400528127034356,C,158.00406255576144,E,-112.32581142327909,0
74,White,B,D,D,D,92.65644015772082,A,-53.985612523200885,B,56.0432972616941,0
36,Hispanic,D,E,D,B,65.9265884980597,C,-82.01693328198807,B,-1.2220125322429176,1
63,Black,D,E,A,B,-77.10540079181621,C,37.21999388241557,A,1.5382271100578475,0
43,Black,D,A,D,C,-145.6750737781377,C,-195.03446530522584,E,41.38910267080904,0
92,African American,C,C,B,C,3.688048492141748,E,-81.65268263320024,C,84.94176592154058,1
34,Asian,A,A,C,C,79.45707875572799,D,124.078838544316,D,-56.84628547972195,0
54,White,A,E,A,E,-7.914925868428913,E,-44.130740992332015,C,-52.223821444835124,0
97,African American,E,B,C,B,-41.462507361964704,E,-125.31145804798054,D,43.01544209998995,0
62,White,B,D,B,B,29.90305884206145,C,-104.55648359165902,C,101.20208143921612,0
48,African American,B,D,D,E,-89.26107045850836,B,92.6200184968289,D,23.814555843656894,0
87,Hispanic,C,C,C,D,137.22379688459284,E,-94.33630958550395,E,76.26635765984709,0
70,African American,C,B,D,C,-77.73952412998571,B,-60.867978053776284,D,-30.788468299257033,0
89,Black,C,B,A,D,18.60753634015631,B,-44.19676321422017,D,-41.45637734185988,1
29,African American,C,D,B,A,-24.24499184432993,A,128.72244204112891,C,-42.72246332277966,0
76,Black,B,C,B,C,64.94510490487775,B,-138.66206608186673,E,129.57536587206658,1
20,Black,D,B,D,C,-20.315901436559727,A,8.860201707215023,D,90.59427874650736,1
66,White,B,A,E,C,-59.92223553539332,A,-14.834389707774731,B,-78.31126355652367,1
58,Hispanic,E,C,E,B,0.5798118925307266,A,3.5154261555978006,C,107.29644008937443,1
82,Asian,B,E,A,A,157.3750588887482,A,142.9544447935617,D,-10.94659610090329,0
89,African American,B,E,D,D,-148.74769000886297,C,-176.67436812054464,B,42.89500732259842,0
91,Other,A,A,C,A,19.671403460846918,D,-57.63877496271259,C,194.7017512927456,0
82,Hispanic,E,D,A,D,-46.47393923050305,B,-191.45863683321642,E,60.05805195863968,0
41,African American,E,B,B,B,-119.11165464797209,E,-158.1338374576064,B,-95.50497384236891,0
67,White,E,B,C,A,-201.14257964841204,E,-23.629459122014993,D,49.59918681606846,0
28,Black,D,B,B,C,86.4286868414613,C,-117.8069847926891,E,161.34365903783885,0
34,African American,E,A,D,D,74.05738048996075,B,-12.877782180755275,B,112.14970681243388,1
97,Other,B,E,D,D,51.36467248503479,B,-193.20791454155872,C,-11.855976523694151,0
69,Other,A,E,E,E,-199.68937633820482,B,27.898913397579513,A,79.10561579669665,1
79,White,E,E,B,C,140.68204138283758,E,-76.96939217701679,A,89.18368729495253,1
79,Black,A,E,D,A,-116.19720833609206,B,139.8889277429346,D,220.1963734437737,0
35,Asian,C,B,D,A,149.50236081312772,A,-29.15954764914119,C,-47.74090070389262,1
55,Black,C,E,D,A,120.75184781054236,B,16.198534997554194,C,65.75996278970219,0
80,White,A,E,E,A,-23.27029753113246,D,158.4549866666042,A,-164.4309327750169,0
62,Other,A,C,B,A,124.40788105825635,A,43.1816891519578,E,86.02366495463835,0
92,White,E,B,C,A,-92.32063034578903,D,-52.70420965453306,A,-71.27780066361306,1
98,Other,B,A,D,D,31.82331398461537,B,106.77829087529165,D,24.381266800497198,1
67,Hispanic,A,A,B,C,-94.29750644390816,C,-196.2010750232102,A,203.35474503609268,0
28,White,A,C,D,E,-116.02091992400018,A,39.63357463831524,A,67.46223668310822,0
18,Asian,C,D,C,E,-114.52783372328155,B,-111.35737166451688,D,-48.38145054427508,0
97,White,A,A,A,C,72.16195672170383,C,-19.39115472550715,B,69.76474105032045,0
78,African American,C,A,A,D,232.08497716969384,D,114.89903822497807,C,78.53915790386061,0
77,Asian,E,C,E,D,-155.29359613952823,B,-215.8307626433167,D,-135.81216850914058,1
95,White,D,E,B,D,-67.37306277050932,A,-62.30208001989559,B,62.333745025069675,0
83,Hispanic,C,B,A,E,-174.70192113449318,B,4.895314016549773,A,74.242541830843,1
71,White,D,D,D,A,40.51201301091276,B,100.41987105726405,E,-25.02986791582312,0
83,African American,D,C,A,E,102.04264054614309,E,12.476704341075378,A,-63.27954336498875,0
97,Other,B,E,E,B,-0.5535453184962659,D,-85.03691562285582,B,-17.310776458182577,0
53,Hispanic,E,C,C,C,55.91309644415998,C,145.3402756160467,A,-100.76420107767301,0
74,Asian,A,B,D,A,56.69524553204119,E,-47.355182949693656,A,132.7577876588651,1
72,Black,D,C,E,D,75.60101166509132,A,-159.36690141078273,A,92.9309842780752,0
93,Other,B,B,C,B,71.70575553571919,C,-116.15520917843394,B,66.05642826977186,0
33,African American,B,D,C,E,-33.04199087883876,B,107.94475720700254,C,-14.774766873222179,0
88,Black,E,C,C,C,53.69545523415563,D,-58.48261351089767,D,45.20340898302732,0
31,African American,C,E,A,D,41.625142017303446,A,-280.6710635474053,E,-134.0125046405956,0
21,White,B,D,D,C,17.69843994259913,D,80.82634427751331,D,-45.086839182797334,1
99,African American,B,E,D,C,-50.82818691686012,E,-87.20931386076703,B,-41.14300893674462,0
37,Asian,D,C,D,A,28.08727908332717,E,-93.9371395059558,B,-85.94466630067251,0
94,African American,B,C,E,A,-178.0381106215633,A,16.81947218091934,C,-114.27793249544689,0
