Nationality,age,military,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Germany,72,Veteran,Buddhist,-77.46806928408358,E,D,D,45.71966451714771,A,-14.480922250673439,-73.7035489895255,D,0
Mexico,56,Veteran,Muslim,194.18687619050115,B,D,E,-10.503041389461872,E,-77.96258807672048,178.5443657160662,D,1
China,68,No,Buddhist,-1.7670144073784284,B,A,B,124.8215335551035,A,-1.1293333304939626,26.953792298601996,D,0
India,35,Veteran,Christian,56.177650420450554,E,B,E,142.70627609747672,A,-32.16745697297268,-34.413219942641945,D,0
India,76,Yes,Jewish,50.613023086646166,D,A,C,-13.831376131441402,E,-48.9626971837079,-141.2758685443957,C,1
Germany,44,No,Hindu,-96.24007963284724,D,C,A,0.4087721480281718,A,121.11180089929464,-42.48497158546491,E,0
Mexico,59,Veteran,Christian,63.13029275150549,A,B,E,57.83851146900288,A,-130.55255785163084,31.212701652033743,C,0
Other,22,No,Buddhist,-185.33037318989398,D,C,A,82.3484608385565,E,-30.976248586399898,95.92898303961994,B,0
China,36,Veteran,None,82.82749661442375,B,D,E,-194.32144966576757,E,44.60513282731826,-32.637738504485355,D,1
Other,54,Non-Veteran,None,5.876643654504325,B,C,B,18.591255017542004,C,132.76304247652598,-118.65738130223149,C,0
Mexico,75,Non-Veteran,Christian,121.99046670595546,A,A,A,76.15013035624564,B,150.28258382930383,-114.98726032260545,E,0
UK,45,Yes,Jewish,-80.23167933707542,B,B,A,49.881091597739605,D,-106.04409926872201,87.3430433164909,C,1
Other,79,Non-Veteran,Hindu,-14.239805318245342,E,D,A,-8.88948994813173,A,-184.22200486592365,-167.98222050027263,E,1
China,26,Veteran,None,96.9584672285151,A,D,B,141.76340484954326,E,-115.38459405627324,83.21301670935827,C,0
Germany,54,Yes,Buddhist,204.87279850266975,D,A,A,-244.87491648935023,D,82.18268562365994,-54.83933868336496,A,0
UK,41,No,None,4.60147179911063,D,D,B,-9.58238477393915,D,10.9617780835273,-79.22604055341064,D,0
Other,24,Veteran,Muslim,138.9502236462884,A,A,B,71.23013489765448,B,84.29620498742057,47.422404288888906,B,1
Germany,46,No,Christian,203.23868541682907,E,A,A,-33.80471741816938,B,-115.26353765024855,60.76418079586039,D,0
Brazil,48,Veteran,None,12.018390208280282,E,D,E,11.221285842251666,D,26.39984634401592,40.8650119131283,A,0
China,71,Yes,None,89.50236996199035,C,B,E,-104.30518134838258,A,84.79532946401088,108.82696507760679,A,0
Mexico,50,Non-Veteran,None,6.627004862057988,A,D,B,-166.54730261573854,D,122.57395662341067,182.6746261195886,E,0
Germany,26,Veteran,Muslim,-20.054470928733714,C,B,B,253.16251074669634,A,40.883693859275425,-69.43499065909003,C,0
India,60,Veteran,Jewish,-61.728319528669005,B,C,A,-10.81057262574078,E,14.123794636200929,52.250074662338164,C,1
Other,40,Non-Veteran,None,-82.03475287952848,D,A,D,-22.183804263685257,A,-67.12194555644187,-38.74022105977432,E,1
