sexual_orientation,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Heterosexual,Married,C,D,B,-137.99599158002948,-158.47448824453167,102.28387279403668,-33.51314057339755,B,3.571764770277842,-163.1266638040718,C,B,C,C,0
Other,Married,E,A,C,112.35598036056035,108.87059312584367,-20.56386770772424,-151.11131633212904,C,22.991866966791935,-123.65936005792877,A,C,B,E,0
Other,Widowed,E,E,A,10.45332327175582,-220.40792960673699,104.4525152774356,-76.33253760421331,B,-153.78482319332636,261.81019420976213,C,E,E,E,0
Bisexual,Divorced,C,E,E,72.25116353091487,36.90325879748518,-111.53421480739046,-43.21209654101836,D,59.98594841497403,-171.11886240388765,B,D,B,E,1
Heterosexual,Single,B,A,B,-33.1010003901273,-167.02602174716614,97.91079679145341,5.051018738150248,C,33.303072703106146,-18.27966595266661,A,A,C,D,0
Other,Divorced,B,E,E,55.25095705259262,-90.9580125175878,241.09312234174865,44.51185602413944,B,-152.34105731488222,76.27130120496803,A,E,E,B,1
Bisexual,Married,A,C,B,217.28505328659114,56.27777457993231,20.632601740552204,0.5890605744802919,E,15.347160552674374,-186.29164935767878,B,B,D,B,0
Bisexual,Single,C,D,E,117.92888432120708,150.259953254717,92.10855128062133,150.9621074738915,B,-19.15635626429733,-4.313570532422119,B,D,E,D,0
Bisexual,Divorced,C,C,A,-47.816596208858925,6.888516241234161,72.96751772619348,-134.82581791707017,A,-57.87404723602487,97.4451927568508,C,D,B,E,0
Other,Widowed,D,A,D,-144.79693284402316,-105.88057586863984,58.717037161342745,4.993521177074529,B,-20.586339998976158,104.62642334033276,A,A,B,A,0
Other,Widowed,B,A,A,33.217030810725554,160.5476489374321,3.321136814524994,11.32952610235549,D,-68.54690215149098,-21.514965129258503,C,E,A,B,0
Heterosexual,Single,A,E,B,-196.02900580575607,3.1671006441282423,-25.365285591247204,16.867059909027557,C,97.11480945959661,159.8368309850479,C,B,D,B,1
Other,Single,B,D,D,105.15218377320326,-30.412759021334075,-2.359038993795347,65.22541531751031,B,97.53252076723238,183.32664835823996,E,D,C,A,0
Bisexual,Widowed,B,B,D,50.50403081425794,96.14890154574533,20.72383427476669,-35.77535408162027,C,50.82995588776447,-72.40332252208253,D,B,D,D,1
Heterosexual,Widowed,B,D,B,-45.415880685200534,-38.58094206765447,-74.45906227304135,-66.6033511026412,A,-146.69171934907038,-129.6683265524585,C,B,B,B,0
Bisexual,Married,A,D,A,56.79662928882428,-66.73578545999558,133.5846047949723,-179.39565834407856,B,-59.06688933347037,3.3433402506509466,B,D,A,B,0
Bisexual,Widowed,E,B,D,-0.9789607626870866,21.455278339187693,44.58060199820281,-30.718345321303715,A,-69.5562544633278,-40.496843195081105,C,E,D,E,0
Bisexual,Married,E,E,E,104.82889410336252,-124.87666876074744,30.839533327120815,22.950998496568953,C,-94.68462682831695,68.81499553475828,E,E,A,C,0
Heterosexual,Married,A,C,E,87.16442464288572,-8.976148630583197,126.67123235309914,-125.5667794864325,D,84.78829040439861,-17.96280490911501,B,B,E,B,0
Homosexual,Married,E,E,B,5.51490593434726,55.709720380179505,-122.46809731150424,-53.16054795249661,C,74.67993025954162,-182.17001611011105,E,A,B,A,1
Other,Widowed,C,C,E,71.17974696229761,169.80519439045872,-128.8730741549066,53.6385305108835,C,-94.23305432910253,-120.80615263502135,E,A,E,D,0
