Nationality,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Germany,Non-Veteran,E,E,C,-35.408853034385004,-65.17789036074915,D,B,A,-62.67018080069573,0
Other,Non-Veteran,B,B,C,-223.24737606932752,62.54358259133226,D,B,D,-42.52791026343722,1
Brazil,Yes,D,D,A,43.41406237444414,-154.19354698121677,B,C,E,43.52448783432227,0
China,Non-Veteran,B,E,B,-19.302415914697608,-21.119418668030054,D,B,C,87.42156029319833,0
China,Veteran,C,B,B,108.18715700282439,-208.89202140692643,D,D,C,-70.54087434867282,1
US,Non-Veteran,A,B,D,196.3161771924985,54.37226588170806,B,C,B,-57.475762886495765,1
China,Yes,E,E,C,-40.32200446136244,295.5285517720236,E,B,C,25.68241044677742,1
US,Non-Veteran,B,C,B,-3.558211208218625,4.265550929505807,B,B,B,-65.7982733917485,1
Mexico,No,B,A,E,-74.97446248599849,100.62954684903838,E,E,A,-28.276595142566535,1
Brazil,Veteran,D,E,D,-161.11588559215159,66.44859502236136,C,E,B,-226.81711294428908,1
Germany,Non-Veteran,D,E,E,-138.29998590476063,-12.448892147678228,E,E,B,-128.81262345315076,0
US,Veteran,E,E,D,29.719607914934144,113.36692330869602,E,C,D,-64.12067037672287,1
Germany,Veteran,C,D,E,86.68499053604549,11.750381966541342,B,E,B,-28.020608747591158,1
Germany,Veteran,E,D,A,311.21647776108614,20.6022583905901,C,B,D,-51.50342080729197,0
Brazil,Yes,E,D,A,65.28319433809682,-122.8617065925289,E,A,C,140.50229927598886,0
Other,Veteran,A,D,A,261.0587054695108,49.308614585080356,D,C,A,228.39332758756817,1
India,Non-Veteran,D,B,D,-21.874975411177317,-65.08977054302521,C,A,D,118.52419118554747,1
Mexico,No,A,B,E,-41.49400848676797,33.54103903788051,A,C,A,-112.68495152230345,0
Other,Veteran,C,B,A,-173.36718263172094,-33.37644818769567,C,D,B,-121.89017849431976,1
Brazil,No,B,C,D,6.340448728583203,-24.10075149707282,A,C,E,7.013073096619629,1
Brazil,Non-Veteran,A,B,B,10.47037760947573,42.45098921814352,B,B,B,236.79448564300793,1
UK,No,A,D,B,122.61249256202957,76.60129208267635,B,E,B,8.402966208778452,0
Mexico,No,D,A,B,-108.33783606289427,-192.65555884406896,D,D,C,202.9990396389171,0
Mexico,No,A,A,D,-105.09275770648856,-263.43246364612185,E,C,A,119.74176207894338,0
Mexico,Non-Veteran,D,D,A,142.43748301732495,-160.8728969090141,B,E,D,89.18486149588476,1
China,Non-Veteran,B,B,C,-64.00843824902175,56.148999772611994,C,C,A,-6.50737510099806,1
