age_group,AGE,Gender,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
51-65,85,F,Heterosexual,40.69298722819875,134.17285876772672,18.770472325935735,-13.618329258135638,A,B,30.4122789777067,E,E,-91.97491071734821,0
51-65,24,Male,Other,-120.34349680785417,-239.05759267242718,-21.056808370426463,-4.262042155883399,A,E,187.4668737412236,D,A,-101.2452801324061,1
36-50,31,Male,Heterosexual,58.41782744706951,-197.2617070271193,-170.2868377681527,-76.45347561053347,A,D,7.91330572046928,E,C,27.765998092089294,0
18-25,99,Non-binary,Heterosexual,-62.87648485137499,94.94993929386706,-5.137720723061708,-86.87755438503561,E,C,79.36343209642791,C,B,174.366469459571,1
26-35,58,Female,Bisexual,17.103019697904074,-65.03034924156795,-35.858725582131754,-26.34192110978685,C,E,68.90698520526634,B,E,47.55787366770928,1
65+,88,Male,Bisexual,-3.1550715740791664,147.30224077222755,-218.43052551016632,49.82599203715921,A,A,-107.10651178460371,C,A,39.51825957865657,1
51-65,59,M,Homosexual,28.535912908803496,41.992105339755085,10.370378253249445,-17.638149419020017,A,B,-202.21345876789294,A,B,68.23863176964633,0
65+,82,M,Other,-41.614107080460656,113.29202133796656,24.1572548323968,41.84317415257673,C,A,-3.6923780665462367,C,C,129.5865081704944,0
18-25,87,Non-binary,Homosexual,165.46499479119183,-11.70742376506447,-9.332666697700347,157.38894919302686,C,E,-47.941129301345015,D,C,50.762790701961165,1
51-65,46,F,Bisexual,-17.248029913224332,43.80662704416284,30.08632190900794,169.4967398362854,D,E,-119.71272554906325,E,D,35.68686111803926,1
18-25,62,Female,Homosexual,-100.25242317927182,72.352329896658,129.07546668632278,19.050475234962658,B,D,-124.69271003909621,B,A,149.5219274432316,1
51-65,74,Other,Heterosexual,-243.39535483744362,6.869974189999444,-19.209570297076887,71.58142599493704,E,B,-153.47992293297287,E,D,-94.50658358468552,1
26-35,75,M,Bisexual,46.84307101698029,40.7532894938952,50.88333602584177,44.217291429242124,B,D,105.81572163125048,B,A,179.79814349649575,1
36-50,54,M,Bisexual,83.66291970333475,-11.814156088343852,48.61861035091314,-201.08057841075433,E,A,-82.47444190586687,B,C,-138.89172116789882,0
65+,61,M,Heterosexual,55.523664700942746,-102.34081838922818,-110.96144674351093,23.17732894955604,E,B,111.13058174778962,E,C,-82.04895759240961,1
18-25,33,Male,Bisexual,-58.62561691968733,-56.61993598481592,-36.63892810932911,-51.21097537078486,D,B,145.74004913336003,C,C,-15.97959660063475,0
26-35,52,F,Homosexual,-83.97482983032877,52.39349250486819,80.71432063889212,-14.422665195844871,D,D,113.82508052338977,E,E,-102.76939450487355,1
65+,70,Male,Heterosexual,0.3658141430839017,3.19433652670081,95.05340007615288,-137.3647758765386,D,A,-171.41551645990586,C,D,97.7446075082276,0
36-50,76,Other,Bisexual,-10.713814773873295,-138.48367223188575,-30.648169225063565,38.17650561878206,D,E,28.50139482680995,C,E,46.304543967143154,0
65+,27,F,Other,-106.61012160929539,-17.790032085716554,124.6359286058355,55.02316090893624,D,C,-76.14109169098201,C,A,14.456594117038021,1
18-25,84,Other,Homosexual,113.90214110045814,55.34470333830237,-32.8525754063577,125.73126196280712,C,D,92.25731217477117,C,A,68.63792208994303,0
65+,26,M,Homosexual,52.17078863934985,16.657810680922893,79.92233654763834,-150.08410842792478,C,B,-18.62215278408417,D,D,50.42303987806959,0
51-65,21,Non-binary,Other,141.61300517349912,-91.73459755098183,154.5604439789898,107.0648346684855,A,A,8.046106062335076,C,B,121.60856084454824,0
26-35,73,M,Other,-95.47312093237053,98.53723305242967,64.23703322134455,-94.58745873384628,E,C,-3.098735014914668,C,B,-14.271520729028722,0
36-50,60,M,Homosexual,-14.200607830787243,38.899302729539954,101.81281034181451,-9.348979742438454,B,B,1.8220122245919703,B,B,245.32567384736393,1
65+,83,F,Homosexual,-50.051443376785734,194.92387500052226,251.88308588912315,141.38048230128274,C,B,30.723466622161027,C,D,127.58841805391438,0
36-50,99,F,Bisexual,-51.95998193015997,9.308674888013305,-40.25641632564277,-61.582706954755515,B,C,-40.17636436156339,A,A,71.518333297493,1
36-50,41,F,Homosexual,94.17082133434963,79.26379492381152,-0.7080601504344465,-1.685970734390527,B,C,43.96450706475324,D,D,-57.17617037080591,0
51-65,47,Female,Other,-80.50969339626342,-1.2442008766561958,30.67800949117881,19.699142475290202,B,C,-40.67624866974286,D,A,151.4952062361761,0
18-25,63,M,Heterosexual,21.73578196443567,-13.016700709439553,-13.103926895099022,-47.80057533657861,E,A,-100.70753189605225,E,C,109.87778356427869,0
36-50,24,Female,Homosexual,-34.593921934463,-74.78985032820125,29.506583577694258,223.5342141806863,E,E,149.67494706371613,C,A,49.53733413920765,0
51-65,48,M,Homosexual,133.5838789557921,-147.87032817074612,39.63326101239715,-88.50205452772963,D,D,-119.48242590508562,E,D,-64.40379783403682,1
65+,31,F,Heterosexual,62.40671349705398,-5.973217904935124,-11.073441085085856,124.62123475023124,C,E,253.7163587631065,C,A,101.5434580702578,0
65+,39,M,Other,-178.01360642412988,-52.94537806290052,-29.71210280696896,65.11925399731531,A,D,195.99546601592962,A,A,-70.27582268820424,1
18-25,62,Female,Bisexual,-55.72688169255363,79.6169469003611,-56.73086267727799,-24.85286332765911,E,B,-49.76567883744411,A,D,67.77632732081517,1
26-35,46,Non-binary,Homosexual,-48.930764308571796,-1.6737521634310348,-89.07919907577205,-121.2363048269982,E,C,-59.15746537498423,C,A,-74.01745140251988,0
26-35,27,Other,Homosexual,133.03615208284455,3.776079603807451,170.53751870121383,38.88837528986379,E,E,63.38320001503453,B,A,23.136061941112875,1
36-50,29,Male,Bisexual,-135.53097099261097,-62.17370464147333,80.20916743434711,12.775529529115381,A,B,-150.11407420514442,D,C,46.15177544394982,0
