anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
59,-137.68389425976903,D,-242.28661951918932,D,D,E,-83.69319025563516,159.02685700952026,B,E,B,1
80,35.11478053927091,E,23.585709824383343,D,E,E,142.15074111304656,-81.77875025344173,E,D,B,1
28,-208.7007383821226,E,113.03114328108967,C,D,E,-128.41447025077647,237.90264249122757,A,B,B,0
95,60.818474133462985,C,27.002694592341598,C,D,D,35.242789672368374,78.88857216097279,B,D,C,1
89,-96.00101178190017,B,-20.601763548378457,C,D,E,-55.34301963350333,116.297248079603,B,D,C,1
28,210.36245088974462,E,22.404902238843825,E,E,A,64.84682517450837,4.1317846702437055,A,A,C,0
84,-37.8405767089426,A,96.77381871841973,C,D,D,-126.25342285711459,-39.58726890568057,D,A,E,1
45,-138.08918674054613,B,-34.58533979241437,D,D,E,65.95172570469016,-28.588310576346814,A,D,D,0
57,9.252791242398299,E,133.8046279915763,C,D,E,180.40402690866662,-6.330860147528402,C,D,C,0
58,-2.067107955396927,A,5.355064304885598,D,D,B,-59.80599220774392,-54.77948775216825,B,E,A,1
55,65.02666313824402,B,160.07551791282785,C,E,B,-115.48616025521692,198.92588663128035,B,B,C,0
32,-6.946286187868843,E,10.470928631839751,E,B,A,-3.757570211224595,161.20929411615194,E,C,D,0
90,87.902556398034,A,-85.92430613744749,D,B,A,92.83191929525529,72.8129680370851,C,A,C,0
20,-120.29384729603282,B,-37.29770459217035,A,C,D,-0.4794828644277247,-180.3952393828086,A,D,C,0
66,39.29249969160809,E,-4.291691091581192,C,E,A,-66.78764622653553,133.1113817403337,B,A,A,1
31,-65.3142562156133,A,115.6872535490195,B,B,B,-186.66794963614905,-46.3906144153511,E,B,A,0
70,7.478005588303508,A,97.717468824063,C,D,E,-6.56575050411587,23.891875941305653,C,C,B,1
58,-144.36895650503484,D,8.972979188630045,A,A,A,-108.11126532014666,-279.3989148051213,B,E,A,1
36,-57.81270221997447,A,-102.38391364524162,E,B,D,-79.05266731122505,188.32124455617588,C,E,C,1
64,-108.01238450376012,A,61.46700461248036,A,B,C,56.77645736200645,124.25149485528122,B,A,B,1
21,72.78333672206124,C,-56.41602481795434,D,A,A,-50.933643533658035,47.79136328628266,E,D,E,1
68,-39.68920330555644,A,11.137127700624346,B,A,B,67.50586973396028,-63.019565098063026,B,B,D,1
76,46.13733613692817,D,-142.74649581437743,E,D,B,38.68920409127489,-102.96284958754609,D,E,E,1
49,-59.35338880699336,A,59.113301551043584,D,B,A,-121.0761747992104,51.27099333975298,B,B,E,1
39,-73.64402892682592,E,-27.056103465872738,A,C,A,13.323755715773103,-40.78131836948017,A,E,A,0
70,-140.91021952906883,D,144.30207782096426,E,A,C,-301.7148118131597,102.61231594366822,B,E,C,1
89,19.990335465448585,C,27.58575000355364,E,D,D,130.95695841538532,90.48844338590484,C,B,D,1
56,37.721308925894384,D,6.2521874534598645,B,C,E,-80.63703675103648,-229.6039418414835,B,B,C,1
20,26.824249698067476,A,-182.6968133960745,B,D,A,-118.33960016723337,156.270517233357,D,B,C,0
79,34.282857151579144,A,-66.94300946726418,C,C,A,-46.880001679641744,83.33648418370313,E,E,B,0
81,100.29439077849347,E,-78.28945748763323,B,B,C,146.073998270959,-6.794752995477461,B,B,E,1
49,60.048203588611734,C,-115.30020488102346,B,C,C,-103.23944325409123,-83.80458266785068,B,E,C,1
50,-8.636093349124863,B,-203.09583632885779,B,B,A,-66.90800677151897,98.57309071318761,B,A,E,0
44,151.1765802176522,D,74.80074070722009,C,C,C,68.07216072046798,248.55332317881832,B,C,B,1
42,-22.773606192185973,B,-56.75008141222116,E,B,C,127.35921070860681,-4.279493312451113,A,A,A,1
63,-79.79216401890649,D,-70.22985968009023,E,B,E,-102.30211867582304,116.72082524088457,C,E,B,1
45,104.68135803513192,C,-5.952524314013476,B,C,B,57.7056012016068,-143.5002089020922,E,E,C,0
47,34.19950686245682,C,-235.06733759190098,A,D,E,159.53661779847272,24.08388763855648,B,B,E,0
66,-26.229432465896867,D,-72.84259254960534,E,D,E,-83.28605645134348,-20.04343562323757,D,E,A,0
30,193.30885360668296,B,59.30651304736404,D,E,E,84.40080295765132,-54.583619853202045,B,D,D,1
56,-64.21293808101758,C,-54.69747656230059,D,D,C,76.60363258400643,-53.54277419170621,D,A,D,1
78,119.73102625381027,A,64.01685687800533,D,B,D,97.93512793932084,-62.76823139476018,A,E,B,1
35,-72.8480880524507,C,122.37475018207162,B,D,D,-4.824903872276145,-48.24339538706727,D,D,B,1
67,-49.14023390680505,D,-77.87158552864788,D,E,B,59.67960933071452,21.071967407984257,C,E,C,0
57,160.68520805640563,B,-143.7873588968752,A,B,B,1.173984222707684,28.172661352254053,D,B,E,1
31,-106.29100434001117,D,108.86002342735317,A,D,D,3.1383792463795928,-3.233192522958022,E,E,D,1
93,-23.512045057734756,E,138.10342935619965,A,B,D,57.75349417245356,66.1559396616617,D,C,D,1
39,-47.54166379344391,A,-43.98348079209681,A,B,D,-23.845743923642097,-76.12770346295494,D,A,C,0
44,-8.822144040083078,C,24.512051594791824,C,A,A,-24.79469694323366,-45.48258360010702,A,A,B,1
58,107.77273557477017,D,136.01975792755505,B,D,B,56.98339394965404,208.17353607644887,E,C,E,0
60,32.31005538591653,B,-141.74637363722726,D,A,B,38.336751977000745,-167.2238341224467,B,E,B,0
95,-224.08618211758818,D,69.18663298643212,C,C,C,-170.2353743628948,-18.84424119315691,D,C,A,0
56,112.9205884249894,B,-154.19678107718815,C,A,C,14.63925485532667,75.71094943933578,C,D,B,0
71,183.20246065977048,D,-59.997743104873614,A,C,C,-54.91110562073196,-0.7114946024790877,E,E,D,1
26,151.55513531907934,D,-76.88855550334198,A,C,B,141.51733895186425,56.553827568997086,B,B,B,1
85,221.6946180953073,D,16.493297798327188,D,A,B,75.63054999417322,-222.95189325821002,D,C,B,0
87,99.90988805350362,E,159.0060161699956,D,B,D,-59.542518284555754,-104.28457248413375,C,A,E,0
97,112.12783909757395,D,76.71061615024321,B,E,A,-40.32034222328382,-141.47986664840323,E,E,A,1
68,-30.237680849195826,A,-104.52963623554356,C,C,E,-39.75821384837488,8.850002371832387,A,C,D,1
64,-99.91849717865888,D,83.65918826599902,B,E,E,-20.935145703090956,-20.398890765754945,D,E,A,0
95,-157.72662188239076,A,63.453781272246346,E,B,A,64.58651784626787,-89.81015595582032,C,D,C,1
75,-116.80692034292164,B,-144.8018050845757,E,E,E,199.1552105432798,71.00363228595211,A,A,A,1
31,-91.52209164023564,D,-66.93116399776642,A,B,B,-110.9603990850076,-7.633512866085352,D,B,D,0
56,266.33606836037393,E,175.4990955103445,D,D,D,65.33614954857237,75.80999750013527,B,A,C,0
42,46.37273658169334,B,-96.74822246656855,D,B,D,-46.85432851087835,-158.49042353974022,E,A,A,1
22,77.95067456869441,B,11.307100957692759,C,D,E,-24.616568010518773,10.40162680414898,C,E,D,0
61,-27.90742349146051,D,108.70464361267412,E,C,E,123.56349074307329,-20.70082586325153,E,C,B,1
57,-24.772371909396124,A,12.94799137655819,B,A,B,149.040984732823,-69.53884082693335,E,A,D,0
44,84.620918915945,E,-142.53280064806307,E,A,E,-21.338445771887596,-94.15948363854892,B,B,E,1
91,139.10210691773523,C,38.37578531244608,B,C,C,25.33514250626863,-72.35466257153351,E,A,D,0
80,-39.459403354073046,A,109.09352860815278,E,B,C,36.30894385760481,-51.29280181127738,C,B,A,1
27,-86.66619633195724,B,-111.84251750945529,A,C,B,39.6042520001288,-107.29749118255816,B,C,E,1
72,57.5328318577674,A,-78.96969067976254,A,E,C,-18.599676707432266,-75.52368077021264,C,E,D,0
24,-129.24212693863407,C,180.64487439889305,B,B,C,-31.594215189652548,32.86820423061844,D,A,C,1
46,-261.5116647464026,E,88.27664104601469,D,D,A,-47.62708289082319,-23.92878089843643,A,D,E,0
52,-73.76523598481994,C,-48.86034259894917,C,D,A,-43.71820098022272,28.11952395428668,C,C,E,0
59,-103.00543308696872,B,12.675299837534624,C,B,A,109.21966723934385,15.662295153475448,D,B,C,0
82,96.67456542600934,A,18.315005508382534,C,E,B,13.241933722005067,27.961619338419347,E,A,E,0
31,52.474696566924116,C,35.47522858619034,E,E,D,-111.16071912208969,90.64405390590977,E,E,C,0
82,203.07532987755016,D,-20.351097283049167,A,A,B,-41.44673599417937,111.56750505234663,E,E,D,1
99,-94.88202925106911,A,-159.14730032333884,B,E,B,10.088422381740541,169.81291017311892,E,C,B,0
99,-80.86005795493423,D,79.99572346423146,A,B,B,0.7917362047765788,3.6092755903624596,C,E,A,0
74,52.3542770228329,D,42.58414677479475,B,C,E,24.880823285750193,45.62381008323403,B,E,D,0
18,96.14766788930683,E,55.82031319128424,B,C,B,-30.135830007899656,133.05309061369869,B,E,D,1
58,-3.508553709288705,B,52.66260164349508,B,E,B,152.76278723551243,-94.01171924739012,B,C,C,1
24,34.6688256846597,A,-113.8807638056799,E,E,E,-90.22023753429599,-43.50033851529351,C,A,C,0
77,16.238971367349688,E,-74.81599746675055,A,C,B,77.42007531004957,-87.65943218967094,E,D,A,0
95,79.06535645576821,D,37.4197018453728,C,C,E,-77.7482120092399,-195.36359620079372,C,E,D,1
68,-15.407818190784898,E,-72.57609618062834,E,A,D,-75.72131787154768,-59.68765973200324,D,D,A,1
21,-196.28210879718802,D,-122.26242782743155,A,E,C,31.977839486608396,-15.232753323031051,A,C,C,0
98,226.34647519623377,E,-188.95645062185224,A,A,D,73.17979443749829,21.47604184032561,B,D,A,0
33,-18.812210971759566,E,8.408938149001344,B,D,D,-51.959187274538074,23.267965339447453,B,E,D,0
65,8.109960774259868,A,75.23450298214243,C,E,D,-59.87299723257142,-180.79318125378643,D,E,C,1
23,213.73299017141525,E,-148.68464137537586,E,D,B,-12.343396511819051,45.47120149608786,A,D,D,0
40,114.7119954409346,B,143.27388279197456,D,C,E,-53.957181107251664,-17.363991085848472,D,E,A,1
95,-112.86868285137317,A,-3.3576519263127858,E,A,C,-75.43339249118179,125.88754030573254,A,B,E,0
95,-144.8593919432964,A,147.6530201727052,C,D,C,-122.56113292901973,56.88285341955135,C,E,E,1
87,-86.06977129674215,E,-53.048881192053834,B,E,B,-44.859366669503835,98.41153041670148,B,C,C,0
25,70.90170570601494,A,5.1428934446016905,E,D,A,187.12270498810778,64.9300519443887,B,E,E,0
70,-23.36828485149435,C,-157.93274054656982,A,B,E,-86.26637634478992,-52.17488889874387,B,E,E,1
73,-76.42215350150188,E,-162.94172794622574,D,D,C,94.70946815240396,49.675799687999096,A,D,A,0
32,17.74111721246574,E,24.936273313530478,C,A,C,-8.724877933762375,46.404829009236416,E,C,D,1
89,339.03966419569673,E,-84.98783728199288,B,E,A,112.13829066755063,-33.87584905900597,D,A,E,1
63,-65.25227010121559,A,125.80758404663909,D,B,A,-52.249801765528325,10.670089662140283,B,E,D,0
